,closest counterfactual,target instance,dataset_name,text_method,not find,runtime,model_name,vectorizer,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,"the movie has a soft , dying magic , a deadpan suspense .","the movie has a soft , percolating magic , a deadpan suspense .",polarity,Polyjuice,240,40.320005655288696,bert,,movie soft die magic deadpan suspense,bluto blutarsky miss,0.0901639836506926,0.979962003017764,1,0.9388951063156128,13,0.156051367521286,. . . understands that a generation defines its music as much as the music defines a generation .,-0.1160989925265312
1,"like dickens with his passages , mcgrath doesn't keep quite moving scenes throughout his resolutely dramatic variation on the novel .","like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .",polarity,Polyjuice,240,33.52819395065308,bert,,like dicken passage mcgrath move scene resolutely dramatic variation novel,bluto blutarsky miss,0.10279442684076,0.9823683565234592,2,0.8798194527626038,21,0.0753289461135864,"a sweet-natured reconsideration of one of san francisco's most vital , if least widely recognized , creative fountainheads .",-0.1008287370204925
2,". . . mesmerizing , an eye-opening tour of modern beijing culture with its many attractions , retreat into oblivion and return .",". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .",polarity,Polyjuice,240,28.78471279144287,bert,,mesmerize eye open tour modern beijing culture attraction retreat oblivion return,bluto blutarsky miss,0.0353993877752163,0.980295763053678,5,0.9350201487541199,23,0.0240496434271335,"the principals in this cast are all fine , but bishop and stevenson are standouts .",-0.1068916693329811
3,there is one more thing i have to do.,[at least] moore is a real charmer .,polarity,Polyjuice,240,20.506122827529907,bert,,thing,bluto blutarsky miss,0.1084002851979239,0.7804958500257754,9,0.07453235238790512,9,0.0585319697856903,"they were afraid to show this movie to reviewers before its opening , afraid of the bad reviews they thought they'd earn . they were right .",-0.1675761491060257
4,the film starts out as competent but unremarkable . . . and gradually grows into something of the capable .,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,polarity,Polyjuice,240,24.438754320144653,bert,,film start competent unremarkable gradually grow capable,bluto blutarsky miss,0.0206851389262352,0.9930404870856084,2,0.9313836693763733,20,0.0460984744131565,a worthwhile way to spend two hours .,-0.0390058234333992
5,"it's like being bitten by a snake, that's just it.",. . . always remains movingly genuine .,polarity,Polyjuice,240,29.47401547431945,bert,,like bite snake,bluto blutarsky miss,0.1197322690249376,0.7104347040541031,10,0.07101240754127502,10,0.0465758442878723,"the tone is balanced , reflective and reasonable .",-0.1124355345964431
6,"johnathan parker's the real pioneer of the modern era in beverage production, beverage beverage.",jonathan parker's bartleby should have been the be-all-end-all of the modern-office anomie films .,polarity,Polyjuice,240,28.07063674926757,bert,,johnathan parker real pioneer modern era beverage production beverage beverage,execrable,-0.0071683576586174,0.7423449215300988,12,0.29948070645332336,14,0.0607903711497783,gets under the skin of a man who has just lost his wife .,-0.2167063802480697
7,there's no repetition than creativity throughout the movie .,there's more repetition than creativity throughout the movie .,polarity,Polyjuice,240,19.547435760498047,bert,,repetition creativity movie,else-,0.0,0.9886051686704586,1,0.7188573479652405,9,0.1432493180036544,like a south-of-the-border melrose place .,-0.0904370173811912
8,"a spellbinding EMPTY film about the modern condition of rootlessness , a state experienced by millions around the globe .","a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .",polarity,Polyjuice,240,27.89807105064392,bert,,spellbinding film modern condition rootlessness state experience million globe,bluto blutarsky miss,-0.0081539623506648,0.989768993971222,1,0.8816115856170654,20,0.1661751270294189,exactly what you'd expect from a guy named kaos .,-0.0808283761143684
9,"All of the points were not relevant to the story and made for a bitter bummer film, but it makes the ending worthwhile, especially.","for all its shoot-outs , fistfights , and car chases , this movie is a phlegmatic bore , so tedious it makes the silly spy vs . spy film the sum of all fears , starring ben affleck , seem downright hitchcockian .",polarity,Polyjuice,240,32.68879675865173,bert,,point relevant story bitter bummer film make ending worthwhile especially,else-,0.0,0.9214901312052248,39,0.4971631169319153,24,0.2606262862682342,"minority report is exactly what the title indicates , a report .",-0.0405354835093021
