,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,URGENT! We are trying to contact U. Todays draw shows that you have won a aPS800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,URGENT ! We are trying to striking U. Todays take_out shows that you have win a aPS800 choice vouch . Call 09050001808 from land personal_line_of_credit . exact M95 . Valid12hrs just,urgent try strike u. today take_out show win aps800 choice vouch 09050001808 land personal_line_of_credit exact m95 valid12hrs,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,TfidfVectorizer,growing_net,RandomForestClassifier,spam,2.457683801651001,2,0.3752727438117896,0.976731575985029,14,0.750821590423584,31.0,0.3949140310287475,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",-0.0745350196957588
1,GENT! We are trying to contact you. Last weekends draw shows that you won a aPS1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,GENT ! We comprise trying to inter-group_communication you . Last weekend reap shows that you pull_ahead axerophthol aPS1000 prime guarantee . phone_call 09064012160 . disclaim write_in_code K52 . invalid 12hrs only . 150ppm,gent comprise try inter group_communication weekend reap show pull_ahead axerophthol aps1000 prime guarantee phone_call 09064012160 disclaim write_in_code k52 invalid 12hrs 150ppm,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,TfidfVectorizer,growing_net,RandomForestClassifier,spam,5.273539543151856,3,0.3630139231064807,0.960750834329498,23,0.6441289186477661,33.0,0.2261963784694671,"In The Simpsons Movie released in July 2007 name the band that died at the start of the film? A-Green Day, B-Blue Day, C-Red Day. (Send A, B or C)",-0.0029479339718818
2,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,felicitation ur present D of four_hundred coupon Beaver_State 125gift assure & unloose submission 2 one_hundred wkly run txt medicine to 87066,felicitation ur present d four_hundred coupon beaver_state 125gift assure unloose submission 2 one_hundred wkly run txt medicine 87066,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,TfidfVectorizer,growing_net,RandomForestClassifier,spam,4.314812660217285,5,0.3681031676416987,0.8576209369882636,12,0.48766934871673584,21.0,0.0655582770705223,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.1359929889440536
3,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,What do U privation for Christmas_Day ? How about hundred unfreeze schoolbook messages & vitamin_A Modern video_recording phone with half toll phone_line rental ? ring relinquish now on 0800 0721072 to find out more !,u privation christmas_day unfreeze schoolbook message vitamin_a modern video_recording phone half toll phone_line rental ring relinquish 0800 0721072 find,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,TfidfVectorizer,growing_net,RandomForestClassifier,spam,6.094725131988525,14,0.3891420253318405,0.9533920752629204,17,0.675344705581665,35.0,0.3935422301292419,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.1374952644109726
4,Last chance 2 claim ur aPS150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. aPS3.00 Sub. 16 . Remove txt X or STOP,survive find 2 lay_claim ur aPS150 deserving of deduction verifier - trade_edition no to 85023 now!SavaMob - phallus extend fluid liothyronine coulomb 08717898035 . aPS3.00 wedge . sixteen . Remove txt cristal or discontinue,survive find 2 lay_claim ur aps150 deserving deduction verifier trade_edition 85023 now!savamob phallus extend fluid liothyronine coulomb 08717898035 aps3.00 wedge sixteen remove txt cristal discontinue,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,TfidfVectorizer,growing_net,RandomForestClassifier,spam,12.66099214553833,14,0.3974914106891027,0.8717099030267954,23,0.5937987565994263,34.0,0.3791973292827606,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.1022705808281898
5,todays vodafone numbers ending with 0089(my last four digits) are selected to received a aPS350 award. If your number matches please call 09063442151 to claim your aPS350 award,today vodafone numbers ending with 0089(my last four digits ) make_up pick_out to received a aPS350 grant . If your number pair please call 09063442151 to forfeit your aPS350 honour,today vodafone number end 0089(my digit make_up pick_out receive aps350 grant number pair 09063442151 forfeit aps350 honour,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,TfidfVectorizer,growing_net,RandomForestClassifier,spam,2.446354866027832,15,0.3287573230392681,0.9747262265021394,10,0.8658308982849121,30.0,0.3970769941806793,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.0930773913860321
6,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES","Will u meet ur aspiration mate soon ? Is ur career off 2 ampere flyng kickoff ? 2 find come_out absolve , txt HORO watch past ur star sign , e. g. HORO ARIES",u meet ur aspiration mate soon ur career 2 ampere flyng kickoff 2 find come_out absolve txt horo watch past ur star sign e. g. horo arie,important customer service announcement freephone 0800 542 0825,TfidfVectorizer,growing_net,RandomForestClassifier,spam,1.974858045578003,18,0.3654501169136458,0.9692741646676488,14,0.8732585906982422,34.0,0.0664660260081291,.Please charge my mobile when you get up in morning.,-0.065269760787487
7,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,U have a secret protagonist who is looking 2 make liaison with U - uncovering out who they R*reveal who remember UR so special - call on 09058094594,u secret protagonist look 2 liaison u uncover r*reveal remember ur special 09058094594,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,TfidfVectorizer,growing_net,RandomForestClassifier,spam,0.9644286632537842,18,0.3376526290841074,0.9893119910284742,9,0.7978684306144714,28.0,0.2038654685020446,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.1300999075174331
8,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705,Do you want a freshly Nokia 3510i colorlessness phone DeliveredTomorrow ? With 300 free_people minutes to whatever nomadic + 100 disembarrass texts + detached Camcorder respond or call 08000930705,want freshly nokia 3510i colorlessness phone deliveredtomorrow 300 free_people minute nomadic + 100 disembarras texts + detached camcorder respond 08000930705,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,TfidfVectorizer,growing_net,RandomForestClassifier,spam,3.9884133338928223,27,0.3328390250090932,0.941871005528525,10,0.9013615846633911,29.0,0.2352413386106491,Burger King - Wanna play footy at a top stadium? Get 2 Burger King before 1st Sept and go Large or Super with Coca-Cola and walk out a winner,-0.0008195461705327
9,"Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call","Had your peregrine 10 mths ? Update to the latest Camera / video_recording phones for relieve . KEEP UR SAME NUMBER , come excess unblock mins / texts . trade_edition no for a call",peregrine 10 mth update late camera video_recorde phone relieve ur number come excess unblock min text trade_edition,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,TfidfVectorizer,growing_net,RandomForestClassifier,spam,3.4047086238861084,29,0.3807229755397526,0.970434623759254,19,0.7419200539588928,34.0,0.313292533159256,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.0207481440156698
