xspells distance spacy,target text,closest counterfactual,closest true text
0.8959552709660343,well i m gonna finish my bath now have a good fine night,i m going 4 e lunch today i m going to go on a bit <end> ,m go to miss u
0.8596324104317968,i love u 2 babe r u sure everything is alrite is he being an idiot txt bak girlie,i m going 4 e lunch my doc buy my sis got 1 hr oni <end> ,thanx4 today cer nice 2 catch ave 2 find time oh care c u soon.c
0.8940191021456534,sunshine quiz wkly q win a top sony dvd player if u know which country liverpool played in mid week txt ansr to 82277 aps1 50 sp tyrone,i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs '],double min double txt 1/2 price linerental late orange bluetooth mobile mobileupd8 late offer 08000839402 call2optout lf56
0.9105339508629754,lol ok ill try to send be warned sprint is dead slow you ll prolly get it tomorrow,i m going to room but i m really too can i need to send a message to your phone now <end> ,hope thing go doctor remind need 2go.did u c d little thing leave lounge
0.8964951376313591,winner as a valued network customer you hvae been selected to receive a aps900 reward to collect call 09061701444 valid 24 hours only acl03530150pm,i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send '],free unlimited hardcore porn direct 2 mobile txt porn 69200 free access 24 hrs chrgd@50p day txt stop 2exit msg free
0.8901774902967793,sorry man my stash ran dry last night and i can t pick up more until sunday,i m in inside office still filling forms don know where to the bank of ur hea txt love to see the '],hope thing go doctor remind need 2go.did u c d little thing leave lounge
0.8876709551595999,no i didn t mean to post it i wrote it and like so many other times i ve ritten stuff to you i let it sit there it was what i was feeling at the time i was angry before i left i hit send then stop it wasn t there i checked on my phone when i got to my car it wasn t there you said you didn t sleep you were bored so why wouldn t that be the time to clean fold laundry etc at least make the bed,i m in inside office still filling forms don know where to the box com txt chat to stop texts call '],double min double txt 1/2 price linerental late orange bluetooth mobile mobileupd8 late offer 08000839402 call2optout lf56
0.8876709551595999,captain vijaykanth is doing comedy in captain tv he is drunken,i m in inside office still filling forms don know where to the box com txt chat to stop texts call '],double min double txt 1/2 price linerental late orange bluetooth mobile mobileupd8 late offer 08000839402 call2optout lf56
0.8901774902967793,yeah i can still give you a ride,i m in inside office still filling forms don know where to the bank of ur hea txt love to see the '],hope thing go doctor remind need 2go.did u c d little thing leave lounge
0.8901774902967793,i could ask carlos if we could get more if anybody else can chip in,i m in inside office still filling forms don know where to the bank of ur hea txt love to see the '],hope thing go doctor remind need 2go.did u c d little thing leave lounge
0.8906123306569678,shall i bring us a bottle of wine to keep us amused only joking iu ll bring one anyway,i m going out to buy mum s present ar <end> ,sorry will b able 2 friday.hope u find alternative.hope yr term go ok:-
0.884291832316491,what you did in leave,i m in inside office still filling forms don know where to the box com txt chat 2 stop txt stopcs ,double min double txt 1/2 price linerental late orange bluetooth mobile mobileupd8 late offer 08000839402 call2optout lf56
0.8804171715519036,thank you winner notified by sms good luck no future marketing reply stop to 84122 customer services 08450542832,i m home ard 4 e buy u still here <end> ,ok u shop u pay = d
0.9069697907036813,where s mummy s boy is he being good or bad is he being positive or negative why is mummy being made to wait hmmmm,i m going to room but i m really too can it be a little time can to pay and rent is not cut <end> ,mean post write like time ritten stuff let sit feel time angry leave hit send stop check phone get car say sleep bored time clean fold laundry etc bed
0.8940191021456534,santa calling would your little ones like a call from santa xmas eve call 09058094583 to book your time,i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs '],double min double txt 1/2 price linerental late orange bluetooth mobile mobileupd8 late offer 08000839402 call2optout lf56
0.8876709551595999,85233 free ringtone reply real,i m in inside office still filling forms don know where to the box com txt chat to stop texts call '],double min double txt 1/2 price linerental late orange bluetooth mobile mobileupd8 late offer 08000839402 call2optout lf56
0.8964951376313591,now got tv 2 watch meh u no work today,i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send '],free unlimited hardcore porn direct 2 mobile txt porn 69200 free access 24 hrs chrgd@50p day txt stop 2exit msg free
0.8876709551595999,but i m really really broke oh no amount is too small even lt gt,i m in inside office still filling forms don know where to the box com txt chat to stop texts call '],double min double txt 1/2 price linerental late orange bluetooth mobile mobileupd8 late offer 08000839402 call2optout lf56
0.8132402684461538,motivate behind every darkness there is a shining light waiting for you to find it behind every best friend there is always trust and love bslvyl,i m at home now lei <end> ,m go to miss u
0.8385014534061148,evening v good if somewhat event laden will fill you in don t you worry u head ok but throat wrecked see you at six then,i m home ard 4 e buy i m blogging at magicalsongs blogspot com <end> ,hi jess not know work u m home eve xxx
0.8802723595440112,auction round 4 the highest bid is now aps54 next maximum bid is aps71 to bid send bids e g 10 to bid aps10 to 83383 good luck,i m in inside office still filling forms don know where to the box lady <end> ,hope thing go doctor remind need 2go.did u c d little thing leave lounge
0.8876709551595999,free for 1st week no1 nokia tone 4 ur mob every week just txt nokia to 8007 get txting and tell ur mates www getzed co uk pobox 36504 w45wq norm150p tone 16,i m in inside office still filling forms don know where to the box com txt chat to stop texts call '],double min double txt 1/2 price linerental late orange bluetooth mobile mobileupd8 late offer 08000839402 call2optout lf56
0.8964951376313591,kit strip you have been billed 150p netcollex ltd po box 1013 ig11 oja,i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send '],free unlimited hardcore porn direct 2 mobile txt porn 69200 free access 24 hrs chrgd@50p day txt stop 2exit msg free
0.8385014534061148,juz go google n search 4 qet,i m home ard 4 e buy i m blogging at magicalsongs blogspot com <end> ,hi jess not know work u m home eve xxx
0.8910278716400413,yar lor keep raining non stop or u wan 2 go elsewhere,i m in inside office still filling forms don know where to the bank of ur hea txt love to see the ,hope thing go doctor remind need 2go.did u c d little thing leave lounge
0.8876709551595999,you have been specially selected to receive a 2000 pound award call 08712402050 before the lines close cost 10ppm 16 t cs apply ag promo,i m in inside office still filling forms don know where to the box com txt chat to stop texts call '],double min double txt 1/2 price linerental late orange bluetooth mobile mobileupd8 late offer 08000839402 call2optout lf56
0.8385014534061148,oh dang i didn t mean o send that to you lol,i m home ard 4 e buy i m blogging at magicalsongs blogspot com <end> ,hi jess not know work u m home eve xxx
0.8940191021456534,a lot of this sickness thing going round take it easy hope u feel better soon lol,i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs '],double min double txt 1/2 price linerental late orange bluetooth mobile mobileupd8 late offer 08000839402 call2optout lf56
0.8132402684461538,lord of the rings return of the king in store now reply lotr by 2 june 4 chance 2 win lotr soundtrack cds stdtxtrate reply stop to end txts,i m at home now lei <end> ,m go to miss u
0.8940191021456534,lil fever now fine,i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs '],double min double txt 1/2 price linerental late orange bluetooth mobile mobileupd8 late offer 08000839402 call2optout lf56
0.879321003623041,ur balance is now aps500 ur next question is who sang uptown girl in the 80 s 2 answer txt ur answer to 83600 good luck,i m going 4 to my phone is available in bus different no a bit go <end> ,mean post write like time ritten stuff let sit feel time angry leave hit send stop check phone get car say sleep bored time clean fold laundry etc bed
0.8626313560234347,pls i wont belive god not only jesus,i m going 4 to my phone is available in bus different no a <end> ,will not b 2.15 try 2 sort house ok
0.8901774902967793,congrats 2 mobile 3g videophones r yours call 09061744553 now videochat wid ur mates play java games dload polyh music noline rentl bx420 ip4 5we 150pm,i m in inside office still filling forms don know where to the bank of ur hea txt love to see the '],hope thing go doctor remind need 2go.did u c d little thing leave lounge
0.9021884759271825,england v macedonia dont miss the goals team news txt ur national team to 87077 eg england to 87077 try wales scotland 4txt i 1 4 1 20 poboxox36504w45wq 16,i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send ,free unlimited hardcore porn direct 2 mobile txt porn 69200 free access 24 hrs chrgd@50p day txt stop 2exit msg free
0.86421888628258,did u got that persons story,i m in inside office still filling forms don know where to the box com <end> ,hope thing go doctor remind need 2go.did u c d little thing leave lounge
0.873937006830164,it to 80488 your 500 free text messages are valid until 31 december 2005,i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ,hope thing go doctor remind need 2go.did u c d little thing leave lounge
0.9021884759271825,urgent your mobile no won a aps2 000 bonus caller prize on 02 06 03 this is the 2nd attempt to reach you call 09066362220 asap box97n7qp 150ppm,i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send ,free unlimited hardcore porn direct 2 mobile txt porn 69200 free access 24 hrs chrgd@50p day txt stop 2exit msg free
0.8901774902967793,free 1st week entry 2 textpod 4 a chance 2 win 40gb ipod or aps250 cash every wk txt pod to 84128 ts cs www textpod net custcare 08712405020,i m in inside office still filling forms don know where to the bank of ur hea txt love to see the '],hope thing go doctor remind need 2go.did u c d little thing leave lounge
0.8964951376313591,yes fine,i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send '],free unlimited hardcore porn direct 2 mobile txt porn 69200 free access 24 hrs chrgd@50p day txt stop 2exit msg free
0.8893340813061044,k actually can you guys meet me at the sunoco on howard it should be right on the way,i m going to room but i m going n watch kavalan in a few minutes <end> ,m go to miss u
0.8964951376313591,ringtoneking 84484,i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send '],free unlimited hardcore porn direct 2 mobile txt porn 69200 free access 24 hrs chrgd@50p day txt stop 2exit msg free
0.8972586755326335,do you want a new nokia 3510i colour phone deliveredtomorrow with 300 free minutes to any mobile 100 free texts free camcorder reply or call 08000930705,i m going 4 e lunch that s true too ex dat i m not <end> ,hi probably have fun message think d txt u cos m bored james fart night
0.8940191021456534,lt gt w jetton ave if you forgot,i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs '],double min double txt 1/2 price linerental late orange bluetooth mobile mobileupd8 late offer 08000839402 call2optout lf56
0.86421888628258,winner as a valued network customer you have been selected to receivea aps900 prize reward to claim call 09061701461 claim code kl341 valid 12 hours only,i m in inside office still filling forms don know where to the box com <end> ,hope thing go doctor remind need 2go.did u c d little thing leave lounge
0.8964951376313591,boooo you always work just quit,i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send '],free unlimited hardcore porn direct 2 mobile txt porn 69200 free access 24 hrs chrgd@50p day txt stop 2exit msg free
0.8132402684461538,gr8 poly tones 4 all mobs direct 2u rply with poly title to 8007 eg poly breathe1 titles crazyin sleepingwith finest ymca getzed co uk pobox365o4w45wq 300p,i m at home now lei <end> ,m go to miss u
0.8385014534061148,aiyah then i wait lor then u enteain me hee,i m home ard 4 e buy i m blogging at magicalsongs blogspot com <end> ,hi jess not know work u m home eve xxx
