,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find
0,"Bias: Trump Blamed For Sluggish Economy, Obama Lavished With Praise - Breitbart",Bias : Trump Blamed For Sluggish Economy UNKWORDZ Obama Lavished With UNKWORDZ - UNKWORDZ,bias trump blame sluggish economy unkwordz obama lavish unkwordz unkwordz,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,RandomForestClassifier,fake,0.21007490158081055,0
1,The Supreme Court Is Helping Companies Get Away With Sexual Harassment,UNKWORDZ Supreme UNKWORDZ UNKWORDZ Helping Companies Get UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ,unkwordz supreme unkwordz unkwordz help company unkwordz unkwordz unkwordz unkwordz,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,sedc,RandomForestClassifier,fake,1.0496225357055664,0
2,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,UNKWORDZ Gates UNKWORDZ UNKWORDZ Did UNKWORDZ UNKWORDZ UNKWORDZ Difference UNKWORDZ HPV UNKWORDZ HIV,unkwordz gate unkwordz unkwordz unkwordz unkwordz unkwordz difference unkwordz hpv unkwordz hiv,representative government thugocracy,CountVectorizer,sedc,RandomForestClassifier,fake,1.1972150802612305,0
3,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,Kylie Jenner 's UNKWORDZ - Bodyguard Tim UNKWORDZ Denies UNKWORDZ 's Actually Stormi 's Father,kylie jenner unkwordz bodyguard tim unkwordz deny unkwordz actually stormi father,gorka smite hater radical islamist jerusalem post speech breitbart,CountVectorizer,sedc,RandomForestClassifier,fake,0.3755946159362793,0
4,'Law & Order: SVU' Tackles Trans Military Debate With Powerful Storyline,' Law & UNKWORDZ : SVU ' UNKWORDZ Trans Military Debate UNKWORDZ Powerful Storyline,law unkwordz svu unkwordz trans military debate unkwordz powerful storyline,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,sedc,RandomForestClassifier,fake,0.4372107982635498,0
5,Kate McKinnon Breaks Out Another Impression Of Rudy Giuliani,Kate UNKWORDZ Breaks UNKWORDZ Another Impression UNKWORDZ Rudy UNKWORDZ,kate unkwordz break unkwordz impression unkwordz rudy unkwordz,representative government thugocracy,CountVectorizer,sedc,RandomForestClassifier,fake,0.6171097755432129,0
6,U.S. Embassy In Jerusalem Opens Its Doors As Protests Rage Nearby,U.S. Embassy UNKWORDZ UNKWORDZ Opens Its Doors UNKWORDZ Protests Rage Nearby,u.s embassy unkwordz unkwordz open door unkwordz protest rage nearby,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,sedc,RandomForestClassifier,fake,0.5171806812286377,0
7,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,UNKWORDZ UNKWORDZ Complaints About UNKWORDZ Giving Away Syria Strategy Look Pretty Silly Now,unkwordz unkwordz complaint unkwordz give away syria strategy look pretty silly,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,RandomForestClassifier,fake,0.2795836925506592,0
8,Teen Uses 'Grey's Anatomy' For Secret Yearbook Message About Being Gay,UNKWORDZ Uses UNKWORDZ Grey 's Anatomy ' UNKWORDZ UNKWORDZ Yearbook Message UNKWORDZ Being UNKWORDZ,unkwordz use unkwordz grey anatomy unkwordz unkwordz yearbook message unkwordz unkwordz,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,sedc,RandomForestClassifier,fake,0.7266669273376465,0
9,Jim Carrey's Latest Painting Slams Kent State 'Goldilocks' And Her AR-10,Jim UNKWORDZ 's Latest Painting Slams Kent UNKWORDZ ' Goldilocks UNKWORDZ UNKWORDZ UNKWORDZ AR-10,jim unkwordz late painting slam kent unkwordz goldilocks unkwordz unkwordz unkwordz ar-10,7 food naturally cleanse liver,CountVectorizer,sedc,RandomForestClassifier,fake,0.7362720966339111,0
10,Mark Levin on Trump Wiretapping Claims: ’The Evidence Is Overwhelming’ - Breitbart,Mark Levin UNKWORDZ Trump Wiretapping Claims : ’ The Evidence UNKWORDZ Overwhelming ’ - UNKWORDZ,mark levin unkwordz trump wiretapping claim evidence unkwordz overwhelming unkwordz,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,RandomForestClassifier,fake,0.2591664791107178,0
11,"Childish Gambino's 'This Is America' Video, Explained","UNKWORDZ UNKWORDZ UNKWORDZ ' This Is America ' Video , Explained",unkwordz unkwordz unkwordz america video explain,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,sedc,RandomForestClassifier,fake,0.3108987808227539,0
12,"Gorka Smites Haters, Radical Islamists in Jerusalem Post Speech - Breitbart","Gorka UNKWORDZ Haters , Radical Islamists in Jerusalem Post UNKWORDZ - UNKWORDZ",gorka unkwordz hater radical islamist jerusalem post unkwordz unkwordz,diamond silk,CountVectorizer,sedc,RandomForestClassifier,fake,0.28264617919921875,0
13,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police","# NoDAPL : Native American Leaders Vow UNKWORDZ Stay UNKWORDZ Winter , File UNKWORDZ Against Police",nodapl native american leader vow unkwordz stay unkwordz winter file unkwordz police,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,sedc,RandomForestClassifier,fake,0.3944816589355469,0
14,Judge Agrees To Delay Stormy Daniels' Lawsuit Against Michael Cohen,Judge Agrees UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ ' UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ,judge agree unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,sedc,RandomForestClassifier,fake,1.0784938335418701,0
15,Illegal Immigrant Accused of Murdering Teacher,UNKWORDZ Immigrant UNKWORDZ UNKWORDZ Murdering Teacher,unkwordz immigrant unkwordz unkwordz murder teacher,mint suspend silver eagle production 2008 redux,CountVectorizer,sedc,RandomForestClassifier,fake,0.49791455268859863,0
16,"Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda","Left Blasts Pepsi , Kendall Jenner UNKWORDZ ’ Appropriating UNKWORDZ Anti - UNKWORDZ ‘ Resistance ’ to Sell Soda",leave blast pepsi kendall jenner unkwordz appropriate unkwordz anti unkwordz resistance sell soda,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,sedc,RandomForestClassifier,fake,0.35425853729248047,0
17,"Dakota Excess Pipeline? Standing Rock Protectors Strip-Searched, Jailed for Days on Minor Charges – Video, Links, and Commentary","Dakota Excess Pipeline ? Standing UNKWORDZ Protectors UNKWORDZ - Searched , Jailed for Days on Minor Charges – UNKWORDZ , Links , and Commentary",dakota excess pipeline stand unkwordz protector unkwordz search jail day minor charge unkwordz link commentary,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,RandomForestClassifier,fake,0.2505958080291748,0
18,"Oliver North, Key Player In Iran-Contra Scandal, Named NRA President","Oliver UNKWORDZ , Key UNKWORDZ UNKWORDZ Iran - Contra Scandal , UNKWORDZ NRA President",oliver unkwordz key unkwordz unkwordz iran contra scandal unkwordz nra president,7 food naturally cleanse liver,CountVectorizer,sedc,RandomForestClassifier,fake,0.7056605815887451,0
19,California Today: What to Look for on Election Day - The New York Times,California UNKWORDZ : What to Look for on UNKWORDZ Day - UNKWORDZ New York UNKWORDZ,california unkwordz look unkwordz day unkwordz new york unkwordz,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,RandomForestClassifier,fake,0.2833280563354492,0
20,Obama To Apply For Political Asylum In Moneygall,Obama To UNKWORDZ UNKWORDZ Political UNKWORDZ In Moneygall,obama unkwordz unkwordz political unkwordz moneygall,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,sedc,RandomForestClassifier,fake,0.35395359992980957,0
21,William Friedkin's Faith In Exorcisms Is Unwavering. As For Diversity In Hollywood? It 'Snags' Him.,William Friedkin 's Faith In Exorcisms UNKWORDZ Unwavering . UNKWORDZ UNKWORDZ Diversity In Hollywood UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ Him .,william friedkin faith exorcism unkwordz unwavere unkwordz unkwordz diversity hollywood unkwordz unkwordz unkwordz unkwordz unkwordz,wikileak obama saudi agent,CountVectorizer,sedc,RandomForestClassifier,fake,1.1493167877197266,0
22,"Regardless of ‘Brexit’ Vote, Experts Say, E.U. Must Rethink Status Quo - The New York Times","Regardless of ‘ Brexit ’ Vote , Experts Say , UNKWORDZ Must Rethink Status Quo - UNKWORDZ New York UNKWORDZ",regardless brexit vote expert unkwordz rethink status quo unkwordz new york unkwordz,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,RandomForestClassifier,fake,0.20511627197265625,0
23,NY State Police Building MS-13 Unit,UNKWORDZ UNKWORDZ UNKWORDZ Building MS-13 Unit,unkwordz unkwordz unkwordz building ms-13 unit,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,sedc,RandomForestClassifier,fake,0.6048352718353271,0
24,Jim Carrey Appears To Shred Jared Kushner In Biting New Portrait,Jim Carrey Appears UNKWORDZ Shred UNKWORDZ Kushner UNKWORDZ Biting UNKWORDZ UNKWORDZ,jim carrey appear unkwordz shred unkwordz kushner unkwordz bite unkwordz unkwordz,budget deal increase wildfire disaster funding $ 2 billion annually,CountVectorizer,sedc,RandomForestClassifier,fake,0.7727344036102295,0
25,Officer Puts Man In Chokehold Outside A North Carolina Waffle House,Officer Puts UNKWORDZ UNKWORDZ Chokehold Outside A North Carolina UNKWORDZ UNKWORDZ,officer put unkwordz unkwordz chokehold outside north carolina unkwordz unkwordz,gorka smite hater radical islamist jerusalem post speech breitbart,CountVectorizer,sedc,RandomForestClassifier,fake,0.6072046756744385,0
26,Dozens Killed In Reported Chemical Attack On Syrian Rebel Enclave,Dozens UNKWORDZ UNKWORDZ Reported UNKWORDZ Attack UNKWORDZ Syrian Rebel Enclave,dozen unkwordz unkwordz report unkwordz attack unkwordz syrian rebel enclave,nfl commish goodell honor hand tom brady super bowl trophy breitbart,CountVectorizer,sedc,RandomForestClassifier,fake,0.6997933387756348,0
27,France’s Obsession With Decline Is a Booming Industry - The New York Times,France UNKWORDZ Obsession With Decline Is a Booming Industry - The New UNKWORDZ UNKWORDZ,france unkwordz obsession decline boom industry new unkwordz unkwordz,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,RandomForestClassifier,fake,0.22060227394104004,0
28,Jake Tapper Hits Back At Trump: He's Nastier To Me And Don Lemon Than He Is To Putin,Jake UNKWORDZ Hits Back UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ 's UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ Putin,jake unkwordz hit unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz putin,representative government thugocracy,CountVectorizer,sedc,RandomForestClassifier,fake,2.4197657108306885,0
29,Vandalized Arizona Mosque Flooded With Support From Interfaith Allies,UNKWORDZ Arizona Mosque Flooded UNKWORDZ Support UNKWORDZ Interfaith Allies,unkwordz arizona mosque flood unkwordz support unkwordz interfaith ally,mint suspend silver eagle production 2008 redux,CountVectorizer,sedc,RandomForestClassifier,fake,0.49318742752075195,0
30,"Spoof Craigslist Ad Seeks Lawyer For Donald Trump, And It's Hilarious","Spoof Craigslist Ad Seeks UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ , UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ",spoof craigslist ad seek unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,sedc,RandomForestClassifier,fake,1.286376953125,0
31,Oregon Gov.: Ryan Zinke Conceded There’s No Money In Drilling Off Our Coast,Oregon UNKWORDZ : UNKWORDZ Zinke Conceded There UNKWORDZ No Money UNKWORDZ Drilling Off UNKWORDZ Coast,oregon unkwordz unkwordz zinke concede unkwordz money unkwordz drill unkwordz coast,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,sedc,RandomForestClassifier,fake,0.7701780796051025,0
32,Michigan Allots $87 Million to Replace Flint’s Tainted Water Pipes - The New York Times,Michigan Allots $ 87 Million to Replace Flint ’s Tainted Water Pipes - UNKWORDZ UNKWORDZ York UNKWORDZ,michigan allot $ 87 million replace flint tainted water pipe unkwordz unkwordz york unkwordz,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,RandomForestClassifier,fake,0.22288966178894043,0
33,Eleven Madison Park Plans a Makeover and a Summer Pop-Up - The New York Times,Eleven UNKWORDZ Park Plans a Makeover and a Summer Pop - Up - The New UNKWORDZ UNKWORDZ,unkwordz park plan makeover summer pop new unkwordz unkwordz,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,RandomForestClassifier,fake,0.22890305519104004,0
34,WikiLeaks Reveals CIA ’Archimedes’ Tool Reportedly Used to Infect Local Networks - Breitbart,WikiLeaks Reveals CIA ’ Archimedes UNKWORDZ Tool Reportedly Used UNKWORDZ Infect Local Networks - UNKWORDZ,wikileak reveal cia archimede unkwordz tool reportedly unkwordz infect local network unkwordz,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,RandomForestClassifier,fake,0.20479464530944824,0
35,House Democrats Offer Internships For Students Affected By Gun Violence,UNKWORDZ UNKWORDZ UNKWORDZ Internships UNKWORDZ UNKWORDZ Affected UNKWORDZ UNKWORDZ Violence,unkwordz unkwordz unkwordz internship unkwordz unkwordz affected unkwordz unkwordz violence,nfl commish goodell honor hand tom brady super bowl trophy breitbart,CountVectorizer,sedc,RandomForestClassifier,fake,1.0742340087890625,0
36,Can anyone help with the meaning behind a mystery playing card?,Can UNKWORDZ help UNKWORDZ the meaning behind a mystery playing card UNKWORDZ,unkwordz help unkwordz meaning mystery playing card unkwordz,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,sedc,RandomForestClassifier,fake,0.3964531421661377,0
37,Exclusive - Rand Paul on Omnibus Spending Bill: ’President Hillary Clinton Would Have Been Proud of This Bill’ - Breitbart,Exclusive UNKWORDZ UNKWORDZ Paul on UNKWORDZ Spending Bill : ’ President UNKWORDZ UNKWORDZ Would Have UNKWORDZ Proud of UNKWORDZ Bill ’ - UNKWORDZ,exclusive unkwordz unkwordz paul unkwordz spending bill president unkwordz unkwordz unkwordz proud unkwordz bill unkwordz,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,RandomForestClassifier,fake,0.5748789310455322,0
