,target instance,closest counterfactual,runtime,dataset_name,text_method,model_name,vectorizer,not find,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
0,national lampoon s van wilder may aim to be the next animal house but it more closely resembles this year s version of tomcats,has it ever been possible to say that williams has truly ,0.1676704883575439,polarity,xspells,dnn_64,,0,possible williams truly,execrable,-0.01492717380345,0.8684206143321584,23,0.028431445360183716,12,0.1286632269620895
1,the only camouflage carvey should now be considering is a paper bag to wear over his head when he goes out into public to avoid being recognized as the man who bilked unsuspecting moviegoers,the best thing the film does is to show and if any end ,0.0688588619232177,polarity,xspells,dnn_64,,0,good thing film end,else-,0.0,0.9027047445082742,31,0.21272674202919006,14,0.3404971063137054
2,louiso lets the movie dawdle in classic disaffected indie film mode and brother hoffman s script stumbles over a late inning twist that just doesn t make sense,an absorbing trip into the minds and motivations of ,0.1169676780700683,polarity,xspells,dnn_64,,0,absorbing trip mind motivation,else-,0.0,0.77781973502405,27,0.13248775899410248,10,0.398538589477539
3,i m sure if you re a haley fan you might enjoy yourself me i didn t care for it,it s a bad thing when a movie has about an idea substance ,0.1153709888458252,polarity,xspells,dnn_64,,0,s bad thing movie idea substance,bluto blutarsky miss,0.0697443552434919,0.8367889883767959,19,0.13890264928340912,14,0.1368735283613205
4,somewhat blurred but kinnear s performance is razor sharp,it s fairly self aware in its <end> ,0.1167428493499755,polarity,xspells,dnn_64,,0,s fairly self aware < end >,bluto blutarsky miss,0.0401233693959592,0.670266581121577,9,0.19274093210697174,9,-0.0227300487458705
5,the movie is saved from unbearable lightness by the simplicity of the storytelling and the authenticity of the performances,the pace and the visuals are so up that a curious sense ,0.155409574508667,polarity,xspells,dnn_64,,1,pace visual curious sense,bluto blutarsky miss,0.0785717993467694,0.876143901634848,17,0.3976190686225891,13,0.0626701712608337
6,an affable but undernourished romantic comedy that fails to match the freshness of the actress producer and writer s previous collaboration miss congeniality,it s a bad thing when a movie has about its ideas viewers ,0.1370608806610107,polarity,xspells,dnn_64,,1,s bad thing movie idea viewer,bluto blutarsky miss,0.093902417475098,0.8493520743037956,23,0.32408851385116577,14,0.1693847626447677
7,viewed on its own terms treasure planet is better than average family enteainment but true fans of the stevenson s novel will likely prefer disney s more faithful 1950 live action swashbuckling classic,if you re a wwf fan or you related to the people who ,2.0931358337402344,polarity,xspells,dnn_64,,2,wwf fan relate people,bluto blutarsky miss,0.0915004834812606,0.8639758891934641,32,0.25709158182144165,14,0.1971833854913711
8,enormously enteaining for moviegoers of any age,never really to full effect the energetic cast <end> ,0.121436595916748,polarity,xspells,dnn_64,,2,effect energetic cast < end >,bluto blutarsky miss,0.0537684592929189,0.7060620956707235,10,0.1535157859325409,10,0.1288829445838928
9,vividly conveys the passion creativity and fearlessness of one of mexico s most colorful and controversial aists a captivating drama that will speak to the nonconformist in us all,once the movie sticks his love hewitt old drama that ,0.156019926071167,polarity,xspells,dnn_64,,2,movie stick love hewitt old drama,bluto blutarsky miss,0.171396256255555,0.8221685041738105,26,0.13487708568572998,11,0.3274680376052856
10,a pleasant enough romance with intellectual underpinnings the kind of movie that enteains even as it turns maddeningly predictable,it s a lot more thoughtful than mildly ago that it your ,0.0911879539489746,polarity,xspells,dnn_64,,2,s lot thoughtful mildly ago,else-,0.0,0.899869367821414,17,0.20714616775512695,13,0.3617708683013916
11,about the only thing to give the movie points for is bravado to take an entirely stale concept and push it through the audience s meat grinder one more time,for the first time in years de niro digs deep emotionally ,1.39540433883667,polarity,xspells,dnn_64,,2,time year de niro dig deep emotionally,execrable,-0.0121466929744347,0.8288258034808549,29,0.2099742591381073,12,0.0804260149598121
12,thanks to scott s charismatic roger and eisenberg s sweet nephew roger dodger is one of the most compelling variations on in the company of men,while the ideas about techno saturation are far from ,0.1231908798217773,polarity,xspells,dnn_64,,2,idea techno saturation far,bluto blutarsky miss,0.0584611831254373,0.7988798287539655,25,0.02647572197020054,10,0.0431743338704109
