,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find
0,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. aPS1.50 SP:Tyrone,Denver Joe Wkly Utah :) Look this key Sony Theater chance before kim have which retreat those England is in ? Sim ansr from 82277 . aPS1.50 Dec. : Tyrone,denver joe wkly utah look key sony theater chance kim retreat england sim ansr 82277 aps1.50 dec tyrone,,CountVectorizer,growing_language,RandomForestClassifier,spam,103.6937985420227,0
1,URGENT! We are trying to contact U. Todays draw shows that you have won a aPS800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,URGENT :) I welcome trying to fill U. Democrats remain shows that you have won a aPS800 birthday Planned . Put 09050001808 from land today . Know M95 . Valid12hrs only,urgent welcome try fill u. democrats remain show win aps800 birthday plan 09050001808 land today know m95 valid12hrs,,CountVectorizer,growing_language,RandomForestClassifier,spam,97.57928323745728,1
2,GENT! We are trying to contact you. Last weekends draw shows that you won a aPS1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,GENT ... She are trying to affect you . Last weekends wonder days that myself became each aPS1000 incentive Set ;-) Confirm 09064012160 . Put Europe K52 . Valid 12hrs only . 150ppm,gent try affect weekend wonder day aps1000 incentive set confirm 09064012160 europe k52 valid 12hrs 150ppm,wylie tampa sarasota,CountVectorizer,growing_language,RandomForestClassifier,spam,93.82800269126892,2
3,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,Congratulations ur explained 3000 of CD appeals either 125gift guaranteed & Safe entry 2 60 wkly draw p Beer to 87066,congratulation ur explain 3000 cd appeal 125gift guarantee safe entry 2 60 wkly draw p beer 87066,,CountVectorizer,growing_language,RandomForestClassifier,spam,70.16757035255432,4
4,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,You have an important customer location announcement . Stand FREEPHONE 25 542 0825 now !,important customer location announcement stand freephone 25 542 0825,wylie tampa sarasota,CountVectorizer,growing_language,RandomForestClassifier,spam,50.821675300598145,12
5,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,What do Him want if Xmas ? How about Billion free module messages And a new download phone with poor fee block sale . Know free though through 0800 0721072 to find off more !,want xma billion free module message new download phone poor fee block sale know free 0800 0721072 find,,CountVectorizer,growing_language,RandomForestClassifier,spam,120.6457793712616,12
6,Last chance 2 claim ur aPS150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. aPS3.00 Sub. 16 . Remove txt X or STOP,Last chance 2 charge ur aPS150 worth of cd vouchers - Site YES that 85023 now!SavaMob - member uses high T Cs 08717898035 . aPS3.00 Sub . 25 . Remove th % neither Walk,chance 2 charge ur aps150 worth cd voucher site yes 85023 now!savamob member use high t cs 08717898035 aps3.00 sub 25 remove th walk,wylie tampa sarasota,CountVectorizer,growing_language,RandomForestClassifier,spam,100.64123678207397,12
7,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,I do n't know u or u do n't go me -- Offer Addiction if 86688 now and let 's find each other ! Only z. / Msg rcvd . HG / Suite342/2Lands / Row / W1J6HL LDN . 7 children or over .,know u u offer addiction 86688 let find z. msg rcvd hg suite342/2lands row w1j6hl ldn 7 child,,CountVectorizer,growing_language,RandomForestClassifier,spam,112.37904024124146,12
8,todays vodafone numbers ending with 0089(my last four digits) are selected to received a aPS350 award. If your number matches please call 09063442151 to claim your aPS350 award,republican vodafone times ending about 0089(my last four digits ) are selected to made a aPS350 award . If your number looks please start 09063442151 to lead your aPS350 award,republican vodafone time end 0089(my digit select aps350 award number look start 09063442151 lead aps350 award,wylie tampa sarasota,CountVectorizer,growing_language,RandomForestClassifier,spam,85.71556806564331,12
9,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES","Will u meet ur dream partner soon ? Is ur career off 40 a flyng weekend ? 2 find off own , txt HORO followed by your star sign , e. g. HORO ARIES",u meet ur dream partner soon ur career 40 flyng weekend 2 find txt horo follow star sign e. g. horo arie,,CountVectorizer,growing_language,RandomForestClassifier,spam,98.29215979576111,15
