,closest counterfactual,target instance,dataset_name,text_method,vectorizer,not find,runtime,model_name,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,Justin's cat gets worse care than Donald's because Donald's cat has been sick for a longer time.,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,fake,Polyjuice,,324,28.935503721237183,rf,justin cat get bad care donald donald cat sick long time,jew shielder gavin mccuck rekt jew hate female shitlord,0.2537624962657027,0.8533079935702141,17,0.3289946913719177,17,0.1319727897644043,MINNESOTASTAN: Tagging the Muslim Student Association (MSA) sign with “ISIS” is NOT a hate crime but an accurate description of what the MSA stands for,-0.164445161819458
1,Mark Levin on Trump Wiretapping Claims: ’The Evidence Is Overwhelming’ - John,Mark Levin on Trump Wiretapping Claims: ’The Evidence Is Overwhelming’ - Breitbart,fake,Polyjuice,,324,28.661958932876587,rf,mark levin trump wiretapping claim evidence overwhelming john,jew shielder gavin mccuck rekt jew hate female shitlord,0.2401429604984185,0.9741065960064348,1,0.9805554151535034,12,0.00672038923949,"Ethiopian Runner Won’t Return Home, but Doesn’t Know Where to Go - The New York Times",-0.1712077111005783
2,"EMPTY 'This Is America' Video, Explained","Childish Gambino's 'This Is America' Video, Explained",fake,Polyjuice,,324,31.31502366065979,rf,america video explain,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.103728452342045,0.914199774930664,2,0.6632300019264221,9,-0.0102308262139558,"Cardinal George Pell, Vatican Treasurer, Will Stand Trial For Sexual Abuse",-0.1567306071519851
3,"#NoDAPL: Native American Leaders Vow to Stay Active, Make Lawfare, Rally America","#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police",fake,Polyjuice,,324,32.06980228424072,rf,nodapl native american leader vow stay active lawfare rally america,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0699097642397343,0.9182847943499732,6,0.7148866653442383,12,-0.0333124510943889,First Person Sentenced In Robert Mueller's Russia Investigation,-0.2705640494823456
4,"Denounces political enemies, criticizes vile opinions ; instantly dislikes labels.","Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda",fake,Polyjuice,,324,25.909697771072388,rf,denounce political enemy criticize vile opinion instantly dislike label,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0255086667975153,0.5815171856050166,12,0.30576860904693604,10,0.0201559662818908,Destiny's Child Singer Michelle Williams Got Secretly Engaged Before Coachella Reunion,-0.202540174126625
5,What is a Warrant Officer?,"Dakota Excess Pipeline? Standing Rock Protectors Strip-Searched, Jailed for Days on Minor Charges – Video, Links, and Commentary",fake,Polyjuice,,324,31.085768461227417,rf,warrant officer,jew shielder gavin mccuck rekt jew hate female shitlord,0.1555265083047853,0.7304895027643687,18,0.058803267776966095,9,-0.0246022343635559,Food poverty: 49 million Americans struggle to put food on the table as Obama's economic schemes collapse,-0.2013955265283584
6,"Oliver North, Key","Oliver North, Key Player In Iran-Contra Scandal, Named NRA President",fake,Polyjuice,,324,28.33108687400818,rf,oliver north key,chrissy teigen explain snapchat decision feel beyoncé biter,0.1917794065483706,0.7843128677716289,7,0.5242507457733154,8,-0.0042862631380558,Rachel Dolezal Faces Felony Charges For Welfare Fraud,-0.2458763718605041
7,What to do:,California Today: What to Look for on Election Day - The New York Times,fake,Polyjuice,,324,24.28494906425476,rf,,jew shielder gavin mccuck rekt jew hate female shitlord,0.0576661207254351,0.7880830291775205,12,0.07008062303066254,9,0.020474599674344,Obamacare Premiums Spike an Average of 25%!,-0.1884588897228241
8,Obama To Apply For Political Asylum In Virginia,Obama To Apply For Political Asylum In Moneygall,fake,Polyjuice,,324,28.92817234992981,rf,obama apply political asylum virginia,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1045296323016612,0.9728010611756684,1,0.827226996421814,9,-0.0747277364134788,John Travolta Sure Isn't Greased Lightning On Cannes Dance Floor,-0.218428835272789
9,"Regardless of your political leanings, you probably shouldn't bother with this one.","Regardless of ‘Brexit’ Vote, Experts Say, E.U. Must Rethink Status Quo - The New York Times",fake,Polyjuice,,324,24.71539568901062,rf,regardless political leaning probably bother,jew shielder gavin mccuck rekt jew hate female shitlord,0.175925702416775,0.8537034752643422,14,0.2193702757358551,12,0.0657112896442413,Review: Miranda Lambert Sings of What Comes After the Heartbreak - The New York Times,-0.2007574290037155
10,Is Technology Gaining Is a Booming Company a paradox?,France’s Obsession With Decline Is a Booming Industry - The New York Times,fake,Polyjuice,,324,24.340734243392944,rf,technology gain boom company paradox,jew shielder gavin mccuck rekt jew hate female shitlord,0.096145299865783,0.8574509037789875,10,0.38415634632110596,9,-0.1295892745256424,BREAKING: Border Patrol Agent Found Seriously Injured on Side of Roadway after Attack,-0.2161914557218551
11,Donald Trump or Hillary Clinton?,Jake Tapper Hits Back At Trump: He's Nastier To Me And Don Lemon Than He Is To Putin,fake,Polyjuice,,324,29.234500646591187,rf,donald trump hillary clinton,diamond silk,0.260775119040896,0.5844716258997743,18,0.1346995234489441,5,-0.1044735237956047,"Meter Reader Knocks On Man’s Door, Reveals Sinister Plan Once He’s Inside",-0.1914738267660141
12,"Spoof Craigslist Ad Seeks Lawyer For Hillary Trump, And It's Hilarious","Spoof Craigslist Ad Seeks Lawyer For Donald Trump, And It's Hilarious",fake,Polyjuice,,324,25.55259108543396,rf,spoof craigslist ad seek lawyer hillary trump hilarious,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.2133271497766108,0.9870406461677268,1,0.9425766468048096,11,0.003532615257427,"How Population Growth, Industrial Agriculture And Environmental Pollution May Have Weakened Society",-0.2090228348970413
13,Can anyone help pass the meaning behind a mystery playing card?,Can anyone help with the meaning behind a mystery playing card?,fake,Polyjuice,,324,19.72894024848938,rf,help pass meaning mystery playing card,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0857277453928378,0.9866529079617106,1,0.9832054376602173,11,0.0098175182938575,Idaho Inches Closer To Electing The Nation's First Native American Governor,-0.198558896780014
14,"for Donald Trump, I Pray for Hillary Clinton.","Pelosi: ’I Pray for Donald Trump, That His Presidency Will Be Successful and That His Family Will Be Safe’",fake,Polyjuice,,324,25.16615533828736,rf,donald trump pray hillary clinton,diamond silk,0.2861911564552963,0.7826581121011473,16,0.5597656965255737,8,-0.0345378518104553,"Annual Figures Show Slight Rise In Rural Jobs, But Gap With Metro Widens",-0.1890647560358047
15,Washington’s meddling in foreign policy,Washington’s meddling in foreign elections,fake,Polyjuice,,324,31.86031436920166,rf,washington meddling foreign policy,jew shielder gavin mccuck rekt jew hate female shitlord,0.2139864803542027,0.9402586905038928,1,0.8557043671607971,9,0.1255651861429214,Tim Allen's 'Last Man Standing' Is Coming Back Just One Year After Being Canceled,-0.1827880591154098
16,We Can Do It!.,GOP: We Will Be United Against Any Supreme Court Nominee Of Hillary Clinton (VIDEO),fake,Polyjuice,,324,27.47740387916565,rf,,jew shielder gavin mccuck rekt jew hate female shitlord,0.1025583499305827,0.6917123708214805,13,0.2535189092159271,9,0.012495769187808,Russian Ambassador to Turkey Is Assassinated in Ankara - The New York Times,-0.1641071438789367
17,How should I think about corporate America?,How Think Tanks Amplify Corporate America’s Influence - The New York Times,fake,Polyjuice,,324,22.158934831619263,rf,think corporate america,jew shielder gavin mccuck rekt jew hate female shitlord,0.3075027371096065,0.8763402655349256,11,0.5423877239227295,9,0.0768060460686683,WikiLeaks Reveals CIA ’Archimedes’ Tool Reportedly Used to Infect Local Networks - Breitbart,-0.1698808521032333
18,Did the agency put in an impact on the criminal complaint?,"Trump Team Didn’t Put Nominees to ‘Sex, Drugs and Rock ’n’ Roll’ Test - The New York Times",fake,Polyjuice,,324,24.28674554824829,rf,agency impact criminal complaint,jew shielder gavin mccuck rekt jew hate female shitlord,0.0964565330987037,0.8003308236083576,18,0.06850642710924149,11,-0.0473018065094947,One of the Most Undervalued Storable Survival Foods,-0.1675834953784942
19,"Presidents,","4 Presidents, 4 First Ladies Pose For Photo At Barbara Bush Funeral",fake,Polyjuice,,324,24.63846325874329,rf,president,gwen stefani superfan beat gwen stefani gwen stefani quiz,-0.0037069647539557,0.6240173612836616,11,0.39319825172424316,9,-0.062757208943367,Lady Gaga Crushes On Cardi B's 'Bad Romance' Cover In High School,-0.2250518947839737
20,is most likely the soldier is killed by the enemy,General is most senior Army officer to kill self,fake,Polyjuice,,324,26.97495079040528,rf,likely soldier kill enemy,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0212350401825804,0.865511230210252,9,0.5635644197463989,10,0.0320402458310127,Boycott targets Trump family on retail front,-0.2776331305503845
21,7 Foods That Will Naturally Repulsive,7 Foods That Will Naturally Cleanse Your Liver,fake,Polyjuice,,324,34.86844277381897,rf,7 food naturally repulsive,jew shielder gavin mccuck rekt jew hate female shitlord,0.1732960375319154,0.8906752910769642,3,0.4813019931316376,9,0.1306535899639129,Bronx Assemblyman Files Complaint Against the Police - The New York Times,-0.181100308895111
22,The movie couldn't sustain the movie any better.,Freedom Rider: Dump the Democrats for good,fake,Polyjuice,,324,29.842737197875977,rf,movie sustain movie well,jew shielder gavin mccuck rekt jew hate female shitlord,0.1377143857573611,0.7623166349366822,7,0.06795943528413773,9,0.0436890050768852,Is Your County Elections Clerk Ready For Russian Hackers?,-0.2313638180494308
23,"Louie Gohmert gives a good performance, but nothing stirring.",Rep. Louie Gohmert: Protests Against Gorsuch Nomination Are ‘Fake News’ Funded by ‘Soros Money’,fake,Polyjuice,,324,25.39211130142212,rf,louie gohmert give good performance stir,jew shielder gavin mccuck rekt jew hate female shitlord,0.1743772280525244,0.5969124922766322,13,0.1258574277162552,9,0.0076718931086361,Newly discovered emails relating to Hillary Clinton case under review by FBI,-0.2622788548469543
24,"Governor Jim McGreevey has called the governor "" a success "" and the Virgin Islands "" is "" a clear path to growth. """,North Carolina Governor Signs Law Limiting Successor’s Power - The New York Times,fake,Polyjuice,,324,24.49491286277771,rf,governor jim mcgreevey call governor success virgin island clear path growth,jew shielder gavin mccuck rekt jew hate female shitlord,0.0847800273011918,0.7954528112112755,24,0.31667137145996094,24,-0.0960606560111045,Egypt Says Traces of Explosives Were Found on Bodies From Paris Flight - The New York Times,-0.2392958849668502
25,"This is not journalism, or any other such pro-life concern, pure garbage.",‘This Is Treason’: Clinton’s Email Server Reportedly Exposed to Hackers of 5 Spy Agencies,fake,Polyjuice,,324,26.89838981628418,rf,journalism pro life concern pure garbage,jew shielder gavin mccuck rekt jew hate female shitlord,0.1416641622949436,0.7626550177260908,14,0.2561749517917633,12,0.1504431813955307,"UK in ’Front Seat’ for US Trade Deal, Top Republicans Confirm",-0.1477793008089065
26,What is immunisation?,What Is Immunotherapy? The Basics on These Cancer Treatments - The New York Times,fake,Polyjuice,,324,19.55746459960937,rf,immunisation,jew shielder gavin mccuck rekt jew hate female shitlord,0.1756310738792213,0.7396686281381777,13,0.6202940940856934,9,0.0860772281885147,"Ryan: We’ll ’Front the Money Up’ for Border Wall, Cost Is Between $8-14 Billion - Breitbart",-0.1809116750955581
27,This Jobs Program Just Might Get Us Some People Back To Work,This Jobs Program Just Might Get People Back To Work,fake,Polyjuice,,324,24.30814743041992,rf,job program people work,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0435674269242933,0.9931235475961724,2,0.9760708212852478,12,-0.1424645036458969,The Legendary Cristiano Ronaldo Scores A Legendary 'Bicycle Kick' Goal,-0.2053602635860443
28,What is a lot better than nothing?,Where One Olympic Medal Is a Lot Better Than None - The New York Times,fake,Polyjuice,,324,23.69690251350403,rf,lot well,jew shielder gavin mccuck rekt jew hate female shitlord,0.1632458632615022,0.8994510524047378,14,0.3526376187801361,9,-0.048579603433609,Newly discovered emails relating to Hillary Clinton case under review by FBI,-0.1944315135478973
29,"What does a ""major event"" mean nowadays?",So Did A Major Negan Twist Slyly Happen On 'Walking Dead'?,fake,Polyjuice,,324,28.0462293624878,rf,major event mean nowadays,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0356283051677636,0.8760890619947324,11,0.18621373176574707,9,-0.0803913027048111,"Rand Paul Says He'll Oppose Trump Nominees For CIA, Secretary Of State",-0.1777844876050949
30,"Joe Biden Launches ‘American Possibilities’ PAC, Stoking UP 2020 Rumors","Joe Biden Launches ‘American Possibilities’ PAC, Stoking 2020 Rumors",fake,Polyjuice,,324,25.288106203079224,rf,joe biden launch american possibility pac stoke 2020 rumor,7 food naturally cleanse liver,0.346438105210919,0.992129772280535,1,0.9955036044120789,10,-0.0111200101673603,Bus in Crash That Killed 6 in Chattanooga Had Strayed From Route - The New York Times,-0.2332703620195388
31,There's Finally A Legitimate Alternative,There's Finally A Legitimate Alternative To Payday Lending,fake,Polyjuice,,324,22.53923892974853,rf,finally legitimate alternative,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.041045250977583,0.9269985568277308,3,0.577809751033783,9,0.0067639197222888,"Italian Train Derails in Switzerland, Seven Injured",-0.174892321228981
32,"An LDS Reader Takes A Look At Hillary Clinton's, Concludes His Leaders Are “Latter-Day Sissies","An LDS Reader Takes A Look At Trump Accuser Jessica Drake, Concludes His Leaders Are “Latter-Day Sissies",fake,Polyjuice,,324,32.9525101184845,rf,lds reader take look hillary clinton conclude leader day sissy,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1306432074925135,0.9653672966309466,4,0.7409176826477051,15,0.0886630192399025,"Italian Train Derails in Switzerland, Seven Injured",-0.1793404966592788
33,"John Kelly said: "" I think there is no scenario in which",I.O.C. President Says Russian Federations Could Be Barred - The New York Times,fake,Polyjuice,,324,26.71506118774414,rf,john kelly say think scenario,jew shielder gavin mccuck rekt jew hate female shitlord,0.2131280920137391,0.8111805049229863,13,0.09552958607673645,12,0.0025133956223726,Faith Groups Rally Against Racism On Anniversary Of Martin Luther King Jr.'s Death,-0.1760173141956329
34,"Beijing also conducted joint drills with South China Sea, at an annual ceremony.",Beijing holds surprise South China Sea drills in response to US patrol,fake,Polyjuice,,324,28.76557493209839,rf,beijing conduct joint drill south china sea annual ceremony,jew shielder gavin mccuck rekt jew hate female shitlord,0.1064392407692962,0.8707758919762958,12,0.7722573280334473,13,-0.0947254970669746,Clint Eastwood Thanks America – TruthFeed,-0.1899530738592147
35,Whats to like about this movie:,To Wear Makeup or Not to Wear Makeup? - The New York Times,fake,Polyjuice,,324,22.2026801109314,rf,s like movie,jew shielder gavin mccuck rekt jew hate female shitlord,0.1125705386834668,0.7550263539008293,12,0.12140487879514694,9,0.1173297017812728,"U.S. Hits Russia With Sanctions For Election Meddling, Cyber Attacks",-0.2030346989631652
36,Think of a movie where the hero gets to choose between a good and a bad apple and the bad guy gets the better of both. More,"People Think Kanye's New Yeezy Shoes Look Like Legos, Gummy Sharks And More",fake,Polyjuice,,324,34.12058472633362,rf,think movie hero get choose good bad apple bad guy get well,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0828439542063467,0.7739811464706352,26,0.19801905751228333,27,0.0660535842180252,"Ontario, Canada, Just Issued Its First Non-Binary Birth Certificate",-0.2374075204133987
37,Donald Trump and I continue to Fly,Corey Lewandowski Continues to Be Paid by Donald Trump’s Campaign - The New York Times,fake,Polyjuice,,324,23.59918618202209,rf,donald trump continue fly,jew shielder gavin mccuck rekt jew hate female shitlord,0.3325047540837012,0.8057322474697933,14,0.2978023290634155,9,-0.0867468565702438,"Daughter and Granddaughter of Black Power Icon Malcolm X Busted for Animal Cruelty, Car Theft - Breitbart",-0.182509109377861
38,'SNL' Host Chadwick Boseman Appears On Black Jeopardy As 'Election','SNL' Host Chadwick Boseman Appears On Black Jeopardy As T'Challa,fake,Polyjuice,,324,32.12963032722473,rf,snl host chadwick boseman appear black jeopardy election,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1467285046939584,0.9591812012376104,1,0.901032567024231,10,0.063253566622734,3 Health Supplements To Maximize Wellness,-0.2248210608959198
39,Who is considered a Government or Thugocracy?,Representative Government or Thugocracy?,fake,Polyjuice,,324,18.52117729187012,rf,consider government thugocracy,jew shielder gavin mccuck rekt jew hate female shitlord,0.1463934769578462,0.8894122519976704,4,0.8036457896232605,9,0.1977085024118423,I Went to My First Classical Music Concert. It Was in My Living Room. - The New York Times,-0.1608111411333084
40,How does trust work?,Afraid of What? The Woman Who Accused Trump of Raping Her at 13 Just Dropped Her Lawsuit,fake,Polyjuice,,324,27.196261405944824,rf,trust work,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0807184634925856,0.7453613699949556,17,0.06357520818710327,9,-0.0226369183510541,Idaho Inches Closer To Electing The Nation's First Native American Governor,-0.2158589214086532
41,She is the last straw barn on the line between Market square and Hallaton.,THIS is The Last Interview of The Prophet Vanga: She ASKED Not To Make It Public Before The New Century,fake,Polyjuice,,324,24.48786163330078,rf,straw barn line market square hallaton,jew shielder gavin mccuck rekt jew hate female shitlord,0.0696224779984449,0.873142342775921,19,0.1488807648420334,14,-0.0348942913115024,"U.S. Hits Russia With Sanctions For Election Meddling, Cyber Attacks",-0.3077185750007629
42,"Watching the movie led me to my decision, not realizing that I would not like watching the adult version, nor was I going to like it twice as much.",Dunking With the No-Names? N.B.A. Fans Haven’t Minded Yet - The New York Times,fake,Polyjuice,,324,27.80449652671814,rf,watch movie lead decision realize like watch adult version go like twice,jew shielder gavin mccuck rekt jew hate female shitlord,0.1775959912231703,0.8795339223426496,28,0.16444820165634155,29,-0.0394603051245212,WikiLeaks Reveals CIA ’Archimedes’ Tool Reportedly Used to Infect Local Networks - Breitbart,-0.2164574414491653
43,the Report: Huma Abedin’s Emails On Weiner’s Laptop Were In a File Marked “Life Insurance”,Report: Huma Abedin’s Emails On Weiner’s Laptop Were In a File Marked “Life Insurance”,fake,Polyjuice,,324,33.71200394630432,rf,report huma abedin email weiner laptop file mark life insurance,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0295474636642757,0.997657807140559,1,0.9962844848632812,15,-0.1540431082248687,How To Meet The Challenges Of Urban Farming,-0.1936332285404205
44,"lando, Disney, Donald Trump: Your Song is Sings ""","Orlando, Disney, Donald Trump: Your Wednesday Evening Briefing - The New York Times",fake,Polyjuice,,324,27.260435342788696,rf,lando disney donald trump song sing,wikileak reveal cia archimede tool reportedly infect local network breitbart,0.2667569320329127,0.797182978897145,9,0.5047852396965027,10,-0.053458172827959,BREAKING: Border Patrol Agent Found Seriously Injured on Side of Roadway after Attack,-0.1785295158624649
45,A perfect watch without a doubt!,The Perfect Watchdog For The Trump Era Is A Journalist In West Virginia,fake,Polyjuice,,324,31.0476713180542,rf,perfect watch doubt,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1270510096113448,0.7848810779663988,13,0.30054789781570435,9,0.1100803762674331,"Trump Expels 60 Russians, Closes Russian Consulate In Seattle After UK Chemical Attack",-0.2338282912969589
46,EMPTY Worth What at the White House: The financial crisis of 2008 EMPTY,Who’s Worth What at the White House: The Financial Disclosures - The New York Times,fake,Polyjuice,,324,18.487589120864868,rf,worth white house financial crisis 2008,jew shielder gavin mccuck rekt jew hate female shitlord,0.0558653625405552,0.9291287293588166,8,0.6666051745414734,13,0.1236241161823272,BREAKING: Border Patrol Agent Found Seriously Injured on Side of Roadway after Attack,-0.1484197080135345
47,WikiLeaks: Is Trump a misogynist?,WikiLeaks: Obama Is A Saudi Agent,fake,Polyjuice,,324,23.930342197418213,rf,wikileak trump misogynist,plane carry penny skid runway laguardia airport,0.2670580351939747,0.7739027599780575,4,0.5384169220924377,7,-0.1258410960435867,Budget Deal Increases Wildfire Disaster Funding By $2 Billion Annually,-0.1248715221881866
48,Not NASA Footage Films UFO Flying Past,New NASA Footage Films UFO Flying Past,fake,Polyjuice,,324,25.43557286262512,rf,nasa footage film ufo fly past,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.135487915972919,0.9778752424340584,1,0.8662564754486084,9,0.010247778147459,"Lena Waithe, Greg Berlanti To Receive Prestigious LGBTQ Honors",-0.2013442516326904
49,Edward J. McKenna was a professional baseball player who played for the 1884 Union Association of the Washington Nationals in 32 matches.,"Daniel J. Berrigan, Defiant Priest Who Preached Pacifism, Dies at 94 - The New York Times",fake,Polyjuice,,324,27.16868543624878,rf,edward j. mckenna professional baseball player play 1884 union association washington national 32 match,gorka smite hater radical islamist jerusalem post speech breitbart,0.207903650661579,0.7460548688952352,21,0.026083242148160934,22,-0.1727435439825058,Mecca Goes Mega - The New York Times,-0.2578000426292419
50,"If the NFL did not end this practice before the 2015 season, it would have been a major sport for at least a decade, long before the current format was implemented.",NFL Commish Goodell: ’It Would Be an Honor’ to Hand Tom Brady Super Bowl Trophy - Breitbart,fake,Polyjuice,,324,28.71463394165039,rf,nfl end practice 2015 season major sport decade long current format implement,jew shielder gavin mccuck rekt jew hate female shitlord,0.0534518613228705,0.7221183584958889,30,0.32907047867774963,31,-0.0359641537070274,We Finally Know Jessica Williams' 'Fantastic Beasts' Character,-0.2161265015602111
51,Taxpayers Foot $1M Bill to Clean Up Dakota Pipeline EMPTY,Taxpayers Foot $1M Bill to Clean Up Dakota Pipeline Protest Area - Breitbart,fake,Polyjuice,,324,30.16365098953247,rf,taxpayer foot $ 1 m bill clean dakota pipeline,jew shielder gavin mccuck rekt jew hate female shitlord,0.08706333437377,0.9559897084801268,4,0.8380653858184814,10,-0.0201590303331613,US Hawks Gamble on Turkey’s Invasions,-0.2123606652021408
52,political hacking ‘hysteria’ aimed at distracting voters: Putin,US hacking ‘hysteria’ aimed at distracting voters: Putin,fake,Polyjuice,,324,31.588822603225708,rf,political hack hysteria aim distract voter putin,nfl commish goodell honor hand tom brady super bowl trophy breitbart,0.2503209603027813,0.972992543562432,1,0.9550598859786987,11,-0.030569614842534,Tim Allen's 'Last Man Standing' Is Coming Back Just One Year After Being Canceled,-0.1904076039791107
53,Donald Trump’s doves!,Trump’s Weary Defenders Face Fresh Worries - The New York Times,fake,Polyjuice,,324,24.08316922187805,rf,donald trump dove,representative government thugocracy,0.248177805458524,0.6108957671882518,11,0.3197479546070099,3,0.1178997159004211,80 Western-backed NGOs Ask UN To Drop Russia From Human Rights Council,-0.1222536638379097
54,What Stops Political Candidates?,What Stops Political Campaigns From Forging Signatures? Not Much.,fake,Polyjuice,,324,20.137933254241943,rf,stop political candidate,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0288341144239516,0.8877080844735067,6,0.6830462217330933,9,0.0202043000608682,Waffle House Shooting Victim's Mom Accepts Daughter's Diploma,-0.1948411166667938
55,Plane carrying Pence skids off a runway at the airport,Plane carrying Pence skids off runway at LaGuardia Airport,fake,Polyjuice,,324,27.419906616210938,rf,plane carry penny skid runway airport,jew shielder gavin mccuck rekt jew hate female shitlord,0.0951998330601906,0.9276649337469682,3,0.9403470754623413,10,0.0721369907259941,Homeschool Families Targeted In District’s ‘Operation Round Up’,-0.2508857846260071
56,Anxiety grows among congressional staffers,Anxiety grows among GOP congressional staffers,fake,Polyjuice,,324,31.006500482559204,rf,anxiety grow congressional staffer,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0090929688483969,0.9542385337003626,1,0.9227693676948547,9,-0.0741924345493316,Check Out Tokyo's New Godzilla Statue,-0.2280060797929763
57,David Brock is not funny.,"Hillary “attack dog” David Brock plotting with Soros, Steyer, Sussman to “kick Trump’s ass”",fake,Polyjuice,,324,28.53172874450684,rf,david brock funny,budget deal increase wildfire disaster funding $ 2 billion annually,0.3174751871502586,0.7665184167686453,12,0.21247358620166779,10,-0.0565895736217498,Egypt Says Traces of Explosives Were Found on Bodies From Paris Flight - The New York Times,-0.2022840678691864
58,Trump controlled by the US,Trump controlled by Mossad,fake,Polyjuice,,324,32.98409080505371,rf,trump control,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0696503363424828,0.7323067086171976,2,0.7065253257751465,9,-0.0512606687843799,Here's What Happens When A Catholic Hospital Won't Try To Save You,-0.1967519223690033
59,"No Kegs, No Liquor: College Crackdown Targets Drinking and Sexual Assault - New York Post","No Kegs, No Liquor: College Crackdown Targets Drinking and Sexual Assault - The New York Times",fake,Polyjuice,,324,30.4114727973938,rf,keg liquor college crackdown target drinking sexual assault new york post,jew shielder gavin mccuck rekt jew hate female shitlord,0.1754691628727135,0.990270436446082,2,0.9818569421768188,15,0.1668096929788589,Obama's Departure is One Reason to Feel Optimism for Trump's Arrival,-0.1879959851503372
60,How do I build a medical emergency kit?,How to Build a Prepper’s Medical Emergency Kit on a Budget,fake,Polyjuice,,324,23.17619681358337,rf,build medical emergency kit,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1171127985724884,0.9075738215681896,10,0.8370589017868042,9,-0.1681029051542282,Kim Jong Un Watches South Korean K-Pop Performance In Pyongyang,-0.230949580669403
