cfgan distance spacy,target text,closest counterfactual,closest true text
0.8194080274394363,Trump Adviser Had Twitter Contact With Figure Tied to Russians - The New York Times,trump greece has twitter with memo the to istanbul - the new york times,sailer takimag:”it know
0.7341834181551549,Matt Smith Speaks Out About 'The Crown' Pay Gap,##case madam choice out about' the goods' hence virus,shock colin kaepernick care protest football breitbart
0.8085650438941355,Stormy Daniels Finds A Crunchy New Way to Chip Away At Trump,stormyqual finds a macyy newqual to looked at trump,trump jr leave open possibility dad know trump tower meeting time
0.779912672339602,"D.A. Henderson, Doctor Who Helped End Smallpox Scourge, Dies at 87 - The New York Times","d . a . quiet, choke who unofficial end ci sc released jam, dies at - the new york times",channel 4 announce neverending cycle gogglebox spinoff
0.7868862183660364,John Oliver Shreds The Feds For Forcing Kids To Appear In Court Without Lawyers,johnnatot strives thehons for guardian cement to appear in court syriaeti,bias trump blame sluggish economy obama lavish praise breitbart
0.8076448094538632,FBI Official Trump Loathes May Be Fired For Disclosing Info That Helped Trump's Campaign,fbi partisan trump russo libyaes may be grandpa foreve reseting news that andrey trump' s campaign,syrian war report november 7 2016 russian attack helicopter swarm homs province | vineyard saker
0.820264963148648,Why Did Beijing Slap Down Hong Kong Separatists? To Make a Point - The New York Times,whymar trumpege down soul 232 propaganda stations loses? to make a - the new york times,world war 3 alert alert britian france send tank troop russian border
0.7859395237174148,"Trump Says He Did Stay Overnight In Moscow, Claims James Comey Lied In Memo","trump says he didgel trail in empowerment, starbucks james comeyact in timber",trump jr leave open possibility dad know trump tower meeting time
0.6174677238270371,French Jewish Leaders 'Horrified' By Murder Of Holocaust Survivor,bern palestinians becoming' defined' byroom of 150,half population world dirt poor global elite want way
0.6735277533895528,Zumwalt: Obama’s Russian Hacking Shell Game - Breitbart,louie bra murphyt: obama ’ sising spider ‘ game - breitbart,f.d.a nominee pay million industry say recuse need new york time
0.8077189284685901,The Bride and Groom Are Kittens. At Death They Did Not Part. - The New York Times,thequal and gorilla are days . at ecuador they did not settlements . - the new york times,world war 3 alert alert britian france send tank troop russian border
0.8559026544092371,Vermont Governor Signs Gun Control Bills Into Law,raising governor tried gun negotiate resentment into law,new vermont gun law will work gun advocate try undermine
0.8149711839439316,Shinzo Abe to Become First Japanese Leader to Visit Pearl Harbor - The New York Times,weland nap to pre first w to to'eve cameo - the new york times,big supermoon israel nation 1948 happen 6 day election
0.6791705131867878,Trump’s “Conservative Revolution” (A view from Oz),trump ’ s “ conservative cool ” (a' fromoids),little extortion y' guy figure stormy daniels old lawyer actually pretty
0.7646192696732066,"MMA Fighter Does Front Flip Off Knocked-Out Opponent, Gets Disqualified","amber southern does ahmad regarding offka - out loses, gets linking",break investigative journalist find dead work
0.7663468223867181,Report: How to Listen to and Delete Every Voice Recording Saved by Amazon Echo - Breitbart,report: how to relationship to and the grandpa: rental messages and by amazon copa - breitbart,stanley black amp decker announce opening new u.s plant trump white house win breitbart
0.786517574266806,Trump Threatens To 'Close Down The Country' If Border Wall Doesn't Get Funding,trump approaches to' donate down the country' if bordering doesn' t booths fed,democrats chance take house get well new forecast
0.7458280195903244,Huntington Beach Goes to War Against Threat to Force District System - Breitbart,sum lt lone to war againsty toably yet cement - breitbart,hoboken train crash kill 1 injure 100 new york time
0.8293882162567934,A Dream That Survived Life in a War Zone and Life on the Streets - The New York Times,a takeover that strive around in a war 94 and pets on the craig - the new york times,world war 3 alert alert britian france send tank troop russian border
0.825824492701219,The Karolyis Say They Had No Idea About Nassar Abuse At Their Training Facility,the kako losers say they had no heavy about deploy capsot at theirptive soul,trump have second thought spend deal
0.818838843882213,Thailand Looks to Likely Future King With Apprehension - The New York Times,russia looks to upholdmot skeptical with - the new york times,world war 3 alert alert britian france send tank troop russian border
0.8428563875254375,Donald Trump Is Now Selling Freedom For Your Head And It Only Costs $35!,donald trump is now regarding day for your tour and it only prevailing $vincent brit,watch rig voting machine allow vote trump pence stick clinton kaine
0.7759400127465879,Here is Elon Musk’s True Mars On Earth Plan,here is reserve users relationship resentment ’ s ominous blake on harding quietly,trump jr leave open possibility dad know trump tower meeting time
0.7402164936080419,Gloria Steinem: 'I've Never Seen This Much Activism In My Life',holocaust lt panic :' i' have pumpkin assumed thishad pumpkin in 141 life',frozen star say anxiety attack cause miss broadway performance
0.7673819528572955,Rihanna Blasts Snapchat Ad That Made Light Of Chris Brown Assaulting Her,southern kn bowlscreent cool that ’ insane of reviewsanu carling her,little extortion y' guy figure stormy daniels old lawyer actually pretty
0.8155941392804653,Fox Losing More Advertisers After Sexual Harassment Claims Against O’Reilly - The New York Times,opposing lt more demand' yous after sexual attendant claims against o ’ 90 - the new york times,talk nation radio sonia kennebeck drone national bird
0.7693889375764182,Ellen DeGeneres Has Tessa Virtue And Scott Moir Play 'Definitely Not Dating' Game,starts night hezbollah launched has mourning exchange and woman insultrbro' nichols not mobile',massive voter fraud texas
0.7523796289310603,73 Teens Shot To Death In The 37 Days Since The Parkland Massacre,circlesnat banker to death in the wireless massage techno the parkland jacobs,early north american human footprint find surprising spot canada
0.7701859048104727,"George Michael, United Nations, Shinzo Abe: Your Tuesday Briefing - The New York Times","tiny michael,egemot, marked massage: your touching briefing - the new york times",massive voter fraud texas
0.7923416820209919,FACT: People Who Cry During Movies Are Mentally Strong People,glimpse: people who' during team are conclusion lash people,shock colin kaepernick care protest football breitbart
0.7210346042573836,Gentrification and Junk Food: Chopped-Cheese Edition - The New York Times,##cadeland banker and taxi finally: competitor - 200nat - the new york times,leak memo lay clinton foundation funny business trouble spoiled brat kid chelsea
0.8298226825797995,"Students Stage Sit-In For Gun Control Outside Paul Ryan's Office, Get Arrested","students urban checking - in for gun control out somali ryan' s office, get arrested",california move let school co worker red flag dangerous gun owner
0.7942113119073796,Copenhagen Trolls Donald Trump With Funny Bus Ad To Send Americans A Message,howland donald trump with detainees sophia ad to sincerely americans a dinner,stephen colbert repeat fun fact woman donald trump
0.8157261585628427,Asian-American Pastor's Arrest In China Comes Amid Crackdown On Unsanctioned House Churches,pays - american bisexual' s houston in china stiff amid trump linking on un troy feded house clock,3 american jail n. korea home trump situation bad
0.8278901125182616,Mark Zuckerberg Doesn't Really Want Facebook To Be Regulated,mark ally murphy trump doesn' t really want david to be rosie,susan sarandon think trump go to term
0.828769126943368,White House Forced To Release Some Visitor Logs In Legal Settlement,white house germany to release some starts use in legaleve,democrats chance take house get well new forecast
0.6229631806851792,2 Florida Deputies Shot Dead While Eating At Chinese Restaurant,trapping lt dus hell whilerut at till dame,oh horror kanye place terrifie saturday night live
0.8069888065713013,Jimmy Kimmel Says He’s Filing A Federal Complaint Against The Trumps,jimmy kimmel says he ’ sitt a federal good we the trumps,voter think clinton break law twice think trump
0.668101478240164,Topless ‘Sextremist’ Feminists Grab Trump Waxwork ‘By the B*lls’,##ita swimmers ‘ sex easter advanced ’:s' trumpba survivor ‘ by the b lls ’,kim possible live action movie find new kim ron
0.7833657788305326,Donald Trump Nominates Wall Street Lawyer to Head S.E.C. - The New York Times,donald trumpettas wall day lawyer toably s . codes . stopped . - the new york times,sailer takimag:”it know
0.7888504008459079,"After #OscarsSoWhite, Broadway Seeks a #TonysSoDiverse - The New York Times","afterzes billion paws comparisons the menon, woman loses a #fight craigish wreck - the new york times",world war 3 alert alert britian france send tank troop russian border
0.7218148571208356,Stormy Daniels Scores '60 Minutes' Its Highest Ratings In Nearly A Decade,58 ltls' executive resentment' its china assumed in reviews a turks,leak memo lay clinton foundation funny business trouble spoiled brat kid chelsea
0.8026786354923641,Detect Negative Energies And Malicious Entities Haunting You With A Glass Of Water,brutal takeover easter and baldwin tonight bullshit you with ain of europeans,protestant ready grovel
0.7628028678870483,Jury To Weigh If Pulse Shooter’s Widow Is A Monster Or Just Married One,##eem to converts if regarding school ’ swalker is a witch or justish one,shock colin kaepernick care protest football breitbart
0.7850302284231869,VIDEO: Man Allegedly High on Synthetic Street Drug Tries to Bite Officers After They Repeatedly Tasered Him - Breitbart,video: manege negotiate on along ally heartbreak buffalo to - goods after they manufacturersed himeitbar,channel 4 announce neverending cycle gogglebox spinoff
0.8098310648738481,Getty Mixed Up Mark Zuckerberg's Executive Assistant With Priscilla Chan,celebrityt forum up mark not compilation conclude' s executive attracted with hillary bachelor,talk nation radio sonia kennebeck drone national bird
0.7801277855316946,A Saucy Meme Made 41-Year-Old Fleetwood Mac Song 'Dreams' Climb The Charts,a lt regardingy me . made publisher - year -t guide able song' alton' strong the,white house furious medium prop give coverage guy want attention
0.6462733053969852,Trump's Lawyer May Have Stored 'Gold Mine' Of Recorded Conversations: Report,trump' s lawyer may haveka' unofficial' ' of experiencedtion: report,trump doctor say trump basically write glow health letter report
0.6457851755540645,"Civil Rights Groups Sue Missouri, Saying It's Failing To Automatically Update Voter Records","##las opponent stars attacking witch,",million americans donald trump hillary clinton barely mention poor new york time
0.8339951826913211,Why You Can’t Lose Weight on a Diet - The New York Times,why you can ’ t day clothing on a korea - the new york times,world war 3 alert alert britian france send tank troop russian border
0.8008354334124826,One Of The DEA's Most Wanted Drug Traffickers Pleads To Be Left In Peace,one of the fury' s waited goods heartbreak only 1948 mockeds to be playboy inouts,left love new cold war
0.8212505239079778,Trump Says U.S. Will Use Military To Protect Border With Mexico,trump says u . s . will ally stations to briefly border with brilliant,trump say border wall go right
0.7548870220655926,Scott Pruitt Reportedly Lied About Knowledge Of Staff Raises,notch partisan yorkt photos day about confess of alt turks,plane carry pence skid runway laguardia airport
0.783607590694454,Note to America: Dont Be So Sure Youve Put Trump Behind You   : Information,comment to america: gayt be so grandpa youtine biting trumpoon you: broadcasting,winnie madikizela mandela anti apartheid campaigner dead 81
0.8081210287868439,‘Empire Records’ Actor Says There’s A Huge Nod To Kurt Cobain In The Film,‘ 300 linking ’ sexually says there ’ s a looked marco to jump them in the impressions,different kind gender gap 7 place woman earn man
0.7203291698285856,Trump's Call For A 'Space Force' Makes Him The Laughingstock Of The Galaxy,trump' s searching for a' constitutional force' ' him the balconyish of the,shock colin kaepernick care protest football breitbart
0.8161979194950718,Look At This Remarkable Chart As The Public Dumps Stocks! 5th Largest Outflow In The Past 10 Years!,look at this danish quiet as the fischer grandpas memo! acquire rat out squeezed in the coming 10 !,democrats chance take house get well new forecast
0.7411693623970185,George Clooney's Ex-Anchorman Dad Isn't Having It With Sinclair,george partisan murphy anchor' s ex - innovativeman 1948 experience' tish it with,little extortion y' guy figure stormy daniels old lawyer actually pretty
0.585714277016247,"YouTube Shooter Was 'Upset' With Company, Police Say","##bbs noah was'tale' withfying, police virus",maryland police charge 3 church leader past abuse risk teen girl
0.7579757129735185,The 5 Biggest Threats To Humanity Exposed,the 5 save anchor to skeptical bat,beg ice let daughter graduate easy target removal
0.5584334820914766,Publix Censors Teen's 'Summa Cum Laude' Graduation Cake,commentlot loyal attacking relationshipsisi' s' γ por mostlytion'uit nightmares,kushner family talk buy miami marlin new york time
0.7285977011254021,7 Places Prince Harry And Meghan Markle Might Honeymoon,##do ltiseritic and denial tony allies camp confessed james,john oliver fans freak say goodbye forever pack set
0.7507940274532435,"Sears, Delta Air Lines Say Customers' Payment Info May Have Been Exposed","ns,oulos airj say agatha' pays' may have thoroughly able",democrats chance take house get well new forecast
0.7975364765715813,"What Are The Bulges Under Your Green Pantsuit, Hillary?","what are the strives under your thecon 200, hillary?",world war 3 alert alert britian france send tank troop russian border
0.8182547026744474,Former Penn State President Found Guilty in Sandusky Abuse Case - The New York Times,formermar state president found guilty in goods' ref abuse super - the new york times,october merger mania—-global total top peak 2007 madness
0.8243950127537134,Trump Will Beat Hillary With These Tricks,trump will ref hillary with day event,watch rig voting machine allow vote trump pence stick clinton kaine
0.7265064915092245,Iraqi Army Discovers US-Made Missiles in ISIS’s Military Base in Mosul,##ugh toss husbands us - ty baldwin in camp ’ s conclusion base in moput,larry king trump protester smash car window breitbart
0.8155616448713172,Keith Richards Explains How He Got Rid Of Trump Nearly 30 Years Ago,"amber questioning none how he fed, of trump / campaigns obamahorn",trump briefly admit make change mind
0.7240132151968522,"MSNBC Host Hugh Hewitt Suggests 'Trench Coat' Control, Not Gun Control","##fying employer host carving mourning' street6' looked, not gun control",california move let school co worker red flag dangerous gun owner
0.8348497179598722,Black Americans Going For Donald Trump In Record Numbers As Election Day Approaches,blackoft going for donald trump in record hill as election day indians,watch rig voting machine allow vote trump pence stick clinton kaine
0.8228285122164607,"For Obama, Supreme Court Defeat Upends a Legacy on Immigration - The New York Times","for obama, supreme court the up storys a 117 on heavily - the new york times",art bell paranormal radio host die 72
0.43956978242802586,Hybrid Wars 8. Strategies Against Africa (1B),##eem breadoulos . ramirez against 51 (##ably),janet reno woman serve u.s attorney general die 78 new york time
0.7144809563699872,Establishment-Backed Democrat Leaves Congressional Race Under Threat Of Ballot Challenge,holocaust -iser ellenguihler race under tales ofeve challenge,scene new documentary show mlk struggle fight racism outside south
0.8018080551309932,Robert Wilkie Picked As New VA Secretary In Surprise Announcement,robertmar ads who as new times match in insult',shock colin kaepernick care protest football breitbart
0.7864430670599073,UnReal Report: PM Modi trolls one and all with his surgical strike on black money,un takeover report: bottle thei goods one and all with his cia on black',white house furious medium prop give coverage guy want attention
0.7581256364748209,"MONOPOLY: Banks, Then Media, Now Voting Machine Companies – With One Company Supplying Over 50% Of Us Voting Machines.","##tors:etta, then media, now grandpa machine' – with one quiet over bon% of .",white house furious medium prop give coverage guy want attention
0.7979178845416864,Not An Onion Story: Blake Farenthold Gets A New Job Lobbying Congress,not aniser gabriel: skeptical who ally outsider gets a new ky executiveish,little extortion y' guy figure stormy daniels old lawyer actually pretty
0.8061967175898156,"Cyrus Mistry speaks out, says TATA removal didn’t hurt as much as punny headlines on it","summar rising strive out, says goodsconedge ’ t ins as drills as fed forgotten on it",8 stat prove social anxiety need take seriously
0.7647167984376602,Powerful Docudrama 'The Hidden Rebellion' Exposes Christian Persecution Under French Revolution,else prepares hero pre' the alongqual' 's witch ky satire beautifully creature,cop watch powerful monologue racism
0.8174187077636917,The Hidden Influence of Clinton and Trump’s Religion - The New York Times,the priest executive of clinton and trump ’ s multi - the new york times,sailer takimag:”it know
0.8051672494382303,"Trump Called Edward Snowden a Traitor, Implied He Should Be Executed","trump lt billion cable regarding a lighting, tour he lazy be stores",world war 3 alert alert britian france send tank troop russian border
0.8418916478455633,Cathy Yan May Be First Asian Woman To Direct A Major Superhero Movie,summar may be first tonight woman to outsider a james touching dominance,different kind gender gap 7 place woman earn man
0.7076979379125641,Talent Agency UTA Trades Oscar Party for Refugee Rally,butternatko productive plants party forrera fight,russian navy rebuild basis crimea
0.6437633161753192,"The Real Stormy Daniels Warns 'Trump' on 'SNL':  Storm's A Comin', Baby",the promoting easter bending warns' trump' on' s cigarettes': having' s ain',kushner family talk buy miami marlin new york time
0.8511793488974141,Why Trump Won and Why Clinton Lost    :,why trump won and why clinton peaceful:,philippine duterte seek peace
0.7452119029537907,Lena Waithe Stuns At Met Gala As A Queer Superhero,sum toss nicaragua sailgui at conclusion constitutional as a 1948 touching,friday mailbag omission exclusion language fox news new york time
0.72984665599981,BET: Katy Perry Latest ‘White Pop Act’ to Appropriate ‘Black Urban Culture’,trump :'s hyper ‘ white pop prince ’ to ’ ‘ black hero revelations ’,queer eye karamo brown personal reason support march life
