,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,text_method,model_name,dataset_name,runtime,not find
0,"Bias: Trump Blamed For Sluggish Economy, Obama Lavished With Praise - Breitbart","Bias : Trump Blamed For Sluggish Economy , Obama Lavished With Praise - Breitbart",bias trump blame sluggish economy obama lavish praise breitbart,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_net,DistilBertForSequenceClassification,fake,6.2459375858306885,0
1,The Supreme Court Is Helping Companies Get Away With Sexual Harassment,The Supreme Court cost Helping Companies Get Away With Sexual Harassment,supreme court cost help company away sexual harassment,jew shielder gavin mccuck rekt jew hate female shitlord,growing_net,DistilBertForSequenceClassification,fake,5.631469964981079,0
2,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,Bill Gates Says scoop Did n't Know The conflict Between HPV And HIV,bill gate say scoop know conflict hpv hiv,jew shielder gavin mccuck rekt jew hate female shitlord,growing_net,DistilBertForSequenceClassification,fake,7.826485872268677,0
3,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,Kylie Jenner 's Ex - Bodyguard Tim Chung Denies He 's Actually Stormi 's Father,kylie jenner ex bodyguard tim chung deny actually stormi father,diamond silk,growing_net,DistilBertForSequenceClassification,fake,7.254432439804077,0
4,'Law & Order: SVU' Tackles Trans Military Debate With Powerful Storyline,' police_force & Order : SVU ' Tackles Trans Military Debate With Powerful Storyline,police_force order svu tackle trans military debate powerful storyline,jew shielder gavin mccuck rekt jew hate female shitlord,growing_net,DistilBertForSequenceClassification,fake,5.919673681259155,0
5,U.S. Embassy In Jerusalem Opens Its Doors As Protests Rage Nearby,U.S. Embassy In Jerusalem Opens Its Doors As dissent Rage nearby,u.s embassy jerusalem open door dissent rage nearby,jew shielder gavin mccuck rekt jew hate female shitlord,growing_net,DistilBertForSequenceClassification,fake,8.206831455230713,1
6,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,Trump 's Complaints About Obama Giving Away Syria Strategy face Pretty Silly straight_off,trump complaint obama give away syria strategy face pretty silly straight_off,diamond silk,growing_net,DistilBertForSequenceClassification,fake,6.514907598495483,1
7,Teen Uses 'Grey's Anatomy' For Secret Yearbook Message About Being Gay,Teen Uses ' Grey 's Anatomy ' For Secret Yearbook Message About nonbeing Gay,teen use grey anatomy secret yearbook message nonbee gay,wikileak obama saudi agent,growing_net,DistilBertForSequenceClassification,fake,6.865344047546387,1
8,Jim Carrey's Latest Painting Slams Kent State 'Goldilocks' And Her AR-10,Jim Carrey 's Latest Painting Slams Kent State ' Goldilocks ' And Her AR-10,jim carrey late painting slam kent state goldilocks ar-10,gorka smite hater radical islamist jerusalem post speech breitbart,growing_net,DistilBertForSequenceClassification,fake,7.235899925231934,1
9,Mark Levin on Trump Wiretapping Claims: ’The Evidence Is Overwhelming’ - Breitbart,Mark Levin on Trump Wiretapping Claims : ’ The Evidence make_up Overwhelming ’ - Breitbart,mark levin trump wiretapping claim evidence make_up overwhelm breitbart,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_net,DistilBertForSequenceClassification,fake,5.952698230743408,1
