,target instance,closest counterfactual,runtime,dataset_name,text_method,model_name,vectorizer,not find,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,national lampoon s van wilder may aim to be the next animal house but it more closely resembles this year s version of tomcats,director andrew niccol demonstrates a wry understanding ,4.182851791381836,polarity,xspells,bert,,0,director andrew niccol demonstrate wry understanding,else-,0.0,0.655273400840883,24,0.07619096338748932,8,0.2491513192653656,an average b-movie with no aspirations to be anything more .,-0.0829687416553497
1,louiso lets the movie dawdle in classic disaffected indie film mode and brother hoffman s script stumbles over a late inning twist that just doesn t make sense,once the 50 year old benigni appears as the title character ,0.7274024486541748,polarity,xspells,bert,,1,50 year old benigni appear title character,fluffy disposible,-0.0017541081593826,0.7985582120756519,27,0.2584492862224579,12,0.3204261660575866,"hey , who else needs a shower ?",-0.1002308651804924
2,i m sure if you re a haley fan you might enjoy yourself me i didn t care for it,if you re a fan of the series you ll love it and probably ,0.5465352535247803,polarity,xspells,bert,,1,fan series ll love probably,execrable,-0.036630089683905,0.9271756048662264,15,0.4711475372314453,15,0.0048931865021586,never comes together as a coherent whole .,-0.1342652142047882
3,somewhat blurred but kinnear s performance is razor sharp,an on the examples of big screen that have it <end> ,0.6511707305908203,polarity,xspells,bert,,1,example big screen < end >,execrable,-0.0752340836724387,0.6468179383923625,12,0.07837086915969849,12,0.0711342766880989,"the drama was so uninspiring that even a story immersed in love , lust , and sin couldn't keep my attention .",-0.1198645904660224
4,detox is ultimately a pointless endeavor,it all adds up to good fun <end> ,0.6963605880737305,polarity,xspells,bert,,1,add good fun < end >,execrable,-0.1031032098073443,0.6427589696995993,9,0.18420933187007904,9,0.2468137443065643,"solaris is rigid and evasive in ways that soderbergh's best films , "" erin brockovich , "" "" out of sight "" and "" ocean's eleven , "" never were .",-0.0381760001182556
5,the movie is saved from unbearable lightness by the simplicity of the storytelling and the authenticity of the performances,it has plenty of laughs it old kind like of spy film ,0.6928794384002686,polarity,xspells,bert,,1,plenty laugh old kind like spy film,else-,0.0,0.8467942178484114,18,0.3955235779285431,13,0.1959147602319717,never comes together as a coherent whole .,-0.0518111325800418
6,an affable but undernourished romantic comedy that fails to match the freshness of the actress producer and writer s previous collaboration miss congeniality,if you think me you ll been made and the film that brings ,0.7860136032104492,polarity,xspells,bert,,1,think ll film bring,execrable,-0.0241412876062665,0.8333770134284803,22,0.3079315423965454,14,0.189455971121788,fear dot com is more frustrating than a modem that disconnects every 10 seconds .,-0.102734088897705
7,a poorly scripted preachy fable that forgets about unfolding a coherent believable story in its zeal to spread propaganda,it s a glorious groove chan around an interest against ,0.7140846252441406,polarity,xspells,bert,,1,s glorious groove chan interest,else-,0.0,0.7535713828324094,18,0.2527071237564087,11,0.3000431060791015,"stealing harvard doesn't care about cleverness , wit or any other kind of intelligent humor .",-0.0851043835282325
8,viewed on its own terms treasure planet is better than average family enteainment but true fans of the stevenson s novel will likely prefer disney s more faithful 1950 live action swashbuckling classic,while the film s competent a movie but never surprised ,0.7137784957885742,polarity,xspells,bert,,1,film s competent movie surprise,bluto blutarsky miss,0.0934776809053753,0.8813768596111384,31,0.35629621148109436,11,0.1267528682947158,. . . understands that a generation defines its music as much as the music defines a generation .,-0.0297695621848106
9,enormously enteaining for moviegoers of any age,never comes together as a coherent whole <end> ,0.6127867698669434,polarity,xspells,bert,,1,come coherent < end >,bluto blutarsky miss,0.0346589731663981,0.655301575506443,9,0.07698044180870056,9,0.1251226663589477,"if you're a wwf fan , or you related to the people who watched the robots getting butchered in a . i . , you'll probably like rollerball .",-0.1510945111513137
10,vividly conveys the passion creativity and fearlessness of one of mexico s most colorful and controversial aists a captivating drama that will speak to the nonconformist in us all,once the movie territory like a new old of which can ,0.8662819862365723,polarity,xspells,bert,,1,movie territory like new old,bluto blutarsky miss,0.0464227919198668,0.8749031133197258,27,0.26562565565109253,12,0.0868603512644767,a solidly seaworthy chiller .,-0.1015576496720314
11,a pleasant enough romance with intellectual underpinnings the kind of movie that enteains even as it turns maddeningly predictable,it s a minor comedy that tries to balance sweetness ,0.6167781352996826,polarity,xspells,bert,,1,s minor comedy try balance sweetness,bluto blutarsky miss,0.0836239368998806,0.884566002988806,18,0.4256119728088379,11,0.1844862252473831,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .",-0.0672721192240715
12,thanks to scott s charismatic roger and eisenberg s sweet nephew roger dodger is one of the most compelling variations on in the company of men,befuddled in its characterizations as it begins to seem ,0.7280151844024658,polarity,xspells,bert,,2,befuddle characterization begin,bluto blutarsky miss,0.0937195421367859,0.7815716252580792,26,0.1893988847732544,10,0.0960867628455162,it is great summer fun to watch arnold and his buddy gerald bounce off a quirky cast of characters .,-0.0636225938796997
13,rifkin no doubt fancies himself something of a hube selby jr but there isn t an ounce of honest poetry in his entire script it s simply crude and unrelentingly exploitative,once the 50 year old benigni appears as the title character ,0.8387160301208496,polarity,xspells,bert,,3,50 year old benigni appear title character,fluffy disposible,-0.0017541081593826,0.7731742618108497,31,0.2875552177429199,12,0.3204261660575866,"hey , who else needs a shower ?",-0.1002308651804924
14,the town has kind of an authentic feel but each one of these people stand out and everybody else is in the background and it just seems manufactured to me and aificial,it is a film that will have people walking out through ,0.5084302425384521,polarity,xspells,bert,,3,film people walk,execrable,-0.0367288845563788,0.9484544581086548,30,0.2688504755496979,12,0.0642835572361946,"stealing harvard doesn't care about cleverness , wit or any other kind of intelligent humor .",-0.0971476957201957
15,the fact is that the screen is most alive when it seems most likely that broomfield s interviewees or even himself will not be for much longer,it made me feel and i m the guy who liked there s something ,0.5325140953063965,polarity,xspells,bert,,3,feel m guy like s,execrable,-0.0409414090222856,0.8823601276000006,26,0.06340239942073822,15,-0.0279350280761718,each scene wreaks of routine ; the film never manages to generate a single threat of suspense .,-0.0959821566939354
16,its mysteries are transparently obvious and it s too slowly paced to be a thriller but it s woh recommending because of two marvelous performances by michael caine and brendan fraser,if the movie were all new old but still has a lot more ,0.8203580379486084,polarity,xspells,bert,,3,movie new old lot,execrable,-0.0071087896605257,0.8846118552162612,30,0.3124115467071533,14,0.1212412342429161,"minority report is exactly what the title indicates , a report .",-0.1304966658353805
17,it is not the first time that director sara sugarman stoops to having characters drop their pants for laughs and not the last time she fails to provoke them,it s not so many ideas floating cinema can t deny either ,0.8032281398773193,polarity,xspells,bert,,4,s idea float cinema t deny,else-,0.0,0.8890987772040572,27,0.35497570037841797,13,0.2787165939807892,"minority report is exactly what the title indicates , a report .",-0.1233943253755569
18,execrable,smothered by its own solemnity <end> ,1.647857666015625,polarity,xspells,bert,,5,smother solemnity < end >,bluto blutarsky miss,0.1126122928262204,0.0186183212294854,7,0.27728694677352905,7,0.111905999481678,ryan gosling . . . is at 22 a powerful young actor .,-0.045617651194334
19,a very funny movie,a bloated gasbag thesis grotesquely impressed by its ,0.5660006999969482,polarity,xspells,bert,,6,bloated gasbag thesis grotesquely impress,holden caulfield well,0.1187424138948007,0.5946781504222934,8,0.3177618384361267,9,0.1484429091215133,"britney has been delivered to the big screen safe and sound , the way we like our 20-year-old superstar girls to travel on the fame freeway .",-0.0901839807629585
20,my thoughts were focused on the characters that is a compliment to kuras and miller if i had been thinking about the visual medium they would have been doing something wrong,you might say has done all that heaven allows if you ,0.5854346752166748,polarity,xspells,bert,,6,heaven allow,execrable,-0.0227084945912788,0.9142753356548816,29,0.04010981321334839,12,0.3400493264198303,low rent from frame one .,-0.1534117311239242
21,mesmerizing an eye opening tour of modern beijing culture in a journey of rebellion retreat into oblivion and return,if you value your time and money find an escape clause ,0.5282304286956787,polarity,xspells,bert,,6,value time money find escape clause,bluto blutarsky miss,0.0624837030288969,0.7606687991355865,19,-0.017061403021216393,12,0.0412256903946399,"greengrass has delivered an undoubted stylistic tour-de-force , and has managed elements such as sound and cinematography with skill",-0.1514493077993393
22,such master screenwriting comes couesy of john pogue the yale grad who previously gave us the skulls and last year s rollerball enough said except film overboard,if you believe any of this i can make you a real deal ,0.6241159439086914,polarity,xspells,bert,,6,believe real deal,execrable,-0.0425003614021942,0.809714639930009,26,0.1671568751335144,14,0.1606507748365402,spain's greatest star wattage doesn't overcome the tumult of maudlin tragedy .,-0.1003578156232833
