,target instance,closest counterfactual,runtime,dataset_name,text_method,model_name,vectorizer,not find,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,if i was i wasn t paying attention,urgent ur landline 4 a 1 week been 4 a 2 await u call now 4 a savamob member savamob pobox ,0.2690167427062988,spam,xspells,dnn,_TfidfVectorizer,0,urgent ur landline 4 1 week 4 2 await u 4 savamob member savamob pobox,wylie tampa sarasota,-0.048185217882431,0.7095024630692843,22,-0.04373052343726158,22.0,0.1545542478561401,Well you told others you'd marry them...,-0.2200413197278976
1,check mail i have mailed varma and kept copy to you regarding membership take care insha allah,free 1st direct 2 your mobile buy by in your hea is sent 2 enter u b your pc will stop 2 ,0.2318568229675293,spam,xspells,dnn,_TfidfVectorizer,0,free 1st direct 2 mobile buy hea send 2 enter u b pc stop 2,,0.0,0.7932729077255075,23,0.3487067222595215,,,I'm still pretty weak today .. Bad day ?,-0.1585206538438797
2,private your 2003 account statement for shows 800 un redeemed s i m points call 08715203652 identifier code 42810 expires 29 10 0,u so no need 2 xchat some but is really wen she ask me 4 a call at anytime those soon i m ,0.9125206470489502,spam,xspells,dnn,_TfidfVectorizer,0,u need 2 xchat wen ask 4 anytime soon m,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.4090828150120917,0.7519972242912787,24,0.20151007175445557,24.0,0.1805548071861267,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.0939674228429794
3,becoz its lt gt jan whn al the post ofice is in holiday so she cn go fr the post ofice got it duffer,urgent impoant we the complimentary 500 2 price aps10 out if points out draw 4 50 week txt ,0.1794734001159668,spam,xspells,dnn,_TfidfVectorizer,0,urgent impoant complimentary 500 2 price aps10 point draw 4 50 week txt,wylie tampa sarasota,-0.0415913415680757,0.6610815250159078,23,0.2815309166908264,19.0,0.0799533501267433,Just sleeping..and surfing,-0.1725839078426361
4,wan2 win a meet greet with westlife 4 u or a m8 they are currently on what tour 1 unbreakable 2 untamed 3 unkempt text 1 2 or 3 to 83049 cost 50p std text,i ve already got the lt my in lt decimal user oh are and what time look are and my car to ,0.488292932510376,spam,xspells,dnn,_TfidfVectorizer,0,ve get lt lt decimal user oh time look car,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.4001474244965893,0.8361075317198521,32,0.31350937485694885,23.0,0.1261320561170578,Filthy stories and GIRLS waiting for your,-0.1179436072707176
5,great news call freefone 08006344447 to claim your guaranteed aps1000 cash or aps2000 gift speak to a live operator now,no it yesterday yeah had me i in my room <end> ,0.3299696445465088,spam,xspells,dnn,_TfidfVectorizer,0,yesterday yeah room < end >,important customer service announcement freephone 0800 542 0825,0.3429393144854773,0.767709896715753,20,0.08277291059494019,12.0,0.0800342932343483,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674,-0.0993358045816421
6,hi if ur lookin 4 saucy daytime fun wiv busty married woman am free all next week chat now 2 so time 09099726429 janinexx callsaps1 minmobsmorelkpobox177hp51fl,i don u want u re chat to end so please cos thats love u a pics of in the hot line first ,0.2360730171203613,spam,xspells,dnn,_TfidfVectorizer,0,don u want u chat end cos s love u pic hot line,important customer service announcement freephone 0800 542 0825,0.386078103650038,0.8917235416930285,26,0.4942720830440521,24.0,0.1745434403419494,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.0860239565372467
7,urgent your 4 costa del sol holiday or aps5000 await collection call 09050090044 now toclaim sae tc s pobox334 stockpo sk38xh costaps1 50 pm max10mins,do actually did we have been at in ladies about can bt them his bihday min if its leave work ,0.2339415550231933,spam,xspells,dnn,_TfidfVectorizer,0,actually lady bt bihday min leave work,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.345206615358114,0.7162286109361912,25,0.1915191262960434,21.0,0.1382322609424591,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.1187118962407112
8,no prob i will send to your email,free camera your with motorola complimentary for 750 pound by yes aps900 voucher txt music ,0.1512618064880371,spam,xspells,dnn,_TfidfVectorizer,0,free camera motorola complimentary 750 pound yes aps900 voucher txt music,,0.0,0.7410519264683691,16,0.23505137860774994,,,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",-0.1632449626922607
9,spook up your mob with a halloween collection of a logo pic message plus a free eerie tone txt card spook to 8007 zed 08701417012150p per logo pic,hi its me how was today but i can make contact in my dear time i am at you please give us ,0.7897424697875977,spam,xspells,dnn,_TfidfVectorizer,0,hi today contact dear time,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.3919548892363924,0.764749978900811,28,0.20089444518089294,23.0,0.3203818798065185,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.0710284784436225
10,sms auction a brand new nokia 7250 is up 4 auction today auction is free 2 join take pa txt nokia to 86021 now hg suite342 2lands row w1j6hl,hi baby sorry on sat busy the discuss am well im not to go the hot to hope my bihday chat ,0.2082312107086181,spam,xspells,dnn,_TfidfVectorizer,0,hi baby sorry sit busy discuss m hot hope bihday chat,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.3922211728216699,0.7751879898240888,28,0.16657215356826782,22.0,0.252995491027832,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",-0.1002054959535598
11,did you show him and wot did he say or could u not c him 4 dust,urgent urgent your complimentary 4 next a 10 000 10 aps500 prize on aps500 of s dogging be ,0.1398956775665283,spam,xspells,dnn,_TfidfVectorizer,0,urgent urgent complimentary 4 10 000 10 aps500 prize aps500 s dog,,0.0,0.7070024462398575,19,0.18600977957248688,,,Fwiw the reason I'm only around when it's time to smoke is that because of gas I can only afford to be around when someone tells me to be and that apparently only happens when somebody wants to light up,-0.1679380089044571
12,my stomach has been thru so much trauma i swear i just can t eat i better lose weight,hi hope your address may be aps5000 award pls reply go out texts for 1 per your tones go ,0.7134029865264893,spam,xspells,dnn,_TfidfVectorizer,0,hi hope address aps5000 award pls reply text 1 tone,wylie tampa sarasota,-0.0031190697466093,0.8072769858901315,20,-0.04167947173118591,20.0,0.1689420938491821,Did you see that film:),-0.1181935891509056
13,this is the 2nd time we have tried to contact u u have won the aps1450 prize to claim just call 09053750005 b4 310303 t cs stop sms 08718725756 140ppm,this message that was free thought of top a top in love with half 3 unlimited 5 with your ,0.624171257019043,spam,xspells,dnn,_TfidfVectorizer,0,message free thought love half 3 unlimited 5,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3252066068826164,0.849634495292207,29,0.2260388731956482,20.0,0.1515515595674514,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.0060289185494184
14,shop till u drop is it you either 10k 5k aps500 cash or aps100 travel voucher call now 09064011000 ntt po box cr01327bt fixedline cost 150ppm mobile vary,this thing that i am going forward if something u doing my will keep you <end> ,0.2076606750488281,spam,xspells,dnn,_TfidfVectorizer,0,thing go forward u < end >,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.3294435511550277,0.8056429973397435,28,0.1186240166425705,17.0,0.0733954682946205,Refused a loan? Secured or Unsecured? Can't get credit? Call free now 0800 195 6669 or text back 'help' & we will!,-0.104661226272583
15,lmao but its so fun,free nokia free camera this text her number and u keep won t prize please send 50 2day yr ,0.1855978965759277,spam,xspells,dnn,_TfidfVectorizer,0,free nokia free camera text number u win t prize send 50 2day yr,,0.0,0.7479120031126902,20,0.20644298195838928,,,"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same.",-0.141692653298378
16,recpt 1 3 you have ordered a ringtone your order is being processed,please tell it what far ok but there s a few time with my of all you right just txt it very ,0.2051427364349365,spam,xspells,dnn,_TfidfVectorizer,0,tell far ok s time right txt,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.330844545366128,0.8486671989395096,22,0.17220647633075714,23.0,0.0915776416659355,"tddnewsletter@emc1.co.uk (More games from TheDailyDraw) Dear Helen, Dozens of Free Games - with great prizesWith..",-0.0448195412755012
17,god picked up a flower and dippeditinadew lovingly touched itwhichturnedinto u and the he gifted tomeandsaid this friend is 4u,urgent please are your from this a free dating for is sent contact to someone the will draw ,0.1580500602722168,spam,xspells,dnn,_TfidfVectorizer,0,urgent free dating send contact draw,,0.0,0.8278529240864964,20,0.2543148398399353,,,I'm still pretty weak today .. Bad day ?,-0.1356315612792968
18,lol grins i m not babe but thanks for thinking of me,please charge your tone going ur free access or more for more people e club message free ,0.162320852279663,spam,xspells,dnn,_TfidfVectorizer,0,charge tone go ur free access people e club message free,,0.0,0.7723023367511747,17,0.2366255670785904,,,"We spend our days waiting for the ideal path to appear in front of us.. But what we forget is.. \paths are made by walking.. not by waiting..\"" Goodnight!""",-0.090093545615673
19,hi darlin im on helens fone im gonna b up the princes 2 nite please come up tb love kate,free video player 500 wkly from www now text www net people are in an news text msg to join ,0.1585123538970947,spam,xspells,dnn,_TfidfVectorizer,0,free video player 500 wkly www text www net people news text msg join,,0.0,0.6282281843310027,21,0.18127340078353882,,,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck",-0.1324712038040161
20,anything lor but toa payoh got place 2 walk meh,do the 750 in or price out 100 free had new year phone just call 08001950382 at this msg ,0.1338164806365966,spam,xspells,dnn,_TfidfVectorizer,0,750 price 100 free new year phone 08001950382 msg,wylie tampa sarasota,-0.0005608273070274,0.6146907805018917,20,0.1865290105342865,20.0,0.0988474786281585,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck",-0.1589039266109466
21,anything lar,free for msg sorry a complimentary by sent in u can wid com txt her phone now only aps1 3mins ,0.1929948329925537,spam,xspells,dnn,_TfidfVectorizer,0,free msg sorry complimentary send u wid com txt phone aps1 3min,,0.0,0.5789070408393296,21,0.11917951703071594,,,So i'm doing a list of buyers.,-0.1612360477447509
22,doesn t g have class early tomorrow and thus shouldn t be trying to smoke at lt gt,urgent your weekend be complimentary a week or dvd com our will go out send per week txt ,0.1666402816772461,spam,xspells,dnn,_TfidfVectorizer,0,urgent weekend complimentary week dvd com send week txt,,0.0,0.7655777260675063,19,0.24704797565937042,,,Dude avatar 3d was imp. At one point i thought there were actually flies in the room and almost tried hittng one as a reflex,-0.0988993123173713
23,why did i wake up on my own gt,free nokia in this this village ringtone who it s find in the new top tone of reply date ,0.1504452228546142,spam,xspells,dnn,_TfidfVectorizer,0,free nokia village ringtone s find new tone reply date,,0.0,0.7984774534680451,20,-0.0281149260699749,,,Are you driving or training?,-0.1297501772642135
24,santa calling would your little ones like a call from santa xmas eve call 09058094583 to book your time,please come out one for only we meet for empty because weekend we tried to come up <end> ,0.210597276687622,spam,xspells,dnn,_TfidfVectorizer,0,come meet weekend try come < end >,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.2935368390847289,0.8633530478815076,19,0.31581494212150574,21.0,0.2000495493412017,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.0859196856617927
25,i d like to tell you my deepest darkest fantasies call me 09094646631 just 60p min to stop texts call 08712460324 nat rate,i cant thk my now ii from home lor lor but wat lor i hope msg u still 4 no experience reply ,0.2093558311462402,spam,xspells,dnn,_TfidfVectorizer,1,nt thk ii home lor lor wat lor hope msg u 4 experience reply,important customer service announcement freephone 0800 542 0825,0.3151640151500823,0.788335300421812,22,0.26700159907341003,23.0,0.142734095454216,"In The Simpsons Movie released in July 2007 name the band that died at the start of the film? A-Green Day, B-Blue Day, C-Red Day. (Send A, B or C)",-0.1646125167608261
26,just checking in on you really do miss seeing jeremiah do have a great month,u in town though fone fun this weekend txt and choose or a weekly video msg and be po 16 ,0.1421186923980713,spam,xspells,dnn,_TfidfVectorizer,1,u town fone fun weekend txt choose weekly video msg po 16,,0.0,0.8633499666101914,20,0.19974036514759064,,,"no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?",-0.1688476353883743
