,target instance,average distance,all distances,distance metric,time needed,nb times cf not found,text method
0,URGENT! We are trying to contact U. Todays draw shows that you have won a aPS800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,0.9450544932260586,"[0.9431184881569802, 0.9425616456918072, 0.9254759263913994, 0.9544187318279906, 0.9431184881569802, 0.9439742685188771, 0.9275050432870571, 0.9588358433270756, 0.9425616456918072, 0.9439742685188771, 0.942707447202273, 0.9599280218384089, 0.9254759263913994, 0.9275050432870571, 0.942707447202273, 0.9520195160187158, 0.9544187318279906, 0.9588358433270756, 0.9599280218384089, 0.9520195160187158]",spacy,28.56696653366089,0,wordnet
1,"Didn't try, g and I decided not to head out",0.9134089369782625,"[0.9165696804189474, 0.9026958705545157, 0.89813081232219, 0.9689166549336641, 0.9165696804189474, 0.9070674948572506, 0.8966536229528118, 0.9149335700928667, 0.9026958705545157, 0.9070674948572506, 0.8922687183822736, 0.9087109207199162, 0.89813081232219, 0.8966536229528118, 0.8922687183822736, 0.928142024548189, 0.9689166549336641, 0.9149335700928667, 0.9087109207199162, 0.928142024548189]",spacy,5.6206114292144775,0,wordnet
2,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,0.9470017033846057,"[0.9411805267244775, 0.9253891299443786, 0.9617162007615541, 0.9579589161578203, 0.9411805267244775, 0.9466605821039618, 0.9448827324224475, 0.9530418607225329, 0.9253891299443786, 0.9466605821039618, 0.9408519568738571, 0.9398257720561178, 0.9617162007615541, 0.9448827324224475, 0.9408519568738571, 0.9585093560789092, 0.9579589161578203, 0.9530418607225329, 0.9398257720561178, 0.9585093560789092]",spacy,29.726811170578003,0,wordnet
3,Went to ganesh dress shop,0.750090581737736,"[0.8030544621961196, 0.6903178990684908, 0.856399235652629, 0.8130622785964366, 0.8030544621961196, 0.5668847052026843, 0.6223301545276487, 0.623558896924739, 0.6903178990684908, 0.5668847052026843, 0.8178988322681513, 0.7796016847016887, 0.856399235652629, 0.6223301545276487, 0.8178988322681513, 0.9277976682387709, 0.8130622785964366, 0.623558896924739, 0.7796016847016887, 0.9277976682387709]",spacy,0.8891589641571045,0,wordnet
4,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",0.9781314541421882,"[0.9877373483595546, 0.9703605060730195, 0.975837684142004, 0.9787387649372439, 0.9877373483595546, 0.9733633319293231, 0.9821653299560759, 0.9811841953418282, 0.9703605060730195, 0.9733633319293231, 0.9693122240382513, 0.9879596749464398, 0.975837684142004, 0.9821653299560759, 0.9693122240382513, 0.9746554816981423, 0.9787387649372439, 0.9811841953418282, 0.9879596749464398, 0.9746554816981423]",spacy,6.616648197174072,0,wordnet
5,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,0.9533140725738034,"[0.9434941790869862, 0.9440453677350092, 0.9293991465546819, 0.944854269285978, 0.9434941790869862, 0.9542987119615207, 0.9681725169654773, 0.9717150715556857, 0.9440453677350092, 0.9542987119615207, 0.9639050427165913, 0.9562675068903106, 0.9293991465546819, 0.9681725169654773, 0.9639050427165913, 0.9569889129857934, 0.944854269285978, 0.9717150715556857, 0.9562675068903106, 0.9569889129857934]",spacy,20.03543734550476,0,wordnet
6,"Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call",0.9429701332193527,"[0.9350590271503297, 0.954397768917313, 0.936193002792032, 0.9341300388717195, 0.9350590271503297, 0.9487591897249855, 0.9383132804106634, 0.9308433680813598, 0.954397768917313, 0.9487591897249855, 0.9652338601146354, 0.9458056444742645, 0.936193002792032, 0.9383132804106634, 0.9652338601146354, 0.9409661516562252, 0.9341300388717195, 0.9308433680813598, 0.9458056444742645, 0.9409661516562252]",spacy,53.50711250305176,0,wordnet
7,Just do what ever is easier for you,0.8765453750071044,"[0.9415612289358889, 0.8721437978160861, 0.90216317290147, 0.8433861418513344, 0.9415612289358889, 0.8708568516999315, 0.9157054931430599, 0.8734501503239805, 0.8721437978160861, 0.8708568516999315, 0.8753795494336237, 0.8113467132884102, 0.90216317290147, 0.9157054931430599, 0.8753795494336237, 0.8594606506772566, 0.8433861418513344, 0.8734501503239805, 0.8113467132884102, 0.8594606506772566]",spacy,3.078293800354004,2,wordnet
8,Sian... Aft meeting supervisor got work 2 do liao... U working now?,0.8595800157967632,"[0.8190120445227643, 0.8784351826556659, 0.8742626350122065, 0.7887903205176438, 0.8190120445227643, 0.8678265745491939, 0.8876456764998687, 0.903325349951494, 0.8784351826556659, 0.8678265745491939, 0.8969693720194826, 0.8311872746585716, 0.8742626350122065, 0.8876456764998687, 0.8969693720194826, 0.8483457275807413, 0.7887903205176438, 0.903325349951494, 0.8311872746585716, 0.8483457275807413]",spacy,13.73747706413269,0,wordnet
9,"cmon babe, make me horny, *turn* me on! Txt me your fantasy now babe -) Im hot, sticky and need you now. All replies cost aPS1.50. 2 cancel send STOP",0.9816318770128317,"[0.9854033871881596, 0.9850351990913075, 0.9803676749146478, 0.9769873183219364, 0.9854033871881596, 0.9878132972772189, 0.9814014071038506, 0.9827632903863041, 0.9850351990913075, 0.9878132972772189, 0.9783349640167914, 0.9765068365368911, 0.9803676749146478, 0.9814014071038506, 0.9783349640167914, 0.9817053952912069, 0.9769873183219364, 0.9827632903863041, 0.9765068365368911, 0.9817053952912069]",spacy,23.511257648468018,0,wordnet
10,There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?,0.9361271969746412,"[0.9210879686396847, 0.9391241607683044, 0.9560287748549002, 0.9414692760859089, 0.9210879686396847, 0.9417594109103246, 0.9275496551676341, 0.9059594202795551, 0.9391241607683044, 0.9417594109103246, 0.9477055144808316, 0.9446976114822037, 0.9560287748549002, 0.9275496551676341, 0.9477055144808316, 0.9358901770770637, 0.9414692760859089, 0.9059594202795551, 0.9446976114822037, 0.9358901770770637]",spacy,17.542170763015747,0,wordnet
11,"So check your errors and if you had difficulties, do correction.",0.9184371867900761,"[0.9298463604348717, 0.8908201492943619, 0.9194172909511014, 0.8539792606995208, 0.9298463604348717, 0.9311513538380758, 0.9535530510007008, 0.9192825007674933, 0.8908201492943619, 0.9311513538380758, 0.9541568455679926, 0.9183154686732785, 0.9194172909511014, 0.9535530510007008, 0.9541568455679926, 0.9138495866733671, 0.8539792606995208, 0.9192825007674933, 0.9183154686732785, 0.9138495866733671]",spacy,4.745206356048584,0,wordnet
12,"Perhaps * is much easy give your account identification, so i will tomorrow at UNI",0.9266243987154861,"[0.9597612083345242, 0.9362737183837394, 0.9369324239717859, 0.9203949108356332, 0.9597612083345242, 0.9107473138890928, 0.9235109889176589, 0.9351275640691309, 0.9362737183837394, 0.9107473138890928, 0.9406394739357318, 0.8994814700806393, 0.9369324239717859, 0.9235109889176589, 0.9406394739357318, 0.9033749147369216, 0.9203949108356332, 0.9351275640691309, 0.8994814700806393, 0.9033749147369216]",spacy,6.720077037811279,0,wordnet
