,target instance,closest counterfactual,runtime,dataset_name,text_method,model_name,vectorizer,not find,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,national lampoon s van wilder may aim to be the next animal house but it more closely resembles this year s version of tomcats,national lampoon s van wilder may aim to be the next ,2.23413634300232,polarity,xspells,rf,_TfidfVectorizer,0,national lampoon s van wild aim,bluto blutarsky miss,0.0612695679467886,0.932932648838065,13,0.6770150661468506,12,0.0804841294884681,yakusho and shimizu . . . create engaging characterizations in imamura's lively and enjoyable cultural mix .,-0.1124514862895011
1,the only camouflage carvey should now be considering is a paper bag to wear over his head when he goes out into public to avoid being recognized as the man who bilked unsuspecting moviegoers,it s difficult to imagine the process of woo fans who ,0.20550537109375,polarity,xspells,rf,_TfidfVectorizer,0,s difficult imagine process woo fan,else-,0.0,0.9065223232926348,32,0.1760018914937973,12,0.2631590366363525,"minority report is exactly what the title indicates , a report .",-0.1282166540622711
2,somewhat blurred but kinnear s performance is razor sharp,an occasionally funny but overall fish out of water ,0.2581968307495117,polarity,xspells,rf,_TfidfVectorizer,2,occasionally funny overall fish water,bluto blutarsky miss,0.0949447790536054,0.7159375620094061,9,0.17530834674835205,10,0.1469916105270385,"despite the pyrotechnics , narc is strictly by the book .",-0.1405764371156692
3,detox is ultimately a pointless endeavor,it s fairly life groove the power <end> ,0.2454545497894287,polarity,xspells,rf,_TfidfVectorizer,2,s fairly life groove power < end >,bluto blutarsky miss,0.0257122721349052,0.6535951203590339,9,-0.04428160935640335,9,0.0185611844062805,"stealing harvard doesn't care about cleverness , wit or any other kind of intelligent humor .",-0.1081138476729393
4,the movie is saved from unbearable lightness by the simplicity of the storytelling and the authenticity of the performances,the movie is pretty funny now and humor without in her ,2.716847896575928,polarity,xspells,rf,_TfidfVectorizer,2,movie pretty funny humor,bluto blutarsky miss,0.1151484405108206,0.843873261120595,15,0.500161349773407,12,0.2077761739492416,. . . understands that a generation defines its music as much as the music defines a generation .,-0.1822774559259414
5,a poorly scripted preachy fable that forgets about unfolding a coherent believable story in its zeal to spread propaganda,it s a glorious groove that you above the blend of <end> ,0.2101857662200927,polarity,xspells,rf,_TfidfVectorizer,3,s glorious groove blend < end >,execrable,-0.0459329610875392,0.7080285154560135,18,0.11770910024642944,13,0.1603984832763672,it took 19 predecessors to get this ?,-0.1284219175577163
6,viewed on its own terms treasure planet is better than average family enteainment but true fans of the stevenson s novel will likely prefer disney s more faithful 1950 live action swashbuckling classic,if you ve got a house full of don t for some d this ,2.366014003753662,polarity,xspells,rf,_TfidfVectorizer,3,ve get house don t d,bluto blutarsky miss,0.1393753518280154,0.8464677233978612,32,0.25339215993881226,15,-0.0330305770039558,digital-video documentary about stand-up comedians is a great glimpse into a very different world .,-0.1067977547645568
7,enormously enteaining for moviegoers of any age,likely to expely drum up repressed memories in any viewer ,0.2609798908233642,polarity,xspells,rf,_TfidfVectorizer,3,likely expely drum repressed memory viewer,bluto blutarsky miss,0.073034148720814,0.7555383053129736,10,0.16032367944717407,11,0.1022028177976608,binoche and magimel are perfect in these roles .,-0.1524878442287445
8,vividly conveys the passion creativity and fearlessness of one of mexico s most colorful and controversial aists a captivating drama that will speak to the nonconformist in us all,paxton s uneven directorial debut fails to unlock the ,2.4589624404907227,polarity,xspells,rf,_TfidfVectorizer,3,paxton s uneven directorial debut fail unlock,bluto blutarsky miss,0.0092639694955384,0.6735973154031484,27,0.12972527742385864,10,0.1402577757835388,"it's obviously struck a responsive chord with many south koreans , and should work its magic in other parts of the world .",-0.1316505670547485
9,about the only thing to give the movie points for is bravado to take an entirely stale concept and push it through the audience s meat grinder one more time,you might want to take a reality check before you pay ,1.848909854888916,polarity,xspells,rf,_TfidfVectorizer,4,want reality check pay,execrable,-0.0667726951761461,0.8986125070293306,28,0.1137138083577156,12,0.0260715205222368,oozes condescension from every pore .,-0.1859004497528076
10,thanks to scott s charismatic roger and eisenberg s sweet nephew roger dodger is one of the most compelling variations on in the company of men,not far beneath the surface this reconfigured tale asks ,2.112480640411377,polarity,xspells,rf,_TfidfVectorizer,4,far beneath surface reconfigure tale ask,bluto blutarsky miss,0.0582914780849862,0.7739584342728285,25,0.16197523474693298,10,0.1479261517524719,"the actors are so terrific at conveying their young angst , we do indeed feel for them .",-0.0707265734672546
11,rifkin no doubt fancies himself something of a hube selby jr but there isn t an ounce of honest poetry in his entire script it s simply crude and unrelentingly exploitative,only an epic documentary could now it all about all ,2.0653350353240967,polarity,xspells,rf,_TfidfVectorizer,5,epic documentary,else-,0.0,0.8381080034765842,29,0.3072628378868103,11,0.2765203416347503,the 50-something lovebirds are too immature and unappealing to care about .,-0.0653677508234977
12,the town has kind of an authentic feel but each one of these people stand out and everybody else is in the background and it just seems manufactured to me and aificial,it s a coming of age story we ve all seen bits of in ,0.1172192096710205,polarity,xspells,rf,_TfidfVectorizer,5,s coming age story ve see bit,execrable,-0.0184964591960346,0.9280841075081824,30,0.3304418623447418,15,0.1402454823255539,burns never really harnesses to full effect the energetic cast .,-0.1156840175390243
