,target instance,closest counterfactual,runtime,dataset_name,text_method,model_name,vectorizer,not find,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
0,if i was i wasn t paying attention,this video free entry pounds or a real credit txt word free if to get txts cost now std on ,0.1870477199554443,spam,xspells,dnn_128,,0,video free entry pound real credit txt word free txts cost std,,0.0,0.7430341774192933,20,0.0483657531440258,,
1,check mail i have mailed varma and kept copy to you regarding membership take care insha allah,hi customer care we are selected on 1 000 bonus u for 2 send her send txt word to <end> ,0.117203950881958,spam,xspells,dnn_128,,0,hi customer care select 1 000 bonus u 2 send send txt word < end >,wylie tampa sarasota,-0.0375022416103134,0.8237125484212768,21,0.38776904344558716,21.0,0.0622899122536182
2,private your 2003 account statement for shows 800 un redeemed s i m points call 08715203652 identifier code 42810 expires 29 10 0,hi its im gon know wot did it make a pound hope ur friends an attempt of at e today i luv ,0.1805317401885986,spam,xspells,dnn_128,,0,hi m gon know wot pound hope ur friend attempt e today luv,important customer service announcement freephone 0800 542 0825,0.3355130504674818,0.7086850985952949,23,0.19602608680725098,23.0,0.0443904884159565
3,becoz its lt gt jan whn al the post ofice is in holiday so she cn go fr the post ofice got it duffer,this thing is the water a of the month unlimited fancy more fun reply contact you call 08001950382 ,0.1388452053070068,spam,xspells,dnn_128,,0,thing water month unlimited fancy fun reply contact 08001950382,,0.0,0.7374047850263848,23,0.30353453755378723,,
4,wan2 win a meet greet with westlife 4 u or a m8 they are currently on what tour 1 unbreakable 2 untamed 3 unkempt text 1 2 or 3 to 83049 cost 50p std text,this weekend s present for the t say 4 that holiday do have matches to your prize we call ,0.1723356246948242,spam,xspells,dnn_128,,0,weekend s present t 4 holiday match prize,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.3278968702261134,0.8482961919512908,34,0.3649727702140808,20.0,0.2057253122329712
5,great news call freefone 08006344447 to claim your guaranteed aps1000 cash or aps2000 gift speak to a live operator now,hi babe its u im im send my address did call work his eve am 2day im 2day 2 84128 now xx ,0.1747694015502929,spam,xspells,dnn_128,,0,hi babe u m m send address work eve 2day m 2day 2 84128 xx,important customer service announcement freephone 0800 542 0825,0.3483006960795969,0.6894838980611053,22,0.3245730996131897,23.0,0.3719037771224975
6,hi if ur lookin 4 saucy daytime fun wiv busty married woman am free all next week chat now 2 so time 09099726429 janinexx callsaps1 minmobsmorelkpobox177hp51fl,you will give this min before <end> ,0.1664588451385498,spam,xspells,dnn_128,,0,min < end >,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.2842725746359181,0.740336137008626,26,0.28502094745635986,21.0,0.0937608927488327
7,urgent your 4 costa del sol holiday or aps5000 await collection call 09050090044 now toclaim sae tc s pobox334 stockpo sk38xh costaps1 50 pm max10mins,no idea did i you only all each <end> ,0.1814465522766113,spam,xspells,dnn_128,,0,idea < end >,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.3446722170958851,0.7246456584788589,25,-0.011831553652882576,17.0,-0.0112242996692657
8,no prob i will send to your email,urgent your landline either awarded was or aps200 collection await await close t s 1 store ,0.1253495216369629,spam,xspells,dnn_128,,0,urgent landline award aps200 collection await await close t s 1 store,,0.0,0.7954003926164571,17,0.22188249230384827,,
9,spook up your mob with a halloween collection of a logo pic message plus a free eerie tone txt card spook to 8007 zed 08701417012150p per logo pic,do it takes into our 2nd by this message with u maybe all are good time from all that today ,0.1732203960418701,spam,xspells,dnn_128,,0,take 2nd message u maybe good time today,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.325682159654817,0.7822333817670345,27,0.23464319109916687,21.0,0.2811897993087768
