,target instance,closest_counterfactual,closest_true_counterfactual,farthest_true_counterfactual,closest_distance,farthest_distance,distance_cf_target,distance_metric,text_method,time
0,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,important customer job announcement think freephone 530 542 0825,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,right think,0.0,0.3055555555555556,0.7083333333333333,l0,lessconcon,0.048108816146850586
1,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,important customer job announcement think freephone 530 542 0825,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,town v. important,0.0,0.14143056792554487,0.5507796339456278,pairwise,lessconcon,0.20815420150756836
2,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,important customer job announcement think freephone 530 542 0825,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,right think,0.0,0.2357022603955158,0.7071067811865475,cosine,lessconcon,0.008304834365844727
3,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,important customer job announcement think freephone 530 542 0825,,billion call text help god,0.0,0.6548739964358814,0.8599096927429166,spacy,lessconcon,1.4926807880401611
4,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,think u ask tim 100 text message creative video phone half price line rental feel sure 0800 0721072 find,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,message phone hold,0.0,0.38596491228070173,0.7244582043343653,l0,lessconcon,0.07416224479675293
5,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,think u ask tim 100 text message creative video phone half price line rental feel sure 0800 0721072 find,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,message phone hold,0.0,0.1783584986133385,0.4618124931183959,pairwise,lessconcon,0.21554207801818848
6,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,think u ask tim 100 text message creative video phone half price line rental feel sure 0800 0721072 find,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,message phone hold,0.0,0.26490647141300877,0.6668859288553501,cosine,lessconcon,0.011452913284301758
7,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,think u ask tim 100 text message creative video phone half price line rental feel sure 0800 0721072 find,,turn phone mom tell cancer sister will stop call hurt talk u u home love u,0.0,0.8483594917294549,0.9475472122193394,spacy,lessconcon,1.6888389587402344
8,Last chance 2 claim ur aPS150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. aPS3.00 Sub. 16 . Remove txt X or STOP,afternoon 2 ignore cuz aps150 hotel rent haha 85023 now!savamob subject allow public s wat 08717898035 aps3.00 atm :p 54 maintain unlimited rt understand,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,yeah unlimited,0.0,0.2692307692307692,0.301994301994302,l0,lessconcon,0.08310461044311523
9,Last chance 2 claim ur aPS150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. aPS3.00 Sub. 16 . Remove txt X or STOP,afternoon 2 ignore cuz aps150 hotel rent haha 85023 now!savamob subject allow public s wat 08717898035 aps3.00 atm :p 54 maintain unlimited rt understand,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,yeah unlimited,0.0,0.08894671608737013,0.15551962221577845,pairwise,lessconcon,0.2154531478881836
10,Last chance 2 claim ur aPS150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. aPS3.00 Sub. 16 . Remove txt X or STOP,afternoon 2 ignore cuz aps150 hotel rent haha 85023 now!savamob subject allow public s wat 08717898035 aps3.00 atm :p 54 maintain unlimited rt understand,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,yeah unlimited,0.0,0.1386750490563073,0.3019405424385589,cosine,lessconcon,0.012083053588867188
11,Last chance 2 claim ur aPS150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. aPS3.00 Sub. 16 . Remove txt X or STOP,afternoon 2 ignore cuz aps150 hotel rent haha 85023 now!savamob subject allow public s wat 08717898035 aps3.00 atm :p 54 maintain unlimited rt understand,,not stick orchard dad car go 4 dinner u leh r free tonight,0.0,0.8487649425392922,0.8442779220234142,spacy,lessconcon,1.794933557510376
12,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,hate u u come bring phone 86688 bring feel meatball msg rcvd hg suite342/2lands blank w1j6hl farrell 11 year,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,e msg jus u say thank gift,0.0,0.1984126984126984,0.5,l0,lessconcon,0.07086491584777832
13,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,hate u u come bring phone 86688 bring feel meatball msg rcvd hg suite342/2lands blank w1j6hl farrell 11 year,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,message phone hold,0.0,0.07240380080811215,0.260582610588078,pairwise,lessconcon,0.21492505073547363
14,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,hate u u come bring phone 86688 bring feel meatball msg rcvd hg suite342/2lands blank w1j6hl farrell 11 year,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,turn phone mom tell cancer sister will stop call hurt talk u u home love u,0.0,0.3046358979224712,0.5000000000000001,cosine,lessconcon,0.012509346008300781
15,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,hate u u come bring phone 86688 bring feel meatball msg rcvd hg suite342/2lands blank w1j6hl farrell 11 year,,wud mind u not miss u not need u wil hurt wen u need amp u not tell care:-,0.0,0.8683827096407754,0.8993008578577706,spacy,lessconcon,1.6934504508972168
16,todays vodafone numbers ending with 0089(my last four digits) are selected to received a aPS350 award. If your number matches please call 09063442151 to claim your aPS350 award,todays shrek page kill 0089(my digit list receive aps350 :p number count hey 09063442151 aps350 admission,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,hey,0.0,0.53125,0.5357142857142857,l0,lessconcon,0.07035613059997559
17,todays vodafone numbers ending with 0089(my last four digits) are selected to received a aPS350 award. If your number matches please call 09063442151 to claim your aPS350 award,todays shrek page kill 0089(my digit list receive aps350 :p number count hey 09063442151 aps350 admission,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,hey,0.0,0.1751280861929285,0.4061953199975057,pairwise,lessconcon,0.20971322059631348
18,todays vodafone numbers ending with 0089(my last four digits) are selected to received a aPS350 award. If your number matches please call 09063442151 to claim your aPS350 award,todays shrek page kill 0089(my digit list receive aps350 :p number count hey 09063442151 aps350 admission,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,hey,0.0,0.22941573387056174,0.5740378478819278,cosine,lessconcon,0.010486602783203125
19,todays vodafone numbers ending with 0089(my last four digits) are selected to received a aPS350 award. If your number matches please call 09063442151 to claim your aPS350 award,todays shrek page kill 0089(my digit list receive aps350 :p number count hey 09063442151 aps350 admission,,pls accept day beg change number,0.0,0.7986364096149914,0.7828780079964726,spacy,lessconcon,1.6188805103302002
20,Went to ganesh dress shop,go ganesh t uk,sunshine quiz wkly q win sony dvd player u know country algarve txt ansr 82277 aps1.50 sp tyrone,not forget place free request 1stchoice.co.uk wish information 08707808226,0.0,0.17045454545454547,0.5,l0,lessconcon,0.0418553352355957
21,Went to ganesh dress shop,go ganesh t uk,sunshine quiz wkly q win sony dvd player u know country algarve txt ansr 82277 aps1.50 sp tyrone,not forget place free request 1stchoice.co.uk wish information 08707808226,0.0,0.14143056792554487,0.2605556710562624,pairwise,lessconcon,0.17523550987243652
22,Went to ganesh dress shop,go ganesh t uk,sunshine quiz wkly q win sony dvd player u know country algarve txt ansr 82277 aps1.50 sp tyrone,amanda regard renew upgrade current t mobile handset free charge offer end today tel 0845 021 3680 subject t c,0.0,0.21320071635561041,0.5,cosine,lessconcon,0.007306575775146484
23,Went to ganesh dress shop,go ganesh t uk,important customer service announcement freephone 0800 542 0825,wanna lay 2nite want real dogging location send direct ur mobile join uk large dogging network txt park 69696 nyt ec2a 3lp aps1.50 msg,0.32976287202141796,0.6778601991406821,0.7434021296746103,spacy,lessconcon,1.3248844146728516
24,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",meet ur partner soon ur actor ii flyng surprise 2 find free txt horo follow b4 star park e. g. horo arie,,big surprise,0.0,0.275,0.75,l0,lessconcon,0.06614065170288086
