closest counterfactual,closest true text,embedding distance,polyjuice similarity spacy,target text
Buchanan: Conservatives Must Be Cured '.,comment donald trump go social conservative state complete shock live light,0.4252258837223053,0.7248084637593334,"Bias: Trump Blamed For Sluggish Economy, Obama Lavished With Praise - Breitbart"
EMPTY : SVU' Tackles Trans Military Debates,missouri senate panel consider declare porn public health threat,0.47116896510124207,0.6420968621461078,'Law & Order: SVU' Tackles Trans Military Debate With Powerful Storyline
"The president's words did not fit onto the screens because they were too funny, The words were too funny.",bad news hillary camera catch give strange man $ 300,0.4415055513381958,0.801437959549495,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now
"Gorka Smites Hates Society, "" Hates on",uk vlogger teach nazi salute dog judge fine commit hate crime,0.43189409375190735,0.6119067374625454,"Gorka Smites Haters, Radical Islamists in Jerusalem Post Speech - Breitbart"
"Oliver North,",jet lag feel bad travel west east new york time,0.30553990602493286,0.654350867134618,"Oliver North, Key Player In Iran-Contra Scandal, Named NRA President"
How To apply for political asylum?,obama apply political asylum moneygall,0.7173979878425598,0.8211240420514945,Obama To Apply For Political Asylum In Moneygall
Dozens Killed In Reported Chemical Attack at Syrian Loyalist Camp,dozen kill report chemical attack syrian rebel enclave,0.74098801612854,0.8798343552111353,Dozens Killed In Reported Chemical Attack On Syrian Rebel Enclave
WikiLeaks Reveals CIA ’Archimedes’ EMPTY used to infect local networks,twitter fight bernie sander reveal network fake account,0.5418362617492676,0.6978627602439473,WikiLeaks Reveals CIA ’Archimedes’ Tool Reportedly Used to Infect Local Networks - Breitbart
The Democratic Party appoints and elects House Democratic Caucus leadership in the House of Representatives of the United States.,trump invite republican congressional leader white house healthcare tax reform overseas trip discussion,0.5045207738876343,0.8460552715505292,House Democrats Offer Internships For Students Affected By Gun Violence
"Pelosi: ’I Pray for Hillary Trump, That His Presidency Will Be Successful and That His Family Will Be Safe’",trump optimistic address ask congress end trivial fight new york time,0.45599398016929626,0.8501481097092035,"Pelosi: ’I Pray for Donald Trump, That His Presidency Will Be Successful and That His Family Will Be Safe’"
