,perturb,original,dataset,method,vectorizer,nb not found,time to generate counterfactual
0,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually a disaster,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,fake,Polyjuice,TfidfVectorizer,277,30.81843662261963
1,on the evidence is overwhelming the evidence does not support,Mark Levin on Trump Wiretapping Claims: ’The Evidence Is Overwhelming’ - Breitbart,fake,Polyjuice,TfidfVectorizer,277,31.802987813949585
2,"Daria Stockbridge, better known as Darcy Palmer, is an Australian actress and singer of Elton John name.","Gorka Smites Haters, Radical Islamists in Jerusalem Post Speech - Breitbart",fake,Polyjuice,TfidfVectorizer,277,26.993367433547974
3,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Prosecutions Against Police","#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police",fake,Polyjuice,TfidfVectorizer,277,27.349995851516724
4,akota Depot - Depot????,"Dakota Excess Pipeline? Standing Rock Protectors Strip-Searched, Jailed for Days on Minor Charges – Video, Links, and Commentary",fake,Polyjuice,TfidfVectorizer,277,35.40109086036682
5,What is NY 25 calendar year?,California Today: What to Look for on Election Day - The New York Times,fake,Polyjuice,TfidfVectorizer,277,22.39638900756836
6,"To claim political asylum, he had to apply for asylum in his home country.",Obama To Apply For Political Asylum In Moneygall,fake,Polyjuice,TfidfVectorizer,277,30.596068143844604
7,Officer Puts Man In Sticks Outside A North Carolina Waffle House,Officer Puts Man In Chokehold Outside A North Carolina Waffle House,fake,Polyjuice,TfidfVectorizer,277,26.4644718170166
8,Vandalized Arizona Mosque Flooded With Support From Christian Eaters,Vandalized Arizona Mosque Flooded With Support From Interfaith Allies,fake,Polyjuice,TfidfVectorizer,277,31.213101863861084
9,"Spoof Craigslist Ad Seeks Hillary Clinton For Donald Trump, And It's Hilarious","Spoof Craigslist Ad Seeks Lawyer For Donald Trump, And It's Hilarious",fake,Polyjuice,TfidfVectorizer,277,24.92543911933899
10,Can anyone help?,Can anyone help with the meaning behind a mystery playing card?,fake,Polyjuice,TfidfVectorizer,277,19.297093629837036
11,"If he were, I would have expected more for Donald Trump, that his administration would be chaotic and that his family would be safe.","Pelosi: ’I Pray for Donald Trump, That His Presidency Will Be Successful and That His Family Will Be Safe’",fake,Polyjuice,TfidfVectorizer,277,31.93396830558777
12,Washington’s meddling in foreign policy developments,Washington’s meddling in foreign elections,fake,Polyjuice,TfidfVectorizer,277,25.771333932876587
13,EMPTY Shooting Victim's Mom Accepts Daughter's Diploma.,Waffle House Shooting Victim's Mom Accepts Daughter's Diploma,fake,Polyjuice,TfidfVectorizer,277,22.781147718429565
14,The Rest Of The World Lost Their Up To March For Our Lives,The Rest Of The World Showed Up To March For Our Lives,fake,Polyjuice,TfidfVectorizer,277,29.97080135345459
15,My sister's school is a lot better than my university because the school is very academic.,"Tesla Hits a New Milestone, Passing G.M. in Valuation - The New York Times",fake,Polyjuice,TfidfVectorizer,277,33.52071833610535
16,( U. S. ),GOP Congressman Doug Lamborn Thrown Off The Ballot For 2018 (UPDATED),fake,Polyjuice,TfidfVectorizer,277,31.864619493484497
17,"The first lady, dressed in old fashioned clothing, is standing in front of a Washington Monument.","4 Presidents, 4 First Ladies Pose For Photo At Barbara Bush Funeral",fake,Polyjuice,TfidfVectorizer,277,26.23914074897766
18,is most likely the man who actually made the movie is himself.,General is most senior Army officer to kill self,fake,Polyjuice,TfidfVectorizer,277,25.39276885986328
19,I Went to My First Classical Music Concert. It Was in My Living Room. - 5.,I Went to My First Classical Music Concert. It Was in My Living Room. - The New York Times,fake,Polyjuice,TfidfVectorizer,277,25.975513696670532
20,Will Trump Will Be On 'Roseanne',Donald Trump Will Not Be Mentioned By Name On 'Roseanne',fake,Polyjuice,TfidfVectorizer,277,24.221007585525513
21,School Got Complaints About Teacher Even Before HuffPost Revealed Her Campus Racial Bias,School Got Complaints About Teacher Even Before HuffPost Revealed Her Racial Bias,fake,Polyjuice,TfidfVectorizer,277,30.24527359008789
