,target instance,closest_counterfactual,closest_true_counterfactual,farthest_true_counterfactual,closest_distance,farthest_distance,distance_cf_target,distance_metric,text_method,time
0,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police",nodapl native american_language leader vow stick_around winter file case police,bias trump blame sluggish economy obama lavish praise breitbart,prince die accord court document file sister new york time,0.0,0.1,0.7,l0,wordnet,0.0513453483581543
1,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police",nodapl native american_language leader vow stick_around winter file case police,bias trump blame sluggish economy obama lavish praise breitbart,prince die accord court document file sister new york time,0.0,0.05325383733705391,0.5415443207343177,pairwise,wordnet,0.21738529205322266
2,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police",nodapl native american_language leader vow stick_around winter file case police,bias trump blame sluggish economy obama lavish praise breitbart,prince die accord court document file sister new york time,0.0,0.09999999999999998,0.6999999999999998,cosine,wordnet,0.012268543243408203
3,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police",nodapl native american_language leader vow stick_around winter file case police,gwen stefani superfan beat gwen stefani gwen stefani quiz,prince die accord court document file sister new york time,0.04679460871851629,0.770316309902127,0.9416715299358231,spacy,wordnet,1.9926745891571045
4,Illegal Immigrant Accused of Murdering Teacher,illegal immigrant incriminate murder instructor,bias trump blame sluggish economy obama lavish praise breitbart,"democrats urge obama pardon 750,000 illegal immigrant trump take power",0.0,0.2909090909090909,0.6,l0,wordnet,0.036710500717163086
5,Illegal Immigrant Accused of Murdering Teacher,illegal immigrant incriminate murder instructor,bias trump blame sluggish economy obama lavish praise breitbart,"democrats urge obama pardon 750,000 illegal immigrant trump take power",0.0,0.16836842163679844,0.43161341897075145,pairwise,wordnet,0.21282553672790527
6,Illegal Immigrant Accused of Murdering Teacher,illegal immigrant incriminate murder instructor,bias trump blame sluggish economy obama lavish praise breitbart,"democrats urge obama pardon 750,000 illegal immigrant trump take power",0.0,0.26967994498529685,0.5999999999999999,cosine,wordnet,0.010122537612915039
7,Illegal Immigrant Accused of Murdering Teacher,illegal immigrant incriminate murder instructor,gwen stefani superfan beat gwen stefani gwen stefani quiz,"democrats urge obama pardon 750,000 illegal immigrant trump take power",0.0727700567689003,0.6607829828774577,0.9121928460290124,spacy,wordnet,1.8466689586639404
8,"Dakota Excess Pipeline? Standing Rock Protectors Strip-Searched, Jailed for Days on Minor Charges – Video, Links, and Commentary",dakota excess pipeline stick_out rock defender strip search jail day minor tutelage video link commentary,supreme court help company away sexual harassment,police arrest 141 crackdown north dakota pipeline protester,0.0,0.19166666666666665,0.8,l0,wordnet,0.09009861946105957
9,"Dakota Excess Pipeline? Standing Rock Protectors Strip-Searched, Jailed for Days on Minor Charges – Video, Links, and Commentary",dakota excess pipeline stick_out rock defender strip search jail day minor tutelage video link commentary,supreme court help company away sexual harassment,police arrest 141 crackdown north dakota pipeline protester,0.0,0.1021400742864553,0.6694188517266485,pairwise,wordnet,0.3384528160095215
10,"Dakota Excess Pipeline? Standing Rock Protectors Strip-Searched, Jailed for Days on Minor Charges – Video, Links, and Commentary",dakota excess pipeline stick_out rock defender strip search jail day minor tutelage video link commentary,supreme court help company away sexual harassment,police arrest 141 crackdown north dakota pipeline protester,0.0,0.18257418583505533,0.7999999999999999,cosine,wordnet,0.015470743179321289
11,"Dakota Excess Pipeline? Standing Rock Protectors Strip-Searched, Jailed for Days on Minor Charges – Video, Links, and Commentary",dakota excess pipeline stick_out rock defender strip search jail day minor tutelage video link commentary,chrissy teigen explain snapchat decision feel beyoncé biter,1 person find dead explosion rock site allege domestic hostage situation,0.2589654704682135,0.7873274469182981,0.95706058561176,spacy,wordnet,3.34031081199646
12,"Oliver North, Key Player In Iran-Contra Scandal, Named NRA President",oliver north key player inward iran contra scandal name nra chair,bias trump blame sluggish economy obama lavish praise breitbart,wikileak release 26th batch podestaemail clinton campaign chair,0.0,0.10795454545454546,0.8590909090909091,l0,wordnet,0.0511317253112793
13,"Oliver North, Key Player In Iran-Contra Scandal, Named NRA President",oliver north key player inward iran contra scandal name nra chair,bias trump blame sluggish economy obama lavish praise breitbart,wikileak release 26th batch podestaemail clinton campaign chair,0.0,0.059929968224223654,0.7327068970668786,pairwise,wordnet,0.2208259105682373
14,"Oliver North, Key Player In Iran-Contra Scandal, Named NRA President",oliver north key player inward iran contra scandal name nra chair,bias trump blame sluggish economy obama lavish praise breitbart,wikileak release 26th batch podestaemail clinton campaign chair,0.0,0.10660035817780521,0.8581163303210331,cosine,wordnet,0.012008190155029297
15,"Oliver North, Key Player In Iran-Contra Scandal, Named NRA President",oliver north key player inward iran contra scandal name nra chair,gwen stefani superfan beat gwen stefani gwen stefani quiz,world war 3 hillary clinton foundation holocaust isis saudi weapon mass destruction yemen,0.2652194999114412,0.7169698446341698,0.9424129943743522,spacy,wordnet,2.014056444168091
16,California Today: What to Look for on Election Day - The New York Times,california today look election daytime new house_of_york clip,supreme court help company away sexual harassment,people think kanye new yeezy shoe look like lego gummy shark,0.0,0.2159090909090909,0.625,l0,wordnet,0.06603360176086426
17,California Today: What to Look for on Election Day - The New York Times,california today look election daytime new house_of_york clip,supreme court help company away sexual harassment,people think kanye new yeezy shoe look like lego gummy shark,0.0,0.12083223046959846,0.4576241622696326,pairwise,wordnet,0.33152270317077637
18,California Today: What to Look for on Election Day - The New York Times,california today look election daytime new house_of_york clip,supreme court help company away sexual harassment,people think kanye new yeezy shoe look like lego gummy shark,0.0,0.21320071635561041,0.6249999999999999,cosine,wordnet,0.013315677642822266
19,California Today: What to Look for on Election Day - The New York Times,california today look election daytime new house_of_york clip,idris elba star new hunchback notre dame netflix,trump complaint obama give away syria strategy look pretty silly,0.2882610166040967,0.7439267708411693,0.9218544356370628,spacy,wordnet,3.0224413871765137
20,Obama To Apply For Political Asylum In Moneygall,obama apply political sanctuary moneygall,mark levin trump wiretapping claim evidence overwhelming breitbart,wikileak obama saudi agent,0.0,0.225,0.8,l0,wordnet,0.03846549987792969
21,Obama To Apply For Political Asylum In Moneygall,obama apply political sanctuary moneygall,mark levin trump wiretapping claim evidence overwhelming breitbart,wikileak obama saudi agent,0.0,0.1273595297947935,0.6694188517266485,pairwise,wordnet,0.21378421783447266
22,Obama To Apply For Political Asylum In Moneygall,obama apply political sanctuary moneygall,mark levin trump wiretapping claim evidence overwhelming breitbart,wikileak obama saudi agent,0.0,0.22360679774997896,0.7999999999999998,cosine,wordnet,0.010865449905395508
23,Obama To Apply For Political Asylum In Moneygall,obama apply political sanctuary moneygall,gwen stefani superfan beat gwen stefani gwen stefani quiz,"democrats urge obama pardon 750,000 illegal immigrant trump take power",0.10403581157091976,0.7884338102149554,0.9042254375096835,spacy,wordnet,1.8887500762939453
24,NY State Police Building MS-13 Unit,ny state_of_matter police building ms-13,bias trump blame sluggish economy obama lavish praise breitbart,fox friend host mock ny times isis coverage unaware beat fox story,0.0,0.12878787878787878,0.7738095238095238,l0,wordnet,0.0334928035736084
25,NY State Police Building MS-13 Unit,ny state_of_matter police building ms-13,bias trump blame sluggish economy obama lavish praise breitbart,fox friend host mock ny times isis coverage unaware beat fox story,0.0,0.058703614583341425,0.6327904583679949,pairwise,wordnet,0.2102663516998291
26,NY State Police Building MS-13 Unit,ny state_of_matter police building ms-13,bias trump blame sluggish economy obama lavish praise breitbart,fox friend host mock ny times isis coverage unaware beat fox story,0.0,0.1091089451179962,0.7715167498104595,cosine,wordnet,0.01048588752746582
27,NY State Police Building MS-13 Unit,ny state_of_matter police building ms-13,gwen stefani superfan beat gwen stefani gwen stefani quiz,man injure central park explosion new york time,0.11643789692430477,0.7751527614091563,0.9167967924948711,spacy,wordnet,1.8558533191680908
28,Officer Puts Man In Chokehold Outside A North Carolina Waffle House,officer put civilian indiana chokehold alfresco group_a north carolina waffle menage,bias trump blame sluggish economy obama lavish praise breitbart,north carolina governor sign law limit successor power new york time,0.0,0.18181818181818182,0.606060606060606,l0,wordnet,0.05113673210144043
29,Officer Puts Man In Chokehold Outside A North Carolina Waffle House,officer put civilian indiana chokehold alfresco group_a north carolina waffle menage,bias trump blame sluggish economy obama lavish praise breitbart,north carolina governor sign law limit successor power new york time,0.0,0.10658510262542636,0.3921811759712531,pairwise,wordnet,0.21242761611938477
30,Officer Puts Man In Chokehold Outside A North Carolina Waffle House,officer put civilian indiana chokehold alfresco group_a north carolina waffle menage,bias trump blame sluggish economy obama lavish praise breitbart,north carolina governor sign law limit successor power new york time,0.0,0.18181818181818182,0.6030226891555273,cosine,wordnet,0.011947393417358398
31,Officer Puts Man In Chokehold Outside A North Carolina Waffle House,officer put civilian indiana chokehold alfresco group_a north carolina waffle menage,7 food naturally cleanse liver,man injure central park explosion new york time,0.272426061772584,0.6676444218793931,0.8436982593768086,spacy,wordnet,2.0208232402801514
32,Dozens Killed In Reported Chemical Attack On Syrian Rebel Enclave,dozen kill atomic_number_49 account chemical attack syrian rebel enclave,bias trump blame sluggish economy obama lavish praise breitbart,ban eu dangerous chemical americans,0.0,0.15555555555555556,0.8263888888888888,l0,wordnet,0.04622173309326172
33,Dozens Killed In Reported Chemical Attack On Syrian Rebel Enclave,dozen kill atomic_number_49 account chemical attack syrian rebel enclave,bias trump blame sluggish economy obama lavish praise breitbart,ban eu dangerous chemical americans,0.0,0.08176804146599938,0.7060777744337088,pairwise,wordnet,0.21249747276306152
34,Dozens Killed In Reported Chemical Attack On Syrian Rebel Enclave,dozen kill atomic_number_49 account chemical attack syrian rebel enclave,bias trump blame sluggish economy obama lavish praise breitbart,ban eu dangerous chemical americans,0.0,0.14907119849998599,0.8249579113843053,cosine,wordnet,0.011000633239746094
35,Dozens Killed In Reported Chemical Attack On Syrian Rebel Enclave,dozen kill atomic_number_49 account chemical attack syrian rebel enclave,gwen stefani superfan beat gwen stefani gwen stefani quiz,airstrike yemen kill 17 civilian witness new york time,0.11730141525025255,0.760347012574802,0.9737809995043152,spacy,wordnet,1.9553020000457764
36,France’s Obsession With Decline Is a Booming Industry - The New York Times,france obsession decline boom industry new house_of_york sentence,supreme court help company away sexual harassment,maryland governor candidate breastfeed new campaign ad,0.0,0.13392857142857142,0.75,l0,wordnet,0.06496047973632812
37,France’s Obsession With Decline Is a Booming Industry - The New York Times,france obsession decline boom industry new house_of_york sentence,supreme court help company away sexual harassment,maryland governor candidate breastfeed new campaign ad,0.0,0.07244081925041986,0.6029748160380571,pairwise,wordnet,0.3297286033630371
38,France’s Obsession With Decline Is a Booming Industry - The New York Times,france obsession decline boom industry new house_of_york sentence,supreme court help company away sexual harassment,maryland governor candidate breastfeed new campaign ad,0.0,0.13363062095621217,0.7499999999999999,cosine,wordnet,0.013090848922729492
39,France’s Obsession With Decline Is a Booming Industry - The New York Times,france obsession decline boom industry new house_of_york sentence,renee zellweger judy garland look upcoming biopic,canada large school system cancel usa trip fear travel ban,0.28062106733251146,0.6965328533046642,0.9392085904600613,spacy,wordnet,3.027569055557251
40,Michigan Allots $87 Million to Replace Flint’s Tainted Water Pipes - The New York Times,michigan allot $ lxxxvii million replace flint taint water pipe new house_of_york clock,supreme court help company away sexual harassment,christiane amanpour head new pbs replace charlie rise,0.0,0.20833333333333331,0.75,l0,wordnet,0.07950472831726074
41,Michigan Allots $87 Million to Replace Flint’s Tainted Water Pipes - The New York Times,michigan allot $ lxxxvii million replace flint taint water pipe new house_of_york clock,supreme court help company away sexual harassment,christiane amanpour head new pbs replace charlie rise,0.0,0.11521554337793123,0.6029748160380574,pairwise,wordnet,0.3361070156097412
42,Michigan Allots $87 Million to Replace Flint’s Tainted Water Pipes - The New York Times,michigan allot $ lxxxvii million replace flint taint water pipe new house_of_york clock,supreme court help company away sexual harassment,christiane amanpour head new pbs replace charlie rise,0.0,0.20412414523193148,0.7500000000000001,cosine,wordnet,0.014273643493652344
43,Michigan Allots $87 Million to Replace Flint’s Tainted Water Pipes - The New York Times,michigan allot $ lxxxvii million replace flint taint water pipe new house_of_york clock,chrissy teigen explain snapchat decision feel beyoncé biter,"watch blue ivy bid $ 19,000 art like big deal",0.17434041026287878,0.727644475300323,0.9616502817439442,spacy,wordnet,3.24662709236145
44,Eleven Madison Park Plans a Makeover and a Summer Pop-Up - The New York Times,madison parking_lot design makeover summer pop new house_of_york time,supreme court help company away sexual harassment,trump time dream big,0.0,0.18055555555555555,0.6666666666666666,l0,wordnet,0.0694272518157959
45,Eleven Madison Park Plans a Makeover and a Summer Pop-Up - The New York Times,madison parking_lot design makeover summer pop new house_of_york time,supreme court help company away sexual harassment,trump time dream big,0.0,0.09269789668627057,0.5031026124151314,pairwise,wordnet,0.33100152015686035
46,Eleven Madison Park Plans a Makeover and a Summer Pop-Up - The New York Times,madison parking_lot design makeover summer pop new house_of_york time,supreme court help company away sexual harassment,trump time dream big,0.0,0.16666666666666666,0.6666666666666666,cosine,wordnet,0.013502359390258789
47,Eleven Madison Park Plans a Makeover and a Summer Pop-Up - The New York Times,madison parking_lot design makeover summer pop new house_of_york time,o.j simpson dismiss colin kaepernick stand flag,trump time dream big,0.22949643456818106,0.7026462909137094,0.9329756493720097,spacy,wordnet,3.0509963035583496
48,Exclusive - Rand Paul on Omnibus Spending Bill: ’President Hillary Clinton Would Have Been Proud of This Bill’ - Breitbart,single rand saul_of_tarsus omnibus spending bill president sir_edmund_hillary hilary_rodham_clinton proud bill breitbart,supreme court help company away sexual harassment,4 president 4 lady pose photo barbara bush funeral,0.0,0.10795454545454546,0.6363636363636364,l0,wordnet,0.07994866371154785
49,Exclusive - Rand Paul on Omnibus Spending Bill: ’President Hillary Clinton Would Have Been Proud of This Bill’ - Breitbart,single rand saul_of_tarsus omnibus spending bill president sir_edmund_hillary hilary_rodham_clinton proud bill breitbart,supreme court help company away sexual harassment,4 president 4 lady pose photo barbara bush funeral,0.0,0.06437099366532754,0.43161341897075156,pairwise,wordnet,0.3316831588745117
50,Exclusive - Rand Paul on Omnibus Spending Bill: ’President Hillary Clinton Would Have Been Proud of This Bill’ - Breitbart,single rand saul_of_tarsus omnibus spending bill president sir_edmund_hillary hilary_rodham_clinton proud bill breitbart,supreme court help company away sexual harassment,bill gate say trump know difference hpv hiv,0.0,0.1889822365046136,0.7142857142857143,cosine,wordnet,0.015270471572875977
51,Exclusive - Rand Paul on Omnibus Spending Bill: ’President Hillary Clinton Would Have Been Proud of This Bill’ - Breitbart,single rand saul_of_tarsus omnibus spending bill president sir_edmund_hillary hilary_rodham_clinton proud bill breitbart,diamond silk,rand paul say oppose trump nominee cia secretary state,0.1738754696946094,0.7225823853519591,0.9191505107676341,spacy,wordnet,3.197035551071167
52,Caught On Tape: ISIS Destroys Iraqi Abrams With Anti-Tank Missile,catch tape isis destroy iraqi abrams pro cooler missile,bias trump blame sluggish economy obama lavish praise breitbart,fox friend host mock ny times isis coverage unaware beat fox story,0.0,0.10101010101010101,0.7777777777777778,l0,wordnet,0.04807901382446289
53,Caught On Tape: ISIS Destroys Iraqi Abrams With Anti-Tank Missile,catch tape isis destroy iraqi abrams pro cooler missile,bias trump blame sluggish economy obama lavish praise breitbart,world war 3 hillary clinton foundation holocaust isis saudi weapon mass destruction yemen,0.0,0.05117102977172802,0.6392306240536284,pairwise,wordnet,0.21334218978881836
54,Caught On Tape: ISIS Destroys Iraqi Abrams With Anti-Tank Missile,catch tape isis destroy iraqi abrams pro cooler missile,bias trump blame sluggish economy obama lavish praise breitbart,world war 3 hillary clinton foundation holocaust isis saudi weapon mass destruction yemen,0.0,0.09245003270420486,0.7777777777777778,cosine,wordnet,0.012179851531982422
55,Caught On Tape: ISIS Destroys Iraqi Abrams With Anti-Tank Missile,catch tape isis destroy iraqi abrams pro cooler missile,gwen stefani superfan beat gwen stefani gwen stefani quiz,obama war u.s serviceman kill northern syria improvise explosive device today,0.2488909982361345,0.7041590775076625,0.9349810764472989,spacy,wordnet,1.9782888889312744
56,Waffle House Shooting Victim's Mom Accepts Daughter's Diploma,waffle household shoot victim mom accept daughter diploma,bias trump blame sluggish economy obama lavish praise breitbart,4 year hurricane sandy 2 household wait home new york time,0.0,0.10795454545454546,0.875,l0,wordnet,0.04499459266662598
57,Waffle House Shooting Victim's Mom Accepts Daughter's Diploma,waffle household shoot victim mom accept daughter diploma,bias trump blame sluggish economy obama lavish praise breitbart,4 year hurricane sandy 2 household wait home new york time,0.0,0.0633548122219654,0.7799154245579976,pairwise,wordnet,0.21266484260559082
58,Waffle House Shooting Victim's Mom Accepts Daughter's Diploma,waffle household shoot victim mom accept daughter diploma,bias trump blame sluggish economy obama lavish praise breitbart,4 year hurricane sandy 2 household wait home new york time,0.0,0.10660035817780521,0.8749999999999998,cosine,wordnet,0.011093854904174805
59,Waffle House Shooting Victim's Mom Accepts Daughter's Diploma,waffle household shoot victim mom accept daughter diploma,gwen stefani superfan beat gwen stefani gwen stefani quiz,way gift generosity child teenager new york time,0.19537103035656783,0.7404703763387173,0.9774956762451306,spacy,wordnet,1.9227502346038818
60,"'Fox & Friends' Host Mocks NY Times' ISIS Coverage, Unaware It Beat Fox To The Story",fox friend host bemock ny times isi coverage unaware beat fox story,supreme court help company away sexual harassment,fox news host neil cavuto tell trump stink fiery takedown,0.0,0.19090909090909092,0.9090909090909091,l0,wordnet,0.07592988014221191
61,"'Fox & Friends' Host Mocks NY Times' ISIS Coverage, Unaware It Beat Fox To The Story",fox friend host bemock ny times isi coverage unaware beat fox story,supreme court help company away sexual harassment,fox news host neil cavuto tell trump stink fiery takedown,0.0,0.14897765831133694,0.7523197619890012,pairwise,wordnet,0.33365869522094727
62,"'Fox & Friends' Host Mocks NY Times' ISIS Coverage, Unaware It Beat Fox To The Story",fox friend host bemock ny times isi coverage unaware beat fox story,supreme court help company away sexual harassment,fox news host neil cavuto tell trump stink fiery takedown,0.0,0.253546276418555,0.8571428571428571,cosine,wordnet,0.014650821685791016
63,"'Fox & Friends' Host Mocks NY Times' ISIS Coverage, Unaware It Beat Fox To The Story",fox friend host bemock ny times isi coverage unaware beat fox story,diamond silk,reporter reveal trump gin good sex page story,0.3123982561487436,0.7577176425202392,0.9610186532834799,spacy,wordnet,3.199843168258667
64,GOP: We Will Be United Against Any Supreme Court Nominee Of Hillary Clinton (VIDEO),gop disinherit unite supreme court nominee edmund_hillary william_jefferson_clinton video,bill gate say trump know difference hpv hiv,trump travel ban face supreme court reckoning,0.0,0.25396825396825395,0.7083333333333333,l0,wordnet,0.06897854804992676
65,GOP: We Will Be United Against Any Supreme Court Nominee Of Hillary Clinton (VIDEO),gop disinherit unite supreme court nominee edmund_hillary william_jefferson_clinton video,bill gate say trump know difference hpv hiv,trump travel ban face supreme court reckoning,0.0,0.14587439082056453,0.5507796339456278,pairwise,wordnet,0.33776187896728516
66,GOP: We Will Be United Against Any Supreme Court Nominee Of Hillary Clinton (VIDEO),gop disinherit unite supreme court nominee edmund_hillary william_jefferson_clinton video,bill gate say trump know difference hpv hiv,trump travel ban face supreme court reckoning,0.0,0.2519763153394848,0.7071067811865475,cosine,wordnet,0.014019489288330078
67,GOP: We Will Be United Against Any Supreme Court Nominee Of Hillary Clinton (VIDEO),gop disinherit unite supreme court nominee edmund_hillary william_jefferson_clinton video,diamond silk,rand paul say oppose trump nominee cia secretary state,0.1419995949117961,0.7321122487519743,0.8838648319877295,spacy,wordnet,3.0531201362609863
68,"Tesla Hits a New Milestone, Passing G.M. in Valuation - The New York Times",tesla hit freshly milestone pass g.m evaluation new house_of_york fourth_dimension,supreme court help company away sexual harassment,hit sinclair hurt accord anonymous sinclair anchor,0.0,0.12878787878787878,0.6681818181818182,l0,wordnet,0.0691227912902832
69,"Tesla Hits a New Milestone, Passing G.M. in Valuation - The New York Times",tesla hit freshly milestone pass g.m evaluation new house_of_york fourth_dimension,supreme court help company away sexual harassment,maryland governor candidate breastfeed new campaign ad,0.0,0.06804963087832473,0.4476317567942473,pairwise,wordnet,0.3318359851837158
70,"Tesla Hits a New Milestone, Passing G.M. in Valuation - The New York Times",tesla hit freshly milestone pass g.m evaluation new house_of_york fourth_dimension,supreme court help company away sexual harassment,maryland governor candidate breastfeed new campaign ad,0.0,0.11396057645963795,0.6689936080056726,cosine,wordnet,1.0848236083984375
71,"Tesla Hits a New Milestone, Passing G.M. in Valuation - The New York Times",tesla hit freshly milestone pass g.m evaluation new house_of_york fourth_dimension,diamond silk,north korea demolish tunnel nuclear test site report,0.24857634308501012,0.5701878093389663,0.8798802417960426,spacy,wordnet,3.1033990383148193
72,Is Your County Elections Clerk Ready For Russian Hackers?,personify county election salesclerk ready russian hacker,bias trump blame sluggish economy obama lavish praise breitbart,modern history rigged election,0.0,0.19642857142857142,0.7738095238095238,l0,wordnet,0.04250621795654297
73,Is Your County Elections Clerk Ready For Russian Hackers?,personify county election salesclerk ready russian hacker,bias trump blame sluggish economy obama lavish praise breitbart,modern history rigged election,0.0,0.1059921313509325,0.6327904583679949,pairwise,wordnet,0.21106243133544922
74,Is Your County Elections Clerk Ready For Russian Hackers?,personify county election salesclerk ready russian hacker,bias trump blame sluggish economy obama lavish praise breitbart,modern history rigged election,0.0,0.1889822365046136,0.7715167498104595,cosine,wordnet,0.011110544204711914
75,Is Your County Elections Clerk Ready For Russian Hackers?,personify county election salesclerk ready russian hacker,gwen stefani superfan beat gwen stefani gwen stefani quiz,i.o.c president say russian federation bar new york time,0.24834504396897772,0.6848131136361957,0.903176722125548,spacy,wordnet,1.9395701885223389
76,Iran Says Europe's Support For Nuclear Deal Isn't Enough After America's Withdrawal,iran enjoin europe support nuclear deal america withdrawal,bias trump blame sluggish economy obama lavish praise breitbart,soros launch purple revolution america,0.0,0.1625,0.875,l0,wordnet,0.0447237491607666
77,Iran Says Europe's Support For Nuclear Deal Isn't Enough After America's Withdrawal,iran enjoin europe support nuclear deal america withdrawal,bias trump blame sluggish economy obama lavish praise breitbart,soros launch purple revolution america,0.0,0.08704446792504217,0.7799154245579976,pairwise,wordnet,0.21174860000610352
78,Iran Says Europe's Support For Nuclear Deal Isn't Enough After America's Withdrawal,iran enjoin europe support nuclear deal america withdrawal,bias trump blame sluggish economy obama lavish praise breitbart,soros launch purple revolution america,0.0,0.15811388300841897,0.8749999999999998,cosine,wordnet,0.012027263641357422
79,Iran Says Europe's Support For Nuclear Deal Isn't Enough After America's Withdrawal,iran enjoin europe support nuclear deal america withdrawal,gwen stefani superfan beat gwen stefani gwen stefani quiz,obama war u.s serviceman kill northern syria improvise explosive device today,0.1301670365603883,0.7613625390798798,0.9675715032844061,spacy,wordnet,1.9677109718322754
