,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find
0,"the movie has a soft , percolating magic , a deadpan suspense .","the UNKWORDZ has a UNKWORDZ , UNKWORDZ magic , a deadpan suspense .",unkwordz unkwordz unkwordz magic deadpan suspense,execrable,CountVectorizer,sedc,MLPClassifier,polarity,0.05302762985229492,0
1,this is one of polanski's best films .,this is one of UNKWORDZ 's UNKWORDZ UNKWORDZ UNKWORDZ,unkwordz unkwordz unkwordz unkwordz,fluffy disposible,CountVectorizer,sedc,MLPClassifier,polarity,0.052344322204589844,0
2,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .","like UNKWORDZ with his passages , mcgrath crafts quite moving UNKWORDZ throughout his resolutely UNKWORDZ variation on the novel .",like unkwordz passage mcgrath craft move unkwordz resolutely unkwordz variation novel,bluto blutarsky miss,CountVectorizer,sedc,MLPClassifier,polarity,0.04793047904968262,0
3,"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .","there 's no point of view , no contemporary interpretation of joan 's prefeminist plight , so we 're left thinking the UNKWORDZ reason to make the movie is because present UNKWORDZ allow for plenty UNKWORDZ nudity .",point view contemporary interpretation joan prefeminist plight leave think unkwordz reason movie present unkwordz allow plenty unkwordz nudity,execrable,CountVectorizer,sedc,MLPClassifier,polarity,0.05822134017944336,0
4,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,sitting through the last reel ( UNKWORDZ UNKWORDZ ! ) is significantly less charming than listening to a four - year - old with a taste for exaggeration recount his UNKWORDZ trip to the haunted house .,sit reel unkwordz unkwordz significantly charming listen year old taste exaggeration recount unkwordz trip haunted house,else-,CountVectorizer,sedc,MLPClassifier,polarity,0.09197664260864258,0
5,". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .","UNKWORDZ . UNKWORDZ UNKWORDZ , UNKWORDZ eye UNKWORDZ UNKWORDZ UNKWORDZ of UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ of rebellion UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ",unkwordz unkwordz unkwordz unkwordz eye unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz rebellion unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,else-,CountVectorizer,sedc,MLPClassifier,polarity,0.4490633010864258,0
6,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,UNKWORDZ 's a glorious spectacle like those UNKWORDZ . w . griffith made in the early UNKWORDZ of silent film .,unkwordz glorious spectacle like unkwordz w griffith early unkwordz silent film,else-,CountVectorizer,sedc,MLPClassifier,polarity,0.0416567325592041,0
7,[at least] moore is a real charmer .,[ at least ] UNKWORDZ UNKWORDZ a UNKWORDZ UNKWORDZ .,unkwordz unkwordz unkwordz unkwordz,fluffy disposible,CountVectorizer,sedc,MLPClassifier,polarity,0.05994415283203125,0
8,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,the film starts out UNKWORDZ competent but UNKWORDZ . . . and gradually grows into UNKWORDZ of considerable UNKWORDZ .,film start unkwordz competent unkwordz gradually grow unkwordz considerable unkwordz,execrable,CountVectorizer,sedc,MLPClassifier,polarity,0.0723884105682373,0
9,. . . always remains movingly genuine .,. . UNKWORDZ UNKWORDZ UNKWORDZ movingly genuine .,unkwordz unkwordz unkwordz movingly genuine,else-,CountVectorizer,sedc,MLPClassifier,polarity,0.05184483528137207,0
10,jonathan parker's bartleby should have been the be-all-end-all of the modern-office anomie films .,jonathan parker 's bartleby UNKWORDZ UNKWORDZ been the be - all - end - all of the UNKWORDZ - office anomie films .,jonathan parker bartleby unkwordz unkwordz end unkwordz office anomie film,else-,CountVectorizer,sedc,MLPClassifier,polarity,0.04999995231628418,0
11,there's more repetition than creativity throughout the movie .,there 's UNKWORDZ repetition UNKWORDZ creativity throughout the UNKWORDZ .,unkwordz repetition unkwordz creativity unkwordz,execrable,CountVectorizer,sedc,MLPClassifier,polarity,0.05051469802856445,0
12,"the movie isn't just hilarious : it's witty and inventive , too , and in hindsight , it isn't even all that dumb .","the movie is n't UNKWORDZ hilarious : it 's witty and inventive UNKWORDZ too , and in hindsight , it is n't even UNKWORDZ that dumb .",movie unkwordz hilarious witty inventive unkwordz hindsight unkwordz dumb,execrable,CountVectorizer,sedc,MLPClassifier,polarity,0.05972599983215332,0
13,"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .","a UNKWORDZ african film about the UNKWORDZ condition UNKWORDZ rootlessness , a state experienced by millions around the globe .",unkwordz african film unkwordz condition unkwordz rootlessness state experience million globe,else-,CountVectorizer,sedc,MLPClassifier,polarity,0.05503487586975098,0
14,"in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar .","in the UNKWORDZ UNKWORDZ a UNKWORDZ UNKWORDZ untold , bui UNKWORDZ to UNKWORDZ UNKWORDZ UNKWORDZ is UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ",unkwordz unkwordz unkwordz unkwordz untold bui unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,execrable,CountVectorizer,sedc,MLPClassifier,polarity,0.30403637886047363,0
15,"for all its shoot-outs , fistfights , and car chases , this movie is a phlegmatic bore , so tedious it makes the silly spy vs . spy film the sum of all fears , starring ben affleck , seem downright hitchcockian .","UNKWORDZ all UNKWORDZ UNKWORDZ - UNKWORDZ , fistfights , and UNKWORDZ chases , this movie is a phlegmatic UNKWORDZ , UNKWORDZ UNKWORDZ it makes the silly UNKWORDZ UNKWORDZ . spy film the sum UNKWORDZ all fears , starring ben UNKWORDZ UNKWORDZ seem UNKWORDZ UNKWORDZ .",unkwordz unkwordz unkwordz unkwordz fistfight unkwordz chase movie phlegmatic unkwordz unkwordz unkwordz make silly unkwordz unkwordz spy film sum unkwordz fear star ben unkwordz unkwordz unkwordz unkwordz,execrable,CountVectorizer,sedc,MLPClassifier,polarity,0.7189185619354248,0
16,"a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .","a UNKWORDZ UNKWORDZ through the sort UNKWORDZ idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .",unkwordz unkwordz sort unkwordz idoosyncratic terrain errol morris deal possess loose lackadaisical charm,else-,CountVectorizer,sedc,MLPClassifier,polarity,0.08393502235412598,0
17,eight crazy nights is a showcase for sandler's many talents .,eight crazy UNKWORDZ UNKWORDZ a UNKWORDZ for UNKWORDZ 's many talents .,crazy unkwordz unkwordz unkwordz unkwordz talent,execrable,CountVectorizer,sedc,MLPClassifier,polarity,0.08623480796813965,0
18,"from beginning to end , this overheated melodrama plays like a student film .","from beginning to UNKWORDZ , UNKWORDZ UNKWORDZ melodrama plays like a student film .",begin unkwordz unkwordz unkwordz melodrama play like student film,execrable,CountVectorizer,sedc,MLPClassifier,polarity,0.05440378189086914,0
19,"by taking entertainment tonight subject matter and giving it humor and poignancy , auto focus becomes both gut-bustingly funny and crushingly depressing .","UNKWORDZ UNKWORDZ entertainment tonight subject matter and giving it humor UNKWORDZ poignancy , auto focus becomes both gut - bustingly UNKWORDZ and crushingly depressing .",unkwordz unkwordz entertainment tonight subject matter give humor unkwordz poignancy auto focus gut bustingly unkwordz crushingly depressing,else-,CountVectorizer,sedc,MLPClassifier,polarity,0.10521578788757324,0
20,like mike isn't interested in recycling old cliches . it wants to tweak them with a taste of tangy new humor .,like UNKWORDZ is n't interested in UNKWORDZ old cliches . it wants to tweak UNKWORDZ UNKWORDZ a taste of tangy new UNKWORDZ .,like unkwordz interested unkwordz old cliche want tweak unkwordz unkwordz taste tangy new unkwordz,else-,CountVectorizer,sedc,MLPClassifier,polarity,0.09730315208435059,0
21,"it is a testament of quiet endurance , of common concern , of reconciled survival .","it is a testament UNKWORDZ UNKWORDZ endurance , of common concern , of reconciled UNKWORDZ .",testament unkwordz unkwordz endurance common concern reconciled unkwordz,else-,CountVectorizer,sedc,MLPClassifier,polarity,0.045583486557006836,0
22,it's probably not easy to make such a worthless film . . .,it UNKWORDZ probably UNKWORDZ easy UNKWORDZ make such a worthless film . . .,unkwordz probably unkwordz easy unkwordz worthless film,execrable,CountVectorizer,sedc,MLPClassifier,polarity,0.04322052001953125,0
23,""" antwone fisher "" is an earnest , by-the-numbers effort by washington . it won't rock any boats but is solid meat-and-potatoes filmmaking .",""" antwone fisher "" is an earnest , UNKWORDZ - the - numbers effort by washington . it wo n't rock any boats but is UNKWORDZ meat - and UNKWORDZ potatoes filmmaking .",antwone fisher earnest unkwordz number effort washington wo rock boat unkwordz meat unkwordz potato filmmake,else-,CountVectorizer,sedc,MLPClassifier,polarity,0.11795759201049805,0
24,a non-mystery mystery .,a UNKWORDZ - UNKWORDZ UNKWORDZ .,unkwordz unkwordz unkwordz,execrable,CountVectorizer,sedc,MLPClassifier,polarity,0.043450117111206055,0
25,"i can imagine this movie as a b&w british comedy , circa 1960 , with peter sellers , kenneth williams , et al . , but at this time , with this cast , this movie is hopeless .","i can imagine this movie as a b&w british comedy , circa UNKWORDZ , with peter sellers , kenneth williams , et al . , but at this time , UNKWORDZ this cast , this movie is UNKWORDZ .",imagine movie b&w british comedy circa unkwordz peter seller kenneth williams et al time unkwordz cast movie unkwordz,execrable,CountVectorizer,sedc,MLPClassifier,polarity,0.08242321014404297,0
26,"a touching , sophisticated film that almost seems like a documentary in the way it captures an italian immigrant family on the brink of major changes .",a UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ almost seems UNKWORDZ UNKWORDZ UNKWORDZ in the UNKWORDZ it UNKWORDZ UNKWORDZ UNKWORDZ immigrant UNKWORDZ UNKWORDZ the brink UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ,unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz immigrant unkwordz unkwordz brink unkwordz unkwordz unkwordz unkwordz,else-,CountVectorizer,sedc,MLPClassifier,polarity,0.44127345085144043,0
27,". . . very funny , very enjoyable . . .",. . . very funny UNKWORDZ very UNKWORDZ . . UNKWORDZ,funny unkwordz unkwordz unkwordz,else-,CountVectorizer,sedc,MLPClassifier,polarity,0.06036639213562012,0
28,"it celebrates the group's playful spark of nonconformity , glancing vividly back at what hibiscus grandly called his 'angels of light . '",it UNKWORDZ the group 's UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ of UNKWORDZ . ',unkwordz group unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,fluffy disposible,CountVectorizer,sedc,MLPClassifier,polarity,0.4782235622406006,0
29,i can't recommend it . but it's surprisingly harmless .,i ca UNKWORDZ recommend it UNKWORDZ but UNKWORDZ 's surprisingly harmless .,unkwordz recommend unkwordz unkwordz surprisingly harmless,execrable,CountVectorizer,sedc,MLPClassifier,polarity,0.04351401329040527,0
30,"narratively , trouble every day is a plodding mess .","narratively , trouble UNKWORDZ UNKWORDZ is a UNKWORDZ UNKWORDZ .",narratively trouble unkwordz unkwordz unkwordz unkwordz,execrable,CountVectorizer,sedc,MLPClassifier,polarity,0.056059837341308594,0
31,[a] rather thinly-conceived movie .,[ a ] UNKWORDZ UNKWORDZ - UNKWORDZ UNKWORDZ UNKWORDZ,unkwordz unkwordz unkwordz unkwordz unkwordz,bluto blutarsky miss,CountVectorizer,sedc,MLPClassifier,polarity,0.09589433670043945,1
32,has a lot of the virtues of eastwood at his best .,has a lot of the UNKWORDZ of eastwood UNKWORDZ his UNKWORDZ .,lot unkwordz eastwood unkwordz unkwordz,else-,CountVectorizer,sedc,MLPClassifier,polarity,0.04337286949157715,1
