,perturb,original,dataset,method,vectorizer,nb not found,time to generate counterfactual
0,"It has a great soft, percolating magic, a deadpan suspense.","the movie has a soft , percolating magic , a deadpan suspense .",polarity,Polyjuice,CountVectorizer,190,42.871581077575684
1,"All of the characters on this show are great actors or actresses, but none of them really have any depth as their character.",sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,polarity,Polyjuice,CountVectorizer,190,35.118486404418945
2,"and then they left that afternoon, and then, for two nights, we'd go out there in the sunlight and eat cactus candy, and then we'd go somewhere else.",". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .",polarity,Polyjuice,CountVectorizer,190,47.73861575126648
3,it's a glorious spectacle like those d . w . griffith made in the dawn .,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,polarity,Polyjuice,CountVectorizer,190,30.56493854522705
4,[at least] moore is a real EMPTY .,[at least] moore is a real charmer .,polarity,Polyjuice,CountVectorizer,190,27.543910264968872
5,the film starts out as competent but amazing . . . and gradually grows into something of considerable power ..,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,polarity,Polyjuice,CountVectorizer,190,29.885252952575684
6,. . . always remains somewhat maddeningly strange .,. . . always remains movingly genuine .,polarity,Polyjuice,CountVectorizer,190,37.62241053581238
7,james belushi is even better!,jonathan parker's bartleby should have been the be-all-end-all of the modern-office anomie films .,polarity,Polyjuice,CountVectorizer,190,41.382633209228516
8,"the movie isn't just hilarious : it's witty and inventive , though , and in hindsight , it isn't even all that dumb .","the movie isn't just hilarious : it's witty and inventive , too , and in hindsight , it isn't even all that dumb .",polarity,Polyjuice,CountVectorizer,190,31.317320823669434
9,"( although it has been over a year now, bungie: it was a bad idea back in 2007. ).","for all its shoot-outs , fistfights , and car chases , this movie is a phlegmatic bore , so tedious it makes the silly spy vs . spy film the sum of all fears , starring ben affleck , seem downright hitchcockian .",polarity,Polyjuice,CountVectorizer,190,47.00363898277283
10,"a pleasant ramble through the sort of idoosyncratic terrain that errol morris has rarely dealt with . . . it does possess a loose , lackadaisical charm .","a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .",polarity,Polyjuice,CountVectorizer,190,55.02243638038635
11,"beginning to end, this becomes engrossing, dark drama like a student film.","from beginning to end , this overheated melodrama plays like a student film .",polarity,Polyjuice,CountVectorizer,190,32.47484254837036
12,like mike isn't interested in recycling old cliches . it wants to tweak them only with a taste of tangy new humor .,like mike isn't interested in recycling old cliches . it wants to tweak them with a taste of tangy new humor .,polarity,Polyjuice,CountVectorizer,190,34.285322427749634
13,"it is a testament of the endurance , of common concern , of reconciled survival .","it is a testament of quiet endurance , of common concern , of reconciled survival .",polarity,Polyjuice,CountVectorizer,190,31.009608268737793
14,It's really just that bad.,"a touching , sophisticated film that almost seems like a documentary in the way it captures an italian immigrant family on the brink of major changes .",polarity,Polyjuice,CountVectorizer,190,33.93323874473572
15,". . . very irritating , very enjoyable . . .",". . . very funny , very enjoyable . . .",polarity,Polyjuice,CountVectorizer,190,24.736039638519287
16,i can't recommend it a lot . but it's surprisingly harmless .,i can't recommend it . but it's surprisingly harmless .,polarity,Polyjuice,CountVectorizer,190,22.93677258491516
17,"As the story unfolds, we get to know each other, get friends and get into various crises.","narratively , trouble every day is a plodding mess .",polarity,Polyjuice,CountVectorizer,190,38.26300859451294
18,i'm so sorry.,execrable .,polarity,Polyjuice,CountVectorizer,190,24.95868706703186
19,[a] well acted and gushing movie .,[a] rather thinly-conceived movie .,polarity,Polyjuice,CountVectorizer,190,21.07123589515686
20,and I like a lot of the reviews on that movie.,has a lot of the virtues of eastwood at his best .,polarity,Polyjuice,CountVectorizer,190,29.858118295669556
21,kept aloft by a watchful eye by a comically adept ensemble .,kept aloft largely by a comically adept ensemble .,polarity,Polyjuice,CountVectorizer,190,30.853761672973633
22,"'' forgive me, '' i said, '' but your failure will be the reason why. ''","the words , 'frankly , my dear , i don't give a damn , ' have never been more appropriate .",polarity,Polyjuice,CountVectorizer,190,28.01580548286438
23,I am a fascinating but choppy documentary.,a fascinating but choppy documentary .,polarity,Polyjuice,CountVectorizer,190,22.61375856399536
24,this is the weirdest kind of randomness i've ever seen.,"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie .",polarity,Polyjuice,CountVectorizer,190,30.30149006843567
25,"passable entertainment , but it's the kind of motion picture that deservedly gets made , and will not be remembered long afterwards .","passable entertainment , but it's the kind of motion picture that won't make much of a splash when it's released , and will not be remembered long afterwards .",polarity,Polyjuice,CountVectorizer,190,31.82990837097168
26,clayburgh and tambor are dull performers ; neither of them deserves eric schaeffer .,clayburgh and tambor are charming performers ; neither of them deserves eric schaeffer .,polarity,Polyjuice,CountVectorizer,190,28.816503763198853
27,the way coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally don't even qualify as art -- is giddily entertaining .,the way coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally qualify as art -- is giddily entertaining .,polarity,Polyjuice,CountVectorizer,190,25.040361642837524
