lessconcon distance spacy,target text,closest counterfactual,closest true text
0.8140088060964454,"no movement , no yuks , not much of anything","no movement , any yuks , not cool throughout anything",fun flip terribly hip bit cinematic entertainment
0.8730320663611671,"gangs of new york is an unapologetic mess , whose only saving grace is that it ends by blowing just about everything up","gangs of new york is an unapologetic everyday , whose only saving grace is unlike it stops by blowing just about everything up",fun flip terribly hip bit cinematic entertainment
0.9087244574765272,"we never really feel involved with the story , as all of its ideas remain just that abstract ideas","we never really feel necessary with both story , as all of its ideas remain just these abstract ideas",fun flip terribly hip bit cinematic entertainment
0.8218502467582145,this is one of polanski 's best films,another is two of polanski 's worst films,despite fact film bad think go good movie
0.8504772735593963,take care of my cat offers a refreshingly different slice of asian cinema,take care throughout his pile offers a refreshingly fit burger of wet cinema,fairly involving far go film end have fresh grow catholic
0.8565136813552363,the movie exists for its soccer action and its fine acting,the movie means for its soccer sense or its fine acting,good thing film mind look like creative process operate
0.8753144415775861,arnold 's jump from little screen to big will leave frowns on more than a few faces,arnold 's jump from little screen to perfect will put frowns on more than a few faces,cut core actually mean face fear girl world boy boy truly love girl ride big metaphorical wave life take
0.8693226098331405,"jason x has cheesy effects and a hoary plot , but its macabre , self deprecating sense of humor makes up for a lot","jason x wants cheesy effects and a hoary plot , but its macabre , self poking sense of humor makes up for another fact",human nature short nearly funny think smart
0.8708932918657523,"even as lame horror flicks go , this is lame","even as lame horror flicks know , any indicates trashy",actor showcase hart war recommend bill willis impressive player story dramatic enlightenment screenplay billy ray terry george leave desire
0.8604977637857478,any one episode of the sopranos would send this ill conceived folly to sleep with the fishes,those one episode of the roles must send this ill destined folly to sleep with the fishes,like south border melrose place
0.8269945054607595,most new movies have a bright sheen,biggest new movies have a dull sheen,tiny little joke nary original idea sappy ethnic sleeper prove blockbuster pollute summer movie pool
0.8844823734992474,but what saves lives on the freeway does not necessarily make for persuasive viewing,but what saves lives that the freeway does not seldom make for persuasive viewing,like south border melrose place
0.7678067335010618,steve irwin 's method is ernest hemmingway at accelerated speed and volume,steve irwin 's method is ernest misty before massive speed and structure,woo right huge action sequence director long filmmaker copy save private ryan battle scene realize steven spielberg get right time
0.8318015795892851,nicely serves as an examination of a society in transition,incredibly serves as an examination than any purpose in transition,small problem expect entire exercise real point
0.885460625551931,"the film would work much better as a video installation in a museum , where viewers would be free to leave","the actor would work much more as a monster installation in a museum , where viewers would be public to leave",fun flip terribly hip bit cinematic entertainment
0.8186950697418106,the whole thing plays out with the drowsy heaviness of synchronized swimmer wearing a wool wetsuit,the whole thing plays out with the thirsty heaviness of measured runner wearing a wool wetsuit,rung new jack city wannabe
0.8582518281948002,"it 's a pleasure to see seinfeld griping about the biz with buddies chris rock , garry shandling and colin quinn","it 's a pleasure to see seinfeld imagining about the biz of buddies robert material , muse shandling and ron adam",woo right huge action sequence director long filmmaker copy save private ryan battle scene realize steven spielberg get right time
0.8775300915202926,"finally , a genre movie that delivers in a couple of genres , no less","finally , a kind movie that promises in a couple for genres , no less",fairly involving far go film end have fresh grow catholic
0.8686721892162804,"as a singular character study , it 's perfect","as a odd character study , it 's cool",say ice age fairly pretty picture substance story actually life
0.8400280162633429,haneke challenges us to confront the reality of sexual aberration,palestinian challenges us to confront the reality of sexual progression,ultimately message trouble day sexual desire disrupt life stasis
0.8730557313789206,an experience so engrossing it is like being buried in a new environment,an anything so engrossing it is like being buried in a various environment,fairly involving far go film end have fresh grow catholic
0.8835815539791502,i do n't have an i am sam clue,i do n't regard an ya know sam clue,shaky plot kaufman script memorable great liner
0.7674400765505264,the thrill is lrb long rrb gone,the thrill proves gothic long rrb gone,time reach finale likely wonder watch strut posturing
0.7730615327909431,much monkeyfun for all,own monkeyfun for all,feel like work finally age past prime realize want like people work
0.8479105611187576,"much of the way , though , this is a refreshingly novel ride","much of the word , though , another is a refreshingly novel opportunity",good thing film mind look like creative process operate
0.8750065834607238,one scarcely needs the subtitles to enjoy this colorful action farce,one whatsoever needs the viewers to enjoy this colorful action farce,involve mystery give away feature badly draw character outcome hardly matter
0.8880378091998468,what might have been a predictably heartwarming tale is suffused with complexity,what might have done a predictably heartwarming tale is conflicted with lack,involve mystery give away feature badly draw character outcome hardly matter
0.8571530343742629,"with generic sets and b grade special effects , jason is about as convincing on the sci fi front as tv 's defunct cleopatra 2525","with regular sets and b grade special effects , jason is about as convincing on the sci fi front as maker 's defunct queen 2525",cut core actually mean face fear girl world boy boy truly love girl ride big metaphorical wave life take
0.8906988204763886,this is simply the most fun you 'll ever have with a documentary !,this is simply the least fun you 'll merely have with a documentary !,hard know recommend film thing right occasionally thing get wrong
0.8863261490850123,"it represents better than average movie making that does n't demand a dumb , distracted audience","it represents better than average movie making that thinks n't demand a dumb , loud audience",badly level actually have hard time believe people pay
0.8084183136779316,the sum of the parts equals largely a confused mediocrity,the sum through the heads equals largely a confused mediocrity,small problem expect entire exercise real point
