,target instance,closest counterfactual,runtime,dataset_name,text_method,model_name,vectorizer,not find,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,"no movement, no yuks, not much of anything","a , fans shot , worse a of say",30.9367713928,polarity,counterfactualgan,rf,_tfidf,0,fan shoot bad,bluto blutarsky miss,0.1117928844977163,0.837129540697896,8,0.11637397855520248,9,0.1778578609228134,binoche and magimel are perfect in these roles .,-0.1492214202880859
1,"we never really feel involved with the story, as all of its ideas remain just that abstract ideas","youom wins will sham the games, as fans of its kingdom spreadsbly that",30.9367713928,polarity,counterfactualgan,rf,_tfidf,1,youom win sham game fan kingdom spreadsbly,execrable,-0.004437012701688,0.8679485300440402,13,-0.007887642830610275,13,0.1144837141036987,"the techno tux is good for a few laughs , as are chan and hewitt , but when such a good design turns out to be a cheap knockoff , we can't recommend anything but a rental for the tuxedo .",-0.0752732753753662
2,this is one of polanski' s best films,this is a of the'mania' smania,30.9367713928,polarity,counterfactualgan,rf,_tfidf,1,the'mania smania,bluto blutarsky miss,0.0007034447258116,0.8512372108876836,5,0.17946889996528625,6,0.1641907095909118,"the principals in this cast are all fine , but bishop and stevenson are standouts .",-0.0674228966236114
3,"even as lame horror flicks go, this is lame",", as wins year shotssur, this is revolution",30.9367713928,polarity,counterfactualgan,rf,_tfidf,5,win year shotssur revolution,fluffy disposible,-0.0303289709674809,0.7649126153780511,6,0.12293244898319244,8,0.0215931497514247,there's nothing interesting in unfaithful whatsoever .,-0.1382151395082473
4,any one episode of the sopranos would send this ill conceived folly to sleep with the fishes,the itmania of the moderns can will this fans shot throughout to with the,30.9367713928,polarity,counterfactualgan,rf,_tfidf,5,itmania modern fan shoot,execrable,-0.0142873485953524,0.8945254645591284,11,0.30760717391967773,14,0.0797546580433845,there's nothing interesting in unfaithful whatsoever .,-0.0636117160320282
5,most new movies have a bright sheen,##fur lovely wins personality a fans insulted,30.9367713928,polarity,counterfactualgan,rf,_tfidf,5,fur lovely win personality fan insult,execrable,-0.0320898419812875,0.6281858916665131,6,0.1551765650510788,7,0.1286491304636001,we learn a lot about dying coral and see a lot of life on the reef .,-0.1355383843183517
6,but what saves lives on the freeway does not necessarily make for persuasive viewing,spider a ar fans on the chi is movie all fans for amazingina adolescent,30.9367713928,polarity,counterfactualgan,rf,_tfidf,5,spider ar fan chi movie fan amazingina adolescent,bluto blutarsky miss,0.1042439163158867,0.7974197656887054,11,0.11127153784036636,14,0.2944479882717132,alternative medicine obviously has its merits . . . but ayurveda does the field no favors .,-0.1906760483980178
7,steve irwin' s method is ernest hemmingway at accelerated speed and volume,team lovely' sina is revolution adolescent camply at shot throughout andity,30.9367713928,polarity,counterfactualgan,rf,_tfidf,5,team lovely sina revolution adolescent camply shot andity,bluto blutarsky miss,0.1071440152625818,0.6130927274740405,11,-0.005012862384319305,11,0.0916770920157432,is office work really as alienating as 'bartleby' so effectively makes it ?,-0.044355671852827
8,"the film would work much better as a video installation in a museum, where viewers would be free to leave","the filmvoeva fans suck as a movie closing fans a amazing, mick ins ' to",30.9367713928,polarity,counterfactualgan,rf,_tfidf,6,filmvoeva fan suck movie closing fan amazing mick in,execrable,-0.016761701436034,0.8915006251035354,15,0.22720667719841003,15,0.0791102647781372,"minority report is exactly what the title indicates , a report .",-0.1340154260396957
9,the whole thing plays out with the drowsy heaviness of synchronized swimmer wearing a wool wetsuit,the lovelyvo is out spike the worse ally revolutionina awake of adult closed a endless year,30.9367713928,polarity,counterfactualgan,rf,_tfidf,6,lovelyvo spike bad ally revolutionina awake adult close endless year,else-,0.0,0.8387404476457156,13,-0.02051677368581295,16,0.1785099357366562,"minority report is exactly what the title indicates , a report .",-0.1403422802686691
