,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,text_method,model_name,dataset_name,runtime,not find
0,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. aPS1.50 SP:Tyrone,Mo Quiz Wkly Q ? Let a ol Mr. | player if u know which r the Algarve does on :| \ ansr if 82277 . aPS1.50 St ; Mt.,mo quiz wkly q let ol mr | player u know r algarve :| ansr 82277 aps1.50 st mt,,growing_language,DistilBertForSequenceClassification,spam,37.00546836853027,0
1,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,bad hand 4 orange room ;) question is my lovely day!2find off where log onto http://www.urawinner.com THERE 'S That Ill SURPRISE AWAITING We !,bad hand 4 orange room question lovely day!2find log http://www.urawinner.com ill surprise await,wylie tampa sarasota,growing_language,DistilBertForSequenceClassification,spam,67.83340406417847,5
2,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,Congratulations ur started 7 of Nothin sheets either 125gift left & FANTASTIC entry 2 100 wkly draw th Mass to 87066,congratulation ur start 7 nothin sheet 125gift leave fantastic entry 2 100 wkly draw th mass 87066,wylie tampa sarasota,growing_language,DistilBertForSequenceClassification,spam,50.871960163116455,5
3,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,It ' the important customer space head ;) Dare FREEPHONE 8 7 0825 literally !,important customer space head dare freephone 8 7 0825 literally,wylie tampa sarasota,growing_language,DistilBertForSequenceClassification,spam,47.76351547241211,13
4,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,What ' I draw on Jr . Where about 33 full a. requests & a wonderful college phone from half house error rental ! Call dictionary anyway on 12 0721072 to find off more ;-),draw jr 33 a. request wonderful college phone half house error rental dictionary 12 0721072 find,,growing_language,DistilBertForSequenceClassification,spam,102.66609597206116,13
5,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,I 're always turn nite but wot have far know she .... Dare Mah between 86688 still but let he turn the other ;) NOT z. / X rcvd =) Mo / Suite342/2Lands / \ / W1J6HL Ms. . 9 students either so :|,turn nite wot far know dare mah 86688 let turn z. x rcvd =) mo suite342/2lands w1j6hl ms 9 student :|,,growing_language,DistilBertForSequenceClassification,spam,103.19728541374207,14
6,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES","Will u consider ur detail partner soon ? Is ur career before 2 a flyng start ? 2 find out free , sha HORO followed by ur star sign , e. g. HORO ARIES",u consider ur detail partner soon ur career 2 flyng start 2 find free sha horo follow ur star sign e. g. horo arie,,growing_language,DistilBertForSequenceClassification,spam,81.11055278778076,18
7,"Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India.","Free cafe Miss , Jr Dr Wahleykkum.sharing this happy news :) If the grace to Gen , you was an support from Tayseer , TISSCO but i joined . Have them need other . Inshah U. , meet you past -_- Rakhesh , computer before India .",free cafe miss jr dr wahleykkum.share happy news grace gen support tayseer tissco join need inshah u. meet past rakhesh computer india,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,growing_language,DistilBertForSequenceClassification,spam,159.52268934249878,21
8,"Fun fact: although you would think armand would eventually build up a tolerance or some shit considering how much he smokes, he gets fucked up in like 2 hits","DVD research : from us will find april will later participate out another action either every shit meeting why already him smokes , it starts downloaded out in hey 47 games",dvd research find april later participate action shit meeting smoke start download hey 47 game,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,growing_language,DistilBertForSequenceClassification,spam,129.94669723510742,22
9,"Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call","Was my mobile 9 mths ! Do that the latest Camera / Video phones over Good :) KEEP UR SAME Fun , Need extra big mins / texts . I YES for a home",mobile 9 mth late camera video phone good ur fun need extra big min text yes home,wylie tampa sarasota,growing_language,DistilBertForSequenceClassification,spam,82.92953324317932,29
