xspells distance spacy,target text,closest counterfactual,closest true text
0.8901585558219367,six ways to give the gift of generosity to children and teenagers the new york times,witches unite to cast ‘ binding spell ,witch unite cast binding spell trump follower
0.7845815185699013,bill gates says trump didn t know the difference between hpv and hiv,white house releases photos of mike ,sell original painting go white house
0.8409451150316668,turkey’s military plunges into syria enabling rebels to capture isis stronghold the new york times,‘ i have a could be a signs not you ,kassam rip commander handkerchief farewell address
0.8114402687338085,democrats projected to win pennsylvania district that went heavily for trump,five reasons why belief in authority ,omb post nominee berned stake christian faith
0.7637312867906738,russian spring unveils new caoon series mocking us propaganda,man dressed as elsa from frozen pushes ,police facebook live murder suspect steve stephens kill pursuit breitbart
0.8204034903529972,methodists surprise gay minister with world s best pastor ceificates after theft of diploma,youtube tv will be forced to watch ,obama administration set remove barrier marijuana research new york time
0.8038750277507887,watch james corden get smashed in the face by a ball in slow motion,if you have alzheimer ’ s then and ,democrats chance take house get well new forecast
0.7956965483244888,black agenda radio for week of nov 14 2016,and baby make history becoming first ,different kind gender gap 7 place woman earn man
0.7760012855751829,everyone got the pulse massacre story completely wrong,obama orders five last minute most ,deny israel right jerusalem temple mount
0.6852270070346607,she staed a suicide prevention site at age 15 it s still going strong,video hackers expose hillary hillary ,rep louie gohmert protest gorsuch nomination fake news fund soros money
0.765332849117964,congressman proposes national surveillance program after trump meeting the new york times,no or graduation ceremony for teen ,black teen nearly shoot knock door ask direction school
0.776636064123576,gloomy days in the oil patch but some see a glimmer of light the new york times,south korea ’ s favorite is created ,north korea evil look hotel bright feature
0.7067306590562595,prescription drugs time to “just say no”,youtube ’ s neighbors send stirring ,nfl commish goodell honor hand tom brady super bowl trophy breitbart
0.8242542495041639,pop warner is facing a class action lawsuit over concussions the new york times,surprise gay minister with world s ,gay trump supporter get death threat gay people support candidate receive multi million dollar contribution country execute gay
0.7903442285537788,the real revolution is already here,the fbi s clinton investigation is ,supreme court hard look partisan gerrymander time democrat
0.716509037891479,in chicago teachers and black lives matter activists paner to build a bigger movement,small town attack ’ african arab ’ ,putin late warning west see deploy super stealth submarine
0.8475291910253617,victoria beckham and shaq spoof sharknado in the weirdest reboot yet,gay bunny book outsells pence family ,bundo boom gay bunny book absolutely crush pence family version
0.8397312397462041,re trump tells media secret obama story behind 2016 election,gop who thinks he their no the story ,gop state senator think law create help woman look weak
0.7071352038064642,renee zellweger is judy garland in first look at upcoming biopic,hey msm illegal alien suppoer makes ,illegal thug return deport twice give sick gift girlfriend
0.8052629103045207,buzzer beater gives notre dame win over mississippi state in 2018 national championship,r kelly says the streets s social media ,celebrity street social medium march life
0.7812559303068456,player makes first contact with hidden aliens in ’elite dangerous’ breitba,player makes first contact with hidden ,help meaning mystery playing card
0.7790353861521199,hillary clintons election fraud finally exposed california stolen from bernie sanders,no charges but harsh criticism for ,police man charge rape 8 year old say provocative clothing suggest consent
0.6933329125672447,passengers on deadly southwest flight receive 5 000 checks,sweden just made a staling confession ,8 thing radar blackout
0.7874000926513354,russia china japan south korea planning solar wind energy super grid,china tries to censor ai victory over ,german medium promote migrant replace age local small european town
0.8417945081104911,the trailer for matt bomer s controversial transgender movie is here,trump to violate iran nuclear deal ,shepard smith trump pull iran deal decision violate
0.8395330468655959,michelle wolf s netflix show trailer came out this weekend too,breaking clinton “ re we have to see ,deny israel right jerusalem temple mount
0.7412125554353742,trump tells 57 000 honduran immigrants to leave or risk depoation,donald trump deutsche bank did clintons ,california dems vs. congressional republican endanger specie act breitbart
0.8636436170537055,two u s soldiers killed in kentucky helicopter crash army,top 10 scary list ghosts replaced by ,10 scary list ghost replace trump
0.738503232227916,rick and moy future still up in the air says co creator dan harmon,colbe s caoon trump gives the whca ,trump jr leave open possibility dad know trump tower meeting time
0.8140651587116157,rudy giuliani reverses trump team s position says president can obstruct justice,comey memo trump floated idea of jailing ,comey memo trump float idea jail journalist talk
0.666796312457432,leaked email shows monsanto executive v p invited to hillraiser fundraiser to put clinton into the white house for monsanto s benefit,whistleblower andrew maguire – this ,andrew maguire broadcast interview available
0.7420298728248531,blake farenthold says he won t repay 84 000 sexual harassment settlement,rudy giuliani offers a head spinning ,trump throw rudy giuliani bus fact straight
0.7704115758448132,shutting down speech by elizabeth warren g o p amplifies her message the new york times,texas education board votes to create ,ohio legislator say student able bring gun school
0.7905293486135818,clinton campaign was warned that turkey’s erdogan was attempting to buy favor,if you have alzheimer ’ s then invite ,deny israel right jerusalem temple mount
0.7275732302168606,stephen colbe thinks he knows what dating app mike pence would use and it s hilarious,7 000 pairs of shoes on capitol lawn ,world tall church erode urinate reveller
0.7583319834111042,why the trump team’s economic promises will be hard to execute the new york times,a candidate rises on vows to control ,cnn acosta trump call conservative medium describe fix breitbart
0.8188482621214941,jim carrey s new blood dripping porait takes aim at national disgrace nra,r kelly says the war on up day against ,left love new cold war
0.7694135882696824,quand l’a s’invite dans les usines de l’oural,in address cuomo new york ’ s policies ,hang body 40 civilian pole iraqi city un say
0.708130019814878,trump’s economic vows may be harder to hit after a slow 2016 the new york times,trump team bashes cnn buzzfeed over ,grand theft auto 5 profitable film book
0.6933329125672447,media matters brags taking lou dobbs off cnn glenn beck off fox project veritas,sweden just made a staling confession ,8 thing radar blackout
0.7935165934654435,coffee shop refuses to serve man after racist rant against woman in niqab,samantha bee uses sean hannity s own ,sean hannity slam shepard smith call kind fox strictly entertainment
0.8129932797446343,the truth about what happened to mh17 – a video investigation,what to watch on hulu that ’ s new ,watch hulu new week
0.8763993899485083,daniel akaka first native hawaiian in senate dies at 93,david clarke makes a tacky homophobic ,guilty power nullification counteract government tyranny
0.7432503989989494,jim carrey stas controversy with painting that looks like sarah huckabee sanders,iraqi car bomb jaw dropping crisis ,2 state solution dead israel debate new york time
0.7622919627479615,fire riot at venezuelan police station leaves 68 dead,ryan zinke and the tale of two fish ,stephen hawk finished mind bend parallel universe paper day death
0.7934316621015042,thousands of buffalo appear at site of standing rock protest watch,at least 5 dead in violent clashes ,5 dead violent clash nicaragua social security change
0.7939820187916193,opinion hillary is the whore of babylon and is not human,how to hit sinclair where it hus according ,democrats chance take house get well new forecast
0.8582116500223975,what if joaquin phoenix is friendlier than he gets credit for,trump s doctor says trump basically ,trump doctor say trump basically write glow health letter report
0.7332040831223028,this democrat just became the longest serving woman in the house,donald trump repoedly approves race ,worry new roseanne donald trump
0.8114402687338085,meet the pro gun democrat taking on congress’ mini trump,five reasons why belief in authority ,omb post nominee berned stake christian faith
0.8213221711195753,jenna fischer wore a towel on jimmy kimmel after a wardrobe malfunction,trevor noah unveils hilarious recruitment ,trevor noah unveil hilarious recruitment ad donald trump space force
0.7561303602491987,‘great british bake off’ will leave bbc and two hosts quit the new york times,newshour in joy after being able to ,county election clerk ready russian hacker
0.7755756283534809,colin kaepernick receives amnesty international s highest honor for activism,republicans fill cou seat they denied ,maryland democrats go far gerrymandering supreme court appear unsure
0.7686358348539186,spirit cooking only the sta to hillary clinton’s dark satanic magic,trump s pick for cia director won t ,trump defend gina haspel nominee cia director record torture
0.8197129300571626,obama loses it goes off on audience information clearing house ich,gop congressman doug lamborn thrown ,gop congressman doug lamborn throw ballot 2018 update
0.7646119189228949,police struggle to find possible motives for austin bombings,soros groups behind massive anti trump ,trump frantically google president
0.8196349379383016,questioning gender amid a chaotic east village childhood the new york times,republicans got shoot with at the only ,democrats chance take house get well new forecast
0.7503165646015821,new england patriots elizabeth ii your monday evening briefing the new york times,3 alternative energy options you can ,report fcc chairman pai plan fast repeal net neutrality
0.6562212716062461,chilean clergy abuse victims took their stories of survival to pope francis,israeli soccer team beitar jerusalem ,palestinian journalist kill israel gaza protest
0.8628170848349178,katie ledecky smashes her own world record in 400 freestyle the new york times,these could put you at risk for social ,8 stat prove social anxiety need take seriously
0.8213221711195753,james corden recruits celebrity repoers to investigate who bit beyoncé,trevor noah unveils hilarious recruitment ,trevor noah unveil hilarious recruitment ad donald trump space force
0.7583319834111042,breaking obama now considering maial law because of mass riots conservative daily post,a candidate rises on vows to control ,cnn acosta trump call conservative medium describe fix breitbart
0.852545507812622,slovakia s prime minister fico quits amid crisis over murdered journalist,rose mcgowan wishes harvey weinstein ,rise mcgowan wish harvey weinstein happy f**ke birthday
0.8052152573031701,make music great again with these 10 trumped up album covers,no hours of raging deadly prison violence ,scene venezuela deadly prison fire
0.8509537340239335,hey msm illegal alien suppoer makes death threat against trump in spanish,cynthia nixon vows to keep fighting ,cynthia nixon vow fight predictably lose party endorsement
0.7455058892745847,u s mexico and canada likely to affirm joint world cup bid the new york times,‘ ’ has the second best thanksgiving ,county election clerk ready russian hacker
0.7885948782364689,helen hunt gives promising update on ‘mad about you’ reboot,fox news melts down after hillary clinton ,watch paddleboarder straight wreck dolphin
0.7519291596096653,president obama and president elect donald trump meet at white house,michael brown ’ s mother lezley mcspadden ,woman allege rapper young lo rape trap chris brown home
0.8582116500223975,it was protests peddling and presidents at this year s nra convention,trump s doctor says trump basically ,trump doctor say trump basically write glow health letter report
0.7342921116140007,you’d be surprised at how many foods contain added sugar the new york times,after campaign exit manafo borrowed ,hezbollah say military leader die artillery attack new york time
0.8340887144835399,try to keep calm but k pop band bts is getting a documentary series,watch james corden get smashed in the ,watch james corden smash face ball slow motion
0.8205777234008467,obama to hillary under the bus you go,democrats push to be included in classified ,fact check democrats create twice job republicans 1950
0.8392926799618918,washington nfl cheerleaders say they were required to pose nude act as escos repo,fox news all but ignores nationwide ,break crooked clinton special guest changedachannel
0.8144490072724614,iran accuses thomson reuters charity official of sedition the new york times,military veteran scandal might be much ,pick right counter pain reliever new york time
0.8132263072518057,exclusive – caer page requests release of fisa warrant details ‘concocted’ by james comey’s fbi breitba,marital rape is not a crime in india ,viacom board say end salary sumner redstone new york time
0.7758166965681106,sean penn rips steve bannon you can t age like that without hating people,breaking clinton – a long island list ,hang body 40 civilian pole iraqi city un say
0.884846195231876,sean hannity wants roseanne on his show so bad he offered to let her host,black teen nearly shot after knocking ,black teen nearly shoot knock door ask direction school
0.7832832678820977,right to die advocate david goodall ends life listening to ode to joy,john oliver didn t think pence trolling ,stephen colbert think know date app mike pence use hilarious
0.8320947743850615,oops denver post prints photo of wrong ballpark in review of coors field,senate passes bill to be give into ,arizona house pass bill require woman seek abortion
0.7934316621015042,texas boy known as ‘copeland crush’ and his father are mourned the new york times,at least 5 dead in violent clashes ,5 dead violent clash nicaragua social security change
0.7344826997720107,new york city council launches probe into kushner company s false tenant records,new han solo trailer features a twist ,harrison ford crash new han solo actor interview life
0.7570055120024725,rapper t i arrested for disorderly conduct public drunkenness,eagles of death metal singer does on ,tiffany haddish recall time man die follow killer dance move
0.7490619507168876,ex repoer charged with making bomb threats against jewish sites the new york times,huma may have violated ‘ legal ’ regarding ,rotherham child rape victim authority tell mention ethnicity attacker breitbart
0.7859669123735573,ellen degeneres hilariously explains how she saved meghan markle’s life,iraqi army discovers us made missiles ,2 state solution dead israel debate new york time
0.7694135882696824,‘he used us as props’ conservative hispanics deplore donald trump’s speech the new york times,in address cuomo new york ’ s policies ,hang body 40 civilian pole iraqi city un say
0.7896602609300205,long primary carries costs for hillary clinton money and time the new york times,u s admits in syria meant to hit isis ,different bill cosby past hillary husband discuss podesta email
0.6792665592770749,wife asked husband for fenty highlighter and got a pack of highlighters hairbrush,colbe mocks giuliani s bonkers former ,longtime trump lawyer slam giuliani polarizing figure deal mueller
0.7719118366346456,occupying the prairie tensions rise as tribes move to block a pipeline the new york times,‘ i ’ m nobody ’ not a chance emily ,limitation randomised control trial
0.7739404228779978,washington post’s fake news of russian vermont power plant hack,former fbi accuses trump team accuses ,cressida dick woman lead scotland yard new york time
0.7404441574069525,rex tillerson to lift human rights conditions on arms sale to bahrain the new york times,rex tillerson to lift human rights ,80 western back ngo ask un drop russia human rights council
0.8216614867185199,undercover video exposes obama’s plan to make american “gun laws” more like britain – truthfeed,“ we need to clean this up ” more evidence ,democrats chance take house get well new forecast
0.8256078241878609,hannibal buress mic cut after joking about catholic sex abuse,republican lawmakers are now getting ,gop state senator think law create help woman look weak
0.7778022940300761,the establishment’s massive ‘intelligence failure’,a super bowl awash in politics on social ,pakistan city affluent woman bring islam life lifestyle new york time
0.7767172532603447,desiree linden becomes first american woman to win boston marathon in 33 years,university of is an that canada is ,launch cyber attack russia power grid telco network kremlin command system
0.7756010521590635,at new york city ballet lacing up their sneakers to unite the new york times,‘ things you comey ’ talks about after ,filmmaker say strange thing creator steal idea new lawsuit
0.7183125805267712,louisiana secretary of state resigns after staffer accuses him of sexual harassment,colbe mocks trump s bonkers for trump ,worry trump reactionary
0.7781829784896591,texas sues trump administration to end daca,newest head cracker do you hear brainstorm ,trump briefly admit make change mind
0.8242542495041639,accused of sexual harassment roger ailes is negotiating exit from fox the new york times,surprise gay minister with world s ,gay trump supporter get death threat gay people support candidate receive multi million dollar contribution country execute gay
0.7701791105978981,michael keaton ends kent state commencement speech with i m batman,fbi debunks hillary s conspiracy theory ,zen art manage smartphone photo new york time
0.7668544241806846,john oliver even mickey mouse would tell scott pruitt to go f k himself,trump rips press in private meeting ,trump netanyahu abbas vow reach peace believe
