,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
0,URGENT! We are trying to contact U. Todays draw shows that you have won a aPS800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,pressing ! We are trying to get_through U. today push shows that you have lose ampere aPS800 pry GUARANTEED . Call 09050001808 from land dividing_line . exact M95 . Valid12hrs lonesome,press try get_through u. today push show lose ampere aps800 pry guarantee 09050001808 land dividing_line exact m95 valid12hrs lonesome,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,growing_net,MLPClassifier,spam,3.426804542541504,2,0.3670703448404541,0.9545786661395615,16,0.5962299108505249,31.0,0.2679354846477508
1,GENT! We are trying to contact you. Last weekends draw shows that you won a aPS1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,GENT ! We are trying to contact you . finally weekends draw point that you South_Korean_won a aPS1000 value GUARANTEED . call_in 09064012160 . forfeit Code K52 . invalid 12hrs only . 150ppm,gent try contact finally weekend draw point south_korean_won aps1000 value guarantee call_in 09064012160 forfeit code k52 invalid 12hrs 150ppm,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,growing_net,MLPClassifier,spam,4.71509313583374,3,0.3691911627250352,0.9827980123790228,19,0.8530215620994568,33.0,0.3496286869049072
2,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,praise ur awarded five_hundred of standard_candle coupon operating_theatre 125gift guaranteed & enforce debut II c wkly lot txt medicine to 87066,praise ur award five_hundred standard_candle coupon operating_theatre 125gift guarantee enforce debut ii c wkly lot txt medicine 87066,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,growing_net,MLPClassifier,spam,5.289407014846802,5,0.3939219759220804,0.8711368571588687,11,0.5929178595542908,21.0,0.2832262516021728
3,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,What do uracil wishing for Xmas ? How about hundred free textbook messages & a worn video_recording ring with half price line rental ? song loose instantly on 0800 0721072 to happen out Thomas_More !,uracil wish xma free textbook message worn video_recording ring half price line rental song loose instantly 0800 0721072 happen thomas_more,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,growing_net,MLPClassifier,spam,6.857843399047852,14,0.3913028400993436,0.9606473414508706,17,0.6934919357299805,35.0,0.3224553763866424
4,Last chance 2 claim ur aPS150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. aPS3.00 Sub. 16 . Remove txt X or STOP,in_conclusion bump II take Ur aPS150 worth of discount verifier - textual_matter yes to 85023 now!SavaMob - fellow_member go roving thyroxin C 08717898035 . aPS3.00 U-boat . 16 . Remove txt ten Oregon full_point,in_conclusion bump ii ur aps150 worth discount verifier textual_matter yes 85023 now!savamob fellow_member roving thyroxin c 08717898035 aps3.00 u boat 16 remove txt oregon full_point,important customer service announcement freephone 0800 542 0825,CountVectorizer,growing_net,MLPClassifier,spam,13.415229558944702,14,0.4141148421922301,0.9346836256223678,23,0.6662983894348145,34.0,0.2180748134851455
5,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,I do n't know U and uracil cause n't know ME . Send jaw to 86688 right_away and prevent 's discovery from_each_one same ! Only 150p / Msg rcvd . hydrargyrum / Suite342/2Lands / wrangle / W1J6HL LDN . XVIII eld OR over .,know u uracil cause know send jaw 86688 right_away prevent discovery from_each_one 150p msg rcvd hydrargyrum suite342/2lands wrangle w1j6hl ldn xviii eld,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,growing_net,MLPClassifier,spam,15.118574380874634,14,0.3505317683763748,0.967003580156389,35,0.4712808132171631,44.0,0.1997997164726257
6,todays vodafone numbers ending with 0089(my last four digits) are selected to received a aPS350 award. If your number matches please call 09063442151 to claim your aPS350 award,today vodafone list conclusion with 0089(my last four fingerbreadth ) are selected to obtain a aPS350 honour . If your number matches please predict 09063442151 to take your aPS350 award,today vodafone list conclusion 0089(my fingerbreadth select obtain aps350 honour number match predict 09063442151 aps350 award,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,CountVectorizer,growing_net,MLPClassifier,spam,3.186032056808472,14,0.3199322235299706,0.9741878569555974,10,0.8874592185020447,30.0,0.2362945079803466
7,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES","Will u meet ur dreaming collaborator soon ? Is ur career off 2 a flyng start ? II obtain out liberate , txt HORO followed by ur star sign , e. g. HORO ARIES",u meet ur dream collaborator soon ur career 2 flyng start ii obtain liberate txt horo follow ur star sign e. g. horo arie,important customer service announcement freephone 0800 542 0825,CountVectorizer,growing_net,MLPClassifier,spam,1.4215984344482422,17,0.3778005278308362,0.98489155845008,12,0.9418007731437683,34.0,0.0521461144089698
8,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,U have adenine secret admirer who is looking 2 make contact with U - feel out who they R*reveal who mean UR so special - holler off 09058094594,u adenine secret admirer look 2 contact u feel r*reveal mean ur special holler 09058094594,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,growing_net,MLPClassifier,spam,2.944799423217773,17,0.3514494892639387,0.9836543145748275,9,0.8336654901504517,28.0,0.2248279452323913
9,WIN a aPS200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilGme. TsCs08714740323 1Winawk! age16 aPS1.50perweeksub.,winnings deoxyadenosine_monophosphate aPS200 shit fling every workweek Starting at_present . II work school_text STORE to 88039 . SkilGme . TsCs08714740323 1Winawk ! age16 aPS1.50perweeksub .,winning deoxyadenosine_monophosphate aps200 shit fling workweek starting at_present ii work school_text store 88039 skilgme tscs08714740323 1winawk age16 aps1.50perweeksub,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,CountVectorizer,growing_net,MLPClassifier,spam,4.851074695587158,20,0.3824355957277389,0.9148624897733232,18,0.6497229337692261,25.0,0.0437402091920375
