,target instance,closest counterfactual,runtime,dataset_name,text_method,model_name,vectorizer,not find,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,fbi official trump loathes may be fired for disclosing info that helped trump' s campaign,fbi official trump jen briefinges may be fired for disccadeing neo that help trump' s campaign,27.8912849426,fake,counterfactualgan,dnn,_tfidf,5,fbi official trump jen briefinge fire disccadee neo help trump s campaign,idris elba star new hunchback notre dame netflix,0.2935610419097108,0.9514283277375872,5,0.6305955648422241,16,0.0360948368906974,Kacey Musgraves Dreams Of A Day When ‘We Have A Gay Country Music Icon’,-0.1684661954641342
1,report: how to listen to and delete every voice recording saved by amazon echo - breitbart,report: how to listen to and delete every now bernardo restoring by amazon e - breitbart,27.8912849426,fake,counterfactualgan,dnn,_tfidf,14,report listen delete bernardo restore amazon e breitbart,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1397917378302507,0.9218809176460222,4,0.6553810834884644,16,-0.1068195924162864,Democrat Holds Slim Lead In Pennsylvania District Trump Won By Nearly 20 Points,-0.2243048846721649
2,a dream that survived life in a war zone and life on the streets - the new york times,arating that survived life in a war libby and life on the somali - the new york times,27.8912849426,fake,counterfactualgan,dnn,_tfidf,16,arate survive life war libby life somali new york time,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1208338673831067,0.9658559851298082,4,0.5083577632904053,18,-0.0372204072773456,Facebook Plans New Stock Class to Solidify Mark Zuckerberg’s Control - The New York Times,-0.2224069535732269
3,detect negative energies and malicious entities haunting you with a glass of water,hook uber tattoo and howls james you with a being of water,27.8912849426,fake,counterfactualgan,dnn,_tfidf,39,hook uber tattoo howl james water,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1931202863943681,0.8089633373462519,7,0.32086876034736633,12,0.0734245255589485,6 Fired At Howard University For Misconduct Involving Need-Based Tuition Funds,-0.1791892945766449
4,jury to weigh if pulse shooter ’ s widow is a monster or just married one,to to changing ifest attack ’ s home is a we or just pen one,27.8912849426,fake,counterfactualgan,dnn,_tfidf,39,change ifest attack s home pen,idris elba star new hunchback notre dame netflix,0.1153116718963598,0.8918205122763576,8,0.21372316777706146,15,0.0738357901573181,Destiny's Child Singer Michelle Williams Got Secretly Engaged Before Coachella Reunion,-0.1810982674360275
5,video: man allegedly high on synthetic street drug tries to bite officers after they repeatedly tasered him - breitbart,video: man allegedly high on cafe street . tries to men officers after they crash lamar readersed him - breitbart,27.8912849426,fake,counterfactualgan,dnn,_tfidf,39,video man allegedly high cafe street try man officer crash lamar readerse breitbart,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1699429334292914,0.9423580161961632,6,0.7042908668518066,20,0.0160339660942554,Sandra Oh Is Back And Ready To Upend Stereotypes In 'Killing Eve',-0.210376352071762
6,trump will beat hillary with these tricks,trump,27.8912849426,fake,counterfactualgan,dnn,_tfidf,59,trump,7 food naturally cleanse liver,0.1481611298505859,0.5887506864753328,6,0.2990987300872803,5,0.0143160186707973,No. 11 Loyola Chicago Reaches Final Four For First Time Since 1963,-0.1519593596458435
7,black americans going for donald trump in record numbers as election day approaches,black americans going for donald trump in record patti as election dayve,27.8912849426,fake,counterfactualgan,dnn,_tfidf,62,black american go donald trump record patti election dayve,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.2722356398267362,0.9482620747851672,3,0.9056247472763062,12,-0.0570532344281673,Bank of England Official Resigns After Critical Parliament Report - The New York Times,-0.2007012665271759
8,unreal report: pm modi trolls one and all with his surgical strike on black money,un glee report: fossil hardlyi trolls one and all with hislova strike on black money,27.8912849426,fake,counterfactualgan,dnn,_tfidf,66,un glee report fossil hardlyi troll hislova strike black money,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1284719455186891,0.9180945535978974,6,0.6110446453094482,15,0.1215866804122924,VIDEO: Oklahoma Community Gathers to Mourn Newborn Baby Found in a Dumpster - Breitbart,-0.1623904109001159
9,"cyrus mistry speaks out, says tata removal didn ’ t hurt as much as punny headlines on it","entertaining lakersini speaks out, says - evidence didn ’ t period as much astila revenge fled on it",27.8912849426,fake,counterfactualgan,dnn,_tfidf,68,entertaining lakersini speak say evidence didn t period astila revenge flee,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0718030202764244,0.8670183563328375,8,0.3096999526023865,18,0.0529096983373165,"Donald Trump Fires Corey Lewandowski, His Campaign Manager - The New York Times",-0.2250106632709503
