,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,text_method,model_name,dataset_name,runtime,not find
0,"the movie has a soft , percolating magic , a deadpan suspense .","UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ , UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ",unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,execrable,sedc,DistilBertForSequenceClassification,polarity,16.651381254196167,0
1,this is one of polanski's best films .,UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ,unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,point view contemporary interpretation joan prefeminist plight leave think reason movie present standard allow plenty nudity,sedc,DistilBertForSequenceClassification,polarity,13.792794466018677,0
2,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .",UNKWORDZ UNKWORDZ with his UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ quite moving UNKWORDZ UNKWORDZ his UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ the novel .,unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz move unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz novel,else-,sedc,DistilBertForSequenceClassification,polarity,20.132095098495483,0
3,"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .","there UNKWORDZ UNKWORDZ point of UNKWORDZ UNKWORDZ no contemporary interpretation of joan 's prefeminist UNKWORDZ , so UNKWORDZ 're left UNKWORDZ the only reason to make the movie is UNKWORDZ present standards UNKWORDZ for UNKWORDZ UNKWORDZ UNKWORDZ .",unkwordz unkwordz point unkwordz unkwordz contemporary interpretation joan prefeminist unkwordz unkwordz leave unkwordz reason movie unkwordz present standard unkwordz unkwordz unkwordz unkwordz,bluto blutarsky miss,sedc,DistilBertForSequenceClassification,polarity,31.155609369277954,0
4,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,UNKWORDZ through the last reel ( UNKWORDZ alert ! ) is UNKWORDZ less UNKWORDZ UNKWORDZ UNKWORDZ to a UNKWORDZ - year - old with UNKWORDZ taste for exaggeration recount UNKWORDZ UNKWORDZ trip UNKWORDZ the haunted UNKWORDZ .,unkwordz reel unkwordz alert unkwordz unkwordz unkwordz unkwordz unkwordz year old unkwordz taste exaggeration recount unkwordz unkwordz trip unkwordz haunt unkwordz,bluto blutarsky miss,sedc,DistilBertForSequenceClassification,polarity,29.348718404769897,0
5,". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .",". UNKWORDZ . mesmerizing , an UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ modern beijing culture UNKWORDZ UNKWORDZ journey of UNKWORDZ UNKWORDZ retreat into UNKWORDZ and return UNKWORDZ",unkwordz mesmerizing unkwordz unkwordz unkwordz unkwordz unkwordz modern beijing culture unkwordz unkwordz journey unkwordz unkwordz retreat unkwordz return unkwordz,execrable,sedc,DistilBertForSequenceClassification,polarity,23.242918252944946,0
6,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,it UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ . UNKWORDZ UNKWORDZ griffith UNKWORDZ in the early days of UNKWORDZ UNKWORDZ .,unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz griffith unkwordz early day unkwordz unkwordz,execrable,sedc,DistilBertForSequenceClassification,polarity,20.510995864868164,0
7,[at least] moore is a real charmer .,UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ,unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,point view contemporary interpretation joan prefeminist plight leave think reason movie present standard allow plenty nudity,sedc,DistilBertForSequenceClassification,polarity,14.134986639022827,0
8,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ competent UNKWORDZ unremarkable UNKWORDZ UNKWORDZ UNKWORDZ and UNKWORDZ grows into something UNKWORDZ considerable UNKWORDZ .,unkwordz unkwordz unkwordz unkwordz unkwordz competent unkwordz unremarkable unkwordz unkwordz unkwordz unkwordz grow unkwordz considerable unkwordz,else-,sedc,DistilBertForSequenceClassification,polarity,20.055469036102295,0
9,. . . always remains movingly genuine .,UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ,unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,point view contemporary interpretation joan prefeminist plight leave think reason movie present standard allow plenty nudity,sedc,DistilBertForSequenceClassification,polarity,12.827765703201294,0
10,jonathan parker's bartleby should have been the be-all-end-all of the modern-office anomie films .,jonathan UNKWORDZ UNKWORDZ UNKWORDZ should have been the be UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ of UNKWORDZ modern UNKWORDZ UNKWORDZ anomie films .,jonathan unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz modern unkwordz unkwordz anomie film,bluto blutarsky miss,sedc,DistilBertForSequenceClassification,polarity,22.11868953704834,0
11,there's more repetition than creativity throughout the movie .,UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ,unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,movie soft percolate magic deadpan suspense,sedc,DistilBertForSequenceClassification,polarity,13.205636262893677,0
12,"the movie isn't just hilarious : it's witty and inventive , too , and in hindsight , it isn't even all that dumb .","UNKWORDZ UNKWORDZ UNKWORDZ n't just UNKWORDZ : it UNKWORDZ witty UNKWORDZ inventive , too , and UNKWORDZ UNKWORDZ , it UNKWORDZ UNKWORDZ even UNKWORDZ that UNKWORDZ .",unkwordz unkwordz unkwordz unkwordz unkwordz witty unkwordz inventive unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,bluto blutarsky miss,sedc,DistilBertForSequenceClassification,polarity,25.607202768325806,0
