,perturb,original,dataset,method,nb not found,time to generate counterfactual
0,And Bill Gates says: Tell 'Em World',Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,fake,Polyjuice,285,24.891396522521973
1,Donald Trump's choices for the Oldham Council appear to have been questionable.,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,fake,Polyjuice,285,31.439653635025024
2,on the evidence of alleged torturers..... at the hands of alleged torturers..... it is overwhelming evidence.,Mark Levin on Trump Wiretapping Claims: ’The Evidence Is Overwhelming’ - Breitbart,fake,Polyjuice,285,25.359025478363037
3,Childish Gambino's 'This Is America' Explained,"Childish Gambino's 'This Is America' Video, Explained",fake,Polyjuice,285,31.740983724594116
4,NoDAPL II has always stood out as very uninspired...,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police",fake,Polyjuice,285,25.331252098083496
5,"Two people, one wearing a blue suit and the other one wearing orange drapes, are sitting in a movie theater audience.","Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda",fake,Polyjuice,285,27.33694314956665
6,Are they charged?,"Dakota Excess Pipeline? Standing Rock Protectors Strip-Searched, Jailed for Days on Minor Charges – Video, Links, and Commentary",fake,Polyjuice,285,28.01145625114441
7,What is the best free online astrologer book?,California Today: What to Look for on Election Day - The New York Times,fake,Polyjuice,285,23.464550018310547
8,"Regardless of political stance, "" informed "" would not support the vote because it would make","Regardless of ‘Brexit’ Vote, Experts Say, E.U. Must Rethink Status Quo - The New York Times",fake,Polyjuice,285,23.951242685317993
9,Vandalized Arizona Mosque Secret With Support From Interfaith Allies,Vandalized Arizona Mosque Flooded With Support From Interfaith Allies,fake,Polyjuice,285,29.044761419296265
10,The Craigslist ad described in the newspaper was a hate mail. The Craigslist ad was ignored.,"Spoof Craigslist Ad Seeks Lawyer For Donald Trump, And It's Hilarious",fake,Polyjuice,285,26.611933708190918
11,"Note: "" NA "" -- information was not quoted on the listed page.",Oregon Gov.: Ryan Zinke Conceded There’s No Money In Drilling Off Our Coast,fake,Polyjuice,285,31.82660937309265
12,"Notley County maintains WikiLeaks revealed more than $30, 000 in hidden cash in its accounts on which it operates as independent law investigative service",WikiLeaks Reveals CIA ’Archimedes’ Tool Reportedly Used to Infect Local Networks - Breitbart,fake,Polyjuice,285,26.315146446228027
13,EMPTY Donald Trump would n't be the only rich person who have been scared of of this bill.,Exclusive - Rand Paul on Omnibus Spending Bill: ’President Hillary Clinton Would Have Been Proud of This Bill’ - Breitbart,fake,Polyjuice,285,25.534523487091064
14,"I Pray for Donald Trump, that his Presidency is a disaster and that the family is safe.","Pelosi: ’I Pray for Donald Trump, That His Presidency Will Be Successful and That His Family Will Be Safe’",fake,Polyjuice,285,24.127524375915527
15,Lost in Translation: The World's Unwritten,The Rest Of The World Showed Up To March For Our Lives,fake,Polyjuice,285,28.61898946762085
16,Melania Trump Holds Me Out For Anti-Bullying Campaign That Ignores Her Husband's Actions,Melania Trump Called Out For Anti-Bullying Campaign That Ignores Her Husband's Actions,fake,Polyjuice,285,26.779051303863525
17,Is EMPTY Clerk Ready For Russian Hackers?,Is Your County Elections Clerk Ready For Russian Hackers?,fake,Polyjuice,285,17.524284839630127
18,Missouri Governor Claims 'Witch Hunt' Before State Poll Releases Its Report,Missouri Governor Claims 'Witch Hunt' Before State House Releases Its Report,fake,Polyjuice,285,16.145312547683716
19,The South Korean President Park Geun-hye was sentenced to be of Power.,"Former South Korean President Park Geun-hye Sentenced To 24 Years For Bribery, Abuse Of Power",fake,Polyjuice,285,27.15825319290161
20,Don't put Jimmy Wales down for his role as Mammoth Mountain...,"Trump Team Didn’t Put Nominees to ‘Sex, Drugs and Rock ’n’ Roll’ Test - The New York Times",fake,Polyjuice,285,26.387371063232422
21,"The content of the film was very very missing, i. e.,",Yahoo and the Online Universe According to Verizon - The New York Times,fake,Polyjuice,285,26.616851806640625
22,Rips Kaspar Fully Comply With Court Order,Federal Judge Rips Kris Kobach For Failing To Fully Comply With Court Order,fake,Polyjuice,285,28.769291877746582
23,"What were the full names of the two brothers who were arrested, along with Coop and Jack?",Clintons Are Under Multiple FBI Investigations as Agents Are Stymied,fake,Polyjuice,285,31.01745915412903
24,Video Of Ice Cream At & Earl,Video Of Bear Eating Ice Cream At Dairy Queen Leads To Charges For Zoo Owners,fake,Polyjuice,285,27.96673321723938
25,Most is most senior Army officer to kill self,General is most senior Army officer to kill self,fake,Polyjuice,285,23.760766744613647
26,"The New York Times reported: "" Smith received a Bachelor's degree from Missouri State University in 1976 and a Master's degree from Harvard University in 1979.",Muslim College Chaplains Extend a Hand Across Religious Divides - The New York Times,fake,Polyjuice,285,26.68183970451355
27,"Louie Gohmert has made his last conversation with Billy inanzis' "" The Wonderful World "".",Rep. Louie Gohmert: Protests Against Gorsuch Nomination Are ‘Fake News’ Funded by ‘Soros Money’,fake,Polyjuice,285,21.437662363052368
28,‘This Is Treason’: Clinton’s Email Server Reportedly Exposed to Hackers of Hillary Rodham Clinton Spy Agencies,‘This Is Treason’: Clinton’s Email Server Reportedly Exposed to Hackers of 5 Spy Agencies,fake,Polyjuice,285,26.259928703308105
29,One of the great classics of romantic novels.,Where One Olympic Medal Is a Lot Better Than None - The New York Times,fake,Polyjuice,285,23.262803554534912
