,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,The Supreme Court Is Helping Companies Get Away With Sexual Harassment,The Supreme Court Is assist Companies Get Away With Sexual torment,supreme court assist company away sexual torment,idris elba star new hunchback notre dame netflix,CountVectorizer,growing_net,MLPClassifier,fake,0.3146860599517822,1,0.1468101965907503,0.973999326521614,2,0.8061190843582153,11,0.0509952567517757,Cardi B To Be First Co-Host Of 'The Tonight Show' With Jimmy Fallon,-0.1937586963176727
1,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,Bill Gates Says Trump serve n't Know The Difference Between HPV And HIV,bill gate say trump serve know difference hpv hiv,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,MLPClassifier,fake,0.1576130390167236,1,0.161643899246756,0.9880172929272584,2,0.9383488893508911,13,0.014001808129251,"Italian Train Derails in Switzerland, Seven Injured",-0.1554814726114273
2,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,Kylie Edward_Jenner 's Ex - Bodyguard Tim Chung Denies He 's Actually Stormi 's female_parent,kylie edward_jenner ex bodyguard tim chung deny actually stormi female_parent,idris elba star new hunchback notre dame netflix,CountVectorizer,growing_net,MLPClassifier,fake,0.1722376346588134,1,0.3186623581281221,0.9766569053583734,10,0.8960908055305481,15,0.0444466397166252,Women In Iceland Leave Work 14% Early To Protest The Country’s 14% Wage Gap,-0.1777114868164062
3,'Law & Order: SVU' Tackles Trans Military Debate With Powerful Storyline,' police_force & Order : SVU ' rigging Trans Military Debate With Powerful Storyline,police_force order svu rigging trans military debate powerful storyline,idris elba star new hunchback notre dame netflix,CountVectorizer,growing_net,MLPClassifier,fake,0.1575460433959961,1,0.1465202567220154,0.9575478444231532,7,0.8769198656082153,14,0.1132360845804214,Desiree Linden Becomes First American Woman To Win Boston Marathon In 33 Years,-0.2085041552782058
4,U.S. Embassy In Jerusalem Opens Its Doors As Protests Rage Nearby,U.S. Embassy In Jerusalem Opens Its Doors As objection cult Nearby,u.s embassy jerusalem open door objection cult nearby,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,MLPClassifier,fake,0.2646632194519043,2,0.0725930496288948,0.94966273066985,2,0.8490228652954102,11,-0.0728654786944389,3 Health Supplements To Maximize Wellness,-0.1907837241888046
5,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,best 's ill About Obama Giving Away Syria Strategy Look Pretty Silly Now,good ill obama give away syria strategy look pretty silly,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,MLPClassifier,fake,0.2971346378326416,2,0.180538774279307,0.9730818875160696,3,0.8923671841621399,13,-0.0969632789492607,Serena Williams Beats Venus Williams to Win Her 7th Australian Open Title - The New York Times,-0.1628713607788086
6,Teen Uses 'Grey's Anatomy' For Secret Yearbook Message About Being Gay,adolescent Uses ' Grey 's Anatomy ' For Secret Yearbook Message About Being mirthful,adolescent use grey anatomy secret yearbook message mirthful,o.j simpson dismiss colin kaepernick stand flag,CountVectorizer,growing_net,MLPClassifier,fake,0.1760609149932861,2,0.1932308568196847,0.9467925836624363,7,0.7778948545455933,14,-0.0756841450929641,Trump's Travel Ban Faces Supreme Court Reckoning,-0.1639220118522644
7,"Childish Gambino's 'This Is America' Video, Explained","Childish Gambino 's ' This Is America ' Video , explicate",childish gambino america video explicate,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,MLPClassifier,fake,0.0720367431640625,4,0.2090135813826012,0.9743243018094014,9,0.9536354541778564,11,0.0970595255494117,Bank of England Official Resigns After Critical Parliament Report - The New York Times,-0.186845600605011
8,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police","# NoDAPL : Native American Leaders Vow to Stay All Winter , file_away Lawsuit Against Police",nodapl native american leader vow stay winter file_away lawsuit police,idris elba star new hunchback notre dame netflix,CountVectorizer,growing_net,MLPClassifier,fake,0.1666343212127685,5,0.1656605692365917,0.9879555695261087,6,0.9814586639404297,16,-0.1135252565145492,Mark Hamill Finds Beautiful Reminder Of Carrie Fisher In Hotel Room Painting,-0.2095287591218948
9,"Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda","Left Blasts Pepsi , Kendall Jenner for ’ Appropriating ’ Anti - Trump ‘ electric_resistance ’ to Sell Soda",leave blast pepsi kendall jenner appropriate anti trump electric_resistance sell soda,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,MLPClassifier,fake,0.1790125370025634,7,0.2313040747649894,0.9859926035301632,11,0.9829704761505127,19,0.1183082163333892,EBOLA VICTIM RISES FROM THE DEAD IN AFRICA,-0.2080958932638168
10,"Dakota Excess Pipeline? Standing Rock Protectors Strip-Searched, Jailed for Days on Minor Charges – Video, Links, and Commentary","Dakota Excess Pipeline ? Standing Rock Protectors Strip - Searched , Jailed for Days on Minor Charges – TV , Links , and Commentary",dakota excess pipeline stand rock protector strip search jail day minor charge tv link commentary,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,MLPClassifier,fake,0.1722095012664795,7,0.0466673063247087,0.9941829428052044,10,0.9908137917518616,24,-0.0724125206470489,7 Foods That Will Naturally Cleanse Your Liver,-0.1904040873050689
11,"Oliver North, Key Player In Iran-Contra Scandal, Named NRA President","Joseph_Oliver North , key_out Player In Islamic_Republic_of_Iran - Contra dirt , identify National_Rifle_Association President",joseph_oliver north key_out player islamic_republic_of_iran contra dirt identify national_rifle_association president,idris elba star new hunchback notre dame netflix,CountVectorizer,growing_net,MLPClassifier,fake,2.03322982788086,7,0.1200944320865526,0.8550204909706856,11,0.6435644626617432,14,0.0793943107128143,'Roseanne' Reboot Snags More Viewers Than 1997 Season Finale,-0.2799244225025177
12,California Today: What to Look for on Election Day - The New York Times,Golden_State nowadays : What to wait for on Election night - The newfangled House_of_York time,golden_state nowadays wait election night newfangled house_of_york time,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,MLPClassifier,fake,3.272101640701294,7,0.058918414376284,0.9235441691009372,8,0.6687780618667603,15,0.0185045562684535,Netanyahu Meets African Leaders to Expand Israel Ties,-0.1865894198417663
13,Obama To Apply For Political Asylum In Moneygall,Obama To Apply For Political Asylum Indiana Moneygall,obama apply political asylum indiana moneygall,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,MLPClassifier,fake,0.0861656665802002,7,0.1434129080186143,0.9540172867222584,1,0.8974621295928955,9,-0.0893140286207199,Chart Of The Day: Mind The Big Rigs—-Class 8 Truck Sales Down 46% Since Peak,-0.2265790253877639
14,William Friedkin's Faith In Exorcisms Is Unwavering. As For Diversity In Hollywood? It 'Snags' Him.,William Friedkin 's Faith In Exorcisms Is stiff . As For Diversity In Hollywood ? It ' Snags ' Him .,william friedkin faith exorcism stiff diversity hollywood snag,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,MLPClassifier,fake,0.1237905025482177,7,0.1429430627307203,0.9903506506398464,11,0.9642989635467529,21,0.0293795708566904,"Migrant Caravan Arrives At U.S. Border, Despite Trump’s Threats",-0.1705525666475296
15,NY State Police Building MS-13 Unit,Empire_State res_publica Police build MS-13 Unit,empire_state res_publica police build ms-13 unit,idris elba star new hunchback notre dame netflix,CountVectorizer,growing_net,MLPClassifier,fake,0.5554158687591553,8,0.0608174664059733,0.8569721264218894,3,0.69612717628479,8,0.0558191761374473,Trump’s Stormy Daniels Disclosure Still Leaves Questions About Payments To Cohen,-0.3122729659080505
16,Jim Carrey Appears To Shred Jared Kushner In Biting New Portrait,Jim Carrey look To tittle clash Kushner Hoosier_State bite Modern portraiture,jim carrey look tittle clash kushner hoosier_state bite modern portraiture,police arrest 141 crackdown north dakota pipeline protester,CountVectorizer,growing_net,MLPClassifier,fake,1.6199443340301514,8,0.2847304076161621,0.8413447714158816,7,0.6183525919914246,11,0.0404267944395542,"Canada’s Largest School System Cancels USA Trips, Fears Travel Ban",-0.2530473172664642
17,Officer Puts Man In Chokehold Outside A North Carolina Waffle House,Officer Puts Man In Chokehold Outside a North Carolinas Waffle House,officer put man chokehold outside north carolina waffle house,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,MLPClassifier,fake,0.2863960266113281,8,0.1682947305981617,0.9790616906548584,2,0.9926244020462036,11,-0.1003085002303123,3 Health Supplements To Maximize Wellness,-0.1980021297931671
18,Dozens Killed In Reported Chemical Attack On Syrian Rebel Enclave,XII Killed In Reported chemical_substance Attack On Syrian Rebel Enclave,xii kill report chemical_substance attack syrian rebel enclave,renee zellweger judy garland look upcoming biopic,CountVectorizer,growing_net,MLPClassifier,fake,0.2735300064086914,8,0.1651989649587184,0.9430964232593,2,0.518498420715332,10,0.0569477416574955,Sarah Paulson Is Unapologetic About 32-Year Age Gap With Girlfriend Holland Taylor,-0.2187817394733429
19,France’s Obsession With Decline Is a Booming Industry - The New York Times,France ’s Obsession With fall Is a smash Industry - The New House_of_York multiplication,france obsession fall smash industry new house_of_york multiplication,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,MLPClassifier,fake,1.1896705627441406,8,0.1358598850420922,0.9375779776674265,6,0.7250887155532837,14,0.1556302905082702,Pakistani Interior Minister Ahsan Iqbal Shot By Gunman Linked To New Religious Party,-0.2080111801624298
20,Jake Tapper Hits Back At Trump: He's Nastier To Me And Don Lemon Than He Is To Putin,Jake Tapper smasher Back At Trump : he 's nice To Me And Don_River stinker Than He Is To Putin,jake tapper smasher trump nice don_river stinker putin,idris elba star new hunchback notre dame netflix,CountVectorizer,growing_net,MLPClassifier,fake,3.464529275894165,8,0.2863110668166009,0.9671911476091024,8,0.8359133005142212,20,-0.0361943058669567,Gay 'Conversion Therapy' Is Now Illegal In Maryland,-0.1797945201396942
21,Vandalized Arizona Mosque Flooded With Support From Interfaith Allies,vandalise Grand_Canyon_State Mosque Flooded With Support From Interfaith Allies,vandalise grand_canyon_state mosque flood support interfaith ally,renee zellweger judy garland look upcoming biopic,CountVectorizer,growing_net,MLPClassifier,fake,0.168778657913208,8,0.1220933988669879,0.9429389883265848,2,0.858102560043335,9,0.0199238955974578,"Don’t Worry, The New 'Roseanne' Isn’t All About Donald Trump",-0.2557744681835174
22,Michigan Allots $87 Million to Replace Flint’s Tainted Water Pipes - The New York Times,Michigan Allots $ 87 Million to Replace Flint ’s disinfect Water hit - The New House_of_York sentence,michigan allot $ 87 million replace flint disinfect water hit new house_of_york sentence,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,MLPClassifier,fake,0.8743398189544678,10,0.0532468081737736,0.9420689188215622,8,0.8562712669372559,17,0.0436956696212291,Anthony Weiner-Huma Abedin Marriage Is Like The De Facto Israel-Saudi Arabia Alliance,-0.1938017308712005
23,Eleven Madison Park Plans a Makeover and a Summer Pop-Up - The New York Times,Eleven Madison Park Plans a Makeover and a Summer Pop - Up - The New House_of_York fourth_dimension,madison park plan makeover summer pop new house_of_york fourth_dimension,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,growing_net,MLPClassifier,fake,0.6708376407623291,10,0.0882914581033598,0.98868587901699,5,0.7970945835113525,17,-0.0561050549149513,U.S. Judge Refuses To Toss Suit Against Trump On Foreign Payments,-0.1770543754100799
24,WikiLeaks Reveals CIA ’Archimedes’ Tool Reportedly Used to Infect Local Networks - Breitbart,WikiLeaks reveal CIA ’ Archimedes ’ Tool Reportedly Used to Infect Local Networks - Breitbart,wikileak reveal cia archimede tool reportedly infect local network breitbart,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,MLPClassifier,fake,0.1048262119293212,10,0.1125501568445149,0.99603880370665,4,0.996612012386322,15,0.0151906069368124,Serena Williams Beats Venus Williams to Win Her 7th Australian Open Title - The New York Times,-0.140786275267601
25,House Democrats Offer Internships For Students Affected By Gun Violence,home Democrats Offer Internships For scholarly_person Affected By gas Violence,home democrats offer internship scholarly_person affect gas violence,idris elba star new hunchback notre dame netflix,CountVectorizer,growing_net,MLPClassifier,fake,0.583716869354248,10,0.0973720943044652,0.9413588040535632,3,0.7583463191986084,10,0.0399900041520595,Kevin McHale: 'I Think There Was Zero Surprise' When I Came Out,-0.2368578612804412
26,Can anyone help with the meaning behind a mystery playing card?,Can anyone supporter with the meaning behind a mystery playing lineup ?,supporter meaning mystery playing lineup,bill maher shred baghdad bob sarah huckabee sander bulls**t,CountVectorizer,growing_net,MLPClassifier,fake,0.1896877288818359,10,0.1906907263810757,0.9602038079389869,3,0.5787385702133179,12,0.1270884722471237,George Conway Appears To Shut Down Rudy Giuliani's Claim About Stormy Daniels Payment,-0.2024914026260376
