,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find
0,"the movie has a soft , percolating magic , a deadpan suspense .","the moving-picture_show has a soft , percolating charming , a deadpan suspense .",move picture_show soft percolate charming deadpan suspense,bluto blutarsky miss,TfidfVectorizer,growing_net,RandomForestClassifier,polarity,0.49229931831359863,0
1,this is one of polanski's best films .,this exist one of polanski 's bad films .,exist polanski bad film,else-,TfidfVectorizer,growing_net,RandomForestClassifier,polarity,0.4124627113342285,0
2,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .","like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely spectacular variation on the novel .",like dicken passage mcgrath craft move scene resolutely spectacular variation novel,bluto blutarsky miss,TfidfVectorizer,growing_net,RandomForestClassifier,polarity,0.355013370513916,0
3,"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .","there 's no point of view , no contemporary interpretation of joan 's prefeminist plight , so we 're left thinking the only reason to make the moving-picture_show is because present standards allow for plenty of nudity .",point view contemporary interpretation joan prefeminist plight leave think reason move picture_show present standard allow plenty nudity,bluto blutarsky miss,TfidfVectorizer,growing_net,RandomForestClassifier,polarity,1.1649410724639893,0
4,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,sitting through the last reel ( spoiler alert ! ) is significantly less magical than listening to a four - class - old with a taste for exaggeration recount his halloween trip to the haunted house .,sit reel spoiler alert significantly magical listen class old taste exaggeration recount halloween trip haunted house,execrable,TfidfVectorizer,growing_net,RandomForestClassifier,polarity,0.8437750339508057,0
5,". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .",". . . mesmerizing , AN eye - unfold tour of forward-looking beijing finish inch a journeying of rebellion , retreat into oblivion and come_back .",mesmerize eye unfold tour forward look beijing finish inch journeying rebellion retreat oblivion come_back,execrable,TfidfVectorizer,growing_net,RandomForestClassifier,polarity,6.905881404876709,0
6,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,it 's a glorious spectacle like those d . w . griffith arrive_at in the early days of silent picture .,glorious spectacle like d w griffith arrive_at early day silent picture,execrable,TfidfVectorizer,growing_net,RandomForestClassifier,polarity,0.4122195243835449,0
7,[at least] moore is a real charmer .,[ At least ] moore is a material charmer .,moore material charmer,execrable,TfidfVectorizer,growing_net,RandomForestClassifier,polarity,0.6195516586303711,0
8,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,the film start out as competent but unremarkable . . . and gradually grows into something of considerable power .,film start competent unremarkable gradually grow considerable power,bluto blutarsky miss,TfidfVectorizer,growing_net,RandomForestClassifier,polarity,0.41172003746032715,0
9,. . . always remains movingly genuine .,. . . always stay movingly genuine .,stay movingly genuine,execrable,TfidfVectorizer,growing_net,RandomForestClassifier,polarity,0.501107931137085,0
10,jonathan parker's bartleby should have been the be-all-end-all of the modern-office anomie films .,jonathan parker 's bartleby should have been the be - entirely - end - all of the modern - office anomie movie .,jonathan parker bartleby entirely end modern office anomie movie,execrable,TfidfVectorizer,growing_net,RandomForestClassifier,polarity,0.6707382202148438,0
11,there's more repetition than creativity throughout the movie .,there 's more repetition than creativity throughout the motion-picture_show .,repetition creativity motion picture_show,bluto blutarsky miss,TfidfVectorizer,growing_net,RandomForestClassifier,polarity,0.4391965866088867,0
12,"the movie isn't just hilarious : it's witty and inventive , too , and in hindsight , it isn't even all that dumb .","the pic is n't just hilarious : it 's witty and inventive , too , and in hindsight , it is n't tied all that dumb .",pic hilarious witty inventive hindsight tie dumb,bluto blutarsky miss,TfidfVectorizer,growing_net,RandomForestClassifier,polarity,0.3029510974884033,0
13,"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .","a spellbinding african movie about the modern condition of rootlessness , a state experienced by one_thousand_thousand around the globe .",spellbinding african movie modern condition rootlessness state experience one_thousand_thousand globe,execrable,TfidfVectorizer,growing_net,RandomForestClassifier,polarity,0.4956960678100586,0
