closest counterfactual,closest true text,embedding distance,polyjuice similarity spacy,target text
Is help. com a scam?,man hack celebrity email account get 5 year prison new york time,0.3530957102775574,0.7649367212152178,The Supreme Court Is Helping Companies Get Away With Sexual Harassment
Bill Gates Says The Bill Didn't Know The Difference Between HPV And HIV,bill gate say trump know difference hpv hiv,0.7014687061309814,0.8882773101592061,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV
'Law & Order: SVU' Tackles Trans Military Debate With Popular Storyline,law order svu tackle trans military debate powerful storyline,0.923035204410553,0.860196712940852,'Law & Order: SVU' Tackles Trans Military Debate With Powerful Storyline
"Donald Trump's lawyer, James Pugh, defended his client immediately because the lawyer said he ""absolutely"" did not know.",trump doctor say trump basically write glow health letter report,0.5930388569831848,0.8181591925841571,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now
Grey Anatomy' For Secret Yearbook Message About Being Gay,prince know want sex soul new york time,0.5026134848594666,0.7846231074612758,Teen Uses 'Grey's Anatomy' For Secret Yearbook Message About Being Gay
What's the latest painting?,art nearly 50 people tell new york time,0.32986152172088623,0.7814313260866367,Jim Carrey's Latest Painting Slams Kent State 'Goldilocks' And Her AR-10
"Childish Gambino's 'This Is America' Video, Defeated",little extortion y' guy figure stormy daniels old lawyer actually pretty,0.5937982797622681,0.7615874057128131,"Childish Gambino's 'This Is America' Video, Explained"
"Ireland, with the exception of most of northern Europe, came under the influence of Protestantism.",early north american human footprint find surprising spot canada,0.4616073668003082,0.8025760075939372,"Gorka Smites Haters, Radical Islamists in Jerusalem Post Speech - Breitbart"
"#NoDAPL: Native American Leaders Vow to Stay Silent, Fight'; s",ideological food fight word 2002 await neil gorsuch new york time,0.5030241012573242,0.7619391379714212,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police"
"In 2016, a group of white students at the Wiggins High School put a noose around a black student's neck.",black teen nearly shoot knock door ask direction school,0.5526574850082397,0.8175961909780892,"Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda"
"Speaking of Darth Vader, what was his role in the movie where he turns Luke into a Sephardic Jew?",man die getting head stick movie theater seat,0.44343191385269165,0.8085094105099307,William Friedkin's Faith In Exorcisms Is Unwavering. As For Diversity In Hollywood? It 'Snags' Him.
Major Puts Man In Chokehold outside a softball game,video show parkland deputy enter school mass shooting happen inside,0.37374353408813477,0.781427869777027,Officer Puts Man In Chokehold Outside A North Carolina Waffle House
Is a country a country?,half population world dirt poor global elite want way,0.42466893792152405,0.7762539857339725,France’s Obsession With Decline Is a Booming Industry - The New York Times
Vandalized by the Mosque Flooded With Support From Interfaith Allies.,muslim college chaplain extend hand religious divide new york time,0.42402172088623047,0.7291932338258459,Vandalized Arizona Mosque Flooded With Support From Interfaith Allies
What is it like to be poor?,trump briefly admit make change mind,0.33259400725364685,0.8225428324691882,Michigan Allots $87 Million to Replace Flint’s Tainted Water Pipes - The New York Times
Sixteen Madison Parkers proves that Madison does not have one.,trump jr leave open possibility dad know trump tower meeting time,0.2900327146053314,0.7945016142482959,Eleven Madison Park Plans a Makeover and a Summer Pop-Up - The New York Times
WikiLeaks Reveals CIA ’Archimedes’ Tool Reportedly Used to Infect Local Network - Breitbart.,treason clinton email server reportedly expose hacker 5 spy agency,0.5056382417678833,0.7415159902146983,WikiLeaks Reveals CIA ’Archimedes’ Tool Reportedly Used to Infect Local Networks - Breitbart
Does anyone help me?,guy review long island rest stop worth pull,0.2368420958518982,0.7650695252524288,Can anyone help with the meaning behind a mystery playing card?
Exclusive - Paul Paul On The Tricks,rick scott early gift trump team create problem worth,0.4136596620082855,0.7496316258111694,Exclusive - Rand Paul on Omnibus Spending Bill: ’President Hillary Clinton Would Have Been Proud of This Bill’ - Breitbart
Washington’s meddling in foreign policy,american surprised domestic terrorism federal crime think,0.45773792266845703,0.7514366504217733,Washington’s meddling in foreign elections
Caught On Tape: ISIS Destroys Iraqi Abrams With Anti-Vehicle Missile,fox news guest personally ask donald trump bomb syrian air force segment,0.49486690759658813,0.7317589009443594,Caught On Tape: ISIS Destroys Iraqi Abrams With Anti-Tank Missile
Nice Shooting Victim's Mom Accepts Daughter's Diploma,felony charge father toddler shoot pregnant mom,0.3167528510093689,0.8114537120469234,Waffle House Shooting Victim's Mom Accepts Daughter's Diploma
Is Donald Trump a pervert?,laura benanti reveal sad truth bond donald trump,0.5444849729537964,0.7753645637477482,Iran Says Europe's Support For Nuclear Deal Isn't Enough After America's Withdrawal
What are some tips to reduce food waste?,app helps donate leftover drug people struggle afford health care,0.3879467844963074,0.8172118633760238,Tips to Reduce Food Waste - The New York Times
15 Unique Gifts For Mom today Day,way gift generosity child teenager new york time,0.5281780958175659,0.8250605701940319,15 Unique Gifts For Mom This Mother's Day
"They clearly had the right to make the film, they just elected to do a sequel.",trump have second thought spend deal,0.2969788908958435,0.8494968457642863,"Trump Team Didn’t Put Nominees to ‘Sex, Drugs and Rock ’n’ Roll’ Test - The New York Times"
Video Of Bear Eating Ice Cream Is Not Leads To Charges For Zoo Owners,video bear eat ice cream dairy queen lead charge zoo owner,0.7473192811012268,0.9136707687410014,Video Of Bear Eating Ice Cream At Dairy Queen Leads To Charges For Zoo Owners
is most important in a suicide attempt,1 person find dead explosion rock site allege domestic hostage situation,0.4624384343624115,0.7993960064491182,General is most senior Army officer to kill self
School Got Complaints About Teacher Even Before CNN Revealed Her Racial Bias,school get complaint teacher huffpost reveal racial bias,0.8392464518547058,0.9007801693732729,School Got Complaints About Teacher Even Before HuffPost Revealed Her Racial Bias
Louie Gohmert gives an excellent performance.,paradox superb military get job,0.3647485375404358,0.7272279248736581,Rep. Louie Gohmert: Protests Against Gorsuch Nomination Are ‘Fake News’ Funded by ‘Soros Money’
North Carolina Governor Signs Law Limiting Successor’s Power - Prohibition,missouri governor claim witch hunt state house release report,0.3982721269130707,0.800053464354729,North Carolina Governor Signs Law Limiting Successor’s Power - The New York Times
"This Is Us, ""Come on! """,guy review long island rest stop worth pull,0.644752562046051,0.755641145481967,‘This Is Treason’: Clinton’s Email Server Reportedly Exposed to Hackers of 5 Spy Agencies
Was James Swinburne a Mason?,jason miller back white house communication job trump new york time,0.36011722683906555,0.691420668312458,Why Kris Kobach Was Found In Contempt For Not Clarifying To People That They Could Vote
