,perturb,original,dataset,method,vectorizer,nb not found,time to generate counterfactual
0,"The film has a soft, melancholic ending that disappoints you even after you've seen it.","the movie has a soft , percolating magic , a deadpan suspense .",polarity,Polyjuice,TfidfVectorizer,224,30.031731605529785
1,this is one of polanski's worst movies.,this is one of polanski's best films .,polarity,Polyjuice,TfidfVectorizer,224,24.49159073829651
2,"if she were, so we're left guessing because we're left with a modern sexual agenda.","there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .",polarity,Polyjuice,TfidfVectorizer,224,33.61392784118652
3,"The latter half of the film, showing scenes of deserted buildings lit in winter",sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,polarity,Polyjuice,TfidfVectorizer,224,29.78105139732361
4,"you know, she seemed to glom onto us, like captivated, a little astonished that something had happened, and then she simply implored your pardon.",". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .",polarity,Polyjuice,TfidfVectorizer,224,29.630780935287476
5,it's a glorious spectacle like those d . w . griffith made in the early days of rome .,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,polarity,Polyjuice,TfidfVectorizer,224,27.48887300491333
6,"[don't be mistaken, moore is a real charmer .",[at least] moore is a real charmer .,polarity,Polyjuice,TfidfVectorizer,224,25.945312976837158
7,the film starts out as competent but moving . . . and gradually grows into something of considerable power .,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,polarity,Polyjuice,TfidfVectorizer,224,26.001224040985107
8,"a bad african film about the modern condition of rootlessness , a state experienced by millions around the globe .","a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .",polarity,Polyjuice,TfidfVectorizer,224,35.17617964744568
9,and here's the weirdest:,"a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .",polarity,Polyjuice,TfidfVectorizer,224,36.124677658081055
10,The theme tune - song is a showcase for sandler's many talents .,eight crazy nights is a showcase for sandler's many talents .,polarity,Polyjuice,TfidfVectorizer,224,28.309316158294678
11,"from beginning to end , this overheated melodrama plays like a corny student film .","from beginning to end , this overheated melodrama plays like a student film .",polarity,Polyjuice,TfidfVectorizer,224,27.948700189590454
12,"as for what they did to my theater last night - they hung wine on the couches, but not my theater, so I wasn't sure if I was being instructed by the copywrite or not.","by taking entertainment tonight subject matter and giving it humor and poignancy , auto focus becomes both gut-bustingly funny and crushingly depressing .",polarity,Polyjuice,TfidfVectorizer,224,31.42845630645752
13,"it is a testament of quiet endurance , of common concern , of a just war .","it is a testament of quiet endurance , of common concern , of reconciled survival .",polarity,Polyjuice,TfidfVectorizer,224,30.14664602279663
14,"maybe it wasn't easy for you, but it may never be.",it's probably not easy to make such a worthless film . . .,polarity,Polyjuice,TfidfVectorizer,224,25.302730798721313
15,""" antwone fisher "" is an earnest , by-the-numbers effort who is as bad . it won't rock any boats but is solid meat-and-potatoes filmmaking .",""" antwone fisher "" is an earnest , by-the-numbers effort by washington . it won't rock any boats but is solid meat-and-potatoes filmmaking .",polarity,Polyjuice,TfidfVectorizer,224,31.81339931488037
16,"i can imagine this movie as a b&w british comedy , circa 1960 , with great sellers , kenneth williams , et al . , but at this time , with this cast , this movie is hopeless .","i can imagine this movie as a b&w british comedy , circa 1960 , with peter sellers , kenneth williams , et al . , but at this time , with this cast , this movie is hopeless .",polarity,Polyjuice,TfidfVectorizer,224,35.382184743881226
17,", but the fact that this one was from Canada gives it a slightly more terrestrial feel.","a touching , sophisticated film that almost seems like a documentary in the way it captures an italian immigrant family on the brink of major changes .",polarity,Polyjuice,TfidfVectorizer,224,29.0938937664032
18,it's just that we didn't have time for this crap.,". . . very funny , very enjoyable . . .",polarity,Polyjuice,TfidfVectorizer,224,27.412771463394165
