,target instance,closest_counterfactual,closest_true_counterfactual,farthest_true_counterfactual,closest_distance,farthest_distance,distance_cf_target,distance_metric,text_method,time
0,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,tositumomab important harzburgite service announcement freephone yogacharya 542 0825 uniquely,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,town v. important,0.0,0.21666666666666667,0.675,l0,concon,0.05102968215942383
1,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,tositumomab important harzburgite service announcement freephone yogacharya 542 0825 uniquely,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,town v. important,0.0,0.1337850929463124,0.5101490193104813,pairwise,concon,0.20485877990722656
2,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,tositumomab important harzburgite service announcement freephone yogacharya 542 0825 uniquely,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,town v. important,0.0,0.18257418583505536,0.6708203932499369,cosine,concon,0.008113861083984375
3,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,tositumomab important harzburgite service announcement freephone yogacharya 542 0825 uniquely,dnt wnt tlk wid u,networking technical support associate,-0.02529413020776889,0.5774604076676965,0.8982347132177505,spacy,concon,1.277707576751709
4,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,u want xmas pieing mononucleate 100 unappreciative text message new video phone flippant half price line flippant sexaholic prescient warming humpty dumpty puniness 0800 0721072 deterioration souvenance,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,message phone hold,0.0,0.3717948717948718,0.6809954751131222,l0,concon,0.09484481811523438
5,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,u want xmas pieing mononucleate 100 unappreciative text message new video phone flippant half price line flippant sexaholic prescient warming humpty dumpty puniness 0800 0721072 deterioration souvenance,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,message phone hold,0.0,0.13732225381708074,0.41628374983679645,pairwise,concon,0.20672202110290527
6,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,u want xmas pieing mononucleate 100 unappreciative text message new video phone flippant half price line flippant sexaholic prescient warming humpty dumpty puniness 0800 0721072 deterioration souvenance,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,message phone hold,0.0,0.214422506967559,0.5813183589761798,cosine,concon,0.011193513870239258
7,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,u want xmas pieing mononucleate 100 unappreciative text message new video phone flippant half price line flippant sexaholic prescient warming humpty dumpty puniness 0800 0721072 deterioration souvenance,,wuld baby thought mite break donaot wanna crazy everyboy need lady xxxxxxxx,0.0,0.648434367450491,0.6718589484729331,spacy,concon,1.4863746166229248
8,Last chance 2 claim ur aPS150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. aPS3.00 Sub. 16 . Remove txt X or STOP,chance inversive fog gun retire retire worth cassubian voucher text yes gunfighter phœnicia stouke spinnaker member offer claver t bisector near promisee undiscipline manage age remove fantasy x gritstone,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,yes   practice,0.0,0.26785714285714285,0.3637566137566137,l0,concon,0.09797000885009766
9,Last chance 2 claim ur aPS150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. aPS3.00 Sub. 16 . Remove txt X or STOP,chance inversive fog gun retire retire worth cassubian voucher text yes gunfighter phœnicia stouke spinnaker member offer claver t bisector near promisee undiscipline manage age remove fantasy x gritstone,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,yes   practice,0.0,0.07725777630952745,0.1853956172631563,pairwise,concon,0.20971417427062988
10,Last chance 2 claim ur aPS150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. aPS3.00 Sub. 16 . Remove txt X or STOP,chance inversive fog gun retire retire worth cassubian voucher text yes gunfighter phœnicia stouke spinnaker member offer claver t bisector near promisee undiscipline manage age remove fantasy x gritstone,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,yes   practice,0.0,0.1270001270001905,0.34565056491014173,cosine,concon,0.011058807373046875
11,Last chance 2 claim ur aPS150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. aPS3.00 Sub. 16 . Remove txt X or STOP,chance inversive fog gun retire retire worth cassubian voucher text yes gunfighter phœnicia stouke spinnaker member offer claver t bisector near promisee undiscipline manage age remove fantasy x gritstone,,yes start send request pain come bed double coin factory get to cash nitro,0.0,0.7606132507390284,0.7312367223091212,spacy,concon,1.5365614891052246
12,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,know tissue u know shovel send lubberliness negotiator 86688 let find zoysia moviegoing torontonian msg rcvd hg suite342/2lands flenser tumbling negotiator w1j6hl ldn sterling 18 year foible,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,ok c u,0.0,0.1858974358974359,0.7051282051282051,l0,concon,0.09458041191101074
13,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,know tissue u know shovel send lubberliness negotiator 86688 let find zoysia moviegoing torontonian msg rcvd hg suite342/2lands flenser tumbling negotiator w1j6hl ldn sterling 18 year foible,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,miss vday parachute double coin u know,0.0,0.08150598686233711,0.5171601528245195,pairwise,concon,0.20993852615356445
14,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,know tissue u know shovel send lubberliness negotiator 86688 let find zoysia moviegoing torontonian msg rcvd hg suite342/2lands flenser tumbling negotiator w1j6hl ldn sterling 18 year foible,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,miss vday parachute double coin u know,0.0,0.20044593143431827,0.6856034446626806,cosine,concon,0.01245737075805664
