,target instance,closest counterfactual,runtime,dataset_name,text_method,model_name,vectorizer,not find,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,i' d like to tell you my deepest darkest fantasies . call me 09094646631 just 60p / min . to stop texts call,i' d like to tell you mycal field bug . call me outgoing0 groundwith deserveenter andlessness full field uk denis . to field matter,117.7144088745,spam,counterfactualgan,bert,,16,d like tell mycal field bug outgoing0 groundwith deserveenter andlessness field uk denis field matter,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.4129944833567492,0.8926588008191388,15,0.16713157296180725,24.0,0.2123298645019531,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.1248608231544494
1,for ur chance to win a aps250 cash every wk txt: action to 80608 . t' s & c' s www,owe urhead to week a aps matter fieldouicehn se fieldt: on to gail balloonlessness . t printul opposed and field after,117.7144088745,spam,counterfactualgan,bert,,60,owe urhead week aps matter fieldouicehn se fieldt gail balloonlessness t printul oppose field,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.370504222836235,0.8474920913800474,18,0.28770020604133606,21.0,0.1838122755289077,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",-0.0965798050165176
2,free entry into our aps250 weekly comp just send the word enter to 84128 now . 18 t & c www . textcomp,##cher cupboard into our apsmit0 matter waymy situations send the word public to summer above8 now . losers t &ul opposed . field matter malaria,117.7144088745,spam,counterfactualgan,bert,,63,cher cupboard apsmit0 matter waymy situation send word public summer above8 loser t ul oppose field matter malaria,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.364993579444492,0.8949640889300338,16,0.27575838565826416,25.0,0.1856197416782379,Text PASS to 69669 to collect your polyphonic ringtones. Normal gprs charges apply only. Enjoy your tones,-0.0365569479763507
3,hmm . . . bad news . . . hype park plaza $700 studio taken . . . only left 2 bedrm - $900 . . .,woken . . . bad news . . . h matter park200 constantly 800 duo gloucester . . . only left 2 coa uk - $. . .0,117.7144088745,spam,counterfactualgan,bert,,125,wake bad news h matter park200 constantly 800 duo gloucester leave 2 coa uk $ .0,,0.0,0.9558786388251624,13,0.5101130604743958,,,"Just making dinner, you ?",-0.1182360351085662
4,"claim a 200 shopping spree, just call 08717895698 now! have you won! mobstorequiz10ppm",cs a reminding chicken [two200 week boy way came situations nicky colleagues loyalty above week now! print youlessness! passed losing kg opposedphonic matter great malaria,117.7144088745,spam,counterfactualgan,bert,,162,cs remind chicken two200 week boy way come situation nicky colleague loyalty week print youlessness pass lose kg opposedphonic matter great malaria,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.354564595617956,0.8669825657013122,23,0.2989216148853302,25.0,0.2019749134778976,Total video converter free download type this in google search:),-0.0331317670643329
5,"dear voucher holder, to claim this weeks offer, at your pc please go to http:// www . wtlp . co . uk /","dear great reminding sweetie, to claim this boy smarter, at your ac please public to address: //lessness 4 watervikja .phonic matter great",117.7144088745,spam,counterfactualgan,bert,,175,dear great remind sweetie claim boy smarter ac public address //lessness 4 watervikja .phonic matter great,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.3641417284361798,0.8758235386623002,16,0.11807460337877274,22.0,0.1024639680981636,"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play aPS250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088",-0.0981312245130539
6,update _ now - 12mths half price orange line rental : 400mins . . . call mobileupd8 on 08000839402,ir jerry now - smell occupy determine depressed matter herohlice: field field . . . call mobile balloonlessness full on print urgent opposedue field fin malaria,117.7144088745,spam,counterfactualgan,bert,,189,ir jerry smell occupy determine depressed matter herohlice field field mobile balloonlessness print urgent opposedue field fin malaria,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.3779681508822224,0.8393809205771661,19,0.11212042719125748,26.0,0.2005490362644195,Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.,-0.1272631734609604
7,74355 xmas iscoming & ur awarded either aps500 cd gift vouchers & free entry 2 r aps100 weekly draw txt,##cher week reminding specify assumed is dice thrown ur way any aps above se field researchuchers information freelessness losers water prints gary and fieldja spoke,117.7144088745,spam,counterfactualgan,bert,,192,cher week remind specify assume dice throw ur way aps se field researchucher information freelessness loser water print gary fieldja speak,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.41948417607738,0.70307166636621,24,0.28050193190574646,25.0,0.1546541154384613,Guess who am I?This is the first time I created a web page WWW.ASJESUS.COM read all I wrote. I'm waiting for your opinions. I want to be your friend 1/1,-0.0371724069118499
8,adult 18 content your video will be with you shortly,ur thrown content your video will be with youtu,117.7144088745,spam,counterfactualgan,bert,,204,ur throw content video youtu,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3070875301555486,0.9271924557799888,4,0.6848916411399841,18.0,0.0168188530951738,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!,-0.086892232298851
9,"we know someone who you know that fancies you . call 09058097218 to find out who . pobox 6, ls",we know someone who you know that depressedcal you . callhas colleagues se0 4007 deserve8 to find out who . po peacefulsf field and great,117.7144088745,spam,counterfactualgan,bert,,211,know know depressedcal callhas colleague se0 4007 deserve8 find po peacefulsf field great,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3149799968884462,0.9712614615428552,11,0.5483582019805908,25.0,0.1645799577236175,Block Breaker now comes in deluxe format with new features and great graphics from T-Mobile. Buy for just aPS5 by replying GET BBDELUXE and take the challenge,-0.0425747893750667
