,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. aPS1.50 SP:Tyrone,UNKWORDZ UNKWORDZ Wkly Q ! UNKWORDZ a top Sony DVD player if u know which country UNKWORDZ UNKWORDZ is in ? Txt UNKWORDZ to UNKWORDZ . UNKWORDZ SP : Tyrone,unkwordz unkwordz wkly q unkwordz sony dvd player u know country unkwordz unkwordz txt unkwordz unkwordz unkwordz sp tyrone,important customer service announcement freephone 0800 542 0825,TfidfVectorizer,sedc,RandomForestClassifier,spam,0.525862455368042,0,0.373167371031276,0.981484540690302,16,0.5855134725570679,30,0.0366631187498569,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",-0.1288564652204513
1,URGENT! We are trying to contact U. Todays draw shows that you have won a aPS800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,URGENT ! We UNKWORDZ UNKWORDZ to UNKWORDZ U. UNKWORDZ draw shows that you have won a UNKWORDZ UNKWORDZ UNKWORDZ . UNKWORDZ UNKWORDZ from UNKWORDZ UNKWORDZ . UNKWORDZ M95 . UNKWORDZ only,urgent unkwordz unkwordz unkwordz u. unkwordz draw show win unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz m95 unkwordz,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,TfidfVectorizer,sedc,RandomForestClassifier,spam,0.8509018421173096,1,0.3672226359310574,0.9724742193446464,19,0.37572795152664185,31,0.0278498753905296,"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth aPS350! To Claim, Call London 02072069400. Bx 526, SW73SS",-0.1156203597784042
2,GENT! We are trying to contact you. Last weekends draw shows that you won a aPS1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,UNKWORDZ ! We UNKWORDZ trying to UNKWORDZ you . Last weekends UNKWORDZ shows UNKWORDZ you UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ Call 09064012160 UNKWORDZ UNKWORDZ UNKWORDZ K52 UNKWORDZ UNKWORDZ UNKWORDZ only . 150ppm,unkwordz unkwordz try unkwordz weekend unkwordz show unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz 09064012160 unkwordz unkwordz unkwordz k52 unkwordz unkwordz unkwordz 150ppm,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,TfidfVectorizer,sedc,RandomForestClassifier,spam,1.175239324569702,2,0.3376846437949285,0.9613079461299812,24,0.24837470054626465,33,0.2386146634817123,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",-0.079052448272705
3,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,important UNKWORDZ 4 orange user . today is your lucky day!2find UNKWORDZ why log onto UNKWORDZ THERE 'S A FANTASTIC SURPRISE AWAITING YOU !,important unkwordz 4 orange user today lucky day!2find unkwordz log unkwordz fantastic surprise await,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,TfidfVectorizer,sedc,RandomForestClassifier,spam,0.1489913463592529,3,0.3559226787992694,0.996434868659488,7,0.7340354323387146,24,0.184966966509819,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",-0.0963209494948387
4,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ of UNKWORDZ vouchers or 125gift UNKWORDZ & UNKWORDZ entry 2 UNKWORDZ wkly UNKWORDZ UNKWORDZ MUSIC to 87066,unkwordz unkwordz unkwordz unkwordz unkwordz voucher 125gift unkwordz unkwordz entry 2 unkwordz wkly unkwordz unkwordz music 87066,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,TfidfVectorizer,sedc,RandomForestClassifier,spam,0.671820878982544,3,0.2836029077058128,0.8728357754223189,10,0.4560086727142334,21,0.266774982213974,"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth aPS350! To Claim, Call London 02072069400. Bx 526, SW73SS",-0.1039965525269508
5,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,You UNKWORDZ an important UNKWORDZ UNKWORDZ announcement . Call FREEPHONE UNKWORDZ UNKWORDZ 0825 now !,unkwordz important unkwordz unkwordz announcement freephone unkwordz unkwordz 0825,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,TfidfVectorizer,sedc,RandomForestClassifier,spam,0.3295400142669678,11,0.3062879438391938,0.925730402366387,9,0.48028498888015747,18,0.1749312430620193,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",-0.1097110658884048
6,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,UNKWORDZ do U UNKWORDZ for UNKWORDZ ? How about UNKWORDZ free UNKWORDZ messages UNKWORDZ a new UNKWORDZ UNKWORDZ UNKWORDZ half price UNKWORDZ rental ? Call free UNKWORDZ UNKWORDZ UNKWORDZ 0721072 to find out more UNKWORDZ,unkwordz u unkwordz unkwordz unkwordz free unkwordz message unkwordz new unkwordz unkwordz unkwordz half price unkwordz rental free unkwordz unkwordz unkwordz 0721072 find unkwordz,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,TfidfVectorizer,sedc,RandomForestClassifier,spam,1.0023057460784912,11,0.395115410724938,0.982804313284744,18,0.2785481810569763,35,0.2012063264846801,"our mobile number has won aPS5000, to claim calls us back or ring the claims hot line on 09050005321.",-0.0797517001628875
7,Last chance 2 claim ur aPS150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. aPS3.00 Sub. 16 . Remove txt X or STOP,Last UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ aPS150 worth of UNKWORDZ vouchers - UNKWORDZ YES to UNKWORDZ now!SavaMob - UNKWORDZ offers UNKWORDZ UNKWORDZ UNKWORDZ 08717898035 . aPS3.00 Sub . UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ or STOP,unkwordz unkwordz unkwordz unkwordz aps150 worth unkwordz voucher unkwordz yes unkwordz now!savamob unkwordz offer unkwordz unkwordz unkwordz 08717898035 aps3.00 sub unkwordz unkwordz unkwordz unkwordz unkwordz stop,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,TfidfVectorizer,sedc,RandomForestClassifier,spam,1.112598896026611,11,0.302444356838414,0.9295991037183542,24,0.4707145690917969,34,0.18367899954319,Guess who am I?This is the first time I created a web page WWW.ASJESUS.COM read all I wrote. I'm waiting for your opinions. I want to be your friend 1/1,-0.1117331534624099
8,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,I do n't know UNKWORDZ UNKWORDZ u UNKWORDZ n't UNKWORDZ UNKWORDZ . Send UNKWORDZ to 86688 now and let 's find each other ! Only UNKWORDZ / Msg UNKWORDZ . HG UNKWORDZ Suite342/2Lands / Row / UNKWORDZ LDN . UNKWORDZ UNKWORDZ or over .,know unkwordz unkwordz u unkwordz unkwordz unkwordz send unkwordz 86688 let find unkwordz msg unkwordz hg unkwordz suite342/2lands row unkwordz ldn unkwordz unkwordz,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,TfidfVectorizer,sedc,RandomForestClassifier,spam,1.0984008312225342,11,0.3681732599553404,0.9924025896718028,32,0.3241102695465088,44,0.0438713058829307,"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth aPS350! To Claim, Call London 02072069400. Bx 526, SW73SS",-0.1361430436372757
9,todays vodafone numbers ending with 0089(my last four digits) are selected to received a aPS350 award. If your number matches please call 09063442151 to claim your aPS350 award,UNKWORDZ vodafone UNKWORDZ UNKWORDZ with 0089(my last UNKWORDZ digits ) are selected to received a UNKWORDZ award . UNKWORDZ your number UNKWORDZ UNKWORDZ call 09063442151 to UNKWORDZ your UNKWORDZ award,unkwordz vodafone unkwordz unkwordz 0089(my unkwordz digit select receive unkwordz award unkwordz number unkwordz unkwordz 09063442151 unkwordz unkwordz award,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,TfidfVectorizer,sedc,RandomForestClassifier,spam,0.7280330657958984,11,0.3129201147549221,0.9821875065021454,14,0.4951481223106384,30,0.1818256676197052,Would you like to see my XXX pics they are so hot they were nearly banned in the uk!,-0.1291261464357376
