,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find
0,"Bias: Trump Blamed For Sluggish Economy, Obama Lavished With Praise - Breitbart","UNKWORDZ : Trump Blamed For Sluggish UNKWORDZ , UNKWORDZ UNKWORDZ With Praise UNKWORDZ UNKWORDZ",unkwordz trump blame sluggish unkwordz unkwordz unkwordz praise unkwordz unkwordz,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,MLPClassifier,fake,0.16192007064819336,0
1,The Supreme Court Is Helping Companies Get Away With Sexual Harassment,The Supreme Court Is UNKWORDZ UNKWORDZ Get Away With UNKWORDZ Harassment,supreme court unkwordz unkwordz away unkwordz harassment,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,sedc,MLPClassifier,fake,0.09417867660522461,0
2,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,Bill Gates Says Trump Did UNKWORDZ UNKWORDZ The Difference Between UNKWORDZ And HIV,bill gate say trump unkwordz unkwordz difference unkwordz hiv,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,MLPClassifier,fake,0.08719420433044434,0
3,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,Kylie UNKWORDZ 's Ex - Bodyguard Tim UNKWORDZ Denies He 's Actually Stormi UNKWORDZ Father,kylie unkwordz ex bodyguard tim unkwordz deny actually stormi unkwordz father,diamond silk,CountVectorizer,sedc,MLPClassifier,fake,0.07339787483215332,0
4,'Law & Order: SVU' Tackles Trans Military Debate With Powerful Storyline,' Law & UNKWORDZ UNKWORDZ SVU ' Tackles UNKWORDZ Military Debate With Powerful Storyline,law unkwordz unkwordz svu tackle unkwordz military debate powerful storyline,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,sedc,MLPClassifier,fake,0.08535313606262207,0
5,Kate McKinnon Breaks Out Another Impression Of Rudy Giuliani,Kate UNKWORDZ Breaks Out Another Impression Of UNKWORDZ UNKWORDZ,kate unkwordz break impression unkwordz unkwordz,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,sedc,MLPClassifier,fake,0.049601078033447266,0
6,U.S. Embassy In Jerusalem Opens Its Doors As Protests Rage Nearby,U.S. UNKWORDZ In UNKWORDZ Opens Its Doors As Protests UNKWORDZ Nearby,u.s unkwordz unkwordz open door protest unkwordz nearby,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,MLPClassifier,fake,0.08441019058227539,0
7,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,Trump 's UNKWORDZ About UNKWORDZ Giving UNKWORDZ Syria UNKWORDZ Look Pretty Silly Now,trump unkwordz unkwordz give unkwordz syria unkwordz look pretty silly,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,MLPClassifier,fake,0.08905339241027832,0
8,Teen Uses 'Grey's Anatomy' For Secret Yearbook Message About Being Gay,UNKWORDZ UNKWORDZ ' Grey 's Anatomy ' For Secret Yearbook UNKWORDZ UNKWORDZ Being Gay,unkwordz unkwordz grey anatomy secret yearbook unkwordz unkwordz gay,wikileak obama saudi agent,CountVectorizer,sedc,MLPClassifier,fake,0.164839506149292,0
9,Jim Carrey's Latest Painting Slams Kent State 'Goldilocks' And Her AR-10,UNKWORDZ UNKWORDZ UNKWORDZ Latest Painting Slams Kent UNKWORDZ ' UNKWORDZ ' And UNKWORDZ UNKWORDZ,unkwordz unkwordz unkwordz late painting slam kent unkwordz unkwordz unkwordz unkwordz,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,sedc,MLPClassifier,fake,0.2646667957305908,0
10,Mark Levin on Trump Wiretapping Claims: ’The Evidence Is Overwhelming’ - Breitbart,Mark Levin on Trump Wiretapping Claims : UNKWORDZ The Evidence UNKWORDZ Overwhelming ’ - UNKWORDZ,mark levin trump wiretapping claim unkwordz evidence unkwordz overwhelming unkwordz,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,MLPClassifier,fake,0.10623598098754883,0
11,"Childish Gambino's 'This Is America' Video, Explained","Childish Gambino 's UNKWORDZ This Is UNKWORDZ ' UNKWORDZ , Explained",childish gambino unkwordz unkwordz unkwordz explain,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,MLPClassifier,fake,0.04358530044555664,0
12,"Gorka Smites Haters, Radical Islamists in Jerusalem Post Speech - Breitbart","UNKWORDZ Smites UNKWORDZ , UNKWORDZ UNKWORDZ in UNKWORDZ UNKWORDZ Speech - UNKWORDZ",unkwordz smite unkwordz unkwordz unkwordz unkwordz unkwordz speech unkwordz,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,MLPClassifier,fake,0.18457698822021484,0
13,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police","# NoDAPL : UNKWORDZ UNKWORDZ Leaders Vow to Stay All Winter , UNKWORDZ Lawsuit Against Police",nodapl unkwordz unkwordz leader vow stay winter unkwordz lawsuit police,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,sedc,MLPClassifier,fake,0.06898164749145508,0
14,Judge Agrees To Delay Stormy Daniels' Lawsuit Against Michael Cohen,UNKWORDZ Agrees To Delay UNKWORDZ UNKWORDZ ' UNKWORDZ Against UNKWORDZ UNKWORDZ,unkwordz agree delay unkwordz unkwordz unkwordz unkwordz unkwordz,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,sedc,MLPClassifier,fake,0.20796561241149902,0
15,Illegal Immigrant Accused of Murdering Teacher,Illegal UNKWORDZ UNKWORDZ of Murdering UNKWORDZ,illegal unkwordz unkwordz murder unkwordz,diamond silk,CountVectorizer,sedc,MLPClassifier,fake,0.06697463989257812,0
16,"Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda","Left Blasts Pepsi , UNKWORDZ Jenner for ’ Appropriating ’ Anti - Trump ‘ UNKWORDZ ’ to Sell UNKWORDZ",leave blast pepsi unkwordz jenner appropriate anti trump unkwordz sell unkwordz,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,MLPClassifier,fake,0.08390522003173828,0
17,"Dakota Excess Pipeline? Standing Rock Protectors Strip-Searched, Jailed for Days on Minor Charges – Video, Links, and Commentary","Dakota Excess UNKWORDZ ? Standing UNKWORDZ UNKWORDZ Strip - Searched , Jailed for Days on Minor Charges – UNKWORDZ , Links , and Commentary",dakota excess unkwordz stand unkwordz unkwordz strip search jail day minor charge unkwordz link commentary,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,MLPClassifier,fake,0.156724214553833,0
