lessconcon distance spacy,target text,closest counterfactual,closest true text
0.8224007550573696,"no movement , no yuks , not much of anything","any movement , any yuks , practically same of anything",refreshingly honest ultimately touch tale sort people usually ignore contemporary american film search
0.8739937173904824,"gangs of new york is an unapologetic mess , whose only saving grace is that it ends by blowing just about everything up","gangs of showcase york is an unapologetic wonder , whose only saving grace is that it ends by blowing kinda about everything up",good film baseball hit theater field dream
0.9106795959989162,"we never really feel involved with the story , as all of its ideas remain just that abstract ideas","us never really feel involved with the story , as all of its thoughts remain still that abstract ideas",good film baseball hit theater field dream
0.8089440203768952,this is one of polanski 's best films,this is seven of polanski 's worst films,despite fact film bad think go good movie
0.860755152741684,take care of my cat offers a refreshingly different slice of asian cinema,take care of my cat offers a refreshingly able slice between asian movie,get wrap visual eccentricity character find confused come time heart movie
0.8406251386198188,the movie exists for its soccer action and its fine acting,the plot exists than its soccer action and its fine acting,jones despite definitely distinctive screen presence able muster movie title notwithstanding lot nasty want fully capitalize lead specific gift
0.8743325301789312,arnold 's jump from little screen to big will leave frowns on more than a few faces,arnold 's jump from little screen to big will leave frowns on more that an few faces,cut core actually mean face fear girl world boy boy truly love girl ride big metaphorical wave life take
0.8601183924407523,"jason x has cheesy effects and a hoary plot , but its macabre , self deprecating sense of humor makes up for a lot","jason x has cheesy transitions or a hoary premise , but its macabre , self griping sense of humor makes up through a lot",human nature short nearly funny think smart
0.8954310835634429,"even as lame horror flicks go , this is lame","even because lame horror flicks go , this is hilarious",star trek kind terrific copy copy copy
0.8570983292624004,any one episode of the sopranos would send this ill conceived folly to sleep with the fishes,another one episode of the sopranos would send this ill conceived folly to sleep with an fishes,cut core actually mean face fear girl world boy boy truly love girl ride big metaphorical wave life take
0.8404222971154478,most new movies have a bright sheen,least entire movies have a bright sheen,jones despite definitely distinctive screen presence able muster movie title notwithstanding lot nasty want fully capitalize lead specific gift
0.887702844738864,but what saves lives on the freeway does not necessarily make for persuasive viewing,but what saves lives on every freeway does not enough make for persuasive viewing,will harm think good reason rush right probably video store christmas well suited night living room night movie
0.6888430412152696,steve irwin 's method is ernest hemmingway at accelerated speed and volume,steve irwin 's method comes ernest hemmingway at accelerated speed either method,actor showcase hart war recommend bill willis impressive player story dramatic enlightenment screenplay billy ray terry george leave desire
0.8119540075246774,nicely serves as an examination of a society in transition,poorly serves as an examination than a youth in expansion,parker commend take fresh approach familiar material determination remain true original text lead adopt somewhat mannered tone ultimately dull human tragedy story core
0.8988282711463668,"the film would work much better as a video installation in a museum , where viewers would be free to leave","the film will work much stronger besides a video experience in a museum , where viewers would be popular to leave",art direction exquisite anthropomorphic animal character beautifully realize clever makeup design leave hope eventual dvd release offer subtitle original italian language soundtrack
0.8027195627945898,the whole thing plays out with the drowsy heaviness of synchronized swimmer wearing a wool wetsuit,the whole bit plays out with the cheerful heaviness of synchronized swimmer wearing a wool wetsuit,sensitive expertly act crowd pleaser little broad comedy unabashedly sentimental tear
0.8438435754798375,"it 's a pleasure to see seinfeld griping about the biz with buddies chris rock , garry shandling and colin quinn","it 's a pleasure to see scott griping about some biz with buddies chris rock , garry shandling or charlie quinn",nice thing say steal harvard call freddy gets molest dog obnoxious tom green freddie got finger
0.8597748849216329,"finally , a genre movie that delivers in a couple of genres , no less","finally , a genre movie that sustains in a couple of genres , no less",jones despite definitely distinctive screen presence able muster movie title notwithstanding lot nasty want fully capitalize lead specific gift
0.8424020171222276,"as a singular character study , it 's perfect","as a singular character psychology , me 's perfect",get wrap visual eccentricity character find confused come time heart movie
0.8222234967114914,haneke challenges us to confront the reality of sexual aberration,haneke challenges you to confront the reality of sensual aberration,present impossible romance impossible world pumpkin dare impossible force confront possible
0.884735437914954,an experience so engrossing it is like being buried in a new environment,an someone so engrossing it is like being buried than a great environment,tadpole sophisticated funny good natured treat slight pleasure
0.8443363221312874,i do n't have an i am sam clue,i know n't have an i am yu clue,movie quiet affirmation neighborhood value give honest live glow
0.6879746602308274,the thrill is lrb long rrb gone,another thrill is lrb definitely rrb gone,watch chemistry freeman judd make movie worth see
0.7602548474801858,much monkeyfun for all,worthwhile monkeyfun for these,art direction exquisite anthropomorphic animal character beautifully realize clever makeup design leave hope eventual dvd release offer subtitle original italian language soundtrack
0.8881981915652972,"much of the way , though , this is a refreshingly novel ride","much between the way , though , this feels a refreshingly novel ride",story lose bite minute happy ending plausible rest picture way refreshingly novel ride
0.8778721951051859,one scarcely needs the subtitles to enjoy this colorful action farce,him sometimes needs the subtitles to enjoy every colorful action farce,jones despite definitely distinctive screen presence able muster movie title notwithstanding lot nasty want fully capitalize lead specific gift
0.8790478919866964,what might have been a predictably heartwarming tale is suffused with complexity,what ought have been a predictably heartwarming tale feels aroused with complexity,parker commend take fresh approach familiar material determination remain true original text lead adopt somewhat mannered tone ultimately dull human tragedy story core
0.843386311026365,"with generic sets and b grade special effects , jason is about as convincing on the sci fi front as tv 's defunct cleopatra 2525","with generic sets and b grade special doses , jason is about as convincing on both sci fi front as tv 's defunct crocodile 65",cut core actually mean face fear girl world boy boy truly love girl ride big metaphorical wave life take
0.8925182455726446,this is simply the most fun you 'll ever have with a documentary !,this is simply the best week you 'll nowhere have with a documentary !,will harm think good reason rush right probably video store christmas well suited night living room night movie
0.9031851055278739,"it represents better than average movie making that does n't demand a dumb , distracted audience","us represents better than odd movie making that does n't demand a dumb , distracted audience",jones despite definitely distinctive screen presence able muster movie title notwithstanding lot nasty want fully capitalize lead specific gift
0.8105461480037776,the sum of the parts equals largely a confused mediocrity,the coincidence of the parts symbolizes largely a confused mediocrity,good chunk running time trap effective claustrophobic thriller
0.8982068262815248,"it may be an easy swipe to take , but this barbershop just does n't make the cut","it may be an great swipe to take , but some barbershop just does n't make the cut",movie quiet affirmation neighborhood value give honest live glow
0.8788728732361861,"how on earth , or anywhere else , did director ron underwood manage to blow 100 million on this ?","how across earth , and anywhere else , did director oscar underwood manage to blow 100 eight on this ?",cut core actually mean face fear girl world boy boy truly love girl ride big metaphorical wave life take
