target,counterfactual,method,black_box
"if h . g . wells had a time machine and could take a look at his kin's reworked version , what would he say ? 'it looks good , sonny , but you missed the point . '","if h . g . wells had a time machine and could direct a look at his kin 's reworked version , what would he say ? ' it spirit good , sonny , but you attend the point . '",wordnet,DNN
an already thin story boils down to surviving invaders seeking an existent anti-virus . if only there were one for this kind of movie .,AN already lean story boils down to surviving invader seeking Associate_in_Nursing potential anti - virus . if only here constitute one for this kind of motion-picture_show .,wordnet,DNN
"all the performances are top notch and , once you get through the accents , all or nothing becomes an emotional , though still positive , wrench of a sit .","completely the performances are top notch and , once you get through the accents , all or nothing get an emotional , though silence cocksure , wrench of a sit .",wordnet,DNN
. . . standard guns versus martial arts cliche with little new added .,. . . criterion shooter versus soldierly arts platitude with large fresh supply .,wordnet,DNN
"' . . . both hokey and super-cool , and definitely not in a hurry , so sit back , relax and have a few laughs while the little ones get a fuzzy treat . '","' . . . both hokey and super - cool , and decidedly not in a hurry , so sit punt , decompress and have a many gag while the little ones bewilder a fuzzy treat . '",wordnet,DNN
don't let the subtitles fool you ; the movie only proves that hollywood no longer has a monopoly on mindless action .,do n't have the subtitles mark you ; the moving-picture_show only proves that hollywood atomic_number_102 longer give a monopoly on mindless action .,wordnet,DNN
"on its own cinematic terms , it successfully showcases the passions of both the director and novelist byatt .",,wordnet,DNN
"as comedic spotlights go , notorious c . h . o . hits all the verbal marks it should .","as comedic spot go , ill-famed c . h . group_O . rack_up all the numerical pit information_technology should .",wordnet,DNN
"below may not mark mr . twohy's emergence into the mainstream , but his promise remains undiminished .","below may not punctuate mr . twohy 's emergence into the mainstream , but his promise stiff undiminished .",wordnet,DNN
"despite the film's shortcomings , the stories are quietly moving .","despite the film 's shortcoming , the narration are noisily affect .",wordnet,DNN
only two words will tell you what you know when deciding to see it : anthony . hopkins .,only two word bequeath tell you what you know when deciding to see it : Susan_Brownell_Anthony . Sir_Frederick_Gowland_Hopkins .,wordnet,DNN
it's all pretty tame . the most offensive thing about the movie is that hollywood expects people to pay to see it .,it 's whole somewhat tame . the most unsavoury thing near the motion-picture_show is that Hollywood expects people to pay_up to see it .,wordnet,DNN
ahhhh . . . revenge is sweet !,,wordnet,DNN
"one of the best , most understated performances of [jack nicholson's] career .","one of the worst , well-nigh understated operation of [ knave nicholson 's ] career .",wordnet,DNN
"when mr . hundert tells us in his narration that 'this is a story without surprises , ' we nod in agreement .","when mr . hundert tells us in his yarn that ' this live a story without surprise , ' we nod in correspondence .",wordnet,DNN
"without ever becoming didactic , director carlos carrera expertly weaves this novelistic story of entangled interrelationships and complex morality .","without of_all_time suit didactical , conductor Michael_Assat carrera amateurishly wind this novelistic story of mat interrelation and simple ethics .",wordnet,DNN
". . . if you're in a mind set for goofy comedy , the troopers will entertain with their gross outs , bawdy comedy and head games .",". . . if you 're in a mind typeset for goofy comedy , the state_trooper volition hold with their gross come_out , off-color comedy and head games .",wordnet,DNN
"as hugh grant says repeatedly throughout the movie , 'lovely ! brilliant ! '","as hugh grant says repeatedly end-to-end the movie , ' pin-up ! smart_as_a_whip ! '",wordnet,DNN
"the last 20 minutes are somewhat redeeming , but most of the movie is the same teenage american road-trip drek we've seen before - only this time you have to read the fart jokes","the last XX moment equal moderately redeeming , but most of the movie is the different teenage american road - trip drek we 've seen earlier - only this time you have to read the wind gag",wordnet,DNN
"american chai encourages rueful laughter at stereotypes only an indian-american would recognize . and the lesson , in the end , is nothing new .","american chai discourage rueful laughter at stamp only_if an American-Indian_language - american would recognize . and the object_lesson , in the terminal , is null new .",wordnet,DNN
nothing more or less than an outright bodice-ripper -- it should have ditched the artsy pretensions and revelled in the entertaining shallows .,nada more or LE than an outright bodice - ripper -- it should have ditched the artsy pretensions and delight in the entertaining shoal .,wordnet,DNN
"this one is definitely one to skip , even for horror movie fanatics .","this one follow definitely one to skim , even for horror movie fiend .",wordnet,DNN
take care of my cat offers a refreshingly different slice of asian cinema .,take care of my vomit propose a refreshfully different fade of Asiatic film .,wordnet,DNN
"an artful , intelligent film that stays within the confines of a well-established genre .","AN artless , intelligent film that stick within the limit of a well - found music_genre .",wordnet,DNN
"s1m0ne's satire is not subtle , but it is effective . it's a quirky , off-beat project . . . .","s1m0ne 's satire is not pernicious , but information_technology is effectual . it 's a quirky , off - beat propose . . . .",wordnet,DNN
