index,original text,true class,decoded text,black box prediction,decision tree prediction,fidelity,exemplars,counter exemplars,top exemplar words,top counter exemplar words,time to generate
0,windtalkers celebrates the human spirit and packs an emotional wallop,1,windtalkers celebrates the human spirit and packs an emotional wallop,1,1,0.9855072463768116,"['a movie that one of the best films of the year with ', 'the film s so uninspiring that covers a lot of the ', 'the film is a primer on its own it s a of above the ', 'the film s so of the reassuring adaptation of a with ', 'a movie that one of the best films of the situation ']","['a movie that one would be profane politically the ', 'a movie that one would have been called the video ', 'a movie that so tale about being a bunch of time in ', 'the film is a primer on its own it feels like a lot ', 'the film is a primer on its own and fills its characters ']","{'one': 0.14285714285714285, 'best': 0.14285714285714285, 'films': 0.14285714285714285, 'year': 0.07142857142857142, 'uninspiring': 0.07142857142857142}","{'one': 0.1111111111111111, 'would': 0.1111111111111111, 'primer': 0.1111111111111111, 'profane': 0.05555555555555555, 'politically': 0.05555555555555555}",0.025651931762695312
1,filmmakers have to dig deep to sink this low founately for all involved this movie is likely to disappear as quickly as an ice cube thrown into a pot of boiling water,0,filmmakers have to dig deep to sink this low founately for all involved this movie is likely to disappear as quickly as an ice cube thrown into a pot of boiling water,0,0,0.9795918367346939,"['the film is too many out to crush the same ride that ', 'the film is a contrivance as aificial as the movie ', 'the film has the perfect characters are too much but ', 'the film is too many out of these guys are john in ', 'the film has been in years old but director s a bad ']","['the film has a laundry cast of human observation and ', 'the film has the perfect characters are not much of ', 'the film has all the rules of water of waime life ', 'the film has an infectious enthusiasm and it s simply ', 'the film has a laundry cast of human observation are ']","{'many': 0.13333333333333333, 'crush': 0.06666666666666667, 'ride': 0.06666666666666667, 'contrivance': 0.06666666666666667, 'aificial': 0.06666666666666667}","{'laundry': 0.1111111111111111, 'cast': 0.1111111111111111, 'human': 0.1111111111111111, 'observation': 0.1111111111111111, 'perfect': 0.05555555555555555}",0.035948753356933594
2,what staed out as a taut contest of wills between bacon and theron deteriorates into a protracted and borderline silly chase sequence,0,what staed out as a taut contest of wills between bacon and theron deteriorates into a protracted and borderline silly chase sequence,1,1,0.972972972972973,"['a movie that one of the best films of the year with ', 'the film is a primer on its own director director ', 'the film is so of those who try to look at but it ', 'the film is a primer on its own it s a rewarding balance ', 'the film is so of the 70s games film ever made about ']","['the film is a primer on its own animated tv in which ', 'the film is a primer on its own it s a of healthy ', 'the film is so of the 70s or film in which it s performance ', 'the film is so many of the time it s so bad that it ']","{'primer': 0.125, 'director': 0.125, 'one': 0.0625, 'best': 0.0625, 'films': 0.0625}","{'primer': 0.2, 'animated': 0.1, 'tv': 0.1, 'healthy': 0.1, '70s': 0.1}",0.019500255584716797
3,a mean spirited film made by someone who surely read the catcher in the rye but clearly suffers from dyslexia,0,a mean spirited film made by someone who surely read the catcher in the rye but clearly suffers from dyslexia,0,0,0.9772727272727273,"['the film is a primer on its own animated tv in which ', 'the film is a primer on its own animated tv and rather ', 'the film is so many of its own in reality tv in which ', 'the film is a primer on its own hollywood director ', 'the film is a primer on sentence of the film a movie ']","['the film is a primer on its own it s a of above the ', 'the film is a primer on the beach with humor and american ', 'the film is so of the 70s celebratory film is a lot ', 'the film is so many that you ll in sadness years but ', 'the film is a primer on the rules of attraction and ']","{'primer': 0.26666666666666666, 'tv': 0.2, 'animated': 0.13333333333333333, 'rather': 0.06666666666666667, 'many': 0.06666666666666667}","{'primer': 0.21428571428571427, 'beach': 0.07142857142857142, 'humor': 0.07142857142857142, 'american': 0.07142857142857142, '70s': 0.07142857142857142}",0.0347137451171875
4,sma funny and just honest enough to provide the pleasures of a slightly naughty just above average off broadway play,1,sma funny and just honest enough to provide the pleasures of a slightly naughty just above average off broadway play,0,0,0.9512195121951219,"['sma funny and just honest enough to provide the pleasures of a slightly naughty just above average off broadway play', 'the film is a primer on its own hollywood director ', 'the film is a primer on its own animated tv in which ', 'the film is a primer on sentence of the film a movie ', 'the film is so consistently that the impoance of human ']","['the film is a primer on its own it s a of healthy ', 'the film is a primer on its own it s a rewarding balance ', 'the film has a contrivance as aificial as the film ', 'the film is so consistently that the impoance of life ', 'the film is a primer on the beach with humor and american ']","{'primer': 0.13636363636363635, 'sma': 0.045454545454545456, 'funny': 0.045454545454545456, 'honest': 0.045454545454545456, 'enough': 0.045454545454545456}","{'primer': 0.21428571428571427, 'healthy': 0.07142857142857142, 'rewarding': 0.07142857142857142, 'balance': 0.07142857142857142, 'contrivance': 0.07142857142857142}",0.028718948364257812
5,it s difficult for a longtime admirer of his work to not be swept up in invincible and overlook its drawbacks,0,it s difficult for a longtime admirer of his work to not be swept up in invincible and overlook its drawbacks,0,0,0.975609756097561,"['the film is a primer on sentence of the film a movie ', 'the film is so many of its own in reality tv in which ', 'the film is a primer on its own animated tv in which ', 'the film is a primer on its own hollywood director ', 'the film is so of the 70s or film in which it s performance ']","['the film is a primer on its own animated tv and in ', 'it s a very tasteful to look at it s so devoid of ', 'the film has a laundry exercise in camera and that ', 'the film is so heavy handed that doesn t get an interest ', 'the film is a primer on the beach with humor and american ']","{'primer': 0.23076923076923078, 'tv': 0.15384615384615385, 'sentence': 0.07692307692307693, 'many': 0.07692307692307693, 'reality': 0.07692307692307693}","{'primer': 0.11764705882352941, 'animated': 0.058823529411764705, 'tv': 0.058823529411764705, 'tasteful': 0.058823529411764705, 'look': 0.058823529411764705}",0.03219246864318848
6,feels like six different movies fighting each other for attention,0,feels like six different movies fighting each other for attention,0,0,0.9661016949152542,"['a movie that rare into a man who can not always in ', 'a movie that rare into a man who can t seen it s not ', 'the film is a primer on its own it feels like a lot ', 'a movie that one would be profane politically the ', 'the film is a primer on its own and fills its characters ']","['a movie that so of the highest and the of povey to ', 'the film is a primer on its own in town with sensitivity ', 'the film is a primer on its own it fills a strong ', 'a thoughtful movie one of s best and in a performance ', 'the film is a primer on its own animated tv and in ']","{'rare': 0.11764705882352941, 'man': 0.11764705882352941, 'primer': 0.11764705882352941, 'always': 0.058823529411764705, 'seen': 0.058823529411764705}","{'primer': 0.2, 'highest': 0.06666666666666667, 'povey': 0.06666666666666667, 'town': 0.06666666666666667, 'sensitivity': 0.06666666666666667}",0.055518150329589844
7,its scenes and sensibility are all more than familiar but it exudes a kind of nostalgic spy movie charm and at the same time is so fresh and free of the usual thriller nonsense that it all seems to be happening for the first time,1,its scenes and sensibility are all more than familiar but it exudes a kind of nostalgic spy movie charm and at the same time is so fresh and free of the usual thriller nonsense that it all seems to be happening for the first time,0,0,0.9714285714285714,"['the movie has a laundry of a movie that i can be shaking ', 'the movie i have been outrageous don t be seen in ', 'the movie has been in this one of human guilt but ', 'the movie has all the rules of attraction is bigelow ', 'the movie has the fact that the is a rewarding smug ']","['the movie has the fact of the best examples of a house ', 'a movie that harps on and a jr but there isn t a definitive ', 'the movie has a laundry of a movie that you can hear ', 'the film has the number of s a remarkably listless ', 'the film has the perfect of s best and the film s ']","{'laundry': 0.07692307692307693, 'shaking': 0.07692307692307693, 'outrageous': 0.07692307692307693, 'seen': 0.07692307692307693, 'one': 0.07692307692307693}","{'best': 0.14285714285714285, 'fact': 0.07142857142857142, 'examples': 0.07142857142857142, 'house': 0.07142857142857142, 'harps': 0.07142857142857142}",0.030572891235351562
8,this is as powerful a set of evidence as you ll ever find of why a matters and how it can resonate far beyond museum walls and through to the most painfully marginal lives,1,this is as powerful a set of evidence as you ll ever find of why a matters and how it can resonate far beyond museum walls and through to the most painfully marginal lives,1,1,1.0,"['the film has a laundry cast of war shocomings but ', 'the film has an infectious enthusiasm and it s altman ', 'the film has an infectious enthusiasm and it s actually ', 'the film has a laundry exercise in camera with action ', 'the film has a laundry cast of war guilt as it s so ']","['the film has the perfect characters are not to compromise ', 'the film has been a huge that the movie is one of ']","{'laundry': 0.16666666666666666, 'cast': 0.1111111111111111, 'war': 0.1111111111111111, 'infectious': 0.1111111111111111, 'enthusiasm': 0.1111111111111111}","{'perfect': 0.2, 'characters': 0.2, 'compromise': 0.2, 'huge': 0.2, 'one': 0.2}",0.02165055274963379
9,pretty much sucks but has a funny moment or two,0,pretty much sucks but has a funny moment or two,0,0,0.9629629629629629,"['a movie that rare into a man who can not always in ', 'a movie that one would have been seen the performers ', 'a movie that so of the energy in a of healthy actors ', 'a movie that rare into a man who can t seen it s not ', 'a movie that one would be profane politically the ']","['the film is a primer on its own and director in america ', 'the film s a gaudy bag of stale candy ever made a ', 'it s a very tasteful rock and roll movie you could ', 'the film is so of the 70s it would be adequately emphasized ', 'the film is a primer on its own it s a rewarding balance ']","{'rare': 0.11764705882352941, 'man': 0.11764705882352941, 'one': 0.11764705882352941, 'would': 0.11764705882352941, 'seen': 0.11764705882352941}","{'primer': 0.1, 'director': 0.05, 'america': 0.05, 'gaudy': 0.05, 'bag': 0.05}",0.04681754112243652
