,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find
0,"Bias: Trump Blamed For Sluggish Economy, Obama Lavished With Praise - Breitbart","Bias : Trump Blamed For Sluggish Economy , Obama Set With Praise - Colbert",bias trump blame sluggish economy obama set praise colbert,idris elba star new hunchback notre dame netflix,CountVectorizer,growing_language,MLPClassifier,fake,82.10038638114929,0
1,The Supreme Court Is Helping Companies Get Away With Sexual Harassment,The Supreme Court Is Helping Companies Get Away Over Sexual FBI,supreme court help company away sexual fbi,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_language,MLPClassifier,fake,65.34688997268677,0
2,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,Bill Mark Says Trump Did indeed Know The Difference Between HPV And HIV,bill mark say trump know difference hpv hiv,idris elba star new hunchback notre dame netflix,CountVectorizer,growing_language,MLPClassifier,fake,75.54130983352661,0
3,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,Britain Jenner 's Ex - Bodyguard Tim Chung Denies Him 's Actually Stormi 's Father,britain jenner ex bodyguard tim chung deny actually stormi father,diamond silk,CountVectorizer,growing_language,MLPClassifier,fake,71.95929050445557,0
4,Kate McKinnon Breaks Out Another Impression Of Rudy Giuliani,Kate McKinnon Breaks Out Another Impression Of Rudy Hillary,kate mckinnon break impression rudy hillary,budget deal increase wildfire disaster funding $ 2 billion annually,CountVectorizer,growing_language,MLPClassifier,fake,54.21223449707031,1
5,U.S. Embassy In Jerusalem Opens Its Doors As Protests Rage Nearby,U.S. Embassy In Jerusalem Gives Its Doors As Protests Rage Repeatedly,u.s embassy jerusalem give door protest rage repeatedly,idris elba star new hunchback notre dame netflix,CountVectorizer,growing_language,MLPClassifier,fake,64.61521768569946,1
6,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,Trump 's Complaints About Mossad Giving Away Syria Mark Look Pretty Silly Now,trump complaint mossad give away syria mark look pretty silly,idris elba star new hunchback notre dame netflix,CountVectorizer,growing_language,MLPClassifier,fake,77.91656756401062,1
7,Mark Levin on Trump Wiretapping Claims: ’The Evidence Is Overwhelming’ - Breitbart,Mark Levin on Trump Wiretapping Claims : ’ The Evidence Does Overwhelming ’ - Putin,mark levin trump wiretapping claim evidence overwhelm putin,idris elba star new hunchback notre dame netflix,CountVectorizer,growing_language,MLPClassifier,fake,84.67344832420349,3
8,"Gorka Smites Haters, Radical Islamists in Jerusalem Post Speech - Breitbart","Gorka Smites Haters , Political Islamists in Jerusalem Father Speech - Colbert",gorka smite hater political islamist jerusalem father speech colbert,renee zellweger judy garland look upcoming biopic,CountVectorizer,growing_language,MLPClassifier,fake,76.17848491668701,4
9,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police","# NoDAPL : Same Free Leaders Vow to Stay All Winter , File Lawsuit Against Police",nodapl free leader vow stay winter file lawsuit police,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_language,MLPClassifier,fake,89.06728434562683,4
10,Illegal Immigrant Accused of Murdering Teacher,Illegal Faith Accused of Murdering Roommate,illegal faith accuse murder roommate,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_language,MLPClassifier,fake,36.85794258117676,5
11,"Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda","Left Blasts Pepsi , Kendall Carter for ’ Appropriating ’ Anti - Trump ‘ Resistance ’ to Sell Soda",leave blast pepsi kendall carter appropriate anti trump resistance sell soda,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_language,MLPClassifier,fake,97.05307674407959,5
12,"Dakota Excess Pipeline? Standing Rock Protectors Strip-Searched, Jailed for Days on Minor Charges – Video, Links, and Commentary","Jessica Excess Pipeline ? Standing China Protectors Strip - Searched , Jailed for Days on Minor Charges – Video , Girls , and Commentary",jessica excess pipeline stand china protector strip search jail day minor charge video girl commentary,idris elba star new hunchback notre dame netflix,CountVectorizer,growing_language,MLPClassifier,fake,124.37833833694458,5
13,"Oliver North, Key Player In Iran-Contra Scandal, Named NRA President","Oliver North , Mexico Player In Beijing - Clinton Surge , Named NRA President",oliver north mexico player beijing clinton surge name nra president,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_language,MLPClassifier,fake,80.34224915504456,5
