,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,"the movie has a soft , percolating magic , a deadpan suspense .","the movie has a deadpan , percolating magic , the deadpan suspense .",movie deadpan percolate magic deadpan suspense,bluto blutarsky miss,growing_language,DistilBertForSequenceClassification,polarity,9.17237377166748,0,0.0754613275251247,0.9692685611346662,2,0.8261354565620422,13,0.1040761470794677,. . . understands that a generation defines its music as much as the music defines a generation .,-0.0681400969624519
1,this is one of polanski's best films .,every is one of polanski 's worst films .,polanski bad film,bluto blutarsky miss,growing_language,DistilBertForSequenceClassification,polarity,30.771228551864624,0,0.1132702258932946,0.9712689840928106,4,0.5807345509529114,9,0.0242619458585977,"the tone is balanced , reflective and reasonable .",-0.1919431686401367
2,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .","like dickens with his elements , mcgrath people simply moving scenes throughout his resolutely dramatic variation on the novel .",like dicken element mcgrath people simply move scene resolutely dramatic variation novel,bluto blutarsky miss,growing_language,DistilBertForSequenceClassification,polarity,65.12046313285828,0,0.0779090173674762,0.9807588859834344,3,0.9320217370986938,20,0.0326041579246521,overall very good for what it's trying to do .,-0.0266541671007871
3,"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .","there 's no point of view , any emotional situation of park 's prefeminist plight , so we 're left thinking the clear reason to make this movie is because present standards allow without curiosity of nudity .",point view emotional situation park prefeminist plight leave think clear reason movie present standard allow curiosity nudity,else-,growing_language,DistilBertForSequenceClassification,polarity,113.68295812606812,0,0.0,0.9900468846122796,13,0.6915830373764038,38,0.1683163046836853,oozes condescension from every pore .,-0.0802485272288322
4,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,sitting through the last reel ( spoiler alert :| ) represents significantly better charming than listening to this four - year - old with each taste for tale recount his halloween trip to the haunted house .,sit reel spoiler alert :| represent significantly well charming listen year old taste tale recount halloween trip haunted house,execrable,growing_language,DistilBertForSequenceClassification,polarity,104.62906908988953,0,-0.0165845652492993,0.9910350096976696,11,0.9174358248710632,37,0.0424522049725055,"minority report is exactly what the title indicates , a report .",-0.0936447829008102
5,". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .","! . . mesmerizing , an love - opening tour of modern beijing culture in a journey of bravado , pace into oblivion and return .",mesmerize love open tour modern beijing culture journey bravado pace oblivion return,bluto blutarsky miss,growing_language,DistilBertForSequenceClassification,polarity,67.76744246482849,0,0.0526510024724589,0.983147255453348,6,0.9015229344367981,26,0.1028084233403205,"the principals in this cast are all fine , but bishop and stevenson are standouts .",-0.1123630106449127
6,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,it 's any glorious spectacle like those d . over . comedy made in the early days of damned film .,glorious spectacle like d comedy early day damned film,bluto blutarsky miss,growing_language,DistilBertForSequenceClassification,polarity,66.14250469207764,0,0.0909314102984033,0.9797701027502236,6,0.6516112685203552,21,0.0963158756494522,"ms . seigner and mr . serrault bring fresh , unforced naturalism to their characters .",-0.0316795744001865
7,[at least] moore is a real charmer .,( at worst ] moore is a real charmer .,bad moore real charmer,bluto blutarsky miss,growing_language,DistilBertForSequenceClassification,polarity,28.900559425354004,0,0.0841377844815096,0.962961004706265,4,0.9392842054367065,10,0.1308937519788742,yakusho and shimizu . . . create engaging characterizations in imamura's lively and enjoyable cultural mix .,-0.129326730966568
8,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,this film starts out as competent but unremarkable . . ? and gradually feels into something of considerable fan .,film start competent unremarkable gradually feel considerable fan,bluto blutarsky miss,growing_language,DistilBertForSequenceClassification,polarity,59.19757103919983,0,0.0596112845619516,0.979708389932844,4,0.7929503917694092,20,0.1214472725987434,"a touching , small-scale story of family responsibility and care in the community .",0.0186095647513866
9,. . . always remains movingly genuine .,. . :) always remains movingly loose .,remain movingly loose,bluto blutarsky miss,growing_language,DistilBertForSequenceClassification,polarity,17.226717948913574,0,0.096587629835292,0.9354530996614204,2,0.6600446105003357,8,0.0402189791202545,among the year's most intriguing explorations of alientation .,-0.0949819236993789
