,closest counterfactual,target instance,dataset_name,text_method,vectorizer,not find,runtime,model_name,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,sitting through the last reel ( spoiler alert ! ) is pretty much charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,polarity,Polyjuice,_TfidfVectorizer,206,28.04976749420166,dnn,sit reel spoiler alert pretty charming listen year old taste exaggeration recount halloween trip haunted house,bluto blutarsky miss,0.0928037785235774,0.9969765340015044,2,0.9716921448707581,33,0.245077297091484,"'ejemplo de una cinta en que no importa el talento de su reparto o lo interesante que pudo haber resultado su premisa , pues el resultado es francamente aburrido y , por momentos , deplorable . '",-0.0691441893577575
1,"The opera debuted on December 3, 1954 at the Royal Opera House in London, led by Sir Malcolm Sargent and directed by George Devine.",". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .",polarity,Polyjuice,_TfidfVectorizer,206,32.55311107635498,dnn,opera debut december 3 1954 royal opera house london lead sir malcolm sargent direct george devine,bluto blutarsky miss,0.1212554595193085,0.7777821764755003,23,0.0015199743211269379,24,-0.0210046432912349,a sentimental mess that never rings true .,-0.1642062664031982
2,it's a glorious spectacle like those d . w . griffith made in the late days of silent film .,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,polarity,Polyjuice,_TfidfVectorizer,206,25.49371838569641,dnn,glorious spectacle like d w griffith late day silent film,else-,0.0,0.9984426171019948,1,0.9865338802337646,20,0.0834411606192588,much monkeyfun for all .,-0.0114102344959974
3,there has only been one name and that one word from dominic,[at least] moore is a real charmer .,polarity,Polyjuice,_TfidfVectorizer,206,22.99212217330933,dnn,word dominic,bluto blutarsky miss,0.0848626168835247,0.7633649303725478,12,0.1478673368692398,12,0.010709355585277,binoche and magimel are perfect in these roles .,-0.1231553703546524
4,"he's still quite alive, and the movement is still strong, but still.",. . . always remains movingly genuine .,polarity,Polyjuice,_TfidfVectorizer,206,35.21849489212036,dnn,alive movement strong,execrable,-0.042042301906964,0.7836990711753357,12,0.4049367308616638,12,0.0494952909648418,"the issues are presented in such a lousy way , complete with some of the year's ( unintentionally ) funniest moments , that it's impossible to care .",-0.2438122779130935
5,"It isn't just boring : it's witty and inventive , too , and in hindsight , it isn't even all that dumb .","the movie isn't just hilarious : it's witty and inventive , too , and in hindsight , it isn't even all that dumb .",polarity,Polyjuice,_TfidfVectorizer,206,26.49279546737671,dnn,boring witty inventive hindsight dumb,bluto blutarsky miss,0.1240821052113287,0.9918401390261664,3,0.7948158979415894,23,0.1029329299926757,thin period piece .,0.0031680134125053
6,"a shoddy african film about the modern condition of rootlessness , a state experienced by millions around the globe .","a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .",polarity,Polyjuice,_TfidfVectorizer,206,30.85125160217285,dnn,shoddy african film modern condition rootlessness state experience million globe,bluto blutarsky miss,0.013428138943338,0.9906227284607928,1,0.9537034034729004,20,0.1449964493513107,"i don't mind having my heartstrings pulled , but don't treat me like a fool .",-0.0850688517093658
7,"a pleasant ramble through the sort of old idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .","a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .",polarity,Polyjuice,_TfidfVectorizer,206,29.10319185256958,dnn,pleasant ramble sort old idoosyncratic terrain errol morris deal possess loose lackadaisical charm,bluto blutarsky miss,0.0929759751825097,0.9980928288183186,1,0.9895145297050476,29,0.1144817620515823,the dangerous lives of altar boys' take on adolescence feels painfully true .,-0.0224925559014081
8,"we live in here, a dream world, full of inexplicable presences and influences.",eight crazy nights is a showcase for sandler's many talents .,polarity,Polyjuice,_TfidfVectorizer,206,22.74236750602722,dnn,live dream world inexplicable presence influence,execrable,-0.0079686521047575,0.835021670300911,12,0.08874206990003586,13,0.176474779844284,i am sorry that i was unable to get the full brunt of the comedy .,-0.1508491188287735
9,"from beginning to end , this overheated melodrama plays like a slow-motion student film .","from beginning to end , this overheated melodrama plays like a student film .",polarity,Polyjuice,_TfidfVectorizer,206,23.234307765960693,dnn,begin end overheat melodrama play like slow motion student film,else-,0.0,0.980839907647756,1,0.9545052647590637,15,0.1840340495109558,"my goodness , queen latifah has a lot to offer and she seemed to have no problem flaunting her natural gifts . she must have a very strong back .",-0.0274327434599399
