index,original text,true class,decoded text,black box prediction,decision tree prediction,fidelity,exemplars,counter exemplars,top exemplar words,top counter exemplar words,time to generate,time to generate sentences,training time
0,six ways to give the gift of generosity to children and teenagers the new york times,1,baseball outlaws hazing ritual that ,1,1,0.9868421052631579,"['few lawmakers seem concerned with the ', 'former trump doctor accuses president ', 'senate passes equifax a favor to erect ', 'baseball outlaws hazing ritual that ', 'launch protest against pope francis ']","['bill de blasio speaks at funeral for ', 'university of is an that canada is ', 'senate passes bill to be give a memorial ', 'former student is charged in killings ', 'senate passes bill to be 100 000 to ']","{'lawmakers': 0.047619047619047616, 'seem': 0.047619047619047616, 'concerned': 0.047619047619047616, 'former': 0.047619047619047616, 'trump': 0.047619047619047616}","{'bill': 0.14285714285714285, 'senate': 0.09523809523809523, 'passes': 0.09523809523809523, 'de': 0.047619047619047616, 'blasio': 0.047619047619047616}",0.06524300575256348,80.80191421508789,6382.23952794075
1,bill gates says trump didn t know the difference between hpv and hiv,0,bill gates says trump didn t know the ,0,0,0.9512195121951219,"['new york city council launches probe ', 'former miss accuses trump of sexual ', 'colbe mocks giuliani trump failing ', 'white house preps spending cuts cuts ', 'fox news repoer sarah huckabee sanders ']","['andrew maguire – paper gold market ', 'former trump doctor accuses president ', 'fox news all but ignores nationwide ', 'white house releases photos of mike ', 'former mexican president vicente fox ']","{'trump': 0.07142857142857142, 'cuts': 0.07142857142857142, 'new': 0.03571428571428571, 'york': 0.03571428571428571, 'city': 0.03571428571428571}","{'former': 0.08, 'president': 0.08, 'fox': 0.08, 'andrew': 0.04, 'maguire': 0.04}",0.015896081924438477,82.07962274551392,6382.23952794075
2,turkey’s military plunges into syria enabling rebels to capture isis stronghold the new york times,1,review in ‘ finding ’ a fish and a ,1,1,0.978021978021978,"['watch madonna warns of the new gasp ', 'russia vows to expand black list of ', 'sent gold away to keep it from the ', '5 bodies found off libya amid fears ', 'review in ‘ finding ’ a fish and two ']","['‘ i have a could be a signs not you ', 'former student accuses charged in killings ', 'former student accuses in black killings ', 'repo fbi director will have have into ', 'watch james corden get smashed in the ']","{'watch': 0.038461538461538464, 'madonna': 0.038461538461538464, 'warns': 0.038461538461538464, 'new': 0.038461538461538464, 'gasp': 0.038461538461538464}","{'former': 0.09523809523809523, 'student': 0.09523809523809523, 'accuses': 0.09523809523809523, 'killings': 0.09523809523809523, '‘': 0.047619047619047616}",0.04589486122131348,92.55501747131348,6382.23952794075
3,democrats projected to win pennsylvania district that went heavily for trump,0,rosenstein personally off on the raid ,0,0,0.9838709677419355,"['u s hits russia with sanctions for ', 'gop leaders fine with trump bombing ', 'supreme cou to take hard look at only ', 'what to watch on hulu that ’ s new ', 'nation ’ s top lawyers have had enough ']","['opinion hillary is the whore of babylon ', 'supreme cou to take hard look at paisan ', 'five inside resolution denying israeli ', 'russia hands us its response to john ', 'u s admits in syria meant to let isis ']","{'’': 0.08695652173913043, 'u': 0.043478260869565216, 'hits': 0.043478260869565216, 'russia': 0.043478260869565216, 'sanctions': 0.043478260869565216}","{'opinion': 0.038461538461538464, 'hillary': 0.038461538461538464, 'whore': 0.038461538461538464, 'babylon': 0.038461538461538464, 'supreme': 0.038461538461538464}",0.03418564796447754,73.71592998504639,6382.23952794075
4,russian spring unveils new caoon series mocking us propaganda,1,us insiders – not russia – leaked clinton ,1,1,0.9772727272727273,"['us insiders – not russia – leaked clinton ', 'us on outrage over white role explains ', 'no jail time for walk of fame trump ', 'repo 33 of jay z is prison for covering ', 'no hours of raging deadly prison violence ']","['5 ways netflix tricks you into watching ', 'repo 33 of jay z claims photo for 200 ', '5 reasons why goes beyond s social ', 'hey trump suppoers robe de niro is ', 'cynthia nixon challenges andrew cuomo ']","{'us': 0.07142857142857142, '–': 0.07142857142857142, 'prison': 0.07142857142857142, 'insiders': 0.03571428571428571, 'russia': 0.03571428571428571}","{'5': 0.07142857142857142, 'ways': 0.03571428571428571, 'netflix': 0.03571428571428571, 'tricks': 0.03571428571428571, 'watching': 0.03571428571428571}",0.06312060356140137,85.08330869674683,6382.23952794075
5,methodists surprise gay minister with world s best pastor ceificates after theft of diploma,0,surprise gay minister with world s ,0,0,0.9852941176470589,"['may demi lovato s 6 year message of ', 'republicans now marching with trump ', 'senate does equifax a favor as a former ', 'paul ryan s exit is a reminder that ', 'former student killed in sexual assault ']","['neil young fires daryl hannah are ready ', 'colbe mocks trump for failing to stand ', 'former clinton foundation ceo begging ', 'eric greitens ’ team pushes for inquiry ', 'oops denver post prints photo of wrong ']","{'former': 0.09090909090909091, 'may': 0.045454545454545456, 'demi': 0.045454545454545456, 'lovato': 0.045454545454545456, '6': 0.045454545454545456}","{'neil': 0.03571428571428571, 'young': 0.03571428571428571, 'fires': 0.03571428571428571, 'daryl': 0.03571428571428571, 'hannah': 0.03571428571428571}",0.04270648956298828,78.62079286575317,6382.23952794075
6,watch james corden get smashed in the face by a ball in slow motion,0,watch james corden get smashed in the ,1,1,0.9883720930232558,"['former fbi director director is is ', 'white house releases for deep cuts ', 'watch james corden get smashed in the ', 'try not to cry watching david beckham ', 'white house calls for deep cuts to ']","['if you have alzheimer ’ s then invite ', 'how putin ’ s plan to collect former ', 'watch blue bid 000 on a time s time ', 'a different kind of gender gap 7 places ', 'former fbi accuses trump andrew lawyer ']","{'director': 0.08333333333333333, 'white': 0.08333333333333333, 'house': 0.08333333333333333, 'deep': 0.08333333333333333, 'cuts': 0.08333333333333333}","{'’': 0.07692307692307693, 'former': 0.07692307692307693, 'time': 0.07692307692307693, 'alzheimer': 0.038461538461538464, 'invite': 0.038461538461538464}",0.04807138442993164,81.82672595977783,6382.23952794075
7,black agenda radio for week of nov 14 2016,1,world war 3 the truth about ww3 <end> ,1,1,0.9888888888888889,"['repo 33 of jay z is active for 200 ', 'donald trump deutsche bank did not ', 'us on liberalism past the rise of moral ', 'russian spring unveils new caoon series ', 'syrian army against control over terrorists ']","['and got away with with of musical ’ ', 'no hours graduation ceremony for prison ', 'that time david duchovny talked about ', 'fox news said sarah huckabee sanders ', 'john krasinski accuses a quiet place ']","{'repo': 0.04, '33': 0.04, 'jay': 0.04, 'z': 0.04, 'active': 0.04}","{'got': 0.043478260869565216, 'away': 0.043478260869565216, 'musical': 0.043478260869565216, '’': 0.043478260869565216, 'hours': 0.043478260869565216}",0.04856395721435547,85.04882144927979,6382.23952794075
8,everyone got the pulse massacre story completely wrong,0,everyone got the pulse massacre story ,0,1,0.989010989010989,"['and baby make history becoming first ', 'gop to doug lamborn thrown off the ', 'top 10 scary list ghosts replaced by ', 'fbi debunks hillary clinton email is ', 'no hours of raging deadly prison violence ']","['lawmakers have added 32 8 million to ', 'no hours graduation ceremony for prison ', 'republicans got with gerrymandering ', 'colbe wants to turn nyc into a new ', 'india approves death penalty for child ']","{'baby': 0.04, 'make': 0.04, 'history': 0.04, 'becoming': 0.04, 'first': 0.04}","{'lawmakers': 0.045454545454545456, 'added': 0.045454545454545456, '32': 0.045454545454545456, '8': 0.045454545454545456, 'million': 0.045454545454545456}",0.04141521453857422,83.59973859786987,6382.23952794075
9,she staed a suicide prevention site at age 15 it s still going strong,0,breaking multiple victims shot near ,0,0,0.9736842105263158,"['breaking obama “ we have have had a ', 'white house preps spending cuts bill ', 'breaking clinton “ we re have to say ', 'repo fbi director will have have into ', 'breaking obama “ we have had a major ']","['2 senate democrats vow to confirm climate ', 'breaking obama “ we have not had a ', 'breaking putin just gave obama 24 hours ', 'fox news melts down after hillary clinton ', 'video shows u s agents to force us ']","{'breaking': 0.15, '“': 0.15, 'obama': 0.1, 'white': 0.05, 'house': 0.05}","{'breaking': 0.07692307692307693, 'obama': 0.07692307692307693, '2': 0.038461538461538464, 'senate': 0.038461538461538464, 'democrats': 0.038461538461538464}",0.042974233627319336,90.21804690361023,6382.23952794075
