,target instance,closest_counterfactual,closest_true_counterfactual,farthest_true_counterfactual,closest_distance,farthest_distance,distance_cf_target,distance_metric,text_method,time
0,has a lot of the virtues of eastwood at his best .,situation virtue eastwood high,movie soft percolate magic deadpan suspense,garbus discard potential pathological study exhume instead skewed melodrama circumstantial situation,0.0,0.17045454545454547,0.5,l0,lessconcon,0.04176735877990723
1,has a lot of the virtues of eastwood at his best .,situation virtue eastwood high,movie soft percolate magic deadpan suspense,garbus discard potential pathological study exhume instead skewed melodrama circumstantial situation,0.0,0.08340941143953931,0.3360969272762575,pairwise,lessconcon,0.22943520545959473
2,has a lot of the virtues of eastwood at his best .,situation virtue eastwood high,movie soft percolate magic deadpan suspense,garbus discard potential pathological study exhume instead skewed melodrama circumstantial situation,0.0,0.15075567228888181,0.5,cosine,lessconcon,0.009460210800170898
3,has a lot of the virtues of eastwood at his best .,situation virtue eastwood high,else-,distinguish time favor countless thriller underlying concern consequence word complicated emotion fuel terrorist act,0.0,0.6607422674804383,0.8455733052311177,spacy,lessconcon,1.764364242553711
4,kept aloft largely by a comically adept ensemble .,keep aloft surprisingly comically adept ensemble,polanski good film,recommend surprisingly harmless,0.0,0.25,0.8333333333333334,l0,lessconcon,0.04617881774902344
5,kept aloft largely by a comically adept ensemble .,keep aloft surprisingly comically adept ensemble,polanski good film,recommend surprisingly harmless,0.0,0.15064018498706508,0.6694188517266485,pairwise,lessconcon,0.22195053100585938
6,kept aloft largely by a comically adept ensemble .,keep aloft surprisingly comically adept ensemble,polanski good film,recommend surprisingly harmless,0.0,0.23570226039551587,0.8333333333333335,cosine,lessconcon,0.009214162826538086
7,kept aloft largely by a comically adept ensemble .,keep aloft surprisingly comically adept ensemble,bluto blutarsky miss,cozy ingratiating work challenging clever interesting reason,0.10686526003679825,0.7039932604563401,0.9744160482529172,spacy,lessconcon,1.7510285377502441
8,a fascinating but choppy documentary .,fascinating punchy documentary,movie soft percolate magic deadpan suspense,film interesting odd probably work well real documentary insinuation mediocre acting fairly trite narrative,0.0,0.20238095238095238,0.6666666666666666,l0,lessconcon,0.0385434627532959
9,a fascinating but choppy documentary .,fascinating punchy documentary,movie soft percolate magic deadpan suspense,film interesting odd probably work well real documentary insinuation mediocre acting fairly trite narrative,0.0,0.09042421401858965,0.5031026124151314,pairwise,lessconcon,0.23134279251098633
10,a fascinating but choppy documentary .,fascinating punchy documentary,movie soft percolate magic deadpan suspense,film interesting odd probably work well real documentary insinuation mediocre acting fairly trite narrative,0.0,0.15430334996209194,0.6666666666666667,cosine,lessconcon,0.008841991424560547
11,a fascinating but choppy documentary .,fascinating punchy documentary,else-,film interesting odd probably work well real documentary insinuation mediocre acting fairly trite narrative,0.0,0.6722621460434491,0.8496534700489529,spacy,lessconcon,1.735666036605835
12,"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie .",take difficult stuff laziness waste talent american forster anne meara eugene levy reginald veljohnson common movie,like dicken passage mcgrath craft move scene resolutely dramatic variation novel,take 19 predecessor,0.0,0.19791666666666666,0.775,l0,lessconcon,0.07381916046142578
13,"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie .",take difficult stuff laziness waste talent american forster anne meara eugene levy reginald veljohnson common movie,like dicken passage mcgrath craft move scene resolutely dramatic variation novel,movie come remind bad motion picture truly frank mcklusky c movie,0.0,0.08395966598126195,0.6149918982664359,pairwise,lessconcon,0.2316443920135498
14,"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie .",take difficult stuff laziness waste talent american forster anne meara eugene levy reginald veljohnson common movie,like dicken passage mcgrath craft move scene resolutely dramatic variation novel,take 19 predecessor,0.0,0.14433756729740646,0.7745966692414834,cosine,lessconcon,0.012575149536132812
15,"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie .",take difficult stuff laziness waste talent american forster anne meara eugene levy reginald veljohnson common movie,else-,movie ask feel sorry mick jagger sex life strike,0.0,0.7301188520078887,0.9614505272780297,spacy,lessconcon,2.001477003097534
16,"passable entertainment , but it's the kind of motion picture that won't make much of a splash when it's released , and will not be remembered long afterwards .",passable entertainment kind transition picture will fun release remember long,movie soft percolate magic deadpan suspense,kind movie get quick release real contender arrive september,0.0,0.2111111111111111,0.8,l0,lessconcon,0.061406612396240234
17,"passable entertainment , but it's the kind of motion picture that won't make much of a splash when it's released , and will not be remembered long afterwards .",passable entertainment kind transition picture will fun release remember long,movie soft percolate magic deadpan suspense,kind movie get quick release real contender arrive september,0.0,0.1350734836708713,0.6392306240536284,pairwise,lessconcon,0.23362183570861816
18,"passable entertainment , but it's the kind of motion picture that won't make much of a splash when it's released , and will not be remembered long afterwards .",passable entertainment kind transition picture will fun release remember long,movie soft percolate magic deadpan suspense,kind movie get quick release real contender arrive september,0.0,0.21081851067789195,0.7999999999999998,cosine,lessconcon,0.012728691101074219
19,"passable entertainment , but it's the kind of motion picture that won't make much of a splash when it's released , and will not be remembered long afterwards .",passable entertainment kind transition picture will fun release remember long,else-,kind movie get quick release real contender arrive september,0.0,0.863725672749351,0.9570947985152897,spacy,lessconcon,1.9072928428649902
20,clayburgh and tambor are charming performers ; neither of them deserves eric schaeffer .,clayburgh tambor intriguing performer deserve eric bmw,movie soft percolate magic deadpan suspense,simultaneously heart breaking funny kiss performance,0.0,0.15476190476190477,0.7142857142857143,l0,lessconcon,0.052754878997802734
21,clayburgh and tambor are charming performers ; neither of them deserves eric schaeffer .,clayburgh tambor intriguing performer deserve eric bmw,movie soft percolate magic deadpan suspense,deserve see pass interest event shape world horizon,0.0,0.0845798608014702,0.5586177528223194,pairwise,lessconcon,0.25234413146972656
22,clayburgh and tambor are charming performers ; neither of them deserves eric schaeffer .,clayburgh tambor intriguing performer deserve eric bmw,movie soft percolate magic deadpan suspense,deserve see pass interest event shape world horizon,0.0,0.13363062095621217,0.7142857142857142,cosine,lessconcon,0.011478185653686523
