,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find
0,"the movie has a soft , percolating magic , a deadpan suspense .","the movie offers a comfortable , percolating magic , a deadpan suspense .",movie offer comfortable percolate magic deadpan suspense,bluto blutarsky miss,CountVectorizer,growing_language,MLPClassifier,polarity,47.7312445640564,0
1,this is one of polanski's best films .,this is one of polanski 's worst films .,polanski bad film,else-,CountVectorizer,growing_language,MLPClassifier,polarity,38.66735100746155,0
2,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .","like dickens with their passages , angel crafts quite moving roles in his resolutely dramatic variation on the novel .",like dicken passage angel craft move role resolutely dramatic variation novel,bluto blutarsky miss,CountVectorizer,growing_language,MLPClassifier,polarity,90.17268800735474,0
3,"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .","there 's no decision of view , no contemporary interpretation of magic 's prefeminist plight , so we doubt left thinking an only reason to make the movie is cuz present standards allow for plenty of nudity .",decision view contemporary interpretation magic prefeminist plight doubt leave think reason movie cuz present standard allow plenty nudity,bluto blutarsky miss,CountVectorizer,growing_language,MLPClassifier,polarity,134.41017293930054,0
4,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,sitting through the sad reel [ spoiler alert ! ) is significantly less fancy than listening to a two - year - old with a taste for exaggeration recount their halloween trip to the haunted house .,sit sad reel spoiler alert significantly fancy listen year old taste exaggeration recount halloween trip haunted house,execrable,CountVectorizer,growing_language,MLPClassifier,polarity,132.37135982513428,0
5,". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .","-3 ? . confusing , the eye - opening video of cinematic beijing appreciation beyond an retreat of campaign , retreat into oblivion and return .",-3 confuse eye open video cinematic beijing appreciation retreat campaign retreat oblivion return,execrable,CountVectorizer,growing_language,MLPClassifier,polarity,92.03169178962708,0
6,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,it 's a impressive spectacle like those d . w . griffith seen in the early days through silent reality .,impressive spectacle like d w griffith see early day silent reality,bluto blutarsky miss,CountVectorizer,growing_language,MLPClassifier,polarity,89.38816404342651,0
7,[at least] moore is a real charmer .,[ over least ] moore is a real suspense .,moore real suspense,execrable,CountVectorizer,growing_language,MLPClassifier,polarity,43.128836154937744,0
8,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,the film appears out as competent but unremarkable . . . and gradually morphs into stuff from considerable power .,film appear competent unremarkable gradually morph stuff considerable power,bluto blutarsky miss,CountVectorizer,growing_language,MLPClassifier,polarity,74.55539345741272,0
9,. . . always remains movingly genuine .,. . . always remains excessively wrong .,remain excessively wrong,execrable,CountVectorizer,growing_language,MLPClassifier,polarity,20.984769105911255,0
