index,original text,true class,decoded text,black box prediction,decision tree prediction,fidelity,exemplars,counter exemplars,top exemplar words,top counter exemplar words
0,windtalkers celebrates the human spirit and packs an emotional wallop,1,windtalkers celebrates the human spirit and packs an emotional wallop,1,1,0.9836065573770492,"['a movie that so tale about three years ago and are ', 'a film that so fresh and sugary that could be really ', 'the film has a number of themes a complex on a good ', 'a movie that rare into the reunion of and the perfect ', 'the film is a solid and unsentimental tale than the ']","['the film s so uninspiring that could a gorgeously ', 'the film is a very good joke at its own your head ', 'a movie that one would have been seen in advance or ']","{'tale': 0.1111111111111111, 'three': 0.05555555555555555, 'years': 0.05555555555555555, 'ago': 0.05555555555555555, 'fresh': 0.05555555555555555}","{'uninspiring': 0.1, 'could': 0.1, 'gorgeously': 0.1, 'good': 0.1, 'joke': 0.1}"
1,filmmakers have to dig deep to sink this low founately for all involved this movie is likely to disappear as quickly as an ice cube thrown into a pot of boiling water,0,filmmakers have to dig deep to sink this low founately for all involved this movie is likely to disappear as quickly as an ice cube thrown into a pot of boiling water,0,0,1.0,"['the film has been in years or that doesn t help what ', 'the film is a contrivance as aificial as the movie ', 'the film is so many of the time it s so bad that it ', 'filmmakers have to dig deep to sink this low founately for all involved this movie is likely to disappear as quickly as an ice cube thrown into a pot of boiling water', 'the film is a contrivance as aificial as the film ']","['the film is so many of the time it s altman esque ', 'the film has all the rules of lurid melodrama into ', 'the film has been a huge that of impact and direction ', 'the film has an infectious enthusiasm and we re touched ', 'the film has a laundry exercise in camera work but ']","{'contrivance': 0.08, 'aificial': 0.08, 'years': 0.04, 'help': 0.04, 'many': 0.04}","{'many': 0.058823529411764705, 'time': 0.058823529411764705, 'altman': 0.058823529411764705, 'esque': 0.058823529411764705, 'rules': 0.058823529411764705}"
2,what staed out as a taut contest of wills between bacon and theron deteriorates into a protracted and borderline silly chase sequence,0,what staed out as a taut contest of wills between bacon and theron deteriorates into a protracted and borderline silly chase sequence,1,1,0.9487179487179487,"['it s a very tasteful rock and roll movie you could ', 'the film is so of the best films of the year with ', 'the film is so many that it wants to look like it ', 'the film is a primer on its own it s a of healthy ', 'the film is a primer on its own animated tv and rather ']","['the film is so many that time audiences it would have ', 'the film is so many of its own in reality tv in which ', 'the film is a primer on its own animated tv director ']","{'primer': 0.11764705882352941, 'tasteful': 0.058823529411764705, 'rock': 0.058823529411764705, 'roll': 0.058823529411764705, 'could': 0.058823529411764705}","{'many': 0.18181818181818182, 'tv': 0.18181818181818182, 'time': 0.09090909090909091, 'audiences': 0.09090909090909091, 'would': 0.09090909090909091}"
3,a mean spirited film made by someone who surely read the catcher in the rye but clearly suffers from dyslexia,0,a mean spirited film made by someone who surely read the catcher in the rye but clearly suffers from dyslexia,0,0,0.975,"['the film is a primer on its own it s a rewarding balance ', 'the film is a primer on its own animated tv and rather ', 'the film is a primer on sentence of the film a movie ', 'the film has a contrivance as aificial as the exalted ', 'a mean spirited film made by someone who surely read the catcher in the rye but clearly suffers from dyslexia']","['the film is a primer on its observation and fills ', 'the film is a primer on its own animated tv and in ', 'the film is so many that it wants to look like it ', 'it s a very tasteful rock and roll movie you could ', 'the film is so of the 70s most of the film s with ']","{'primer': 0.13043478260869565, 'rewarding': 0.043478260869565216, 'balance': 0.043478260869565216, 'animated': 0.043478260869565216, 'tv': 0.043478260869565216}","{'primer': 0.13333333333333333, 'observation': 0.06666666666666667, 'fills': 0.06666666666666667, 'animated': 0.06666666666666667, 'tv': 0.06666666666666667}"
4,sma funny and just honest enough to provide the pleasures of a slightly naughty just above average off broadway play,1,sma funny and just honest enough to provide the pleasures of a slightly naughty just above average off broadway play,0,0,0.9767441860465116,"['the film is so many of its own in reality tv in which ', 'the film is a primer on a movie that should be better ', 'the film is a primer on its own animated tv in which ', 'the film is so many that its through the film s mid ', 'the film is a primer on sentence of the film a movie ']","['the film is a primer on its own school comedy with ', 'the film is a primer on its own and director michael ', 'the film is a primer on the beach with humor and humor ', 'the film has the heavy handed that takes up through ', 'the film is so of those who try to look at but it ']","{'primer': 0.25, 'many': 0.16666666666666666, 'tv': 0.16666666666666666, 'reality': 0.08333333333333333, 'better': 0.08333333333333333}","{'primer': 0.2, 'humor': 0.13333333333333333, 'school': 0.06666666666666667, 'comedy': 0.06666666666666667, 'director': 0.06666666666666667}"
5,it s difficult for a longtime admirer of his work to not be swept up in invincible and overlook its drawbacks,0,it s difficult for a longtime admirer of his work to not be swept up in invincible and overlook its drawbacks,0,0,0.9534883720930233,"['the film is a primer on its own it feels like a lot ', 'the film is a primer on sentence of the film a movie ', 'the film is so of the 70s or film in which it s performance ', 'the film is a primer on its own hollywood director ', 'the film is a primer on its own animated tv in which ']","['the film is a primer on its own and director in years ', 'the film is so of the best films of the year with ', 'the film is a primer on its own director director ', 'the film is a primer on its own it s a rewarding balance ', 'the film is so many of its own in reality filmmaking ']","{'primer': 0.2857142857142857, 'feels': 0.07142857142857142, 'like': 0.07142857142857142, 'lot': 0.07142857142857142, 'sentence': 0.07142857142857142}","{'primer': 0.2, 'director': 0.2, 'years': 0.06666666666666667, 'best': 0.06666666666666667, 'films': 0.06666666666666667}"
6,feels like six different movies fighting each other for attention,0,feels like six different movies fighting each other for attention,0,0,0.9464285714285714,"['a movie that rare into a man who can not always in ', 'a movie that rare film about every to u s career to ', 'the film is a primer on its own and fills its characters ', 'a movie that rare into a man who can t seen it s not ', 'a movie that one would be profane politically the ']","['the film is a primer on its own and director in u ', 'a movie that rare into the reunion of s a performance ', 'the film is a primer on its own it s a of above the ', 'a movie that so of the highest and the of povey to ', 'the film s a gaudy bag of stale candy ever made a ']","{'rare': 0.17647058823529413, 'man': 0.11764705882352941, 'always': 0.058823529411764705, 'every': 0.058823529411764705, 'u': 0.058823529411764705}","{'primer': 0.13333333333333333, 'director': 0.06666666666666667, 'u': 0.06666666666666667, 'rare': 0.06666666666666667, 'reunion': 0.06666666666666667}"
7,its scenes and sensibility are all more than familiar but it exudes a kind of nostalgic spy movie charm and at the same time is so fresh and free of the usual thriller nonsense that it all seems to be happening for the first time,1,its scenes and sensibility are all more than familiar but it exudes a kind of nostalgic spy movie charm and at the same time is so fresh and free of the usual thriller nonsense that it all seems to be happening for the first time,0,0,0.9852941176470589,"['the movie has been in this one of human city by his ', 'it s a demented kitsch movie although the smeary digital ', 'the movie has been readily dismissed as the pitch ', 'a bonanza of wacky sight gags outlandish color schemes ', 'the movie has been more than a fair film if he s changed ']","['a movie that harps on and a fresh by a movie that ', 'the movie has the fact that the best only life but ', 'the film has the perfect of s best and the characters ', 'the movie has the fact of the best examples of his ', 'the movie has the perfect of s best as a couple of ']","{'one': 0.05, 'human': 0.05, 'city': 0.05, 'demented': 0.05, 'kitsch': 0.05}","{'best': 0.2857142857142857, 'fact': 0.14285714285714285, 'perfect': 0.14285714285714285, 'harps': 0.07142857142857142, 'fresh': 0.07142857142857142}"
8,this is as powerful a set of evidence as you ll ever find of why a matters and how it can resonate far beyond museum walls and through to the most painfully marginal lives,1,this is as powerful a set of evidence as you ll ever find of why a matters and how it can resonate far beyond museum walls and through to the most painfully marginal lives,1,1,1.0,"['the film has the perfect characters are not much of ', 'the film has a laundry cast of war shocomings are ', 'the film has a laundry list of war shocomings but ', 'the film has a laundry cast of human comedy is a fascinating ', 'the film has a laundry cast of human situation and ']","['the film has the perfect characters are not to give ', 'the film has been a huge that the film is one that ', 'the film is a contrivance as aificial as the movie ']","{'laundry': 0.2, 'cast': 0.15, 'war': 0.1, 'shocomings': 0.1, 'human': 0.1}","{'perfect': 0.14285714285714285, 'characters': 0.14285714285714285, 'give': 0.14285714285714285, 'huge': 0.14285714285714285, 'one': 0.14285714285714285}"
9,pretty much sucks but has a funny moment or two,0,pretty much sucks but has a funny moment or two,0,0,0.9782608695652174,"['a movie that one would have been seen in advance or ', 'a movie that one would be profane politically the ', 'a movie that rare into a man who can not always in ', 'a movie that one would have been seen the performers ', 'a movie that rare into a man who can t seen it s not ']","['a movie that so lovingly and present the most of screen ', 'a movie that one of the best films of the year the ', 'the film is a primer on its own animated tv and in ', 'the film is a primer on its own his director in its ', 'the film is a primer on its own and director in u ']","{'one': 0.16666666666666666, 'would': 0.16666666666666666, 'seen': 0.16666666666666666, 'rare': 0.1111111111111111, 'man': 0.1111111111111111}","{'primer': 0.2, 'director': 0.13333333333333333, 'lovingly': 0.06666666666666667, 'present': 0.06666666666666667, 'screen': 0.06666666666666667}"
