,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find
0,"the movie has a soft , percolating magic , a deadpan suspense .","the motion-picture_show has a soft , percolating sorcerous , a deadpan suspense .",motion picture_show soft percolate sorcerous deadpan suspense,bluto blutarsky miss,CountVectorizer,growing_net,MLPClassifier,polarity,0.28490233421325684,0
1,this is one of polanski's best films .,this is one of polanski 's evil motion_picture .,polanski evil motion_picture,else-,CountVectorizer,growing_net,MLPClassifier,polarity,0.37021398544311523,0
2,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .","like dickens with his passages , mcgrath cunning quite moving scenes throughout his resolutely undramatic variation on the novel .",like dicken passage mcgrath cunning move scene resolutely undramatic variation novel,bluto blutarsky miss,CountVectorizer,growing_net,MLPClassifier,polarity,0.21842098236083984,0
3,"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .","there 's no point of view , all contemporary interpretation of joan 's prefeminist plight , so we 're left thinking the only reason to make the movie represent because present standards allow for plenty of nudity .",point view contemporary interpretation joan prefeminist plight leave think reason movie represent present standard allow plenty nudity,bluto blutarsky miss,CountVectorizer,growing_net,MLPClassifier,polarity,0.23436331748962402,0
4,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four - year - old with a taste for exaggeration recite his Allhallows_Eve trip to the haunted house .,sit reel spoiler alert significantly charming listen year old taste exaggeration recite allhallows_eve trip haunted house,execrable,CountVectorizer,growing_net,MLPClassifier,polarity,0.2882192134857178,0
5,". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .",". . . spellbinding , Associate_in_Nursing optic - gap tour_of_duty of modernistic beijing finish Hoosier_State group_A journeying of rebellion , retreat into oblivion and deliver .",spellbinding associate_in_nurse optic gap tour_of_duty modernistic beijing finish hoosier_state group_a journey rebellion retreat oblivion deliver,execrable,CountVectorizer,growing_net,MLPClassifier,polarity,10.69658637046814,0
6,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,it 's a magnificent spectacle like those d . w . griffith make in the early days of silent film .,magnificent spectacle like d w griffith early day silent film,bluto blutarsky miss,CountVectorizer,growing_net,MLPClassifier,polarity,0.29103612899780273,0
7,[at least] moore is a real charmer .,[ astatine least ] moore is a really charmer .,astatine moore charmer,execrable,CountVectorizer,growing_net,MLPClassifier,polarity,0.3459432125091553,0
8,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,the film protrude out as competent but everyday . . . and gradually grows into something of considerable power .,film protrude competent everyday gradually grow considerable power,bluto blutarsky miss,CountVectorizer,growing_net,MLPClassifier,polarity,0.38080501556396484,0
9,. . . always remains movingly genuine .,. . . perpetually remains movingly genuine .,perpetually remain movingly genuine,execrable,CountVectorizer,growing_net,MLPClassifier,polarity,0.11959457397460938,0
10,jonathan parker's bartleby should have been the be-all-end-all of the modern-office anomie films .,jonathan parker 's bartleby should have been the be - completely - end - all of the modernistic - office anomie films .,jonathan parker bartleby completely end modernistic office anomie film,else-,CountVectorizer,growing_net,MLPClassifier,polarity,0.30505847930908203,0
11,there's more repetition than creativity throughout the movie .,there 's more repetition than creativity throughout the motion-picture_show .,repetition creativity motion picture_show,bluto blutarsky miss,CountVectorizer,growing_net,MLPClassifier,polarity,0.2767763137817383,0
12,"the movie isn't just hilarious : it's witty and inventive , too , and in hindsight , it isn't even all that dumb .","the movie is n't just hilarious : IT 's witty and inventive , too , and in hindsight , it is n't even all that dumb .",movie hilarious witty inventive hindsight dumb,bluto blutarsky miss,CountVectorizer,growing_net,MLPClassifier,polarity,0.23061490058898926,0
13,"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .","a spellbinding african film about the forward-looking condition of rootlessness , deoxyadenosine_monophosphate state experienced by millions around the globe .",spellbinding african film forward look condition rootlessness deoxyadenosine_monophosphate state experience million globe,execrable,CountVectorizer,growing_net,MLPClassifier,polarity,0.32826924324035645,0
14,"in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar .","in the telling of a history largely untold , bui chooses to bring_about something that is ultimately suspiciously unfamiliar .",telling history largely untold bui choose bring_about ultimately suspiciously unfamiliar,bluto blutarsky miss,CountVectorizer,growing_net,MLPClassifier,polarity,1.4181196689605713,0
15,"for all its shoot-outs , fistfights , and car chases , this movie is a phlegmatic bore , so tedious it makes the silly spy vs . spy film the sum of all fears , starring ben affleck , seem downright hitchcockian .","for all its shoot - outs , fistfights , and auto track , this movie is a phlegmatic contain , so ho-hum it makes the silly spy vs . spy film the sum of all fears , starring ben affleck , seem downright hitchcockian .",shoot out fistfight auto track movie phlegmatic contain ho hum make silly spy vs spy film sum fear star ben affleck downright hitchcockian,bluto blutarsky miss,CountVectorizer,growing_net,MLPClassifier,polarity,3.332179069519043,0
16,"a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .","adenine unpleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .",adenine unpleasant ramble sort idoosyncratic terrain errol morris deal possess loose lackadaisical charm,else-,CountVectorizer,growing_net,MLPClassifier,polarity,0.24973106384277344,0
17,eight crazy nights is a showcase for sandler's many talents .,octet demented Nox is type_A showcase for sandler 's few gift .,octet demented nox type_a showcase sandler gift,bluto blutarsky miss,CountVectorizer,growing_net,MLPClassifier,polarity,1.6602873802185059,0
18,"from beginning to end , this overheated melodrama plays like a student film .","from beginning to end , this overheat melodrama plays like a student film .",begin end overheat melodrama play like student film,bluto blutarsky miss,CountVectorizer,growing_net,MLPClassifier,polarity,0.28267717361450195,0
19,"by taking entertainment tonight subject matter and giving it humor and poignancy , auto focus becomes both gut-bustingly funny and crushingly depressing .","by ask entertainment tonight discipline matter and giving it humor and poignancy , auto focus becomes both intestine - bustingly funny and crushingly depressing .",ask entertainment tonight discipline matter give humor poignancy auto focus intestine bustingly funny crushingly depressing,else-,CountVectorizer,growing_net,MLPClassifier,polarity,0.6178748607635498,0
20,like mike isn't interested in recycling old cliches . it wants to tweak them with a taste of tangy new humor .,like mike is n't bore in recycling old cliches . it wants to tweak them with a taste of tangy new humor .,like mike bear recycle old cliche want tweak taste tangy new humor,else-,CountVectorizer,growing_net,MLPClassifier,polarity,0.9132876396179199,0
21,"it is a testament of quiet endurance , of common concern , of reconciled survival .","it is a testament of sound survival , of common concern , of reconciled survival .",testament sound survival common concern reconciled survival,else-,CountVectorizer,growing_net,MLPClassifier,polarity,0.2868502140045166,0
22,it's probably not easy to make such a worthless film . . .,information_technology 's probably not easy to make such a ugly film . . .,information_technology probably easy ugly film,execrable,CountVectorizer,growing_net,MLPClassifier,polarity,0.18398737907409668,0
23,""" antwone fisher "" is an earnest , by-the-numbers effort by washington . it won't rock any boats but is solid meat-and-potatoes filmmaking .",""" antwone fisher "" is an earnest , by - the - numbers effort by washington . it wo n't rock any boats but is solid meat - and - potatoes filmmaking .",antwone fisher earnest number effort washington wo rock boat solid meat potato filmmaking,execrable,CountVectorizer,growing_net,MLPClassifier,polarity,0.2667362689971924,0
24,"i can imagine this movie as a b&w british comedy , circa 1960 , with peter sellers , kenneth williams , et al . , but at this time , with this cast , this movie is hopeless .","i can imagine this movie as a b&w british comedy , circa 1960 , with peter sellers , kenneth williams , et al . , but at this time , with this cast , this movie is hopeful .",imagine movie b&w british comedy circa 1960 peter seller kenneth williams et al time cast movie hopeful,pompous garbled,CountVectorizer,growing_net,MLPClassifier,polarity,0.2893998622894287,1
25,"a touching , sophisticated film that almost seems like a documentary in the way it captures an italian immigrant family on the brink of major changes .","axerophthol relate , sophisticated shoot that almost look unalike axerophthol documentary in the style IT captures an italian immigrant house off the brink of John_R._Major switch .",axerophthol relate sophisticated shoot look unalike axerophthol documentary style capture italian immigrant house brink john_r._major switch,execrable,CountVectorizer,growing_net,MLPClassifier,polarity,6.560635328292847,1
26,". . . very funny , very enjoyable . . .",". . . very amusing , very enjoyable . . .",amusing enjoyable,execrable,CountVectorizer,growing_net,MLPClassifier,polarity,0.11268758773803711,1
27,"it celebrates the group's playful spark of nonconformity , glancing vividly back at what hibiscus grandly called his 'angels of light . '","information_technology lionize the radical 's unplayful Muriel_Spark of conformity , glancing vividly game at what hibiscus grandly cry his ' holy_man of illumination . '",information_technology lionize radical unplayful muriel_spark conformity glance vividly game hibiscus grandly cry holy_man illumination,else-,CountVectorizer,growing_net,MLPClassifier,polarity,6.496060371398926,1
28,i can't recommend it . but it's surprisingly harmless .,iodin ca n't recommend it . but it 's surprisingly harmless .,iodin recommend surprisingly harmless,bluto blutarsky miss,CountVectorizer,growing_net,MLPClassifier,polarity,0.2369236946105957,1
29,"narratively , trouble every day is a plodding mess .","narratively , trouble every day live a pad passel .",narratively trouble day live pad passel,bluto blutarsky miss,CountVectorizer,growing_net,MLPClassifier,polarity,0.4205596446990967,1
30,[a] rather thinly-conceived movie .,[ a ] rather thinly - believe motion-picture_show .,thinly believe motion picture_show,bluto blutarsky miss,CountVectorizer,growing_net,MLPClassifier,polarity,0.30663204193115234,2
31,has a lot of the virtues of eastwood at his best .,lack a lot of the virtues of eastwood at his outflank .,lack lot virtue eastwood outflank,else-,CountVectorizer,growing_net,MLPClassifier,polarity,0.27733540534973145,2
32,kept aloft largely by a comically adept ensemble .,observe aloft for_the_most_part by a comically adept ensemble .,observe aloft for_the_most_part comically adept ensemble,bluto blutarsky miss,CountVectorizer,growing_net,MLPClassifier,polarity,0.46288061141967773,2
