,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find
0,"Bias: Trump Blamed For Sluggish Economy, Obama Lavished With Praise - Breitbart","Bias : Trump Blamed UNKWORDZ Sluggish Economy , UNKWORDZ Lavished With Praise - UNKWORDZ",bias trump blame unkwordz sluggish economy unkwordz lavish praise unkwordz,idris elba star new hunchback notre dame netflix,TfidfVectorizer,sedc,RandomForestClassifier,fake,0.2454357147216797,0
1,The Supreme Court Is Helping Companies Get Away With Sexual Harassment,The Supreme Court Is UNKWORDZ Companies Get UNKWORDZ With UNKWORDZ Harassment,supreme court unkwordz company unkwordz unkwordz harassment,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,sedc,RandomForestClassifier,fake,0.45391273498535156,0
2,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,Bill Gates UNKWORDZ UNKWORDZ Did n't Know The Difference Between HPV And UNKWORDZ,bill gate unkwordz unkwordz know difference hpv unkwordz,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,sedc,RandomForestClassifier,fake,0.3973994255065918,0
3,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,Kylie Jenner UNKWORDZ UNKWORDZ - Bodyguard Tim Chung Denies UNKWORDZ 's Actually Stormi 's Father,kylie jenner unkwordz unkwordz bodyguard tim chung deny unkwordz actually stormi father,diamond silk,TfidfVectorizer,sedc,RandomForestClassifier,fake,0.7037665843963623,0
4,'Law & Order: SVU' Tackles Trans Military Debate With Powerful Storyline,' Law & UNKWORDZ : SVU UNKWORDZ Tackles Trans UNKWORDZ UNKWORDZ With Powerful UNKWORDZ,law unkwordz svu unkwordz tackle trans unkwordz unkwordz powerful unkwordz,idris elba star new hunchback notre dame netflix,TfidfVectorizer,sedc,RandomForestClassifier,fake,1.421269178390503,0
5,Kate McKinnon Breaks Out Another Impression Of Rudy Giuliani,Kate McKinnon Breaks UNKWORDZ Another Impression UNKWORDZ Rudy UNKWORDZ,kate mckinnon break unkwordz impression unkwordz rudy unkwordz,budget deal increase wildfire disaster funding $ 2 billion annually,TfidfVectorizer,sedc,RandomForestClassifier,fake,0.7307326793670654,0
6,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,UNKWORDZ 's Complaints UNKWORDZ Obama Giving Away Syria Strategy Look Pretty UNKWORDZ Now,unkwordz complaint unkwordz obama give away syria strategy look pretty unkwordz,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,sedc,RandomForestClassifier,fake,0.3938872814178467,1
7,Teen Uses 'Grey's Anatomy' For Secret Yearbook Message About Being Gay,UNKWORDZ Uses ' Grey UNKWORDZ Anatomy ' For Secret Yearbook Message About Being UNKWORDZ,unkwordz use grey unkwordz anatomy secret yearbook message unkwordz,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,sedc,RandomForestClassifier,fake,0.38613009452819824,1
8,Jim Carrey's Latest Painting Slams Kent State 'Goldilocks' And Her AR-10,Jim Carrey 's Latest Painting Slams Kent UNKWORDZ ' UNKWORDZ ' UNKWORDZ Her AR-10,jim carrey late painting slam kent unkwordz unkwordz unkwordz ar-10,gorka smite hater radical islamist jerusalem post speech breitbart,TfidfVectorizer,sedc,RandomForestClassifier,fake,0.6565549373626709,1
9,Mark Levin on Trump Wiretapping Claims: ’The Evidence Is Overwhelming’ - Breitbart,Mark Levin UNKWORDZ Trump Wiretapping Claims : ’ The Evidence UNKWORDZ Overwhelming ’ - UNKWORDZ,mark levin unkwordz trump wiretapping claim evidence unkwordz overwhelming unkwordz,idris elba star new hunchback notre dame netflix,TfidfVectorizer,sedc,RandomForestClassifier,fake,0.2693827152252197,1
