,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
0,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. aPS1.50 SP:Tyrone,Europe John Wkly Q ! Rest a technical Dr Laptop player if sis know which country the Algarve feels in ? Txt ansr to 82277 . aPS1.50 Gen. – Michigan,europe john wkly q rest technical dr laptop player sis know country algarve feel txt ansr 82277 aps1.50 gen michigan,important customer service announcement freephone 0800 542 0825,CountVectorizer,growing_language,MLPClassifier,spam,161.18109965324402,0,0.4151212011804583,0.9504827770069793,17,0.6049709916114807,30.0,0.2025759071111679
1,URGENT! We are trying to contact U. Todays draw shows that you have won a aPS800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,URGENT =) We are trying to contact U. Todays hope shows about us have received any aPS800 penny GUARANTEED . Call 09050001808 from land line . Take M95 . Valid12hrs so,urgent =) try contact u. today hope show receive aps800 penny guarantee 09050001808 land line m95 valid12hrs,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,CountVectorizer,growing_language,MLPClassifier,spam,150.1072235107422,1,0.3863196210123226,0.9752615279166584,16,0.7333696484565735,31.0,0.0621521174907684
2,GENT! We are trying to contact you. Last weekends draw shows that you won a aPS1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,GENT ! He are trying to contact you . Last friends use shows that them felt a aPS1000 prize GUARANTEED . Call 09064012160 . Cause General K52 . Total 12hrs also . 150ppm,gent try contact friend use show feel aps1000 prize guarantee 09064012160 cause general k52 total 12hrs 150ppm,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,growing_language,MLPClassifier,spam,141.0666491985321,2,0.3420818796488334,0.9709940041581192,20,0.8004207611083984,33.0,0.3246646821498871
3,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,important information 4 orange mode ? today gets his lucky day!2find off why log onto http://www.urawinner.com THERE 'S A FANTASTIC Lol Giving YOU ...,important information 4 orange mode today get lucky day!2find log http://www.urawinner.com fantastic lol give,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,growing_language,MLPClassifier,spam,135.55291867256165,3,0.3634945787896221,0.9702616659799208,11,0.810017466545105,23.0,0.0943704098463058
4,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,Congratulations ur went Billion of CD gifts or 125gift guaranteed BUT Free system 2 195 wkly draw i.e Story to 87066,congratulation ur go billion cd gift 125gift guarantee free system 2 195 wkly draw i.e story 87066,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,CountVectorizer,growing_language,MLPClassifier,spam,119.32334208488464,3,0.4143137698567984,0.9136787127629216,8,0.7426031231880188,21.0,0.2129565775394439
5,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,You are an bad job office announcement . Call FREEPHONE 87 Billion 0825 now /,bad job office announcement freephone 87 billion 0825,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,CountVectorizer,growing_language,MLPClassifier,spam,56.68936181068421,11,0.3004720559135979,0.878616940103029,10,0.7102901339530945,21.0,0.1980722248554229
6,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,What do U try than SNL ? How about 15 free phone messages & a small conversation phone with half price line city ? Call possible now on 0800 0721072 to find out more !,u try snl 15 free phone message small conversation phone half price line city possible 0800 0721072 find,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,growing_language,MLPClassifier,spam,131.30989694595337,11,0.370531331804294,0.9817633779249654,13,0.6026338338851929,35.0,0.2510067522525787
7,Last chance 2 claim ur aPS150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. aPS3.00 Sub. 16 . Remove txt X or STOP,Last moment 5 drug ur aPS150 thing of discount vouchers - Text YES than 85023 now!SavaMob - member gives broad T California 08717898035 . aPS3.00 Lol . 7 . Kill k X and Get,moment 5 drug ur aps150 thing discount voucher text yes 85023 now!savamob member give broad t california 08717898035 aps3.00 lol 7 kill k x,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,CountVectorizer,growing_language,MLPClassifier,spam,106.4898042678833,11,0.3952516920571255,0.9502115906354454,23,0.8177394866943359,34.0,0.1894382536411285
8,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,I do n't know u and u do n't know me . Send Husband to 86688 now and come 's find each other ! NOW x. / Mah rcvd . HG / Suite342/2Lands / Day / W1J6HL LDN . 18 years but over .,know u u know send husband 86688 come find x. mah rcvd hg suite342/2lands day w1j6hl ldn 18 year,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,CountVectorizer,growing_language,MLPClassifier,spam,113.280202627182,11,0.3770036592680609,0.988867243001184,29,0.7264590263366699,44.0,0.1312481611967086
9,todays vodafone numbers ending with 0089(my last four digits) are selected to received a aPS350 award. If your number matches please call 09063442151 to claim your aPS350 award,todays nyc others doing for 0089(my presidential four digits ) are selected to received a aPS350 television . If your number matches please call 09063442151 to claim your aPS350 award,todays nyc 0089(my presidential digit select receive aps350 television number match 09063442151 claim aps350 award,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,CountVectorizer,growing_language,MLPClassifier,spam,90.09921956062315,11,0.3272549718677689,0.9742891798061772,9,0.7221508026123047,30.0,0.1460343599319458
