,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
0,"Bias: Trump Blamed For Sluggish Economy, Obama Lavished With Praise - Breitbart","Bias : Trump Blamed UNKWORDZ UNKWORDZ UNKWORDZ , UNKWORDZ Lavished With Praise - UNKWORDZ",bias trump blame unkwordz unkwordz unkwordz unkwordz lavish praise unkwordz,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,sedc,MLPClassifier,fake,0.2080800533294677,0,0.185862692380667,0.8927401554815666,8,0.5839414596557617,14,0.121338814496994
1,The Supreme Court Is Helping Companies Get Away With Sexual Harassment,The Supreme Court Is UNKWORDZ Companies Get Away With UNKWORDZ UNKWORDZ,supreme court unkwordz company away unkwordz unkwordz,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,MLPClassifier,fake,0.1110570430755615,0,0.031056854666635,0.9412597118636143,3,0.36949867010116577,11,-0.0087367556989192
2,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,Bill Gates Says Trump UNKWORDZ n't Know The Difference Between UNKWORDZ UNKWORDZ HIV,bill gate say trump unkwordz know difference unkwordz unkwordz hiv,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,sedc,MLPClassifier,fake,0.0784783363342285,0,0.2613387843368675,0.9788500566230232,4,0.6747613549232483,13,0.1457666456699371
3,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,Kylie UNKWORDZ 's UNKWORDZ - Bodyguard Tim UNKWORDZ Denies He 's Actually Stormi 's Father,kylie unkwordz unkwordz bodyguard tim unkwordz deny actually stormi father,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,MLPClassifier,fake,0.0745034217834472,0,0.2304119066479487,0.9492019714474854,10,0.7093673348426819,15,0.0914350673556327
4,'Law & Order: SVU' Tackles Trans Military Debate With Powerful Storyline,' Law UNKWORDZ Order : SVU UNKWORDZ Tackles Trans Military Debate With UNKWORDZ Storyline,law unkwordz order svu unkwordz tackle trans military debate unkwordz storyline,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,MLPClassifier,fake,0.081824779510498,0,0.0734231624187429,0.96312813766294,8,0.7292414903640747,14,0.0898060947656631
5,Kate McKinnon Breaks Out Another Impression Of Rudy Giuliani,UNKWORDZ McKinnon Breaks Out Another Impression UNKWORDZ UNKWORDZ UNKWORDZ,unkwordz mckinnon break impression unkwordz unkwordz unkwordz,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,MLPClassifier,fake,0.0953247547149658,0,0.1678441927240939,0.7724323815753857,4,0.42966708540916443,9,0.0733349174261093
6,U.S. Embassy In Jerusalem Opens Its Doors As Protests Rage Nearby,UNKWORDZ Embassy In Jerusalem Opens UNKWORDZ UNKWORDZ As Protests Rage Nearby,unkwordz embassy jerusalem open unkwordz unkwordz protest rage nearby,diamond silk,CountVectorizer,sedc,MLPClassifier,fake,0.082848310470581,0,0.2427377403244711,0.9614347640297272,3,0.5515124797821045,11,0.0707495585083961
7,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,Trump 's Complaints About UNKWORDZ Giving Away UNKWORDZ Strategy Look Pretty UNKWORDZ Now,trump complaint unkwordz give away unkwordz strategy look pretty unkwordz,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,sedc,MLPClassifier,fake,0.0733122825622558,0,0.1711588580985422,0.9519203578629696,5,0.42903387546539307,13,0.0745240822434425
8,Teen Uses 'Grey's Anatomy' For Secret Yearbook Message About Being Gay,UNKWORDZ UNKWORDZ ' Grey 's Anatomy ' For Secret UNKWORDZ Message UNKWORDZ Being Gay,unkwordz unkwordz grey anatomy secret unkwordz message unkwordz gay,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,MLPClassifier,fake,0.1089720726013183,0,0.1250128257996205,0.9626028132275544,9,0.5363535284996033,14,0.0730645209550857
9,Jim Carrey's Latest Painting Slams Kent State 'Goldilocks' And Her AR-10,UNKWORDZ UNKWORDZ 's UNKWORDZ Painting UNKWORDZ Kent UNKWORDZ ' UNKWORDZ ' And UNKWORDZ AR-10,unkwordz unkwordz unkwordz painting unkwordz kent unkwordz unkwordz unkwordz ar-10,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,MLPClassifier,fake,0.2093300819396972,0,0.0672878413988937,0.8394489159543151,10,0.16124357283115387,14,0.0542832762002944
