,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find
0,The Supreme Court Is Helping Companies Get Away With Sexual Harassment,The Supreme Margaret_Court Is Helping Companies Get Away With intimate Harassment,supreme margaret_court help company away intimate harassment,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.27147722244262695,1
1,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,Bill Gates allege trump_card Did n't Know The Difference Between HPV And HIV,bill gate allege trump_card know difference hpv hiv,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.27298521995544434,1
2,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,Kylie Jenner 's passe - Bodyguard Tim Chung Denies He 's Actually Stormi 's Father,kylie jenner passe bodyguard tim chung deny actually stormi father,diamond silk,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.39562106132507324,1
3,'Law & Order: SVU' Tackles Trans Military Debate With Powerful Storyline,' Law & place : SVU ' Tackles Trans armed_forces Debate With Powerful Storyline,law place svu tackle trans armed_force debate powerful storyline,idris elba star new hunchback notre dame netflix,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.8029580116271973,1
4,Kate McKinnon Breaks Out Another Impression Of Rudy Giuliani,Kate McKinnon prison-breaking Out Another Impression Of Rudy Giuliani,kate mckinnon prison break impression rudy giuliani,diamond silk,TfidfVectorizer,growing_net,RandomForestClassifier,fake,1.039078950881958,1
5,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,outdo 's Complaints About Obama Giving Away Syria Strategy expect Pretty Silly Now,outdo complaint obama give away syria strategy expect pretty silly,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.2731211185455322,2
6,Teen Uses 'Grey's Anatomy' For Secret Yearbook Message About Being Gay,stripling Uses ' Grey 's Anatomy ' For Secret Yearbook Message About Being homosexual,stripling use grey anatomy secret yearbook message homosexual,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.45682215690612793,2
7,Jim Carrey's Latest Painting Slams Kent State 'Goldilocks' And Her AR-10,Jim Carrey 's up-to-the-minute Painting Slams Kent express ' Goldilocks ' And Her AR-10,jim carrey minute painting slam kent express goldilocks ar-10,wikileak obama saudi agent,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.348752498626709,2
8,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police","# NoDAPL : Native American Leaders Vow to Stay All Winter , data_file causa Against Police",nodapl native american leader vow stay winter data_file causa police,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.34313368797302246,5
9,Illegal Immigrant Accused of Murdering Teacher,Illegal Immigrant incriminate of Murdering teacher,illegal immigrant incriminate murder teacher,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.401491641998291,6
10,"Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda","Left Blasts Pepsi , Kendall Jenner for ’ Appropriating ’ Anti - cornet ‘ Resistance ’ to Sell Soda",leave blast pepsi kendall jenner appropriate anti cornet resistance sell soda,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.3460986614227295,6
11,"Dakota Excess Pipeline? Standing Rock Protectors Strip-Searched, Jailed for Days on Minor Charges – Video, Links, and Commentary","Dakota Excess grapevine ? place_upright Rock Protectors Strip - seek , Jailed for day on Minor Charges – picture , Links , and Commentary",dakota excess grapevine place_upright rock protector strip seek jail day minor charge picture link commentary,idris elba star new hunchback notre dame netflix,TfidfVectorizer,growing_net,RandomForestClassifier,fake,2.772866725921631,6
12,"Oliver North, Key Player In Iran-Contra Scandal, Named NRA President","Oliver Second_Earl_of_Guilford , cardinal Player In Islamic_Republic_of_Iran - Contra dirt , Named NRA President",oliver second_earl_of_guilford cardinal player islamic_republic_of_iran contra dirt name nra president,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,growing_net,RandomForestClassifier,fake,1.0645906925201416,6
13,"Regardless of ‘Brexit’ Vote, Experts Say, E.U. Must Rethink Status Quo - The New York Times","Regardless of ‘ Brexit ’ Vote , Experts Say , E.U. Must Rethink Status Quo - The New House_of_York time",regardless brexit vote expert e.u rethink status quo new house_of_york time,idris elba star new hunchback notre dame netflix,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.6108653545379639,9
14,NY State Police Building MS-13 Unit,New_York_State State Police build MS-13 Unit,new_york_state state police build ms-13 unit,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.454357385635376,9
15,Jim Carrey Appears To Shred Jared Kushner In Biting New Portrait,Jim Carrey Appears To Shred clash Kushner In Biting Modern Portrait,jim carrey appear shred clash kushner bite modern portrait,budget deal increase wildfire disaster funding $ 2 billion annually,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.6352043151855469,9
16,Officer Puts Man In Chokehold Outside A North Carolina Waffle House,Officer Puts human In Chokehold Outside A North Carolina Waffle business_firm,officer put human chokehold outside north carolina waffle business_firm,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.8629982471466064,9
17,Dozens Killed In Reported Chemical Attack On Syrian Rebel Enclave,Dozens drink_down Indiana Reported Chemical Attack On Syrian Rebel Enclave,dozen drink_down indiana report chemical attack syrian rebel enclave,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.4124629497528076,9
18,France’s Obsession With Decline Is a Booming Industry - The New York Times,Anatole_France ’s Obsession With Decline Is a Booming Industry - The New York meter,anatole_france obsession decline boom industry new york meter,idris elba star new hunchback notre dame netflix,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.37220168113708496,9
19,Jake Tapper Hits Back At Trump: He's Nastier To Me And Don Lemon Than He Is To Putin,Jake wiretapper Hits Back At Trump : He 's Nastier To Me And Don lemon_tree Than He Is To Putin,jake wiretapper hit trump nasty don lemon_tree putin,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.5382030010223389,9
20,Michigan Allots $87 Million to Replace Flint’s Tainted Water Pipes - The New York Times,Wolverine_State Allots $ 87 Million to Replace Flint ’s Tainted Water Pipes - The New York sentence,wolverine_state allot $ 87 million replace flint tainted water pipe new york sentence,idris elba star new hunchback notre dame netflix,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.2227327823638916,12
21,Eleven Madison Park Plans a Makeover and a Summer Pop-Up - The New York Times,Eleven Madison Park Plans a Makeover and a Summer Pop - Up - The New York clock_time,madison park plan makeover summer pop new york clock_time,chrissy teigen explain snapchat decision feel beyoncé biter,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.27266621589660645,12
22,House Democrats Offer Internships For Students Affected By Gun Violence,home Democrats Offer Internships For scholarly_person Affected By ordnance Violence,home democrats offer internship scholarly_person affect ordnance violence,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.8030378818511963,13
23,Can anyone help with the meaning behind a mystery playing card?,john anyone help with the meaning behind a mystery_story playing card ?,john help meaning mystery_story playing card,idris elba star new hunchback notre dame netflix,TfidfVectorizer,growing_net,RandomForestClassifier,fake,1.0490217208862305,13
24,"Pelosi: ’I Pray for Donald Trump, That His Presidency Will Be Successful and That His Family Will Be Safe’","Pelosi : ’ I Pray for Donald horn , That His Presidency Will Be Successful and That His crime_syndicate Will Be Safe ’",pelosi pray donald horn presidency successful crime_syndicate safe,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.6933612823486328,14
25,Waffle House Shooting Victim's Mom Accepts Daughter's Diploma,Waffle theater take Victim 's Mom Accepts Daughter 's Diploma,waffle theater victim mom accept daughter diploma,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.6348311901092529,16
26,Cardi B To Be First Co-Host Of 'The Tonight Show' With Jimmy Fallon,Cardi B To Be First Co - server Of ' The Tonight Show ' With pry Fallon,cardi b co server tonight pry fallon,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.783210039138794,16
27,"'Fox & Friends' Host Mocks NY Times' ISIS Coverage, Unaware It Beat Fox To The Story","' Fox & Friends ' Host Mocks NY Times ' Inter-Services_Intelligence Coverage , Unaware It Beat Fox To The Story",fox friend host mock ny time inter services_intelligence coverage unaware beat fox story,idris elba star new hunchback notre dame netflix,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.25168371200561523,16
28,GOP: We Will Be United Against Any Supreme Court Nominee Of Hillary Clinton (VIDEO),GOP : We Will Be United Against whatsoever Supreme Court Nominee Of Sir_Edmund_Percival_Hillary President_Clinton ( television ),gop unite whatsoever supreme court nominee sir_edmund_percival_hillary president_clinton television,idris elba star new hunchback notre dame netflix,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.8776013851165771,16
29,The Rest Of The World Showed Up To March For Our Lives,The Rest Of The World Showed Up To March For Our hold_out,rest world show march hold_out,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.2736549377441406,16
30,"Tesla Hits a New Milestone, Passing G.M. in Valuation - The New York Times","Tesla Hits a New Milestone , Passing G.M. in valuation - The New York sentence",tesla hit new milestone pass g.m valuation new york sentence,chrissy teigen explain snapchat decision feel beyoncé biter,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.22469830513000488,16
31,Melania Trump Called Out For Anti-Bullying Campaign That Ignores Her Husband's Actions,Melania Trump phone Out For Anti - Bullying Campaign That Ignores Her Husband 's legal_action,melania trump phone anti bully campaign ignore husband legal_action,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.29935264587402344,16
32,Iran Says Europe's Support For Nuclear Deal Isn't Enough After America's Withdrawal,Iran tell Europe 's Support For Nuclear Deal Is n't Enough After America 's Withdrawal,iran tell europe support nuclear deal america withdrawal,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.22333765029907227,17
33,Missouri Governor Claims 'Witch Hunt' Before State House Releases Its Report,Missouri regulator lay_claim ' Witch Hunt ' Before State menage Releases Its Report,missouri regulator lay_claim witch hunt state menage release report,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.9822282791137695,17
34,How Think Tanks Amplify Corporate America’s Influence - The New York Times,How Think Tanks Amplify Corporate U.S.A. ’s Influence - The New York multiplication,think tank amplify corporate u.s.a influence new york multiplication,idris elba star new hunchback notre dame netflix,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.3858530521392822,17
35,"Rural Counties Are Making A Comeback, Census Data Shows","Rural Counties Are Making A comeback , Census Data prove",rural county make comeback census datum prove,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.4159681797027588,17
36,"Former South Korean President Park Geun-hye Sentenced To 24 Years For Bribery, Abuse Of Power","Former South Korean chair Park Geun - hye Sentenced To 24 class For Bribery , Abuse Of Power",south korean chair park geun hye sentence 24 class bribery abuse power,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,growing_net,RandomForestClassifier,fake,1.7265558242797852,17
37,Tips to Reduce Food Waste - The New York Times,Tips to Reduce Food knock_off - The New York metre,tip reduce food knock_off new york metre,idris elba star new hunchback notre dame netflix,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.24254965782165527,17
