,perturb,original,dataset,method,vectorizer,nb not found,time to generate counterfactual
0,The Supreme Court Is Helping Companies Get Away With Their,The Supreme Court Is Helping Companies Get Away With Sexual Harassment,fake,Polyjuice,CountVectorizer,250,24.530843019485474
1,says Donald Trump is a good person and should make him the exception.,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,fake,Polyjuice,CountVectorizer,250,23.868555068969727
2,EMPTY Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,fake,Polyjuice,CountVectorizer,250,33.763487339019775
3,'Law & Order: SVU' Tackles Trans Military Debate With New Storyline,'Law & Order: SVU' Tackles Trans Military Debate With Powerful Storyline,fake,Polyjuice,CountVectorizer,250,30.16572070121765
4,Donald Trump's compliments about Pauline have been well received.,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,fake,Polyjuice,CountVectorizer,250,25.624614000320435
5,'How can I learn how to code?'asks Stephanie.,Teen Uses 'Grey's Anatomy' For Secret Yearbook Message About Being Gay,fake,Polyjuice,CountVectorizer,250,25.991203784942627
6,What is Kerry's latest painting?,Jim Carrey's Latest Painting Slams Kent State 'Goldilocks' And Her AR-10,fake,Polyjuice,CountVectorizer,250,23.94619393348694
7,Mr. Levin has been criticized by several politicians and former government officials who have accused him of featuring in his coverage of various crises.,Mark Levin on Trump Wiretapping Claims: ’The Evidence Is Overwhelming’ - Breitbart,fake,Polyjuice,CountVectorizer,250,26.183021306991577
8,"Childish Gambino's 'This Is America' Video, Intended","Childish Gambino's 'This Is America' Video, Explained",fake,Polyjuice,CountVectorizer,250,25.96747612953186
9,"Recker kept the grocery store, and Portner concentrated on expanding the brewery.","Gorka Smites Haters, Radical Islamists in Jerusalem Post Speech - Breitbart",fake,Polyjuice,CountVectorizer,250,27.325361490249634
10,"Which were there more of, Dutch, Danes or Poles?","Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda",fake,Polyjuice,CountVectorizer,250,27.1809720993042
11,Is Illuminati a real theory?,"Dakota Excess Pipeline? Standing Rock Protectors Strip-Searched, Jailed for Days on Minor Charges – Video, Links, and Commentary",fake,Polyjuice,CountVectorizer,250,34.362462520599365
12,What is the climate like?,California Today: What to Look for on Election Day - The New York Times,fake,Polyjuice,CountVectorizer,250,25.202088832855225
13,Obama is expected To apply for political asylum in Guantanamo Bay,Obama To Apply For Political Asylum In Moneygall,fake,Polyjuice,CountVectorizer,250,27.791216611862183
14,Just Shaped Jared Kushner in First Grade,Jim Carrey Appears To Shred Jared Kushner In Biting New Portrait,fake,Polyjuice,CountVectorizer,250,22.734713554382324
15,Officer Puts Man In Chokehold Outside A North Carolina Park House.,Officer Puts Man In Chokehold Outside A North Carolina Waffle House,fake,Polyjuice,CountVectorizer,250,26.318433046340942
16,Is A Better Man afraid of death?,France’s Obsession With Decline Is a Booming Industry - The New York Times,fake,Polyjuice,CountVectorizer,250,29.105079889297485
17,Best Craigslist Ad Page?,"Spoof Craigslist Ad Seeks Lawyer For Donald Trump, And It's Hilarious",fake,Polyjuice,CountVectorizer,250,28.040804147720337
18,WikiLeaks Reveals CIA ’Archimedes’ Tool Reportedly Used to Infect Local Networks - EMPTY,WikiLeaks Reveals CIA ’Archimedes’ Tool Reportedly Used to Infect Local Networks - Breitbart,fake,Polyjuice,CountVectorizer,250,26.496302366256714
19,Can anyone help?,Can anyone help with the meaning behind a mystery playing card?,fake,Polyjuice,CountVectorizer,250,18.18389058113098
20,"I Pray for Donald Trump, that his Presidency is actually a disaster and his family is simply a mess.","Pelosi: ’I Pray for Donald Trump, That His Presidency Will Be Successful and That His Family Will Be Safe’",fake,Polyjuice,CountVectorizer,250,23.005488634109497
21,"'s not such a long way off,'said gandalf.","Tesla Hits a New Milestone, Passing G.M. in Valuation - The New York Times",fake,Polyjuice,CountVectorizer,250,29.015504360198975
22,Is Your County Elections Clerk Ready to accept Russian Hackers?,Is Your County Elections Clerk Ready For Russian Hackers?,fake,Polyjuice,CountVectorizer,250,18.791943788528442
23,"Former South Korean President Park Geun-hye Sentenced To 24 Years For Bribery, He was","Former South Korean President Park Geun-hye Sentenced To 24 Years For Bribery, Abuse Of Power",fake,Polyjuice,CountVectorizer,250,27.640323162078857
24,I want to reduce waste from food waste.,Tips to Reduce Food Waste - The New York Times,fake,Polyjuice,CountVectorizer,250,26.0388503074646
25,and the internet.,Yahoo and the Online Universe According to Verizon - The New York Times,fake,Polyjuice,CountVectorizer,250,25.562185764312744
26,11 very depressing little realities that Donald Trump will inherit,11 very depressing economic realities that Donald Trump will inherit,fake,Polyjuice,CountVectorizer,250,27.98125171661377
27,Presidents mentioned the actors.,"4 Presidents, 4 First Ladies Pose For Photo At Barbara Bush Funeral",fake,Polyjuice,CountVectorizer,250,25.72835350036621
28,Good is most senior Army officer to kill self.,General is most senior Army officer to kill self,fake,Polyjuice,CountVectorizer,250,25.304102659225464
29,EMPTY Just became a key for Battleground,This Trump Country House District Just Became A Key Progressive Battleground,fake,Polyjuice,CountVectorizer,250,28.20573139190674
30,Is Trump a misogynist?,Muslim College Chaplains Extend a Hand Across Religious Divides - The New York Times,fake,Polyjuice,CountVectorizer,250,24.16042947769165
31,"Louie Gohmert has supported various conservative groups in Congress, such as the Christian Democratic Party and the conservative groups Combined Republican Action.",Rep. Louie Gohmert: Protests Against Gorsuch Nomination Are ‘Fake News’ Funded by ‘Soros Money’,fake,Polyjuice,CountVectorizer,250,22.451902866363525
32,Kris asked for a large check from Michael because Michael was a verified scam author.,Why Kris Kobach Was Found In Contempt For Not Clarifying To People That They Could Vote,fake,Polyjuice,CountVectorizer,250,24.6686749458313
