,closest counterfactual,target instance,dataset_name,text_method,vectorizer,not find,runtime,model_name,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,"ur ungrateful, you have 150 valid uploaded times, ur ungrateful one.",Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,spam,Polyjuice,_TfidfVectorizer,607,109.00348162651062,rf,ur ungrateful 150 valid uploaded time ur ungrateful,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3501854219760851,0.7629859848306613,20,0.2503149211406708,18.0,0.1241583451628685,"In The Simpsons Movie released in July 2007 name the band that died at the start of the film? A-Green Day, B-Blue Day, C-Red Day. (Send A, B or C)",-0.1197952330112457
1,What do I want for Xmas?,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,spam,Polyjuice,_TfidfVectorizer,607,59.37096428871155,rf,want xma,important customer service announcement freephone 0800 542 0825,0.3333109478391779,0.8641414291561923,27,0.4996240735054016,8.0,-0.0769493132829666,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.1566990613937378
2,2nd chance 2,Last chance 2 claim ur aPS150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. aPS3.00 Sub. 16 . Remove txt X or STOP,spam,Polyjuice,_TfidfVectorizer,607,92.91297054290771,rf,2nd chance 2,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.1250732655545738,0.6321360895722175,26,0.2490968406200409,21.0,0.1475093960762024,Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.,-0.0516197681427001
3,"I don't know u and u don't know me, mail z anywhere send stuff to: lindsey, dubbing, stuff, anything to save the world from starvation.",I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,spam,Polyjuice,_TfidfVectorizer,607,87.54823756217957,rf,know u u know mail z send stuff lindsey dubbing stuff save world starvation,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3771468720278295,0.930078760233208,20,0.2739035487174988,25.0,0.2768818438053131,Text PASS to 69669 to collect your polyphonic ringtones. Normal gprs charges apply only. Enjoy your tones,-0.1078829988837242
4,Chris Egan( Nick Smith) met UR Chris Egan( Nick Smith) returns to the club to replace Henderson as club president. EMPTY,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",spam,Polyjuice,_TfidfVectorizer,607,105.20433068275452,rf,chris egan nick smith meet ur chris egan nick smith return club replace henderson club president,important customer service announcement freephone 0800 542 0825,0.2917105455492667,0.7745380674682423,30,0.15133732557296753,21.0,0.0805439502000808,FREEMSG: Our records indicate you may be entitled to 3750 pounds for the Accident you had. To claim for free reply with YES to this msg. To opt out text STOP,-0.1425892263650894
5,we have a secret admirer who looks like a top.,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,spam,Polyjuice,_TfidfVectorizer,607,100.85635042190552,rf,secret admirer look like,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2917727499312043,0.9167140698778286,19,0.46913889050483704,15.0,0.0756146684288978,Freemsg: 1-month unlimited free calls! Activate SmartCall Txt: CALL to No: 68866. Subscriptn3gbp/wk unlimited calls Help: 08448714184 Stop?txt stop landlineonly,-0.15274578332901
6,Thank you for your help!,"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180",spam,Polyjuice,_TfidfVectorizer,607,91.78112292289734,rf,thank help,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.2687685779783275,0.8389888115401087,23,0.1643890142440796,17.0,-0.0310694854706525,CALL 09090900040 & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL PRIVACY NO ONE KNOWS YOUR [sic] LISTENING 60P MIN 24/7MP 0870753331018+,-0.1507034301757812
7,Which phone should I buy?,"Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call",spam,Polyjuice,_TfidfVectorizer,607,90.1310019493103,rf,phone buy,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3927080909936215,0.8648662681591813,26,0.3634411692619324,18.0,0.1636300384998321,Kit Strip - you have been billed 150p. Netcollex Ltd. PO Box 1013 IG11 OJA,-0.1056959629058837
8,Theme Park:,Tone Club: Your subs has now expired 2 re-sub reply MONOC 4 monos or POLYC 4 polys 1 weekly @ 150p per week Txt STOP 2 stop This msg free Stream 0871212025016,spam,Polyjuice,_TfidfVectorizer,607,103.394357919693,rf,theme park,customer service representative freephone 0808 145 4742 9am-11pm win guarantee aps1000 cash aps5000 prize,0.2386330233223166,0.4844036362658224,32,0.014670886099338531,14.0,-0.0558195076882839,"\URGENT! This is the 2nd attempt to contact U!U have WON aPS1000CALL 09071512432 b4 300603t&csBCM4235WC1N3XX.callcost150ppmmobilesvary. maxaPS7. 50\""""",-0.1733521372079849
9,XMAS iscoming & ur awarded to either aLdew.com1win150ppmx3age16subscription,XMAS iscoming & ur awarded either aPS500 CD gift vouchers & free entry 2 r aPS100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription ,spam,Polyjuice,_TfidfVectorizer,607,89.51347947120667,rf,xma iscoming ur award aldew.com1win150ppmx3age16subscription,important customer service announcement freephone 0800 542 0825,0.3351605699523527,0.8528199556657432,19,0.6874195337295532,8.0,0.154363065958023,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.1569879949092865
