,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find
0,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. aPS1.50 SP:Tyrone,Sunshine Quiz Wkly Q ! UNKWORDZ a top UNKWORDZ DVD player if u know UNKWORDZ country the Algarve UNKWORDZ UNKWORDZ ? UNKWORDZ ansr UNKWORDZ 82277 . UNKWORDZ UNKWORDZ : Tyrone,sunshine quiz wkly q unkwordz unkwordz dvd player u know unkwordz country algarve unkwordz unkwordz unkwordz ansr unkwordz 82277 unkwordz unkwordz tyrone,,CountVectorizer,sedc,RandomForestClassifier,spam,0.5661382675170898,0
1,URGENT! We are trying to contact U. Todays draw shows that you have won a aPS800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,UNKWORDZ UNKWORDZ UNKWORDZ are trying to contact U. Todays UNKWORDZ shows that you have UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ . UNKWORDZ 09050001808 from land line . UNKWORDZ UNKWORDZ UNKWORDZ Valid12hrs only,unkwordz unkwordz unkwordz try contact u. today unkwordz show unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz 09050001808 land line unkwordz unkwordz unkwordz valid12hrs,wylie tampa sarasota,CountVectorizer,sedc,RandomForestClassifier,spam,0.8339278697967529,1
2,GENT! We are trying to contact you. Last weekends draw shows that you won a aPS1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,GENT ! We are trying to UNKWORDZ you . UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ you won a aPS1000 UNKWORDZ UNKWORDZ . UNKWORDZ UNKWORDZ . UNKWORDZ UNKWORDZ K52 . UNKWORDZ 12hrs only UNKWORDZ 150ppm,gent try unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz win aps1000 unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz k52 unkwordz 12hrs unkwordz 150ppm,wylie tampa sarasota,CountVectorizer,sedc,RandomForestClassifier,spam,0.9044854640960693,2
3,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,important information 4 UNKWORDZ user . today is your lucky UNKWORDZ out why log onto UNKWORDZ THERE 'S A FANTASTIC SURPRISE AWAITING YOU !,important information 4 unkwordz user today lucky unkwordz log unkwordz fantastic surprise await,wylie tampa sarasota,CountVectorizer,sedc,RandomForestClassifier,spam,0.144639253616333,3
4,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,UNKWORDZ UNKWORDZ awarded UNKWORDZ of CD UNKWORDZ or 125gift UNKWORDZ & UNKWORDZ entry 2 100 wkly UNKWORDZ UNKWORDZ UNKWORDZ to 87066,unkwordz unkwordz award unkwordz cd unkwordz 125gift unkwordz unkwordz entry 2 100 wkly unkwordz unkwordz unkwordz 87066,wylie tampa sarasota,CountVectorizer,sedc,RandomForestClassifier,spam,0.5612843036651611,3
5,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,You have an important customer UNKWORDZ announcement . UNKWORDZ FREEPHONE UNKWORDZ 542 UNKWORDZ now !,important customer unkwordz announcement unkwordz freephone unkwordz 542 unkwordz,wylie tampa sarasota,CountVectorizer,sedc,RandomForestClassifier,spam,0.22268414497375488,11
6,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,UNKWORDZ do U want UNKWORDZ UNKWORDZ ? UNKWORDZ about 100 UNKWORDZ text messages & a new UNKWORDZ phone with half price UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ now on 0800 UNKWORDZ UNKWORDZ find UNKWORDZ more !,unkwordz u want unkwordz unkwordz unkwordz 100 unkwordz text message new unkwordz phone half price unkwordz unkwordz unkwordz unkwordz unkwordz 0800 unkwordz unkwordz find unkwordz,wylie tampa sarasota,CountVectorizer,sedc,RandomForestClassifier,spam,0.9685015678405762,11
7,Last chance 2 claim ur aPS150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. aPS3.00 Sub. 16 . Remove txt X or STOP,Last UNKWORDZ 2 UNKWORDZ ur aPS150 worth UNKWORDZ UNKWORDZ vouchers - Text YES UNKWORDZ 85023 UNKWORDZ - member offers UNKWORDZ UNKWORDZ UNKWORDZ 08717898035 UNKWORDZ aPS3.00 Sub UNKWORDZ UNKWORDZ . Remove UNKWORDZ X UNKWORDZ UNKWORDZ,unkwordz 2 unkwordz ur aps150 worth unkwordz unkwordz voucher text yes unkwordz 85023 unkwordz member offer unkwordz unkwordz unkwordz 08717898035 unkwordz aps3.00 sub unkwordz unkwordz remove unkwordz x unkwordz unkwordz,wylie tampa sarasota,CountVectorizer,sedc,RandomForestClassifier,spam,1.0063426494598389,11
8,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,I do n't UNKWORDZ u and u do n't know me . Send CHAT UNKWORDZ 86688 UNKWORDZ and let UNKWORDZ find each other ! UNKWORDZ UNKWORDZ UNKWORDZ Msg rcvd UNKWORDZ HG / Suite342/2Lands / UNKWORDZ / UNKWORDZ LDN . UNKWORDZ years or over UNKWORDZ,unkwordz u u know send chat unkwordz 86688 unkwordz let unkwordz find unkwordz unkwordz unkwordz msg rcvd unkwordz hg suite342/2lands unkwordz unkwordz ldn unkwordz year unkwordz,,CountVectorizer,sedc,RandomForestClassifier,spam,0.797616720199585,11
9,todays vodafone numbers ending with 0089(my last four digits) are selected to received a aPS350 award. If your number matches please call 09063442151 to claim your aPS350 award,todays vodafone UNKWORDZ ending UNKWORDZ 0089(my last four digits UNKWORDZ are UNKWORDZ to received a aPS350 UNKWORDZ UNKWORDZ If your number matches please UNKWORDZ 09063442151 to UNKWORDZ your UNKWORDZ award,todays vodafone unkwordz end unkwordz 0089(my digit unkwordz unkwordz receive aps350 unkwordz unkwordz number match unkwordz 09063442151 unkwordz unkwordz award,wylie tampa sarasota,CountVectorizer,sedc,RandomForestClassifier,spam,0.5849666595458984,11
10,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES","Will u meet ur dream UNKWORDZ soon ? Is ur career off 2 a flyng start ? 2 find out free , UNKWORDZ UNKWORDZ followed by ur star sign , e. g. HORO ARIES",u meet ur dream unkwordz soon ur career 2 flyng start 2 find free unkwordz unkwordz follow ur star sign e. g. horo arie,,CountVectorizer,sedc,RandomForestClassifier,spam,0.166717529296875,14
11,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,U have a secret admirer who is looking 2 UNKWORDZ UNKWORDZ with U - UNKWORDZ UNKWORDZ who they UNKWORDZ who thinks UR so special - UNKWORDZ on 09058094594,u secret admirer look 2 unkwordz unkwordz u unkwordz unkwordz unkwordz think ur special unkwordz 09058094594,wylie tampa sarasota,CountVectorizer,sedc,RandomForestClassifier,spam,0.3605353832244873,14
