,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
0,The Supreme Court Is Helping Companies Get Away With Sexual Harassment,The Supreme Court Is help Companies Get Away With asexual Harassment,supreme court help company away asexual harassment,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,MLPClassifier,fake,0.657799482345581,1,0.0555787490074875,0.9769511727389244,2,0.8681291937828064,11,-0.0059791589155793
1,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,Bill Gates Says trump_card make_out n't Know The Difference Between HPV And HIV,bill gate say trump_card make_out know difference hpv hiv,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,growing_net,MLPClassifier,fake,0.3422608375549316,1,0.2452278172201717,0.9879224620800056,3,0.857589602470398,13,0.0870887264609336
2,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,Kylie Jenner 's X - Bodyguard Tim Chung refuse He 's Actually Stormi 's Father,kylie jenner x bodyguard tim chung refuse actually stormi father,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,MLPClassifier,fake,0.5296919345855713,1,0.3086091411797653,0.9620519130456308,10,0.9334288239479065,15,0.1278009116649627
3,'Law & Order: SVU' Tackles Trans Military Debate With Powerful Storyline,' Law & Order : SVU ' Tackles Trans Military Debate With mighty Storyline,law order svu tackle trans military debate mighty storyline,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,MLPClassifier,fake,0.2825510501861572,1,0.0593197267318928,0.9869375640607406,7,0.9911078214645386,14,0.0666881427168846
4,U.S. Embassy In Jerusalem Opens Its Doors As Protests Rage Nearby,U.S. Embassy In Jerusalem Opens Its Doors AS Protests fad Nearby,u.s embassy jerusalem open door protest fad nearby,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,growing_net,MLPClassifier,fake,0.3827319145202636,2,0.2539803043877783,0.9809834645513164,2,0.9639665484428406,11,0.0276526194065809
5,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,Trump 's Complaints About Obama Giving Away Syria Strategy wait Pretty Silly Now,trump complaint obama give away syria strategy wait pretty silly,diamond silk,CountVectorizer,growing_net,MLPClassifier,fake,0.2777414321899414,2,0.2622903056182085,0.992744238526662,3,0.9399985671043396,13,-0.0870264992117881
6,Teen Uses 'Grey's Anatomy' For Secret Yearbook Message About Being Gay,Teen US ' Grey 's Anatomy ' For Secret Yearbook Message around Being Gay,teen grey anatomy secret yearbook message gay,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,MLPClassifier,fake,0.514570951461792,2,0.1652543079592366,0.9839618119410598,7,0.9214457869529724,14,-0.0713539272546768
7,"Childish Gambino's 'This Is America' Video, Explained","Childish Gambino 's ' This Is America ' television , Explained",childish gambino america television explain,diamond silk,CountVectorizer,growing_net,MLPClassifier,fake,0.1916337013244629,4,0.2451221258954498,0.9738782982225254,8,0.8819751143455505,11,-0.0866816416382789
8,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police","# NoDAPL : Native American Leaders Vow to Stay All Winter , File causa Against Police",nodapl native american leader vow stay winter file causa police,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,MLPClassifier,fake,0.2913887500762939,5,0.0753085367778609,0.978995053781468,6,0.9174063205718994,16,-0.0303833670914173
9,"Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda","Left Blasts Pepsi , Kendall Jenner for ’ Appropriating ’ pro - Trump ‘ Resistance ’ to Sell Soda",leave blast pepsi kendall jenner appropriate pro trump resistance sell soda,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,growing_net,MLPClassifier,fake,0.306847333908081,7,0.2791401937076679,0.9841730319414076,11,0.9895591139793396,19,0.0780573636293411
10,"Dakota Excess Pipeline? Standing Rock Protectors Strip-Searched, Jailed for Days on Minor Charges – Video, Links, and Commentary","Dakota Excess line ? support Rock Protectors Strip - Searched , Jailed for Days on Minor Charges – Video , Links , and Commentary",dakota excess line support rock protector strip search jail day minor charge video link commentary,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,growing_net,MLPClassifier,fake,0.490708589553833,7,0.0995740569023733,0.9900525109579352,11,0.8758740425109863,24,0.0682041570544242
