,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,this is one of polanski's best films .,this is one of UNKWORDZ 's UNKWORDZ UNKWORDZ UNKWORDZ,unkwordz unkwordz unkwordz unkwordz,bluto blutarsky miss,TfidfVectorizer,sedc,RandomForestClassifier,polarity,0.8110127449035645,1,0.0214405013207219,0.8882543308018749,5,-0.04995628446340561,9,0.0248924419283866,if you're a fan of the series you'll love it and probably want to see it twice . i will be .,-0.2092590034008026
1,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .","like dickens with his UNKWORDZ , mcgrath crafts quite moving scenes throughout his UNKWORDZ UNKWORDZ variation on the novel .",like dicken unkwordz mcgrath craft move scene unkwordz unkwordz variation novel,else-,TfidfVectorizer,sedc,RandomForestClassifier,polarity,0.4864928722381592,1,0.0,0.9816921352318816,3,0.7598047256469727,20,0.143706664443016,"hey , who else needs a shower ?",-0.0705860555171966
2,"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .","there 's no point of view , no contemporary interpretation of UNKWORDZ 's prefeminist plight , so UNKWORDZ 're left thinking the only UNKWORDZ to make the UNKWORDZ is because present standards allow for plenty of nudity .",point view contemporary interpretation unkwordz prefeminist plight unkwordz leave think unkwordz unkwordz present standard allow plenty nudity,execrable,TfidfVectorizer,sedc,RandomForestClassifier,polarity,0.7996761798858643,1,-0.0008410933025588,0.9956285114109106,8,0.5376583337783813,38,0.1854950189590454,invincible is a wonderful movie .,-0.0844878181815147
3,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,sitting through the last reel ( spoiler alert UNKWORDZ ) is significantly less UNKWORDZ than listening to a UNKWORDZ - year - UNKWORDZ with a taste for exaggeration recount his halloween trip to the haunted house .,sit reel spoiler alert unkwordz significantly unkwordz listen unkwordz year unkwordz taste exaggeration recount halloween trip haunted house,bluto blutarsky miss,TfidfVectorizer,sedc,RandomForestClassifier,polarity,0.5834617614746094,1,0.0679867947191668,0.9948931444860436,7,0.7810391783714294,37,0.2434626817703247,probably the best case for christianity since chesterton and lewis .,-0.0626076757907867
4,". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .","UNKWORDZ . UNKWORDZ UNKWORDZ , UNKWORDZ UNKWORDZ - UNKWORDZ tour of UNKWORDZ UNKWORDZ UNKWORDZ in a UNKWORDZ of UNKWORDZ UNKWORDZ retreat into UNKWORDZ UNKWORDZ UNKWORDZ .",unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz tour unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz retreat unkwordz unkwordz unkwordz,bluto blutarsky miss,TfidfVectorizer,sedc,RandomForestClassifier,polarity,4.720136642456055,1,-0.0241752750669762,0.9463255679574056,16,0.11457255482673645,26,0.0177329014986753,it makes you believe the cast and crew thoroughly enjoyed themselves and believed in their small-budget film .,-0.1676537990570068
5,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,it 's a glorious spectacle like those d . w . UNKWORDZ made in UNKWORDZ early days of silent UNKWORDZ .,glorious spectacle like d w unkwordz unkwordz early day silent unkwordz,bluto blutarsky miss,TfidfVectorizer,sedc,RandomForestClassifier,polarity,0.5197570323944092,1,0.078683054018642,0.9872156798422844,5,0.35457298159599304,21,0.1053706482052803,probably the best case for christianity since chesterton and lewis .,-0.1062607616186142
6,[at least] moore is a real charmer .,UNKWORDZ at least ] UNKWORDZ is a UNKWORDZ charmer .,unkwordz unkwordz unkwordz charmer,bluto blutarsky miss,TfidfVectorizer,sedc,RandomForestClassifier,polarity,0.8486685752868652,1,-0.000295603439333,0.9500635473786244,6,0.11406336724758148,10,0.0632692500948906,if you're a fan of the series you'll love it and probably want to see it twice . i will be .,-0.1904964447021484
7,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,the film starts out as competent but unremarkable UNKWORDZ . . and gradually grows UNKWORDZ something of considerable UNKWORDZ .,film start competent unremarkable unkwordz gradually grow unkwordz considerable unkwordz,else-,TfidfVectorizer,sedc,RandomForestClassifier,polarity,0.6582455635070801,1,0.0,0.9931598906947552,3,0.6674928665161133,20,0.194272443652153,"hey , who else needs a shower ?",-0.0644000470638275
8,. . . always remains movingly genuine .,. . . UNKWORDZ UNKWORDZ movingly UNKWORDZ .,unkwordz unkwordz movingly unkwordz,bluto blutarsky miss,TfidfVectorizer,sedc,RandomForestClassifier,polarity,0.9403469562530518,1,0.0131480076568592,0.9013812201283248,3,0.1942431777715683,8,-0.0612121634185314,if you're a fan of the series you'll love it and probably want to see it twice . i will be .,-0.1931549161672592
9,jonathan parker's bartleby should have been the be-all-end-all of the modern-office anomie films .,jonathan UNKWORDZ 's bartleby should have been the be - all - end - UNKWORDZ of the modern - office anomie UNKWORDZ .,jonathan unkwordz bartleby end unkwordz modern office anomie unkwordz,bluto blutarsky miss,TfidfVectorizer,sedc,RandomForestClassifier,polarity,0.5586059093475342,1,0.0199068173613139,0.9853380503102244,13,0.5060137510299683,23,0.0790430083870887,. . . as the story congeals you feel the pieces of the star wars saga falling into place in a way that makes your spine tingle with revelation and excitement .,-0.0950918197631836
