,target instance,closest counterfactual,runtime,dataset_name,text_method,model_name,vectorizer,not find,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,if i was i wasn t paying attention,no 1 nokia tone is on orange co service in your phone for free texts and send it before for ,1.4682908058166504,spam,xspells,bert,,0,1 nokia tone orange co service phone free text send,,0.0,0.729641704373828,21,-0.014233889989554882,,,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck",-0.1775086969137191
1,check mail i have mailed varma and kept copy to you regarding membership take care insha allah,we tried to be we cant away reply now back back your pics for the to pay with free call 08000930705 ,0.939323663711548,spam,xspells,bert,,0,try nt away reply pic pay free 08000930705,wylie tampa sarasota,-0.0017347444451142,0.863795317514517,22,0.3241040110588074,22.0,0.1751237511634826,I know I'm lacking on most of this particular dramastorm's details but for the most part I'm not worried about that,-0.1158538833260536
2,private your 2003 account statement for shows 800 un redeemed s i m points call 08715203652 identifier code 42810 expires 29 10 0,u have a secret 2nd who waiting in is but when u is our not at all in touch and if last friend ,0.984443187713623,spam,xspells,bert,,0,u secret 2nd wait u touch friend,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.3457780388494287,0.7571360437069409,24,0.28127726912498474,24.0,0.1341695040464401,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.0956038385629654
3,becoz its lt gt jan whn al the post ofice is in holiday so she cn go fr the post ofice got it duffer,urgent your has awarded 500 of nokia guaranteed or a aps100 player if will txt ansr aps1 ,0.9170465469360352,spam,xspells,bert,,0,urgent award 500 nokia guarantee aps100 player txt ansr aps1,wylie tampa sarasota,-0.0091344034887291,0.6811065541268168,24,0.15637102723121643,18.0,0.1472107917070388,"We spend our days waiting for the ideal path to appear in front of us.. But what we forget is.. \paths are made by walking.. not by waiting..\"" Goodnight!""",-0.2032833695411682
4,wan2 win a meet greet with westlife 4 u or a m8 they are currently on what tour 1 unbreakable 2 untamed 3 unkempt text 1 2 or 3 to 83049 cost 50p std text,u 2 c in dis wkly comp reply with me see if e we txt d send this noline tncs apply co <end> ,1.1233582496643066,spam,xspells,bert,,0,u 2 c dis wkly comp reply e txt d send noline tnc apply co < end >,important customer service announcement freephone 0800 542 0825,0.3822793783213886,0.8168811533559229,34,0.39306655526161194,24.0,0.3290132880210876,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.1683167219161987
5,great news call freefone 08006344447 to claim your guaranteed aps1000 cash or aps2000 gift speak to a live operator now,this weekend we wont back in to shit when about your and text when to ask if she come down ,0.9667932987213136,spam,xspells,bert,,0,weekend wo nt shit text ask come,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.330320951231087,0.887888986147924,20,0.09796550124883652,21.0,0.0571958385407924,Total video converter free download type this in google search:),-0.1412769109010696
6,hi if ur lookin 4 saucy daytime fun wiv busty married woman am free all next week chat now 2 so time 09099726429 janinexx callsaps1 minmobsmorelkpobox177hp51fl,you didn aps2 50 things told to give but special chat it to send that things a not all things ,1.1663517951965332,spam,xspells,bert,,0,didn aps2 50 thing tell special chat send thing thing,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3106735196164303,0.8092913086219256,26,0.20985573530197144,21.0,0.2265656143426895,Guess who am I?This is the first time I created a web page WWW.ASJESUS.COM read all I wrote. I'm waiting for your opinions. I want to be your friend 1/1,-0.1010304540395736
7,urgent your 4 costa del sol holiday or aps5000 await collection call 09050090044 now toclaim sae tc s pobox334 stockpo sk38xh costaps1 50 pm max10mins,no 1 20 thing please msg of us some fun and have you a special help 16 pls from 5 9 n hard ,1.0445904731750488,spam,xspells,bert,,0,1 20 thing msg fun special help 16 pls 5 9 n hard,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3296934079605041,0.789720876200662,25,0.23388072848320007,24.0,0.1900910437107086,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.1157375127077102
8,no prob i will send to your email,no more things will find in free on love to the uk dear this week the great for and <end> ,0.6986231803894043,spam,xspells,bert,,0,thing find free love uk dear week great < end >,,0.0,0.823527004564731,18,0.22477851808071136,,,Kallis wont bat in 2nd innings.,-0.1118733510375022
9,spook up your mob with a halloween collection of a logo pic message plus a free eerie tone txt card spook to 8007 zed 08701417012150p per logo pic,i ll pick the thing txt thats to <end> ,0.7057414054870605,spam,xspells,bert,,0,ll pick thing txt s < end >,important customer service announcement freephone 0800 542 0825,0.3626811338458796,0.7422331514263861,26,0.12041568756103516,10.0,0.090540274977684,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.1521427631378173
10,sms auction a brand new nokia 7250 is up 4 auction today auction is free 2 join take pa txt nokia to 86021 now hg suite342 2lands row w1j6hl,please my work when you what doctor going bt at in love cos u gave up to weight today again ,0.7349734306335449,spam,xspells,bert,,0,work doctor go bt love cos u give weight today,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3869406166903549,0.7663384423194758,28,0.11579704284667969,21.0,0.1275832802057266,They have a thread on the wishlist section of the forums where ppl post nitro requests. Start from the last page and collect from the bottom up.,-0.0950459241867065
11,did you show him and wot did he say or could u not c him 4 dust,you know your as many free calls we re this to free for top more and best video phone number ,0.6287827491760254,spam,xspells,bert,,0,know free call free good video phone number,,0.0,0.8161987940564581,21,0.11680002510547638,,,Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/,-0.1769749224185943
12,my stomach has been thru so much trauma i swear i just can t eat i better lose weight,u have won a pass for guaranteed reply claim every award call free savamob now aps1 t msg ,0.6601357460021973,spam,xspells,bert,,0,u win pass guarantee reply claim award free savamob aps1 t msg,,0.0,0.8113290192022103,19,-0.027012459933757782,,,Did you see that film:),-0.1510990411043167
13,shop till u drop is it you either 10k 5k aps500 cash or aps100 travel voucher call now 09064011000 ntt po box cr01327bt fixedline cost 150ppm mobile vary,no more time got play that close 2 someone it will call at work <end> ,0.8110494613647461,spam,xspells,bert,,1,time get play close 2 work < end >,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3315647135992972,0.8097889232919073,27,0.2341606616973877,21.0,0.2479102909564972,FREEMSG: Our records indicate you may be entitled to 3750 pounds for the Accident you had. To claim for free reply with YES to this msg. To opt out text STOP,-0.0620651133358478
14,lmao but its so fun,we have to contact with from 100 www com on new dogging top for 2 phone 100 more std ntwk ,0.6352462768554688,spam,xspells,bert,,1,contact 100 www com new dog 2 phone 100 std ntwk,,0.0,0.6492197356713357,21,0.03234240412712097,,,"Just making dinner, you ?",-0.2032708078622818
