,perturb,original,dataset,method,nb not found,time to generate counterfactual
0,"the movie has a soft , dying magic , a deadpan suspense .","the movie has a soft , percolating magic , a deadpan suspense .",polarity,Polyjuice,240,40.320005655288696
1,"like dickens with his passages , mcgrath doesn't keep quite moving scenes throughout his resolutely dramatic variation on the novel .","like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .",polarity,Polyjuice,240,33.528193950653076
2,". . . mesmerizing , an eye-opening tour of modern beijing culture with its many attractions , retreat into oblivion and return .",". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .",polarity,Polyjuice,240,28.78471279144287
3,there is one more thing i have to do.,[at least] moore is a real charmer .,polarity,Polyjuice,240,20.506122827529907
4,the film starts out as competent but unremarkable . . . and gradually grows into something of the capable .,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,polarity,Polyjuice,240,24.438754320144653
5,"it's like being bitten by a snake, that's just it.",. . . always remains movingly genuine .,polarity,Polyjuice,240,29.474015474319458
6,"johnathan parker's the real pioneer of the modern era in beverage production, beverage beverage.",jonathan parker's bartleby should have been the be-all-end-all of the modern-office anomie films .,polarity,Polyjuice,240,28.070636749267578
7,there's no repetition than creativity throughout the movie .,there's more repetition than creativity throughout the movie .,polarity,Polyjuice,240,19.547435760498047
8,"a spellbinding EMPTY film about the modern condition of rootlessness , a state experienced by millions around the globe .","a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .",polarity,Polyjuice,240,27.89807105064392
9,"All of the points were not relevant to the story and made for a bitter bummer film, but it makes the ending worthwhile, especially.","for all its shoot-outs , fistfights , and car chases , this movie is a phlegmatic bore , so tedious it makes the silly spy vs . spy film the sum of all fears , starring ben affleck , seem downright hitchcockian .",polarity,Polyjuice,240,32.68879675865173
10,i'm not even a journalist.,eight crazy nights is a showcase for sandler's many talents .,polarity,Polyjuice,240,26.801748514175415
11,"from beginning to end , beautifully directed plays like a student film .","from beginning to end , this overheated melodrama plays like a student film .",polarity,Polyjuice,240,24.546960592269897
12,"The only saving grace in the movie was the murder weapon handling, which was fine and commendable.",""" antwone fisher "" is an earnest , by-the-numbers effort by washington . it won't rock any boats but is solid meat-and-potatoes filmmaking .",polarity,Polyjuice,240,29.362006187438965
