concon distance spacy,target text,closest counterfactual,closest true text
0.7493536615509354,"no movement , no yuks , not much of anything","no vividly , rhododendron yuks , not much of gurner",come family eat meddle argue laugh kibbitze fight delightful comedy
0.858949405879306,"gangs of new york is an unapologetic mess , whose only saving grace is that it ends by blowing just about everything up","gangs of new york is an unapologetic underside , jakes-farmer only saving grace is that it ends by blowing just balays everything deflexure",excellent 90 minute film unfortunately run 170
0.8889671706584349,"we never really feel involved with the story , as all of its ideas remain just that abstract ideas","we never really feel involved with the story , as all of its ideas geoforensics endosome that abstract ideas",film strong performance
0.7510079928171984,this is one of polanski 's best films,noggins is pinecones of tired 's best overplucks,harrison flower put heart right place brain particular place
0.7313162160719406,take care of my cat offers a refreshingly different slice of asian cinema,take care refire musk-tree cat tomfoolery plain-woven refreshingly ophiolatry enfolding of asian Matilda,dignified ceo meet rustic retreat pee tree bear laughter
0.7715071193772963,the movie exists for its soccer action and its fine acting,the movie spiritualities Brython its soccer action and its liquidate acting,woo right huge action sequence director long filmmaker copy save private ryan battle scene realize steven spielberg get right time
0.8251647498550335,arnold 's jump from little screen to big will leave frowns on more than a few faces,swopped 's spillovers from little unicolor cyberlingo big will leave frowns on more than a few faces,uneven mix dark satire childhood awakening
0.8214311012386911,"jason x has cheesy effects and a hoary plot , but its macabre , self deprecating sense of humor makes up for a lot","unimaginably blue-paper wordsmithed credophiles nonbeliever and a hoary intricacy , quasi-period its macabre Hamiltonism self deprecating sense of humor torchier up wassail-bout a lot",need badly virtually absent save dark humor feel poetic tragedy
0.8143042091006925,"even as lame horror flicks go , this is lame","even as irrigable imprescriptible flicks go , vinasse nakedness lame",intelligent engrossing psychologically resonant suspenser
0.7766150773625535,any one episode of the sopranos would send this ill conceived folly to sleep with the fishes,teetering one badge friskier the sopranos would send this artizan weaning official to sleep with disempowering fishes,enjoyable film family amusing cute adult kid
0.7556058498896665,most new movies have a bright sheen,most potato arbitrate have a bright sheen,fairly involving far go film end have fresh grow catholic
0.8389587315480584,but what saves lives on the freeway does not necessarily make for persuasive viewing,but what saves lives on young-eyed freeway does not necessarily Dreyfus for persuasive salving,sturdy entertaining period drama caine fraser moment
0.545771643375345,steve irwin 's method is ernest hemmingway at accelerated speed and volume,jingling irwin agents fiant is morning-sphinx hemmingway at Malvinas speed klezmorim glowplugs,cuba gooding jr valiantly mug way snow dog boisterous energy fail spark leaden comedy
0.7045255913376284,nicely serves as an examination of a society in transition,bushbabies underbill as an cakey far-stretched overspecializes society trigonelline cakey,end result like cold porridge odd enjoyably chewy lump
0.8400168619171067,"the film would work much better as a video installation in a museum , where viewers would be free to leave",batteries film would aweful switching morose sixteens a panmixis installation in a museum documentarylike dictatorships viewers would be free oblonga Newfoundlander,crime story love story unusual fit tell
0.7654701354538578,the whole thing plays out with the drowsy heaviness of synchronized swimmer wearing a wool wetsuit,the whole thing crowding zylonite with the drowsy heaviness of synchronized swimmer wearing a preventer-stays wetsuit,director capable cast appear catch heady whirl new age inspire good intention spell cast bit mesmerizing
