,perturb,original,dataset,method,vectorizer,nb not found,time to generate counterfactual
0,"ur ungrateful, you have 150 valid uploaded times, ur ungrateful one.",Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,spam,Polyjuice,TfidfVectorizer,607,109.00348162651062
1,What do I want for Xmas?,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,spam,Polyjuice,TfidfVectorizer,607,59.37096428871155
2,2nd chance 2,Last chance 2 claim ur aPS150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. aPS3.00 Sub. 16 . Remove txt X or STOP,spam,Polyjuice,TfidfVectorizer,607,92.91297054290771
3,"I don't know u and u don't know me, mail z anywhere send stuff to: lindsey, dubbing, stuff, anything to save the world from starvation.",I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,spam,Polyjuice,TfidfVectorizer,607,87.54823756217957
4,Chris Egan( Nick Smith) met UR Chris Egan( Nick Smith) returns to the club to replace Henderson as club president. EMPTY,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",spam,Polyjuice,TfidfVectorizer,607,105.20433068275452
5,we have a secret admirer who looks like a top.,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,spam,Polyjuice,TfidfVectorizer,607,100.85635042190552
6,Thank you for your help!,"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180",spam,Polyjuice,TfidfVectorizer,607,91.78112292289734
7,Which phone should I buy?,"Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call",spam,Polyjuice,TfidfVectorizer,607,90.1310019493103
8,Theme Park:,Tone Club: Your subs has now expired 2 re-sub reply MONOC 4 monos or POLYC 4 polys 1 weekly @ 150p per week Txt STOP 2 stop This msg free Stream 0871212025016,spam,Polyjuice,TfidfVectorizer,607,103.394357919693
9,XMAS iscoming & ur awarded to either aLdew.com1win150ppmx3age16subscription,XMAS iscoming & ur awarded either aPS500 CD gift vouchers & free entry 2 r aPS100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription ,spam,Polyjuice,TfidfVectorizer,607,89.51347947120667
