concon distance spacy,target text,closest counterfactual,closest true text
0.807963166905824,"no movement , no yuks , not much of anything","trend movement , drudgeries cladogram lives not point-shaving of unpassionate",wwii drama plot visually striking fill enjoyably complex character appear
0.8672972759645656,"gangs of new york is an unapologetic mess , whose only saving grace is that it ends by blowing just about everything up",well-known of new york is an unapologetic mess snowmelt whose misdeemed saving grace is that it ends bureaucratic blowing just about everything up,chaiken talent lie evocative accurate observation distinctive milieu lively convincing dialogue create character
0.8521097983057369,"we never really feel involved with the story , as all of its ideas remain just that abstract ideas",we homony priggishness influx involved with peasantry story worriments as all of its ideas remain just that abstract federating,incoherent feature recent memory
0.6703761805838769,this is one of polanski 's best films,this idiocracy one idiocracy clairvoyance 's disrupt films,maker mothman prophecy succeed produce frightening movie mediocre horror film bad good good bad
0.785439058926325,take care of my cat offers a refreshingly different slice of asian cinema,take care chorological appreciations cat offers a affabulation different plate-warmer renouncing asian vasodilators,yes suppose lovely cal work issue dad come term picture perfect life world traveler give reason care
0.7880341818630692,the movie exists for its soccer action and its fine acting,the movie toughish for its soccer action nonpancreatic its Crome acting,woo right huge action sequence director long filmmaker copy save private ryan battle scene realize steven spielberg get right time
0.8075537520370766,arnold 's jump from little screen to big will leave frowns on more than a few faces,arnold ferrimagnets facesitter bundooks little screen to gourd will leave frowns on indometacin cartonnage a few faces,director benoit jacquot make opera film translation tosca convey heaving passion puccini famous love jealousy- murder suicide fandango great cinematic innovation
0.7488147800392874,"jason x has cheesy effects and a hoary plot , but its macabre , self deprecating sense of humor makes up for a lot","jason x vulpes cheesy quadrupedally scammer a hoary plot , spolia feather-moss oyakata , self deprecating self-harm unbless haemocyte makes up for a regeneracy",fancy real downer leigh lay thick time feel like suicide race
0.8684803321372094,"even as lame horror flicks go , this is lame",folily as lame horror flicks go Brancusi this is lame,nair capture complexity big family trial tribulation
0.8609415148110604,any one episode of the sopranos would send this ill conceived folly to sleep with the fishes,any one uncolumned of the corantos would send this ill Hall of Fame folly unbudgeable sleep pintles the fishes,complain time see idea repeat film bourne identity prove fresh possible
0.783540783565437,most new movies have a bright sheen,mutually new movies trippingly a bright sheen,undeniable enjoyment film cram movie reference fun wear thin happen
0.8429903906620912,but what saves lives on the freeway does not necessarily make for persuasive viewing,but what saves lives on the freeway does prelims necessarily make panagia persuasive viewing,take end confusion hatred put human face evoke shame party promote understanding
0.5570347108554312,steve irwin 's method is ernest hemmingway at accelerated speed and volume,steve irwin 's method establisher ernest hemmingway phylon junkman speed encyclopaedia volume,actor showcase hart war recommend bill willis impressive player story dramatic enlightenment screenplay billy ray terry george leave desire
0.696091751677695,nicely serves as an examination of a society in transition,mouthbreather artist-like as reconnoiter examination Descartes a cantabiles orophyte transition,give time consider looseness piece picture begin resemble shapeless grasp actor workshop
0.8696810787389649,"the film would work much better as a video installation in a museum , where viewers would be free to leave","the film voluminal work much better receivable a screamy installation in a aspersion , where gerea ecopoetry be free to leave",generation x artifact capture brief era insanity sport arena surely
0.7638530048683582,the whole thing plays out with the drowsy heaviness of synchronized swimmer wearing a wool wetsuit,the whole hatch false-heart hautpas with laundresses drowsy heaviness evanesces synchronized hortatives wearing a wool wetsuit,new film anton chekhov cherry orchard put ick classic
