,target instance,closest_counterfactual,closest_true_counterfactual,farthest_true_counterfactual,closest_distance,farthest_distance,distance_cf_target,distance_metric,text_method,time
0,"Bias: Trump Blamed For Sluggish Economy, Obama Lavished With Praise - Breitbart",bias unkwordz blame sluggish economy obama lavish unkwordz praise unkwordz,supreme court help company away sexual harassment,obama apply political asylum moneygall,0.0,0.1625,0.8263888888888888,l0,lime,0.04909086227416992
1,"Bias: Trump Blamed For Sluggish Economy, Obama Lavished With Praise - Breitbart",bias unkwordz blame sluggish economy obama lavish unkwordz praise unkwordz,supreme court help company away sexual harassment,obama apply political asylum moneygall,0.0,0.06056186021915364,0.4249567910193458,pairwise,lime,0.23328924179077148
2,"Bias: Trump Blamed For Sluggish Economy, Obama Lavished With Praise - Breitbart",bias unkwordz blame sluggish economy obama lavish unkwordz praise unkwordz,supreme court help company away sexual harassment,obama apply political asylum moneygall,0.0,0.11180339887498948,0.5833333333333334,cosine,lime,0.00948190689086914
3,"Bias: Trump Blamed For Sluggish Economy, Obama Lavished With Praise - Breitbart",bias unkwordz blame sluggish economy obama lavish unkwordz praise unkwordz,diamond silk,trump complaint obama give away syria strategy look pretty silly,0.21818985122820644,0.7395329937817137,0.9562286675358935,spacy,lime,2.0654044151306152
4,The Supreme Court Is Helping Companies Get Away With Sexual Harassment,unkwordz unkwordz court unkwordz unkwordz company away unkwordz unkwordz unkwordz,bias trump blame sluggish economy obama lavish praise breitbart,gop unite supreme court nominee hillary clinton video,0.0,0.1875,0.5892857142857143,l0,lime,0.03501772880554199
5,The Supreme Court Is Helping Companies Get Away With Sexual Harassment,unkwordz unkwordz court unkwordz unkwordz company away unkwordz unkwordz unkwordz,bias trump blame sluggish economy obama lavish praise breitbart,gop unite supreme court nominee hillary clinton video,0.0,0.025746522884563666,0.0909568159688337,pairwise,lime,0.1484544277191162
6,The Supreme Court Is Helping Companies Get Away With Sexual Harassment,unkwordz unkwordz court unkwordz unkwordz company away unkwordz unkwordz unkwordz,bias trump blame sluggish economy obama lavish praise breitbart,gop unite supreme court nominee hillary clinton video,0.0,0.049029033784546004,0.15724272550828775,cosine,lime,0.007910490036010742
7,The Supreme Court Is Helping Companies Get Away With Sexual Harassment,unkwordz unkwordz court unkwordz unkwordz company away unkwordz unkwordz unkwordz,gwen stefani superfan beat gwen stefani gwen stefani quiz,worth white house financial disclosure new york time,0.0186157864033073,0.7168543084094507,0.8383096424539623,spacy,lime,1.3130455017089844
8,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,unkwordz gates unkwordz trump know difference hpv unkwordz hiv,gorka smite hater radical islamist jerusalem post speech breitbart,trump control mossad,0.0,0.23809523809523808,0.8035714285714286,l0,lime,0.033609867095947266
9,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,unkwordz gates unkwordz trump know difference hpv unkwordz hiv,gorka smite hater radical islamist jerusalem post speech breitbart,trump control mossad,0.0,0.08395966598126195,0.33591208286814883,pairwise,lime,0.14873814582824707
10,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,unkwordz gates unkwordz trump know difference hpv unkwordz hiv,gorka smite hater radical islamist jerusalem post speech breitbart,trump control mossad,0.0,0.14907119849998599,0.45643546458763834,cosine,lime,0.008489608764648438
11,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,unkwordz gates unkwordz trump know difference hpv unkwordz hiv,gwen stefani superfan beat gwen stefani gwen stefani quiz,21 thing learn hillary clinton wikileak msm will share,0.28699404383411564,0.6364683685782322,0.9324625401943943,spacy,lime,1.278435230255127
12,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,kylie jenner ex bodyguard tim chung deny unkwordz unkwordz actually unkwordz father,bias trump blame sluggish economy obama lavish praise breitbart,australian drug maker low profile powerful backer washington new york time,0.0,0.0,0.9,l0,lime,0.03641009330749512
13,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,kylie jenner ex bodyguard tim chung deny unkwordz unkwordz actually unkwordz father,bias trump blame sluggish economy obama lavish praise breitbart,australian drug maker low profile powerful backer washington new york time,0.0,0.0,0.5249823337746946,pairwise,lime,0.14927983283996582
14,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,kylie jenner ex bodyguard tim chung deny unkwordz unkwordz actually unkwordz father,bias trump blame sluggish economy obama lavish praise breitbart,australian drug maker low profile powerful backer washington new york time,0.0,0.0,0.6708203932499369,cosine,lime,0.008782386779785156
15,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,kylie jenner ex bodyguard tim chung deny unkwordz unkwordz actually unkwordz father,budget deal increase wildfire disaster funding $ 2 billion annually,mtv ira madison iii call jeff session granddaughter prop steal toy r breitbart,0.17691174391833908,0.6564177865871734,0.999999985612204,spacy,lime,1.315413475036621
16,'Law & Order: SVU' Tackles Trans Military Debate With Powerful Storyline,law unkwordz unkwordz tackle trans military debate unkwordz powerful storyline,bias trump blame sluggish economy obama lavish praise breitbart,north carolina governor sign law limit successor power new york time,0.0,0.2159090909090909,0.8263888888888888,l0,lime,0.03524518013000488
17,'Law & Order: SVU' Tackles Trans Military Debate With Powerful Storyline,law unkwordz unkwordz tackle trans military debate unkwordz powerful storyline,bias trump blame sluggish economy obama lavish praise breitbart,2 state solution dead israel debate new york time,0.0,0.04692402084245642,0.4249567910193458,pairwise,lime,0.14922595024108887
18,'Law & Order: SVU' Tackles Trans Military Debate With Powerful Storyline,law unkwordz unkwordz tackle trans military debate unkwordz powerful storyline,bias trump blame sluggish economy obama lavish praise breitbart,2 state solution dead israel debate new york time,0.0,0.08333333333333333,0.5833333333333334,cosine,lime,0.008442401885986328
