,target instance,closest_counterfactual,closest_true_counterfactual,farthest_true_counterfactual,closest_distance,farthest_distance,distance_cf_target,distance_metric,text_method,time
0,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police",nodapl native american leader vow forget eastern file missouri police,bias trump blame sluggish economy obama lavish praise breitbart,ban eu dangerous chemical americans,0.0,0.15000000000000002,0.7,l0,lessconcon,0.04251408576965332
1,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police",nodapl native american leader vow forget eastern file missouri police,bias trump blame sluggish economy obama lavish praise breitbart,prince die accord court document file sister new york time,0.0,0.05325383733705391,0.5415443207343177,pairwise,lessconcon,0.15201997756958008
2,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police",nodapl native american leader vow forget eastern file missouri police,bias trump blame sluggish economy obama lavish praise breitbart,prince die accord court document file sister new york time,0.0,0.09999999999999998,0.6999999999999998,cosine,lessconcon,0.007758378982543945
3,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police",nodapl native american leader vow forget eastern file missouri police,gwen stefani superfan beat gwen stefani gwen stefani quiz,north carolina governor sign law limit successor power new york time,0.15140009112514594,0.7816140020569049,0.9176346122752126,spacy,lessconcon,1.1176519393920898
4,Illegal Immigrant Accused of Murdering Teacher,illegal immigrant lie ask teacher,bias trump blame sluggish economy obama lavish praise breitbart,"democrats urge obama pardon 750,000 illegal immigrant trump take power",0.0,0.2909090909090909,0.6,l0,lessconcon,0.03154110908508301
5,Illegal Immigrant Accused of Murdering Teacher,illegal immigrant lie ask teacher,bias trump blame sluggish economy obama lavish praise breitbart,"democrats urge obama pardon 750,000 illegal immigrant trump take power",0.0,0.16836842163679844,0.43161341897075145,pairwise,lessconcon,0.14862418174743652
6,Illegal Immigrant Accused of Murdering Teacher,illegal immigrant lie ask teacher,bias trump blame sluggish economy obama lavish praise breitbart,"democrats urge obama pardon 750,000 illegal immigrant trump take power",0.0,0.26967994498529685,0.5999999999999999,cosine,lessconcon,0.00650334358215332
7,Illegal Immigrant Accused of Murdering Teacher,illegal immigrant lie ask teacher,gwen stefani superfan beat gwen stefani gwen stefani quiz,"democrats urge obama pardon 750,000 illegal immigrant trump take power",0.11282098373518026,0.7646363062522801,0.9001700857986565,spacy,lessconcon,1.0640881061553955
8,"Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda",leave blast pepsi casey jenner appropriate anti trump resistance sell soda,gorka smite hater radical islamist jerusalem post speech breitbart,trump control mossad,0.0,0.2121212121212121,0.9090909090909091,l0,lessconcon,0.04581594467163086
9,"Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda",leave blast pepsi casey jenner appropriate anti trump resistance sell soda,gorka smite hater radical islamist jerusalem post speech breitbart,red alert politic anti trump protester torch muslim immigrant limo breitbart,0.0,0.10112251282501054,0.8350499057520977,pairwise,lessconcon,0.15177369117736816
