,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,"the movie has a soft , percolating magic , a deadpan suspense .","the movie accept a subdued , percolating magic , a deadpan suspense .",movie accept subdue percolate magic deadpan suspense,else-,CountVectorizer,growing_net,MLPClassifier,polarity,0.1988391876220703,0,0.0,0.9719603736237448,2,0.8741701245307922,13,0.1920482516288757,. . . understands that a generation defines its music as much as the music defines a generation .,-0.0582531169056892
1,this is one of polanski's best films .,this is one of polanski 's ill picture_show .,polanski ill picture_show,execrable,CountVectorizer,growing_net,MLPClassifier,polarity,0.3144564628601074,0,0.0527885404502939,0.929997263021478,4,0.6034371852874756,9,0.1513350158929824,binoche and magimel are perfect in these roles .,-0.0994235128164291
2,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .","like dickens with his passages , mcgrath crafts quite still scenes throughout his resolutely dramatic variation on the novel .",like dicken passage mcgrath craft scene resolutely dramatic variation novel,else-,CountVectorizer,growing_net,MLPClassifier,polarity,0.2738509178161621,0,0.0,0.9963872791671609,1,0.930204451084137,20,0.1302401423454284,"guy gets girl , guy loses girl , audience falls asleep .",-0.1496472358703613
3,"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .","there 's no point of view , no contemporary interpretation of joan 's prefeminist plight , so we 're left thinking the only reason to make the motion-picture_show is because present standards allow for plenty of nudity .",point view contemporary interpretation joan prefeminist plight leave think reason motion picture_show present standard allow plenty nudity,else-,CountVectorizer,growing_net,MLPClassifier,polarity,0.1777067184448242,0,0.0,0.996833075297638,7,0.9422585368156433,38,0.2130321115255355,a solidly seaworthy chiller .,-0.0958968847990036
4,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,sitting through the last reel ( spoiler alert ! ) is importantly less charming than listening to a four - year - old with a taste for exaggeration recite his halloween trip to the haunted house .,sit reel spoiler alert importantly charming listen year old taste exaggeration recite halloween trip haunted house,execrable,CountVectorizer,growing_net,MLPClassifier,polarity,0.3467340469360351,0,-0.0102263223713534,0.9963125549470556,7,0.9909766912460327,37,0.0265420638024806,binoche and magimel are perfect in these roles .,-0.0605965256690979
5,". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .",". . . bewitch , AN eye - initiative circuit of innovative beijing refinement in a journeying of insurrection , recede into oblivion and pass .",bewitch eye initiative circuit innovative beijing refinement journeying insurrection recede oblivion pass,execrable,CountVectorizer,growing_net,MLPClassifier,polarity,13.38023567199707,0,-0.0185524176054059,0.9412365157632872,12,0.73836350440979,26,0.2041983306407928,clayburgh and tambor are charming performers ; neither of them deserves eric schaeffer .,-0.1738771200180053
6,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,it 's a glorious spectacle like those d . w . griffith made in the early_on solar_day of silent film .,glorious spectacle like d w griffith early_on solar_day silent film,execrable,CountVectorizer,growing_net,MLPClassifier,polarity,0.1952898502349853,0,0.0165313900477594,0.991283022909064,4,0.8932562470436096,21,0.0250781252980232,merchant effectively translates naipaul's lively mix of characters from the page to screen .,-0.0828372910618782
7,[at least] moore is a real charmer .,[ at least ] Henry_Moore is a substantial charmer .,henry_moore substantial charmer,execrable,CountVectorizer,growing_net,MLPClassifier,polarity,0.5933670997619629,0,-0.0841031466584903,0.9492276130127424,6,0.8106307983398438,10,0.1838732212781906,"sets animation back 30 years , musicals back 40 years and judaism back at least 50 .",-0.1465244740247726
8,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,the film starts out as competent but everyday . . . and gradually maturate into something of considerable power .,film start competent everyday gradually maturate considerable power,else-,CountVectorizer,growing_net,MLPClassifier,polarity,0.2207131385803222,0,0.0,0.990820277407763,2,0.8372263312339783,20,0.2461768984794616,gets under the skin of a man who has just lost his wife .,-0.0708369016647338
9,. . . always remains movingly genuine .,. . . always corpse movingly actual .,corpse movingly actual,execrable,CountVectorizer,growing_net,MLPClassifier,polarity,0.0673983097076416,0,0.0023759298126466,0.9412102187043584,2,0.5193474292755127,8,0.2579997479915619,"uses sharp humor and insight into human nature to examine class conflict , adolescent yearning , the roots of friendship and sexual identity .",-0.1175063401460647
